protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IL36B IL37	-3.4911125890361	19.3797014504199	15.4710605334318	-8.72635256313601	21.2206631715965	16.010055969547	-5.58320353545128	20.5681170523068	16.1989231251379	-6.17052219582148	20.4938025557385	15.9700340968573
IL36B IL3RA	-1.9685934359034	19.1398283193223	14.9164964979024	-3.79606894504976	20.5219898220293	15.6101521248466	-10.0028917923071	20.9647429826665	16.4842233473022	-4.40349490048242	20.0208653142137	15.8929031781674
IL36B IL4	-1.13412749563394	18.8967315353958	14.1162842621271	-6.44761131982651	20.5462339501895	15.6792826639695	-9.13974527172048	21.1044872256446	16.7496616565174	-3.23088756746247	20.1131375192513	15.3740475320885
IL36B IL4R	-3.56802406445704	19.6955463334233	15.7015815845735	-12.9422416042263	20.6950396479907	16.2294810444928	-8.04321730599746	20.8832985104191	16.6327675105596	-8.82953104489261	20.5710846025932	16.2989747703908
IL36B IL5	-3.77261761780333	20.0926676960643	15.9885762384535	-4.8740168323793	20.8262501249804	15.1380212388795	-5.33047087122865	20.9507600351047	16.1320509252146	-6.06113498769442	20.5111008462701	15.9469797517983
IL36B IL5RA	-1.59375884880164	19.3138305007392	14.8478682949624	-6.3270637783744	20.6128251886374	15.3636772418354	-6.04372769805674	20.7377089050523	16.2760036922606	-3.87910784718947	20.2835888368178	15.7268746902174
IL36B IL6	-1.94033573260768	18.3851173975058	14.8955215786968	-2.52086487816075	20.3832608306036	15.0236011254168	-2.51273425419554	19.9585114648033	15.603393214185	-2.37524505450581	19.515080764426	15.231163386708
IL36B IL6R	-1.68013686515309	19.1204362774147	14.8421990888771	-11.8128474339116	21.0350710142761	15.955831243166	-5.99597088703168	20.5298521689126	16.170900545459	-4.21318490242176	20.3394685346883	15.6531170696012
IL36B IL6ST	-1.42655852551289	18.8794672136318	14.5657461925021	-9.10020960589269	20.8619012569639	15.6309927011369	-6.53760533074674	20.8470823053021	16.3851602924826	-4.56141194388244	20.3040437295178	15.6904979554977
IL36B IL7	-1.93223015393044	18.4465466882593	14.5994359687878	-7.99497097654414	20.8077956227325	16.0169899131616	-6.8223130273768	20.5322099142288	16.2238219801018	-4.0555068199105	20.0776148043564	15.767014175693
IL36B IL7R	-3.85461542970131	19.4884358547276	15.5385339814792	-7.64390428001856	21.5260161772744	15.7539276611341	-6.84255300161203	21.1956759582083	16.1308173048881	-5.92893853954048	21.0159503223202	15.9641861019361
IL36B IL9	-3.96568985203242	20.0218896636199	15.6439918805214	-4.08706983228894	19.5795199522801	14.9666220369049	-4.15327575193039	20.5630621254034	15.9477922033877	-3.64767731311956	19.9238554133183	15.6236476988057
IL36B IMPDH1	-2.87681493562264	19.411383096754	15.4285529472321	-12.6257583315264	21.1331656969854	15.8999332052175	-11.0260082002942	21.1077497518825	16.7112528148048	-6.32386674547224	20.4711424871875	15.9744026038626
IL36B IMPDH2	-2.29753828550206	19.6135792755168	15.3365401093668	-6.33778471617127	20.1785785146279	15.3955852671359	-14.7119285357563	21.3403887230528	16.8738565664599	-5.71962019958421	20.3135514506787	15.9277767649312
IL36B ING1	-2.05570896605762	19.0468239847748	15.0752784612555	-2.9421383471257	20.6061039044383	15.1138712901733	-6.08566576268881	20.9697534862221	16.3613212078731	-3.26000655575405	20.0781389038929	15.5455251376196
IL36B INHBA	-2.07693268732282	19.1723356900156	14.8818756854473	-12.5247773026555	21.2437056313776	15.8381076462399	-7.45373464300646	21.1980528687226	16.3735008381699	-5.28624352015536	20.6823345713158	15.8146414205677
IL36B INHBA.INHBB	-1.13927246087116	18.4969655063319	13.9688176549111	-14.0746417494333	21.1220414270044	16.1277086841006	-4.47502360455271	20.8601716607247	16.0161879171062	-4.48957327470477	20.1907735769645	15.4561190893041
IL36B INS	-5.16935355107507	20.4567503727536	16.3096835232723	-8.0236053501464	20.5195182079701	15.4901562630136	-8.029928233636	21.1246510616882	16.6306292691316	-10.9935905942931	20.9919198417721	16.562829612147
IL36B INSR	-0.872586566608696	17.0220906984389	13.844116451287	-19.9910507210884	21.2797139770331	16.3567110034483	-5.3040716147774	19.9996634125989	15.960739597557	-4.01811255454451	19.4967921370033	15.3865333848018
IL36B IRF1	-2.22893657692309	19.0160534936901	15.6786102281986	-14.8504159036176	20.9984394238161	16.3506874780174	-9.79443356944462	20.8941050870994	16.6664336758906	-7.45624125132931	20.5434052162807	16.4909811842201
IL36B ISG15	-0.969325017430142	18.1933336841286	13.6218862249931	-3.82825165649885	20.3536282633713	15.2915186729514	-2.92725326395361	20.2802695644156	15.8631722551635	-2.08682677052052	19.5436967596022	14.7255042856412
IL36B ISLR2	-1.76124059326995	20.7261709145549	15.1920992194089	-5.68746995803822	20.1089634424787	15.1190047011645	-5.17597138751864	20.5823096949016	15.8084837711314	-3.0659210666669	20.4568368123096	15.3965874777953
IL36B ITGA1.ITGB1	-4.70611339420304	19.9009238244884	15.7871318436455	-10.4015434826824	21.1269196171048	16.2705607288213	-9.13310940484538	21.2507395293422	16.8011425672174	-8.03708813754919	20.766925577881	16.3989121604576
