protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IMPDH2 ING1	-5.59446041800439	20.8045009334066	16.1085733303644	-4.1713740909835	20.3913773563837	15.1184510624616	-7.98396400541115	21.3324228348372	16.2723353808773	-6.7385154106863	20.8889325398269	15.9554732908707
IMPDH2 INHBA	-18.3859220970961	21.7659070288727	17.0148480485069	-9.04180414768875	21.2454170169498	15.70681891682	-15.9742940647026	21.9203644748805	17.0401942310439	-20.2853550171346	21.6342385282993	16.6934235273814
IMPDH2 INHBA.INHBB	-3.01224561125391	19.5705899565459	14.7547559117656	-5.71141104126936	21.213255590428	15.7437278810493	-4.95626360461788	21.2937316381735	15.9654318870033	-5.08006252610796	20.9888749666657	15.7744375749145
IMPDH2 INS	-12.7134583579418	21.410112231339	16.7234327773669	-6.18026752049737	20.3252368146217	15.2516853984111	-23.2344509854504	21.6322510516159	17.0028823663362	-15.2050533980049	21.3060475696019	16.6472894623398
IMPDH2 INSR	-3.99699847049087	19.6831765662426	15.3124143609298	-8.14248178662212	20.7846575758703	16.1192174460297	-7.10147014416799	20.7613603856354	16.2279850314442	-6.75913541844489	20.502652626597	16.0302821163975
IMPDH2 IRF1	-15.0022627549128	20.981126670822	16.3856863091763	-7.41207712455033	20.6571696828367	15.6516924142148	-12.5588180385917	21.133229949344	16.8062661435699	-17.8075754019316	21.159848472372	16.6040572350623
IMPDH2 ISG15	-4.76307798946999	20.3194152844044	15.45060330065	-2.89532582326532	20.4133860725919	14.6753858765385	-4.7966668348121	20.600391568674	15.4199379128679	-4.1168078197599	20.5898445976587	15.3651564921546
IMPDH2 ISLR2	-6.11372053310633	21.0483786712628	16.3003174303061	-3.69295703064401	20.2101665130333	15.4840021595418	-5.82793029408644	20.801931024385	16.3004363662792	-5.29169506534772	20.8657990870304	16.1280218673069
IMPDH2 ITGA1.ITGB1	-7.07729160432048	20.57853248623	16.2114278319093	-4.19149352162082	20.5550692770607	15.2560342632776	-6.29244678142271	21.1915034024248	16.4099527111317	-7.68361121270244	20.8084934242113	16.19381550306
IMPDH2 ITGA2B.ITGB3	-11.1926352089075	21.0219183831546	16.4833326856561	-9.52603308686639	20.7834595177495	15.622983935681	-14.9243386935079	21.3656186812624	16.7633898124354	-13.7371708582085	21.1516872903684	16.4143461274297
