protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
INHBA.INHBB INS	-4.30928211703304	20.3991586420445	15.8024911143761	-7.28526981482922	21.5047190552176	15.4215387011902	-9.09658881375258	21.7125442373918	16.4447451219495	-9.33045575575457	21.2301903875462	16.2960853232343
INHBA.INHBB INSR	-2.1646873069611	18.9606696836843	14.0893488666278	-6.69609646669394	20.3887719280889	15.2256055200039	-6.23081230779372	20.958384555815	15.9925156472451	-5.51544956051578	20.3162191870345	15.3036047742376
INHBA.INHBB IRF1	-5.64059494917845	19.9251587807479	15.3218256011519	-21.3099602399803	21.736997551338	16.5613156058439	-12.0256026699658	21.5975315673121	16.5940415212266	-11.2973861445422	21.255882422117	16.2822994434443
INHBA.INHBB ISG15	-2.05009537531977	18.636419916752	14.4507573026625	-3.08950619221282	20.6209610193228	14.6665348348208	-3.07565955631994	20.4873518923808	15.1623690102315	-2.82139771737757	20.1968544636147	14.9417525036272
INHBA.INHBB ISLR2	-3.30732433054236	19.5778368854214	14.8040131189857	-6.15365643589712	20.2664906612625	15.1157531035536	-3.71288130999034	20.2219011013073	15.2769115134088	-5.97201301238778	20.2435022981535	15.3354559844574
INHBA.INHBB ITGA1.ITGB1	-2.43077505699155	19.6020423507077	14.779892894556	-14.4017268262324	21.2077643510198	16.1088266952277	-7.01062936408466	21.0522556213901	16.0687823086796	-6.26868250352169	20.8300785328916	15.8592689561114
INHBA.INHBB ITGA2B.ITGB3	-4.63431395783229	20.1174025712359	15.8566469710921	-27.9693695424972	21.7338281497968	16.5779903098494	-10.1576869721209	21.5962461099145	16.6230708111939	-10.5286228263839	21.3361760423878	16.5613453985367
INHBA.INHBB ITGAV.ITGB5	-0.23563242446054	16.7454984403382	12.8902525360561	-2.77973949165784	18.2706270575741	14.5606306922611	-0.75160581914288	17.7680569334501	14.0971981406605	-1.19297933843516	17.8532390576991	14.1448257570395
INHBA.INHBB ITIH4	-1.28420481295293	19.0200649173667	14.5709394650838	-6.47291598270325	20.3158772294954	15.6857601090898	-3.33798147241782	20.0837835445761	15.5808607747846	-3.03877805038642	19.972897389836	15.3556067242033
INHBA.INHBB JAG1	-1.56968593005129	18.9773271879304	14.1158238257308	-7.16146180014497	20.9566500870382	15.2563545532672	-10.3073184345582	21.1104209113643	16.3763565494013	-3.50139024743441	20.3683057486943	15.0444187469038
INHBA.INHBB JAG2	-2.07672376461557	19.3580944702366	14.8518553333589	-19.6980574339176	21.7855866616642	16.5785101384084	-6.52001746262755	21.1512560092638	16.365203995695	-7.7755646784137	20.8948703184414	16.1469685544706
INHBA.INHBB JAK2	-4.05094246639232	20.5873486599456	15.3599123486706	-5.57860387610705	20.7486128142942	15.688061477557	-5.23234251355198	21.2867431846058	15.9659148508391	-5.19289405860081	21.1022743201622	15.8959471047407
INHBA.INHBB JAM2	-0.111864076935107	15.7776231420498	11.4394906655302	0.243904552433349	14.3991653580133	11.1108772086238	-0.217388701847105	15.8493925316985	11.9688932454092	0.0203125524499373	15.3529654591207	11.6163585431957
INHBA.INHBB JAM3	-0.852793582987337	18.3636139443887	12.9477246311736	-1.28087923238453	18.2146650111058	12.5127416100851	-1.5555757564526	19.2909303275167	13.6504875440699	-1.1976723687127	18.7285937984846	13.1371998130979
