protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
IRF1 ISG15	-7.40518254108069	20.8285754607527	16.3618009830253	-3.39455671997823	20.2061255617045	15.2545651208929	-7.15172767677619	20.761244174022	16.2387894411565	-5.45397472452362	20.9680577320148	16.0908354076218
IRF1 ISLR2	-18.1735502667416	21.7659690643749	17.1614037588281	-7.47512680340194	20.0762604717982	15.2066016588789	-8.88364550492186	20.9026233936385	16.5077926706809	-11.4833116813707	21.0987974428468	16.4010742369753
IRF1 ITGA1.ITGB1	-12.1304273566482	20.8335502595173	16.3982705418705	-18.6505955060631	20.8211350085682	16.016890147886	-15.5396085234913	20.8719339131282	16.4746807939635	-17.6825162268853	21.3828212991165	16.6713110176402
IRF1 ITGA2B.ITGB3	-10.9344396418325	21.4818537289986	16.8671803723533	-17.2312991026898	21.0818647826163	16.0856261931153	-16.9437035457667	21.2763762670411	16.733221813333	-20.4707120582631	21.4019140915324	16.7635380012766
IRF1 ITGAV.ITGB5	-2.03905210637377	18.5705161914018	15.4120547648899	-2.6113360258741	18.1247978482498	14.8010204241422	-1.38833276753213	18.2310710789109	14.9438320877992	-2.67418656086218	18.7226662589514	15.5885711104777
IRF1 ITIH4	-6.61846385493163	20.6208587690468	16.6552683111547	-9.00199793827837	20.4718355231157	16.070310000723	-5.45154582148315	20.6643538119503	16.4861454471229	-7.48579765071715	20.7206232560048	16.5222848688183
IRF1 JAG1	-2.19266521511016	19.678443664001	14.8423329434948	-5.88113910791466	19.7233097242514	15.1494343848537	-7.17443056261956	20.8905308836337	16.4656929268132	-4.2238726832157	20.2301303247404	15.5159728549656
IRF1 JAG2	-5.11622644516978	20.5735723873935	16.1920130517216	-20.3025846506645	21.451582390074	16.3376986265652	-10.9979137689885	21.0733387982151	16.7233696657356	-13.8052951768262	21.3112752772065	16.692237068688
IRF1 JAK2	-5.88000992924783	20.775384778646	15.8149023671967	-4.26514776902137	20.2097708496544	15.0777815531725	-4.9885204174087	21.0119067270576	16.0100194096372	-5.41753721039431	20.741167597439	15.8076289561214
IRF1 JAM2	-0.607412730020501	17.0992245593042	13.5896001704171	-0.0641192099229415	15.0115327007021	11.6117019442252	-0.191603377710321	16.1094745879311	12.8376854141786	-0.231449567705403	16.16482485789	12.7949074290428
IRF1 JAM3	-1.62860330771445	19.9137359882493	14.8423464067397	-1.43352577856116	18.3468615621494	13.2740063390706	-1.93028988503657	19.5231087970647	14.7315670709108	-1.64782353742028	19.4040206468742	14.3978490584419
IRF1 JUN	-23.3282055556125	21.3847020690677	16.6740143635189	-5.17599521837525	20.2556596094725	15.6348796584777	-13.1023721997459	21.1703099941751	16.7694152926542	-15.5691067790196	21.1346228983316	16.571882754415
IRF1 KAT6A	-6.43872056457344	20.7166789102787	15.8124393391206	-3.9096031280065	19.9141319935504	14.8217951670191	-5.13403181278206	20.3023179569993	15.4838439976221	-6.39664420837124	20.4232140752886	15.7390455155871
IRF1 KDR	-1.3155879265458	18.4402076971352	13.7012266051949	-0.94092797476312	17.6441319820978	12.8296793070825	-1.23695425479334	18.1290190976778	13.7183379485207	-1.03581482686173	18.2522095504901	13.6351120414324
IRF1 KEAP1	-3.98656675091019	19.5856053264356	15.8184043107533	-5.77413191912108	19.3234668125756	14.8995461975071	-3.97905965946857	19.8438096301254	15.7709921311066	-6.24110759882337	20.0646894071174	16.0333658196971
IRF1 KIF23	-12.5010038752712	20.6253595403999	16.3516242445229	-4.35502826696552	20.0734076159092	14.8144495934349	-7.5807523169057	21.2116575869404	16.4060396564263	-8.94901859146495	20.690589942873	16.0383520920076
IRF1 KIR2DL4	-8.32028953772988	20.6844565190558	16.3843360405274	-3.63323410039188	19.4431621296305	15.1851733415291	-6.99215037831841	20.4588079281186	16.3381217670724	-6.77603721668309	20.3695064195894	16.1406445905346
IRF1 KIR3DL2	-4.36560499414123	19.9725392288476	15.7552181133559	-7.05304537734966	19.9163411772373	15.28784337267	-5.82356307384156	20.1012596963008	15.89838381465	-5.93668650809191	20.1257378395857	15.9137774080234
