protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ISG15 ISLR2	-6.87151123791619	20.8516376345891	16.1691934662645	-1.94453876992202	19.6072328473171	14.1096500294641	-3.14286270305069	20.3149973694495	15.6613101940439	-3.54448341788638	20.5237275491825	15.5609737932526
ISG15 ITGA1.ITGB1	-2.18513330626016	19.5879150061122	14.9414490996439	-1.91133692648094	18.9554028874426	13.3373882418975	-3.7843418975106	20.2433834660467	15.3980901360918	-2.70292743527904	19.7323309631423	14.6078468296431
ISG15 ITGA2B.ITGB3	-4.81570345771975	20.8246186936352	15.8379436641351	-3.50843451385301	19.4233706587814	14.5686751649328	-3.50520723335681	20.8310221848307	15.8554285452722	-4.98788480199216	20.4943123300708	15.7548392823103
ISG15 ITGAV.ITGB5	-0.461087749964405	17.7262735888513	14.1232820818195	-1.59860912026819	18.1519287418693	14.2081474349287	-1.12713876542302	18.1663402396356	14.6620528393199	-1.00412223330724	18.4225514484942	14.6001567572852
ISG15 ITIH4	-1.77879575778126	19.2755363452187	15.0489777081648	-2.0651834178554	19.1176477872905	14.5130592015611	-2.26786868765236	19.6615044435351	15.2781692858744	-1.98106657017876	19.4288290656727	14.9820669448171
ISG15 JAG1	-1.21380211659365	18.4693644825695	14.1578074729223	-2.8938529182703	19.4191167344191	14.3114222024617	-2.96020795421002	19.798184869957	15.3046443846325	-1.87283578545267	19.4408523179929	14.742489733458
ISG15 JAG2	-1.83044826237174	19.4264326521047	14.7957975546412	-2.53458749486469	19.8681688481141	14.3417800683795	-4.22000230649293	20.1370510435313	15.7380266171796	-3.46961735078485	19.9681367725272	15.1135279772187
ISG15 JAK2	-4.28123447185805	20.8918581414645	15.8570113539249	-2.70145313033475	19.6406442790706	14.3481748721802	-3.45953703280419	20.802886449974	15.4301721416397	-3.67249938773901	20.5957115258172	15.4219641773142
ISG15 JAM2	-0.408281284470479	16.3814479885465	12.9680269562815	0.0155602596502056	15.0881534583026	11.6581833620407	-0.310510490635229	16.1680644380272	12.8221430910796	-0.225897117467045	15.9820498799484	12.5463511483825
ISG15 JAM3	-1.563184902894	19.938539459773	14.832094127299	-1.25465570403572	17.7229415924402	12.8762344746324	-1.80848364592595	19.3639129760937	14.3841857324232	-1.55478658205596	19.1268935003439	14.1776214545671
ISG15 JUN	-3.46243322191871	19.8782778807884	15.5351968102505	-1.45960501860477	19.3075300557582	14.0684510342611	-3.28573489393542	20.3220086622081	15.5675193735842	-2.46181465294741	19.7583292562007	15.1934140623515
ISG15 KAT6A	-1.4973200188794	19.1944725800695	14.1570186474294	-1.2227293073671	18.5004901044639	12.9481110453655	-1.78219484904274	19.3702545147954	14.3362898928981	-1.57442788186988	19.1342671115707	13.9582473183541
ISG15 KDR	-0.404760516892654	17.0685286999547	12.520655379742	-1.26021026785657	17.8557524603918	12.8845554289447	-1.04829288798884	18.2348234114097	13.5180121660217	-0.841009215093547	17.9069348937671	13.1437846211546
ISG15 KEAP1	-2.9950818385137	19.5635037744411	15.2788233390127	-2.15396592810502	19.0003493892055	14.2889689496576	-3.21189352075083	19.8347780003238	15.5134413149618	-2.78832060404177	19.667657607306	15.2020177003202
ISG15 KIF23	-7.22909255086147	20.6934075744849	16.1618766063451	-2.62500554861085	19.0468830667537	14.0639155396741	-4.00307023959615	20.6971999556519	15.5147780787443	-4.83971341304264	20.2565381220101	15.6017872643286
ISG15 KIR2DL4	-2.85597976809183	19.3590513460646	14.9321621749053	-4.27722299843949	19.700318208097	14.8806563665672	-4.06457239293795	20.2030471733701	15.4714804096394	-3.74601491116018	19.8405265386956	15.3511793330513
ISG15 KIR3DL2	-1.76964415246371	19.2157948890145	14.6298416921537	-2.33292252181341	19.0649786150784	13.8555465491598	-2.46883179474802	19.4030444471478	15.1182371629565	-2.31311465512315	19.4528341921177	14.6396535180995
ISG15 KIR3DS1	-3.81310820825828	19.8719960050886	15.5400458618313	-3.03357083957471	20.0263964263683	14.5785593203991	-4.62844225381574	20.6217484465837	15.9650306699579	-3.78410806680933	20.3157525236565	15.5602119226911
ISG15 KIRREL3	-2.3217826651201	19.5309196225505	15.4865184606133	-1.2087517090701	17.6690283211725	13.3377322235953	-1.77959149674256	19.0055853761804	14.6676490766702	-1.88169202782017	18.838319943656	14.7393323844726
ISG15 KIT	-1.52474341226923	18.526903433323	14.3886350930363	-0.509372697643952	16.9253472477728	12.2222973842469	-1.11226861605125	18.2011357734175	13.8499556746013	-1.08915315304623	17.9982997300834	13.6990343386865
ISG15 KLK11	-2.62222581214868	19.5207904546001	14.7589982714965	-3.01007596943894	20.5205625423859	14.6648451748007	-2.78589546074589	20.760518465934	15.2400583324334	-3.1027186038176	20.6346234987702	15.246558972581
ISG15 KLK12	-2.35846959844253	19.369960245026	14.9350784374124	-2.71474350403735	19.8645717824045	14.6075831347993	-4.54031577396497	20.4450828901823	15.6672515411325	-2.78114547213598	20.1179477625257	15.1942397613904
ISG15 KLK13	-4.01557389376947	19.3506887401686	14.9337443412532	-2.5604009968651	20.5238638015332	14.7266197090171	-7.5621426925974	20.5280443196542	16.192376805031	-3.23910017970219	20.2263630885056	15.2735125934456
ISG15 KLK14	-4.8350681506207	20.4779853706086	15.6660121742928	-3.25626501335945	20.2266309540768	14.8374415329231	-3.98961111423095	20.9918670579511	15.7323518805838	-3.98558845750757	20.4780619187892	15.4867088307466
ISG15 KLK3	-3.63864554227995	18.9966336878332	14.9437598032046	-1.85490247614418	18.9909967270317	14.1381375747356	-4.30027438889823	20.4869392218481	15.8116622025531	-4.587664549279	20.0916938427457	15.6338568726599
ISG15 KLK4	-2.37764134707543	19.5666734143996	15.4281639937482	-3.13161624496926	19.9797286487742	14.7763145429606	-3.48632585377266	20.1803096673917	15.7810890080214	-2.91353809465051	20.0693880624509	15.5842773661103
ISG15 KLK5	-4.48421256248784	19.6056384656272	15.2571597966843	-1.74343502377138	19.441790789591	13.1842739519245	-2.69505624054206	19.998897166955	14.9106133804403	-3.66878167042693	19.8447109913723	14.7781925761922
ISG15 KLK6	-3.01633821522138	19.3530088398025	15.4104147365621	-1.58920853792329	19.4772475542824	13.4774271796615	-3.24872802527281	19.9485418465127	15.2805028356516	-2.45009268663686	19.8415538574578	14.8243132142855
ISG15 KLK7	-2.54018184889364	18.7019967158518	14.5928230980719	-0.692680450578051	17.8721438331342	12.7949279249226	-1.71256993074807	19.1156416548402	14.8566216351275	-1.47856534790216	18.537122976195	13.9987359793093
ISG15 KLK8	-0.921186622627699	17.3609312466821	13.4214688246905	-0.816061626320101	17.7782693015573	13.0892318425483	-1.41459989490685	18.8027751662149	14.1699229921517	-1.05749900256974	17.8825821342834	13.749105285194
ISG15 KLKB1	-0.184460252241836	15.9833625483029	11.7255942796707	-1.16426553045187	18.4349384014864	12.8996965101077	-1.00256322405683	17.7791206546924	12.9884244088327	-0.654989455652418	17.4953902946622	12.6368099462743
ISG15 KLRF1	-0.900268327319989	17.9396076145101	13.9288069436694	-3.2918768498286	19.9945070039609	14.8976449093608	-1.93750258336899	19.3188547895373	15.1020211983338	-1.85433061987658	19.2960125262594	14.7484540941361
ISG15 KLRK1	-2.26734807801678	18.4895829178186	14.333149985555	-2.86483589425008	19.6908802287868	14.2850333197552	-2.84609523424965	19.7991328552644	15.176386902487	-2.74864481302034	19.5816339068635	14.90489937628
