protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
JAG2 JAK2	-2.90027872288334	19.8072435317955	14.9289080712	-3.70860520353474	19.9711302496563	15.1152901209465	-3.01028803311151	20.1880507466824	15.6613964393145	-3.4074483389678	20.1198886980182	15.3467649162126
JAG2 JAM2	-0.330044481130973	16.4397507456909	12.989595337742	-0.0926659070428419	15.3143460582962	12.0429524782471	-0.181907772059538	16.0587522621768	12.8814202318468	-0.247521970492238	16.1350201439851	12.8882298956848
JAG2 JAM3	-1.28274435116375	19.2538805531519	14.5103101553966	-1.39672464224996	17.9639177859204	13.2428286332937	-1.54966127093844	19.3155634845827	14.7729543931156	-1.56851964112773	18.8270451412742	14.1571947064821
JAG2 JUN	-3.67806305270287	20.481207462137	16.3619129048516	-8.38889649223145	20.5889536660744	15.7177865191251	-7.69471047757584	20.7385505474646	16.7788456810889	-6.9552087103386	20.8411598953609	16.4653808830506
JAG2 KAT6A	-2.99498936854812	19.9307784247767	15.4906807245514	-5.55577892513662	19.8224645219581	14.9086001208401	-4.03245165268412	20.1635017571303	15.6002372395274	-3.90884641510522	20.0929237245913	15.4506464953292
JAG2 KDR	-0.382629088896724	16.9579280120657	12.5382307050872	-1.09876342465577	18.2470401811281	13.0139784045584	-1.01847622350124	18.0422636766864	13.4254127822042	-0.910094391159144	17.8382610702606	13.1523499807994
JAG2 KEAP1	-2.78593606231473	18.8224591434309	15.0693498543067	-4.22994032833794	19.0498342906245	14.6878183610045	-3.15994685553921	19.2194809842714	15.3049971608151	-4.16940833554884	19.6336004841647	15.4786185516314
JAG2 KIF23	-3.4340334841499	19.6781583063782	15.6291219592512	-5.51903497805719	20.2633032710018	15.3941541358245	-4.40195567744151	20.6798967544459	16.2340779829257	-5.18722036132293	20.1262580663758	15.7995536844999
JAG2 KIR2DL4	-3.52301493658898	19.7500988571609	15.4163262603036	-5.32382708234252	20.5189388597193	15.3182555251629	-5.57897458943123	20.2057934317698	15.9545444259023	-5.88905230249294	20.2434628773922	15.7104755883193
JAG2 KIR3DL2	-1.8699849557273	19.2664117507919	15.2308687625472	-10.3010903840717	20.4898152725198	15.4455733684621	-5.72619383898757	20.21471590671	16.0865802325183	-4.97961871280175	20.1247277787147	15.6970279042635
JAG2 KIR3DS1	-3.97118438589496	20.4138488406819	15.9758611957938	-13.8901016561891	21.5463493916866	16.1165843801599	-8.99489892779241	20.770703324635	16.6575582730076	-8.53734251177321	21.103215056341	16.380908844796
JAG2 KIRREL3	-3.3583005778312	19.9174540367372	16.0112731404812	-1.1699822954778	18.1104025014665	13.6135919714569	-1.38558735633873	19.4599282120682	15.1655044811214	-2.26041146765675	19.2264531411557	15.2640586742957
JAG2 KIT	-2.15001275674246	18.4744988447835	14.9189099898875	-0.321293628621849	16.8348793780681	12.3805872502409	-0.708859616254114	17.7295591197236	13.8363932884474	-0.834464117795936	17.6240793436557	13.8208235615427
JAG2 KLK11	-3.12266000793266	19.3510107007847	15.0245795707533	-6.36806853244788	20.0278345686719	15.1638594460643	-2.7366970943095	19.8403775768485	14.893133740642	-6.45123325425634	20.1986258320296	15.6917855457294
JAG2 KLK12	-1.8546220119593	19.7359116711141	15.0824441345209	-13.6916428394018	20.7215726715659	16.0260080477334	-8.1006910178775	20.9883338958266	16.8144817367254	-4.75600563739368	20.7151048553917	16.0397865047484
