protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KIR2DL4 KIR3DL2	-2.11984741422793	18.9566490118263	14.865109336825	-7.21832684768468	19.9669889027072	15.8244470533307	-4.05303356291503	19.8709039695703	15.6166262889616	-4.26355058730974	19.7690597927138	15.6402833073023
KIR2DL4 KIR3DS1	-5.11042042992876	20.2848707330988	16.5679583024599	-4.8793700332799	19.7152572504577	15.1532249559348	-6.58277620818319	20.5569307721701	16.2587972377872	-5.7740334707711	20.2993763217712	16.0948211384446
KIR2DL4 KIRREL3	-4.40475694102848	19.6823012211647	15.9482553151019	-0.510633900354694	16.4967424972409	12.5319294187427	-1.43691457382061	18.5222933883174	14.4817557692184	-1.52491275310598	18.335091298981	14.5645476315106
KIR2DL4 KIT	-1.06587104148086	17.6864945291112	14.361373432159	-0.473503722055184	16.7478835392655	12.4284814082417	-0.738984546188387	17.4885255928193	13.702259145746	-0.638088468159417	17.4962243272579	13.6026726367412
KIR2DL4 KLK11	-4.8730756730504	19.8950430829948	16.0036603594254	-2.49778784661035	19.8064643596646	14.0293792696137	-4.1532587780212	20.4769266505936	15.7226829607418	-4.16654152865457	20.3571637918976	15.7133500917578
KIR2DL4 KLK12	-1.12018889143582	18.8198813426751	14.1563075883449	-1.38345770161408	17.6638283844223	13.4769737184223	-2.6911463918536	19.1101646381387	15.1879016133259	-1.65422689710294	18.7831422279337	14.4882741686814
KIR2DL4 KLK13	-1.48067096507962	18.5102836329652	14.4116145434322	-4.59138375555353	20.1521645264331	15.4517657743137	-4.54258470015315	20.2054726400929	16.1529280373283	-3.30214045197033	19.736151900358	15.5278808430418
KIR2DL4 KLK14	-4.94932921614679	20.4027450253359	16.2367724545437	-6.91400611164746	20.3867744883317	16.0033667771434	-6.55453317518657	20.7597179821167	16.5295412662148	-6.18762965650779	20.5776248063638	16.3171215613935
KIR2DL4 KLK3	-1.9686656811713	18.9703897433371	14.7044452514436	-4.43084200652578	20.156900145079	15.8364621736224	-4.80218224111323	20.2427562235436	16.1270226819068	-3.97204032295708	19.9799495613616	15.8550814389554
KIR2DL4 KLK4	-1.59887615002847	18.3996530639485	14.685849676311	-6.09995049697225	20.2028446161555	15.116841969313	-6.58238123820601	20.1276092281033	16.0795168368683	-3.8210668267781	19.6144566034129	15.5040020283114
KIR2DL4 KLK5	-5.62723288258471	20.2108277600631	15.9893746157835	-4.98192002680526	19.9107010957368	14.82578787198	-5.67671015134625	20.4346091020001	15.7232756581466	-6.43739929780343	20.5541774715557	15.9189300107163
KIR2DL4 KLK6	-2.77270925033537	19.4782276680455	15.5748020118148	-2.57113375363305	19.346658966407	14.8180481234947	-2.70804689736121	19.8497831097156	15.7275701905124	-3.27824083531239	19.7278422799296	15.6289747179018
KIR2DL4 KLK7	-2.00309643421246	19.086060135182	14.3943904644474	-2.05653921391571	17.8786983501449	13.946101314452	-1.98500099360913	18.9359733487479	14.7926803341108	-2.29426800982518	18.8645436680538	14.7156541844431
KIR2DL4 KLK8	-1.52850215646884	18.4116003982693	14.1447743031427	-2.87193614713533	19.2580866038146	14.6532891925502	-2.17443714925139	19.6073828958049	15.0139187518668	-2.24897184932047	19.0180490805771	14.7241282814072
KIR2DL4 KLKB1	-0.0414719928808938	15.6915521826692	11.9446024343398	-1.03490025509829	17.9487095753267	12.7311790604093	-0.689683766801066	17.4036338705835	13.204714529259	-0.524747131932798	17.0830436492674	12.7074988508211
KIR2DL4 KLRF1	-3.78921047894614	19.6697330184978	15.8637542370308	-3.99568259465118	19.8157971872261	15.3220514768682	-4.20344154163936	20.1032398536675	16.3125064251282	-4.60582091236495	20.0047900286161	15.9664802865586
KIR2DL4 KLRK1	-2.12259848459805	18.7705512698447	15.073534145115	-4.59477559989297	20.4393519867997	15.8327399671908	-3.43348617333469	19.7833062552155	15.8017154132733	-3.4322329326224	19.7256093900586	15.7558976832645
KIR2DL4 KNG1	-4.79530464310853	19.7871702884849	15.7206913645514	-6.5480914954897	20.3190079967436	15.602161187137	-8.14282016692859	20.7062068556616	16.1327220017389	-6.61749470381614	20.462396738105	16.099428265933
KIR2DL4 KPNA2	-5.31145618390248	20.3010641410905	15.9165842473478	-7.69387021648266	20.4378183738406	16.1563163457631	-8.32650325721333	20.6307244628404	16.2965139168896	-7.43932198840289	20.6480224313143	16.4382913573725
KIR2DL4 KPNB1	-1.17963157177674	18.7695007834061	14.1979441419012	-4.83870433445021	20.2658313296074	15.4325512279754	-2.65266061232501	19.9164042341005	15.4822900169631	-2.65449342035726	19.7661127960818	15.2888488611979
