protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KIR3DS1 KIRREL3	-2.99920195886556	19.8802622665736	16.1099393503034	-1.4193376631617	18.7966303560029	14.2952289280642	-2.24278083671338	19.6439509695833	15.4569934219006	-2.58941144892988	19.5458353247464	15.5756609649921
KIR3DS1 KIT	-0.807180962614401	18.4483048117728	15.0020804752202	-0.455517610742752	16.7416896235648	12.2491071515912	-0.845479282076803	17.8955380574057	14.0133341449048	-0.746706423773864	17.7339074032042	13.8107531438978
KIR3DS1 KLK11	-5.14597733502178	20.0953831808424	15.7712349633317	-5.04871466258795	20.1776698900053	14.6767233852701	-5.7875274289925	21.092385365542	15.9363653444972	-7.52491483752397	20.7956342622356	15.8792474851803
KIR3DS1 KLK12	-2.28740547140141	20.1419631875932	15.7827125795809	-9.60681614541278	19.9745373872256	15.452120599959	-7.57203022410884	20.7191662421508	16.5054882507741	-6.0600338777471	20.5715538639632	16.1779110280318
KIR3DS1 KLK13	-4.50177691362869	20.0364461026095	16.171741583651	-15.3049005099416	21.4809134812346	16.2421927102501	-13.187055865464	21.1225967445485	16.7683429239856	-8.25031050151319	20.8647913651754	16.4637017861864
KIR3DS1 KLK14	-15.5265950147948	21.1290084526438	17.3024359198764	-13.4746382044807	20.9453864587179	16.2261221190078	-23.8011045357293	21.3300572304671	17.0197716566764	-19.0291607698197	21.2775985978553	17.002923227063
KIR3DS1 KLK3	-1.86306713910353	18.6184043925229	14.8723352162907	-5.72529242737211	20.44038887813	15.4550000933816	-5.93640562690696	20.5616132402133	16.1611672190824	-5.53843786875202	20.2717581700657	15.977143188945
KIR3DS1 KLK4	-2.64262629221668	20.0691616162377	16.2535718671683	-15.3925920828151	21.1286900861651	15.898678226583	-11.3488578457206	21.0849153090156	16.7047481408926	-6.41070253057183	20.8370621152734	16.3317676313426
KIR3DS1 KLK5	-8.05960505649645	20.3677064530127	16.500549777811	-4.92114492576605	20.7525395679662	15.121665247756	-6.19192856763587	20.6594555258572	15.9542158030779	-8.21523772570397	20.9041615512194	16.2298879085186
KIR3DS1 KLK6	-4.13087929923646	20.2690347694799	16.6746489717144	-16.1068754658886	20.7466975254541	15.9693870489636	-6.69768968423853	20.6486407343072	16.5120111139237	-9.50310110827546	20.8074564351629	16.6389051596772
KIR3DS1 KLK7	-2.07266296391537	19.4563750269292	15.1618042437876	-2.16990624694241	18.3031871488576	14.0100989355476	-1.79565484138316	19.0594878066376	15.191982695375	-2.45144883635551	19.1442751073559	15.1276840535558
KIR3DS1 KLK8	-2.31626435351069	19.2202398487542	14.8719472657008	-3.18772641108501	19.286590017487	14.8095621363842	-3.38832060903421	20.0263950100334	15.4922494634084	-2.93132852819169	19.5534708420256	15.1526826293098
KIR3DS1 KLKB1	-0.15269130794678	16.1202055574749	12.1746572781945	-1.19493987233619	18.7133776259025	13.6019788614553	-0.754123523035236	17.8749536356168	13.5345790052161	-0.706464434721519	17.6754494355531	13.1283270808242
KIR3DS1 KLRF1	-3.11189271231648	19.7770391289032	15.6121846400854	-10.3073891819847	20.9850049786699	16.1570428142946	-6.82557411677139	20.3222931986402	16.1297583687909	-5.40428177075113	20.5012581511332	16.1631619400567
KIR3DS1 KLRK1	-2.57084477123371	19.3061845267649	14.3384384157904	-11.6855768237947	20.9488437061597	16.152047467098	-4.68234708764389	20.2400959075381	15.8690545997931	-4.98317160807505	20.2341031135456	15.5532501650407
KIR3DS1 KNG1	-10.3634927251174	21.0213589233258	16.4961555592093	-21.1124935234398	21.2741874043385	16.2996303608708	-11.2415424954937	21.0696053656219	16.5312008962668	-16.6029877906749	21.3401456909491	16.7197237590478
KIR3DS1 KPNA2	-5.76456872465087	19.7004774182676	15.8581278083812	-13.280039810956	20.6976083242605	16.2241048103678	-14.2751808730089	20.9867815683181	16.7813843602775	-11.2859560484649	20.6633173652165	16.5861570924717
KIR3DS1 KPNB1	-2.25330106125595	19.0321164782195	15.244258550344	-6.98907913988264	20.6480097651466	15.420184035444	-3.58530688203946	20.2910934150761	15.811047262296	-4.18086581500008	20.079405938389	15.5955744521939
