protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KLK6 KLK7	-2.24377437454871	18.6813529898112	14.7028365974251	-1.51636967632758	17.6023567949652	13.4040677776173	-1.52065344902423	18.8080954034979	14.6775298915919	-1.95748274946046	18.5178242513102	14.5253452502644
KLK6 KLK8	-1.49797768332574	18.3598369065232	14.4664993511424	-1.11115034082746	17.6747041242479	13.47558722016	-1.31740233165428	18.6927619849139	14.4331397825515	-1.69161790362325	18.3899443638629	14.3476288703737
KLK6 KLKB1	0.0315946468704752	14.8483086545106	11.7905116233749	-1.11542139948265	17.8909293739384	12.9284982136131	-0.390595313928407	16.5638926010231	12.6489103434026	-0.545754461988861	16.8316251053284	12.8237881979045
KLK6 KLRF1	-3.30704194771009	19.7279472177726	15.4193151725632	-7.60132115565018	20.1992810966366	15.7746268672873	-4.69295907977981	19.8949365180949	15.964973384837	-5.82238115070472	20.2412878885597	16.0520060183253
KLK6 KLRK1	-1.65422318283613	18.3723138551072	14.5181833880771	-3.34100329645969	19.2435435953186	14.9047896523476	-2.01948383265214	19.1715666418569	15.1664814872865	-3.06331468868902	19.3601117671831	15.3652568943023
KLK6 KNG1	-8.09130011681829	20.4036717353145	15.8779529309194	-23.5549264217203	21.2071136440546	16.3537965940752	-17.8409271066174	21.2471924700199	16.5347099243682	-19.0415017588462	21.3252837237175	16.6018866327319
KLK6 KPNA2	-8.42767434926332	20.0455998314753	15.7366428430617	-7.8071908012754	20.2315764732798	15.8877379659752	-7.67171424119933	20.5093352402512	16.2540491988704	-10.9933823629169	20.580266659659	16.406038936562
KLK6 KPNB1	-3.22349444479008	19.329586904565	15.2433202464167	-8.16922351612535	20.8757060466718	15.5627403986081	-4.26879526429792	20.5433799796078	16.0906475191463	-6.70241643631655	20.3552617336941	15.8584665627617
KLK6 KRAS	-4.23112273735751	19.7717829831101	15.9744331077186	-6.40696015780025	20.1752651732979	15.4296322524958	-7.54232915347431	20.6693711958133	16.360383455968	-6.38948390645636	20.5068328445306	16.3368703867165
KLK6 KREMEN2	-6.81286354111217	20.5879981815485	15.8314695191152	-1.72104489227278	18.6409688520097	13.7017273385284	-4.67809846776185	20.1751286546017	15.7885925170356	-3.93088975632138	19.7948353208446	15.2447745463361
KLK6 KRT18	-5.89356548459913	20.4743668427306	16.1258289067909	-5.24775069934675	20.7970552220385	15.2735913970843	-8.7031270626303	20.7487680256417	16.3028415986746	-7.51188708795558	20.9222199207997	15.9836778263089
KLK6 KYNU	-8.8379339843097	20.6591570563846	16.0600094930527	-2.03440295891259	18.5179732271918	14.10104884095	-8.1492862738887	20.6446989104863	16.2885854718918	-5.06668451599177	20.0433232895599	15.5753824646019
KLK6 L1CAM	-2.25976157985745	18.8732205100876	14.3535468733521	-7.29479412343059	20.0547604102726	15.0645929231393	-3.42718601836893	19.702634855976	15.0432175187356	-4.82561934246978	19.8507867753618	15.173399107238
KLK6 LAG3	-5.85316198771246	20.2504142472748	15.246334764036	-6.88443062225169	20.5231612656254	16.0995364441301	-6.10534509416684	20.5809297434865	16.1705058805734	-8.20795576100451	20.7923733972112	16.2271998655433
KLK6 LAMA1.LAMB1..LAMC1	-4.28739180607794	19.8787408213355	15.4518658475576	-1.21603844722014	19.1554659625891	13.4732036927547	-2.595854154286	20.1298611746312	15.3830003690587	-2.32191503385568	19.943413486926	14.8900521349059
KLK6 LAYN	-0.0567937279194879	15.8394893646492	11.7274036725267	-0.257925554651432	16.0459558544929	11.4907784104378	-0.17274137817488	16.0129334703655	11.8356045899104	-0.166354258392192	16.1940196601388	11.903362250764
KLK6 LBP	-4.35985048358122	19.8442088163754	15.6042398450571	-7.32126914503807	19.8855825793626	15.245143429179	-5.9246983941621	20.6318106078761	16.1953971463541	-8.31489688112949	20.414074893855	16.0609547843
KLK6 LCK	-4.61027357409531	19.9109418586357	15.9961807706567	-17.6426641967213	21.1650342080829	15.8437483366268	-14.0375185997437	20.9885407438063	16.4298887267019	-12.733182010114	20.826611252974	16.2618221677791
KLK6 LCMT1	-5.12481069548883	19.9850863394386	15.950829283029	-3.33912761751651	19.2136130728903	14.9376426659547	-4.55206639757236	20.2160916078619	16.1322958401139	-6.049279210843	20.1550030289456	15.8482682591715
KLK6 LCN2	-0.157366165644553	15.6927738458027	12.6438281366707	-2.64374752384658	19.2073287874334	14.1189455094159	-1.41172157808297	18.2847905634291	13.9163468849857	-0.935616759219513	17.812864704414	13.6712894381091
KLK6 LCORL	-2.76444984662618	18.9282742494537	14.911725331068	-7.31584139174216	19.9150833977464	15.3534273388597	-4.15012411859642	19.5618101968694	15.2726177803259	-5.13030095134335	19.7254314537235	15.4389775105518
KLK6 LDHB	-5.94657749078506	20.2276631988201	16.0975041697339	-0.865169681231609	17.2798780985317	13.0813280938594	-4.07223249306334	19.9672423086163	15.9377389696931	-3.2186200535301	19.3196983808547	15.1030543962614
KLK6 LDLR	-11.4953107160789	20.6379742293327	16.6493659377621	-15.688460691802	20.8033902829964	15.7617345383068	-16.0498187246291	21.1275645466687	16.7173284156102	-16.174770832669	21.0016134343924	16.541048095452
KLK6 LEP	-5.92309345565549	20.4154246300521	16.2371027023919	-3.92728371054457	20.2028145858088	14.9169022913536	-7.97509552727113	21.2387992253253	16.5524613959461	-6.54166672452192	20.8522501533358	16.0128724719408
KLK6 LEPR	-7.9741789482776	20.6786143164648	16.3149233866869	-23.2920110515781	21.1981175801467	16.4537238970637	-19.7788665155327	21.2362786250011	16.9270736533059	-16.0859291435207	21.2230162302434	16.6428124848179
