protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KLKB1 KLRF1	-0.0178338513551377	15.0219737496307	11.4393693707069	-1.07829333851986	18.2025003441707	13.03333071112	-0.520528337862396	17.0187604486365	13.0785994238657	-0.537445934039903	16.9172540372504	12.6059328039664
KLKB1 KLRK1	-0.153162362672983	15.7385138983506	11.8590086098071	-1.42640055150824	18.9325746123043	13.1057956452405	-0.612424898520802	17.5868663756834	13.1636822290806	-0.642665640380696	17.4134094494998	12.8521159237231
KLKB1 KNG1	0.0628463205239005	15.3418277158847	11.3245728722467	-1.17158150652853	17.7889997428193	13.4141895619318	-0.592118631162709	17.3206939346906	13.0970134583091	-0.566622718873282	17.0440433858195	12.7101422382982
KLKB1 KPNA2	-0.125619806025888	15.6661402690379	11.8332734092388	-1.48981454157718	18.7505074091927	13.4372539518211	-0.921017654170492	17.9864562571476	13.2868292059983	-0.717527681418012	17.6017672487026	13.0661927244903
KLKB1 KPNB1	0.216062752568642	13.9678949020986	10.6014588038801	-1.32883127283611	18.0700851889726	13.0103929612486	-0.59545604743258	16.6763601849031	12.6893784402527	-0.45910518570823	16.549654797601	12.2659672316262
KLKB1 KRAS	-0.0450954186681622	15.4037499836182	12.0496838572741	-0.895693630755643	18.1386072802707	13.0229900069484	-0.572971724953189	17.109930391362	13.0590851746307	-0.390241548956996	17.0539376906007	12.9253107705389
KLKB1 KREMEN2	-0.12343934010062	15.8053545312947	11.5231660011799	-0.626103768953472	17.0072320381997	11.9633258368179	-0.829886854101399	17.4102072547104	12.9371478394197	-0.492519224942551	16.882412617024	12.3397888813492
KLKB1 KRT18	-0.239237001487065	16.1097799522758	11.9461256785951	-1.13734357186894	18.1759404415743	13.095698179095	-0.740081029605414	17.7607270138431	13.0586757088515	-0.701813957166625	17.3711242184638	12.7707281653742
KLKB1 KYNU	-0.116480996306595	15.6804045584349	11.5779932361821	-0.861178305774235	18.4198652984797	13.055180081663	-0.947364130523028	17.9715164902162	13.2586131521002	-0.538323211644379	17.450722557521	12.7116760049064
KLKB1 L1CAM	-0.191538721825726	15.9397830160458	12.0245710509847	-1.19343526730475	18.4914749838476	12.8334613267644	-0.844614564184829	17.6465351369053	12.7848801962124	-0.556866481198008	17.345347892966	12.5842971753648
KLKB1 LAG3	-0.230004829922307	15.8608216461617	11.7342336649831	-0.920499870296962	18.1862805749457	13.1652953420557	-0.707062340899431	17.4352690646995	12.9911515354055	-0.645540459495616	17.3190852295724	12.7766964017739
KLKB1 LAMA1.LAMB1..LAMC1	0.134986311220278	14.7382477728515	11.0263150632354	-0.15880807678752	15.6666066740393	11.5025906298199	-0.141106888023769	15.8254158250852	12.1541790527106	-0.0168356773249136	15.5090942276779	11.4832452670675
KLKB1 LAYN	0.17902591514778	14.4938512206841	10.7448579729255	-0.0798660577502046	15.5820109845523	10.8385237056091	-0.0158010877266634	15.5242399355559	11.06673594536	0.0173227022430003	15.2270605526304	10.9781075506013
KLKB1 LBP	-0.347919968859626	16.3261544754406	12.2434145152082	-1.50653306602908	19.0531546558063	13.6347519873807	-0.937229147799442	17.9468819784528	13.3816816351969	-0.808865160964806	17.8836444438705	13.2115420535391
KLKB1 LCK	-0.217326366940362	16.1283173629627	12.18845471959	-1.44304117860397	18.9510488388994	13.6953374890805	-1.10983743062687	18.1659529337435	13.6656249619774	-0.912310079565774	17.7965033431529	13.20031115212
KLKB1 LCMT1	-0.0905498237426252	15.6455213827201	11.6809676707179	-0.952717112063629	18.3871096284723	13.165527785029	-1.21722212888863	18.2823843988352	13.6248705890114	-0.596915259659368	17.381363454438	12.7450062200447
KLKB1 LCN2	0.168244213327489	14.4495711733419	10.461838232837	-1.14600521212839	17.6045619574946	12.6930654720562	-0.395904096121887	16.408980878233	12.1058959036044	-0.271628691289478	16.1903839568727	11.8180995683404
KLKB1 LCORL	0.296487399017939	14.3159111606895	10.6860146083994	-0.618302180831184	16.5101458492688	12.2872594989654	-0.101865160255238	15.8074688100236	11.8900046922185	-0.200066404836693	15.9577539222493	11.9952376096687
KLKB1 LDHB	-0.345097700225413	16.3173690251047	12.4686425153533	-0.677657566095105	17.330391051946	12.4179948952055	-0.807256452602462	17.6992366516972	13.2808311436337	-0.549919802264787	16.963694542496	12.68437837277
KLKB1 LDLR	-0.231645691640115	15.8088907599312	12.1790580391411	-1.26936645195704	18.5097902212998	13.1632724008114	-0.687513238919353	17.4349624827609	12.964675488642	-0.766561193794552	17.5325689688967	13.0155352226419
KLKB1 LEP	-0.0962868237797767	15.4659829426944	11.8548475447701	-1.1924886974243	18.0633880001226	13.0193837733005	-0.755691366787026	17.2427236981656	12.9754104754027	-0.77105308588613	17.1523381420602	12.7611995301304
KLKB1 LEPR	-0.345358134426828	16.6148245867202	12.6374943318908	-1.13826196876076	18.4428891811649	13.068801774037	-0.781820650629721	17.9140631308484	13.2840294996111	-0.759712539593328	17.7876630411565	13.1713903648502
KLKB1 LGALS2	-0.30191308746064	16.2553782597205	12.3612563428471	-0.655832234830712	18.3120662896064	12.5230029135823	-0.879541712238491	17.8706147876074	13.2679396876624	-0.622665368716271	17.5026392851823	12.7737758640458
KLKB1 LGALS3	0.222837765948603	13.7941976610315	10.4275213152753	-0.920807282363131	17.9806092798103	13.2349250774529	-0.668859968828772	17.3593490179659	12.8291566685915	-0.332397672602586	16.4034904202831	12.1368438039394
KLKB1 LGALS3BP	-0.123810725962823	16.0834988348312	11.9552751049089	-1.6374761657813	18.908916733091	13.4624389832542	-0.828444983040423	17.8569597588128	13.2532851472995	-0.698557265569583	17.8156587692731	12.923469203958
KLKB1 LGALS4	-0.157672403871061	15.8539671301617	11.8234422271868	-0.269379652144664	16.8522237296439	12.3188349220992	-0.563111827122747	16.7994319046368	12.8653386419554	-0.294023347825931	16.5878714332855	12.3678992955554
KLKB1 LGALS7	-0.133624820063457	15.9156512294293	11.6670536255811	-1.01364926680728	17.652472076422	12.7535208671158	-0.679286187695049	17.3092326554998	13.1123696564532	-0.604972484441482	17.1719052475785	12.7056069887122
KLKB1 LGALS8	0.00599548865197941	15.6223172627312	11.3646980945294	-1.26597391826937	18.4796503499231	12.8463920660533	-0.723383002960793	17.4423795506188	12.7681685721109	-0.602076011889381	17.2406896718694	12.3835849492755
KLKB1 LGALS9	0.0971903977476043	14.6183780208596	10.9795889899893	-0.665654413661949	17.3215892732377	12.4328946403892	-0.428886547757126	16.8340568581155	12.3866863920739	-0.305648711487766	16.5195923692287	12.1209163388424
KLKB1 LGMN	-0.0552111586200419	15.376104190291	11.5091418833267	-0.840257878745786	17.3621397769842	12.4330402138685	-0.792218412871009	17.5860061731656	13.1124194235431	-0.481605215637594	16.7328362786687	12.4004059409653
KLKB1 LIFR	-0.160661288706251	16.0696538570436	11.8735411732315	-1.0646722984488	18.239329225082	12.8638565225778	-0.849903325796328	17.5398326545882	13.1848447500647	-0.510329207212949	17.2106761932255	12.5676758523837
KLKB1 LILRB1	-0.296571316276825	16.1767071573608	12.1996897061962	-1.78099813265533	18.5189978050878	13.1109234693911	-1.09421263402233	17.9535109297297	13.2137073783956	-0.771085884142861	17.7705040067576	13.1549598618944
KLKB1 LILRB2	-0.319229392487845	16.0008579775296	12.1516380662229	-0.433735643565131	16.5829065937769	12.6493245141761	-0.706028469601441	17.264900458914	13.0493361377308	-0.489739070683236	16.8317998508644	12.8556650526962
KLKB1 LIN7B	-0.0890796201625916	15.5687792437038	11.6382274099331	-0.723967560826361	17.6555691374854	12.7736863322652	-0.446872019180731	17.2711693044933	13.153251716226	-0.409510480645986	16.9277051720112	12.5217784712031
KLKB1 LMAN2	-0.318946590257742	16.1988772495273	12.2844090541877	-0.995112792106376	17.4864328535375	12.6386981153028	-1.08438937798087	17.8516598546231	12.9949226281346	-0.685353055280536	17.141001245275	12.6813223223355
KLKB1 LMNB1	-0.135290491139803	16.0204623639206	12.1453734566107	-0.365371106911681	16.1647558745536	11.9542954232835	-0.640704207802892	17.1147732323195	12.9049187524394	-0.373003524542065	16.4914806364495	12.4549124021206
KLKB1 LPO	-0.0290859529342942	15.5349680768251	11.8020268620828	-0.908816583008597	18.1684263049084	13.0135766641373	-0.401071859303573	17.1586803518935	12.8450792297929	-0.47621352264268	17.10930655251	12.7020733148886
KLKB1 LRIG3	0.0375113799625646	15.2423171344425	11.8234924809146	-0.737809508199482	18.1876292427445	12.4389878383876	-0.352255672050977	17.0869999251683	12.512287386695	-0.250479411716144	17.0542415283262	12.4440466722403
KLKB1 LRP1	0.0815785525736186	14.7851170200151	11.221594335487	-1.15954428054057	17.9958549123731	13.0469401170713	-0.50238508105135	16.9732571843604	12.8138066587767	-0.451571211127677	16.8293714984947	12.5050436716327
KLKB1 LRP1B	-0.324233302553628	16.1327614893551	12.2256110604395	-0.975837353427467	17.3836756330389	12.5875520517447	-0.869831975406804	17.6505265023664	13.0369690637704	-0.795506715854198	17.2689072282646	12.847404360845
KLKB1 LRP8	-0.217810744957492	15.9364153258496	11.6466432857408	-1.27455265566782	17.9779021468812	13.2098268379031	-0.897664657106254	17.8246330026327	13.268929177889	-0.719635347585042	17.3137820742817	12.8004261197081
KLKB1 LRPAP1	0.220355528698494	14.4841974574921	11.1474299457563	-0.403326654926218	16.3284342640635	12.1278378240011	-0.19221454847671	16.3317701723668	12.4950428293345	-0.090363507868461	15.7866015371328	12.0342809758704
KLKB1 LRRK2	-0.428980347573574	16.6285638569196	11.74489316002	-1.38371720977214	18.6058683776139	12.9695486547326	-0.964736204238986	17.8874674047551	12.7462356272041	-0.897206836828578	17.8411212355971	12.6495201190364
KLKB1 LRRTM1	-0.15784726899841	15.6148328238369	12.1141684621819	-1.87415883867531	18.5785704679206	13.3704437355115	-0.694709898233219	17.6416520184124	13.3062030902046	-0.753386057870079	17.4146770137404	13.0394863599043
KLKB1 LRRTM3	0.0235242044480252	15.5765916689146	12.0869575692531	-1.0494746010466	18.1676739772721	13.3597296401809	-0.769926584318262	17.7245920291115	13.4166928420586	-0.534792083518701	17.2291657371189	12.9785135725306
KLKB1 LSAMP	0.0283247591159029	15.220379845141	11.0139585812306	-1.39448364645564	18.2666806560574	13.3295436247485	-0.871027161279234	17.7135334329595	13.077026231132	-0.504366691897797	17.1298556515298	12.4970538216915
KLKB1 LTA	-0.0427307240132395	15.5835543629293	12.003834097392	-0.998149549321083	17.714261541671	12.7515387595652	-0.642985558410626	17.1858759551248	12.9661953578602	-0.51432965919939	17.1163350815491	12.8039620557424
KLKB1 LTA.LTB	0.0872738353166728	14.3527355913919	11.3376657667398	-0.385783233799484	16.5240116263239	11.9711659398662	-0.504911319476235	16.764656961514	12.9578199191466	-0.286277632422109	15.972696424385	12.1526318417902
KLKB1 LTA.LTB.1	-0.222175157795795	16.1164503317592	12.3062296438311	-0.756093569696747	18.1811291110027	12.9878727711695	-0.870752628576233	18.0075713244422	13.5786284421838	-0.556965744987694	17.3602038377403	13.0039574779008
