protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KLRK1 KNG1	-2.05461882683523	18.9347452324264	14.6403468312954	-5.89954171302001	20.447023801119	15.586252874883	-3.20670578352096	20.0545637375065	15.4882223836455	-3.90548564520718	20.0490581407104	15.7091217615655
KLRK1 KPNA2	-2.17991517637611	19.319517927448	14.7039263162707	-6.30460382695585	20.0866363336775	15.8222588784307	-3.64259304361038	20.0264341303457	15.7216724342944	-3.83216432018853	19.9476884973562	15.6214323303547
KLRK1 KPNB1	-1.0726223573996	17.6069414570854	13.4126756180593	-3.65918915609038	20.0449651374566	15.2594280993943	-2.394538892441	19.6129245569151	15.3854315759454	-2.49726837237597	19.2782006503268	14.9497087991405
KLRK1 KRAS	-1.15225629883096	18.5753029969319	14.596588647312	-1.75230072511776	17.5557800541799	13.7760275886603	-2.30617626674612	19.1045750675473	15.2573041905741	-2.52619227346643	19.340141355664	15.3699116045672
KLRK1 KREMEN2	-1.74900247695603	18.4941154130733	14.1762317456934	-2.37946669062556	19.5665217861727	14.6865236844356	-2.4733149286883	19.6101247467684	15.1200013618698	-2.42008602654696	19.3695176156379	14.9115332531334
KLRK1 KRT18	-2.20369912331303	19.3268242131475	14.8602054568239	-4.00219357301757	20.3363759694693	15.3958042375963	-4.30574576467651	20.081878488042	15.9083431021008	-3.94593800290958	20.2021757669598	15.624870938716
KLRK1 KYNU	-3.73499550402911	19.4040785834466	15.3653966318861	-1.97604104960658	19.1819890096273	14.5554407171752	-2.45555854607543	19.7995395966865	15.2262579543455	-2.7833684856948	19.6025825209834	15.2726050764887
KLRK1 L1CAM	-2.13711817917579	18.9791769074164	14.5985580734379	-3.8653065692437	20.1317277127184	15.1444235462976	-2.13060467064016	19.7864194952777	14.9863792052384	-2.63428639151651	19.8188261709315	15.0633472271768
KLRK1 LAG3	-1.48828537882552	18.6237813395507	13.692145744932	-2.31740457014894	19.4491776668473	14.9631907891977	-1.46665675815805	19.3316460695985	14.6328983718082	-1.65188852835314	19.2456397025889	14.7793495161583
KLRK1 LAMA1.LAMB1..LAMC1	-2.32279042306684	18.4444578910344	14.6908115018629	-1.14971288039877	18.6620482426077	13.4164307558314	-1.85912880848248	18.8474198994051	14.8065412917313	-1.395106357426	18.6038726259217	14.3297448328885
