protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
KPNA2 KPNB1	-1.30845003966729	18.2926651180502	13.8111793666903	-3.68414311162004	19.6594885389759	15.101723407093	-4.11112920378569	19.9671841615147	15.7462844235598	-3.10542587781039	19.2807683534062	15.2513112974936
KPNA2 KRAS	-1.34956818041656	18.8471440619797	14.5042932277655	-10.0862548390935	20.4928944645679	15.7529469616126	-6.89445378370117	20.3308440933451	16.4599413892814	-4.17767278870401	19.9857824744834	15.8599155368
KPNA2 KREMEN2	-5.18439186975903	20.8447081402206	15.078434087038	-2.59458849258868	19.9438295610932	14.7812778315759	-6.98319186473571	21.232373384203	16.0035119823675	-4.7222306418486	20.6611023960217	15.3556121160348
KPNA2 KRT18	-4.57268650046641	20.1734369228401	15.4281440248089	-5.36302093246878	20.9130014204909	15.9117431027817	-9.34490721862814	21.3313364976094	16.5452703282489	-7.49661862093874	20.7736121048055	16.1142218465309
KPNA2 KYNU	-8.4723161024555	20.7432753734147	15.9799622211175	-3.48375891243136	20.0448656610477	15.211489140954	-13.7323755460246	21.2465835204769	16.6384538046978	-6.15289376276939	20.7545817508939	16.0234064623766
KPNA2 L1CAM	-3.77297957881745	20.1628464267613	14.9426273237291	-2.61754915589751	20.3730863326193	15.0005399673225	-3.70352172379526	21.0270400797942	15.4822808023154	-4.55440926400634	20.649169935657	15.656413357281
KPNA2 LAG3	-5.94329053126069	20.2280729257649	15.6033667945531	-1.43858689922401	18.9578057673301	14.7794668342266	-6.97682274378775	20.5906394526077	16.1134603724696	-3.36784842136631	19.998945293351	15.5766562206285
KPNA2 LAMA1.LAMB1..LAMC1	-3.81424156630525	19.8971739556707	15.245147449492	-1.12597897879297	18.545833364849	13.4743426164428	-3.79717921974463	20.2753998530207	15.6953956914627	-2.78333331968768	19.9594432546233	15.1084304025377
KPNA2 LAYN	-0.403871192098847	16.3399277995601	12.3851588339141	-0.0635605412870592	15.4764940366218	11.244157220655	-0.277481332934943	16.4142504055124	12.2885423032939	-0.160218613260102	16.1503290638515	12.0665063550956
KPNA2 LBP	-4.10706798847864	19.8673757222062	15.4018313238777	-5.12742677718119	20.8074973130536	15.6559505272982	-7.29506004374466	21.0765971238162	16.4055899283199	-4.83578768125941	20.6876161468878	15.9039128548624
KPNA2 LCK	-4.05925097164728	20.2042565702165	15.2440274204209	-12.9091642997461	21.4035056956047	16.1996466435652	-13.6807308952358	21.0461853939094	16.5326446587361	-9.40735868388641	20.8705967081546	16.1920215087218
KPNA2 LCMT1	-4.78115625623385	20.7620291509979	15.6599181817654	-3.35233111239558	19.4119388590279	15.2982302566566	-9.04138712387857	20.9066898879436	16.4262821825044	-5.46080318077336	20.4925725171311	16.0228409412788
KPNA2 LCN2	-0.252153926466925	16.0326850455709	12.3211063563525	-1.85941472185996	18.8652775150082	14.016680145826	-1.19878866136913	18.2220804142949	13.8981408894803	-0.802559659833858	17.7124807113484	13.5222183586979
KPNA2 LCORL	-2.04228709238523	17.9060619652393	13.6952970361352	-1.43371261783351	18.4211534446185	14.2754834229006	-2.42259533007758	19.0887735730881	14.8468081956173	-2.12808972473257	18.8108112536048	14.7163339916248
KPNA2 LDHB	-6.39351513776263	21.1711079375831	15.7024956485405	-2.16477179092444	19.0470038550045	14.4684496919197	-5.43872968186217	21.1385671418903	16.1570205991225	-4.62660110233796	20.4243846808301	15.690225809336
KPNA2 LDLR	-9.09514979804092	20.7606495882664	16.1972639403975	-8.7476512296955	20.4392098583764	15.7653195569571	-8.48942838388901	20.9612175914893	16.5247377361393	-12.833421206697	20.8917814372813	16.4079847592677
KPNA2 LEP	-5.50444234204362	20.837930601054	16.3763504783752	-3.97535366928665	20.2118802848522	15.0720178400857	-9.54771165080075	21.141739932138	16.470059687653	-7.18203528114708	20.824762553035	16.0638782598817
KPNA2 LEPR	-13.472210235977	21.1697071711714	16.4004272549729	-12.9058336816523	21.0308871590926	16.3744876073498	-25.8454397312738	21.5762504686587	17.0794809561349	-14.923787830208	21.2374090592536	16.7298359845849
KPNA2 LGALS2	-7.9841660989789	20.6145205084253	15.9435588433384	-13.5497384039945	21.150614913189	16.3329682131485	-19.7125059796676	21.3208155207716	16.8910605904388	-12.6055304388542	21.0883667574669	16.5148917318073
