protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LAG3 LAMA1.LAMB1..LAMC1	-5.60803638652911	20.1846557553711	15.5422869872795	-0.876279667790907	17.0631515378099	12.8671590029452	-2.918332828627	19.7654522443726	15.3022659947818	-2.51802035684061	19.291036665194	14.6764131690158
LAG3 LAYN	-0.174931654259204	15.8773381528844	11.7584929080452	-0.369014868580143	16.7199574559823	11.9530673127958	-0.31463857889906	16.6069991104413	12.3207122161802	-0.339836944983148	16.4913466394632	12.1492180913377
LAG3 LBP	-3.58932788772511	19.3147884875773	14.5990226828828	-7.89787006299412	20.3038651855122	15.708837931627	-6.33384124298306	20.2583344646076	16.0537425946134	-7.18160235572688	20.3765879188305	15.7725712133884
LAG3 LCK	-5.26754873953345	20.1583447815194	15.1616166097416	-7.04413713446863	20.2346917427068	15.9061169570097	-9.21305865599287	20.7776651870817	16.3349892566092	-9.46298095440454	20.6457193622134	16.0836808181344
LAG3 LCMT1	-6.03885754285003	20.2043146939649	15.3764672765354	-2.03897549056423	19.9090805100942	14.8742541023416	-5.06451571551395	20.4348774696663	16.0471303457284	-4.4646832574739	20.3985467700654	15.5750854861041
LAG3 LCN2	-0.565818048917002	16.8338222016133	12.258740944411	-2.41765717430114	19.2425888312386	14.4720460762789	-1.39022734777477	18.3275765422059	13.9121926836464	-1.28710811013037	18.1991470841123	13.5788231378675
LAG3 LCORL	-1.27705409629171	18.1327866550314	13.8378994697819	-1.02614196470979	17.8844542380973	13.7511481676736	-1.22566776169263	18.3112731383121	14.1378631186585	-1.77490845277107	18.3070424442503	14.2755553491095
LAG3 LDHB	-5.17356960969159	21.1309617582688	15.7701513482781	-0.828103619965005	17.8891952253567	13.5111423648207	-2.40588754626067	20.0244201529685	15.2110196672184	-2.3043347608196	19.7851822596309	14.9270742619402
LAG3 LDLR	-5.61730763707364	19.8810658539018	15.6655433489652	-6.16693780526172	20.0554227959963	15.6311779755877	-9.7813418986083	20.4391100202482	16.2727184060121	-8.11273373402867	20.6175061955635	16.2067363181275
LAG3 LEP	-4.55352111191681	20.4438176896192	15.5426806504895	-3.11020808561548	18.9129994006782	14.5723580754571	-3.93874532799409	20.1892931332002	15.5804607783466	-4.79153178465043	20.4197578939464	15.6892093660668
LAG3 LEPR	-9.13566569226127	21.1783962257102	16.3981050528434	-7.97634465665849	20.8413694653463	16.1469849920156	-11.2412943111972	21.0724919685164	16.6980876654813	-9.92128299968643	21.1342796990911	16.5033086113781
LAG3 LGALS2	-5.0019051417697	19.7074116424074	15.1776370658908	-2.48446079094868	18.9991080339195	14.3632241101337	-6.0316437029762	20.2716654854887	15.8943656765399	-5.99949073178139	19.9847680325728	15.5256666828987
LAG3 LGALS3	-3.4404431939077	19.3738121007709	14.9623042250642	-5.39151323012887	19.5930205640268	15.4924812811245	-7.35595689007102	20.7740932877048	16.3118059232077	-5.2710624840717	19.8159194919134	15.6225504582105
LAG3 LGALS3BP	-4.34695935228918	20.1810846621281	15.3003235911496	-13.4252743134271	21.3024092428653	16.2645263837156	-9.04255539806404	20.7004531864858	16.3434659646213	-8.42753869364845	21.1013690295097	16.2266411404628
LAG3 LGALS4	-3.20161213864213	19.3220135281975	14.9243076129556	-0.545553490046454	16.7984580986176	13.0634508557038	-1.33461235749361	18.5803401455407	14.3765473150398	-1.64646949818905	18.5509144321424	14.312534242431
LAG3 LGALS7	-5.22353354741813	20.2478174915207	15.2044018418796	-1.78810343152492	19.1470089517976	14.7126520963476	-5.08250543502388	20.1336963314803	15.81250994647	-3.21151447513837	20.0153003046472	15.4848209253656
LAG3 LGALS8	-2.65036870728218	18.795300654083	14.609294156155	-9.49766721112358	20.563529818087	15.9658899810454	-5.21969193203871	20.0447484286411	15.6156186289502	-6.60499956362392	20.3356558866454	15.8522944052485
LAG3 LGALS9	-1.1809938448178	18.3041080191084	13.0341966193447	-3.07529655237317	19.4525537075044	14.8022822571208	-1.70166594024966	19.3509294604884	14.804136774457	-1.81763967305321	19.3784758230778	14.390998099966
LAG3 LGMN	-6.410924835262	20.7350760372473	15.8672612336784	-7.38637528326132	19.924815719036	15.7165937230266	-8.47671870242818	20.6471444765372	16.1470628287491	-8.5446221192567	20.6818834899097	16.1356152630729
