protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LBP LCK	-5.52592329340544	19.8375211667956	15.4744509755833	-9.43948610060663	21.0438942775931	15.825755020565	-5.41838511156205	20.4888102615607	15.8405435728742	-7.16137249383302	20.7456880636046	16.0607048267207
LBP LCMT1	-4.72234735280617	20.1688405179748	15.5296750512242	-5.07513716096652	20.3472641238746	15.6322977746855	-3.58490917876447	20.7012156071187	15.8047227929699	-5.26119398724276	20.7730187363297	15.9339130741895
LBP LCN2	-0.957765477553798	17.0191891146526	12.9227194059852	-2.31328270320889	19.2072598800696	14.0808862610097	-1.60131535028133	18.5924406629242	13.9726713032997	-1.4328798508316	18.2233418778109	13.733620439094
LBP LCORL	-2.11676768192365	18.7698254102171	14.6247110752566	-7.63451661107896	20.1753828667109	15.4840154952778	-2.70305114578958	19.6265809856529	15.2457344852122	-4.19195858843948	19.8173572146966	15.4232593976054
LBP LDHB	-3.35124365040359	20.8010387816121	15.5867291265639	-2.64369170503807	19.06366176726	14.4136916204088	-3.27560854025593	20.410795860535	15.2946227959896	-3.73200582679081	20.2796030922493	15.3245972048822
LBP LDLR	-6.24918263510539	20.1501140739404	16.0421625424524	-13.8184086015972	20.7314536761113	15.857061369135	-5.72241928438508	20.8695564240272	16.1246636612633	-9.50588531010864	20.9750259037541	16.3331551817103
LBP LEP	-5.99106229836811	19.6992231321442	15.7161667306197	-4.93854349161866	20.7521819953181	15.3255977622453	-7.32672650203503	21.1091963720157	16.4036548426192	-6.54136978237303	20.8851910429667	16.0542053595855
LBP LEPR	-7.09356121241682	20.8771911395144	16.4285137825877	-22.676115945313	21.147377388911	16.3531204516111	-11.9433963372648	21.4166172506413	16.8320450012121	-11.7311819541985	21.3124669074289	16.7186332843421
LBP LGALS2	-6.23277358800157	20.0318209137312	16.0282728442322	-5.07476111878407	20.9097678446272	15.0359654233008	-7.78486473332831	21.0395313836632	16.2732812360532	-9.10228204569004	20.7384042693201	16.1664441838918
LBP LGALS3	-2.41622340614072	18.9660281368339	14.7221274867418	-6.59853157528159	20.3394127760797	15.1325007349157	-5.04467519423065	20.4402676178874	15.6379222624086	-4.4284936087406	19.9453259813939	15.3077795714853
LBP LGALS3BP	-7.89200869551534	20.4976101455666	16.0899363675692	-11.7254500395755	20.9333426637246	15.7230517579369	-7.63693848696736	20.7015507865188	16.0564893734161	-11.9573738677714	21.0539273385476	16.2689376592229
LBP LGALS4	-2.40657715432672	19.2235421712908	14.8187597655693	-1.39532184781251	17.7021997549193	13.6906850079026	-1.98325119245763	18.9196472895328	14.8397418277918	-2.00453904033443	18.5772012241692	14.5358660640707
LBP LGALS7	-3.63707087210399	20.1597248111624	15.8609692430328	-8.31325605617883	20.1661119452295	15.3329648591531	-4.57223212145632	20.5076528036134	15.8074578339812	-5.40328235716399	20.4606497974557	15.9097185617512
LBP LGALS8	-3.08044692233586	19.3189639334872	14.8118967926935	-16.3162456478553	21.4442331883496	16.0096265467325	-6.05770613574244	20.4286016647808	15.7027078440372	-8.52233229021191	20.8929756494366	16.0972761699414
LBP LGALS9	-0.635487221557385	17.371067770416	12.8982464221283	-3.33819167531392	19.504220296612	15.2055343615795	-1.35968359802993	19.2835678117051	14.4597919298451	-1.59178909770323	19.2473006659909	14.550968470448
LBP LGMN	-5.22801226125821	20.5562505005556	15.9385460464556	-5.88961232695125	20.5019440122319	15.463351497385	-5.41392199144393	20.8838431707401	16.0266568689186	-6.59640633432291	20.7892336355481	16.0120518295924
LBP LIFR	-2.45973483508506	20.7455485611484	15.1594422575775	-5.85439841814279	20.7777956282507	15.108164722684	-6.5314806163209	20.7174773137928	15.827744752909	-5.08908269079588	20.8364021268901	15.5735785271741
LBP LILRB1	-5.7491729205756	20.433678945964	15.8578104230515	-22.5241658391958	21.7371342676715	16.3323549023966	-8.01720118834796	21.6193769863224	16.559903635677	-12.4467689079173	21.3876939487319	16.5074309316204
LBP LILRB2	-5.17528237752232	20.2120859092885	15.7706234430559	-4.72259973247384	19.605864216257	15.3397861316649	-4.18976814455457	20.3887247822408	15.9037431221808	-4.62153558507238	20.0982201157605	15.8184594342842
LBP LIN7B	-2.05306357265669	19.4319100540761	15.0213655835882	-5.94176837991961	20.2150275049463	15.3939662749721	-3.53102891688993	19.9478862163546	15.5232705232465	-3.82000271754141	20.051519923105	15.5971720106033
LBP LMAN2	-3.49272667304934	19.9240606380002	14.6837314979551	-1.7852747141607	18.3287167111611	13.2913016036715	-2.60963204860428	19.4926072728397	14.3934029293034	-2.8633210981023	19.5343422093548	14.3839380259856
LBP LMNB1	-4.5147025742231	19.9712721647726	15.4490214757346	-2.32191456924797	19.1886833180004	14.329646148884	-3.71910693333339	19.9937604059217	15.5100080728556	-3.77052065108248	19.7400515977234	15.140163852332
LBP LPO	-1.93061589121366	19.2197029443464	14.684754727916	-15.1045124580343	20.9767907780857	16.2810044009752	-4.30217721961852	20.3994409595131	15.9308259976833	-5.27830975704796	20.4971241067975	15.9751558689576
LBP LRIG3	0.00862051675580056	15.9519981122445	12.0938903180807	-1.78201266671638	19.6997962682694	13.9112842503655	-0.949895187428825	18.3392365157676	13.4886899310781	-0.847542770696353	18.2345120525211	13.4155442959995
LBP LRP1	-2.79581856808948	19.6116880712085	15.1388973052678	-4.58802743683175	20.4240651060994	15.2279347472676	-3.3682618238134	20.2694961076799	15.5791465525452	-4.15071908852122	20.3484709975004	15.7189913823373
LBP LRP1B	-4.241516699442	19.9974753210131	15.5788519380118	-17.2879596469946	21.9216125854921	16.6647536525006	-8.22130404802866	21.2858940506748	16.5213767789826	-9.99725367828665	21.2332148978037	16.4797826669255
LBP LRP8	-5.56533862440774	20.2230925333674	15.64940961014	-14.9511652469065	20.9404838357472	16.1018972519782	-7.33537928840441	20.8966139613061	16.3441204629197	-8.9305784338318	20.9991310323633	16.4076087039886
LBP LRPAP1	-0.311492021787789	17.3424733679614	12.9490966957118	-3.39685305509757	18.8032310247063	14.7155548791215	-1.02958084577535	18.6231360403619	14.4422562061405	-1.23507347678158	18.4145251226666	14.1826349712781
LBP LRRK2	-4.00197050716272	20.8470328784599	14.9733238324643	-12.9896163139564	21.5680315789225	15.8291093083201	-6.7940170593223	21.5975268835473	15.8022675362589	-6.31069743096483	21.551966219136	15.6737985261857
LBP LRRTM1	-3.9963533147995	20.0948731923936	15.9954953593647	-20.2213735997566	21.5713595048243	16.5409279054593	-7.60817178109828	21.3209425925812	16.6165864810536	-8.16968227546333	21.0811064940975	16.5280657646842
LBP LRRTM3	-1.90481305297598	19.0365928328401	15.0719052584874	-13.3996738933636	20.7395285440307	15.9823839326968	-5.12433798192037	20.6360299328361	16.1558088325116	-5.28820346015365	20.4873219728523	16.1437074729246
LBP LSAMP	-2.21556632463592	19.0878546260116	14.7843646223138	-8.33574071749551	21.1557573973318	15.8155381807176	-7.35337484714908	20.9918962280801	16.0987892522498	-5.37005685285451	20.438685811105	15.7336493347215
LBP LTA	-3.18254101882672	19.8278023965366	15.3930126346535	-4.42938246137549	19.7759514005202	15.1908749521811	-3.80524178574269	20.2812873308458	15.7234045675851	-4.28627022878766	20.0744195678779	15.6414351950493
LBP LTA.LTB	-1.47709959769772	19.1785539781157	14.8524367637903	-1.38259681652113	18.3068596150937	13.5722616287225	-1.88518570289877	19.1091339012835	14.7624502540587	-1.53380181304192	18.8784019884338	14.4172277591877
LBP LTA.LTB.1	-4.34543666442914	19.8614774483871	15.5138252002595	-3.91677426568482	20.6863893494807	15.0634923468496	-6.03051190762699	20.5616732699635	15.8782734410465	-5.57250043119464	20.5816437130999	15.7309459976087
LBP LTA4H	-0.742729833795949	18.3342668789017	14.4359626676	-1.36954087788851	17.9397200437746	13.4197321854186	-1.37381111590645	18.5770319323618	14.5062979072367	-1.05673324038135	18.4336696004318	14.2766181356397
LBP LTBP4	0.414937366106467	13.3803969708299	10.379506070293	-0.346897817619429	15.6350977347983	12.0893501839291	0.146283751744044	14.815810530125	11.7416001437714	0.140674006768611	14.8011543241191	11.5775109357867
LBP LTBR	-4.23200673924757	19.9984960397779	15.4296075570217	-8.79103767524791	20.4908517275916	15.7786052465557	-7.12180557888235	20.922388179763	16.3904403872356	-7.69002913980552	20.693686251237	16.1939787483058
LBP LTF	-2.99686089912807	20.0321356643727	14.9007502756028	-4.37610039941064	20.3697721910432	14.4055621037625	-5.52846171905539	21.018417555614	15.4873968564083	-5.16305555892379	20.4488680150744	15.1953234374126
LBP LUM	-0.0755578656897076	15.3522100681873	11.5557873940452	-0.501789747517149	17.1053782736789	12.7327213486317	-0.276970821154005	16.9587416800888	12.8875440978036	-0.293457930378642	16.5118217640314	12.4344645350406
LBP LY86	-4.66537188831	19.5730674940076	15.2866391437733	-30.1602819330623	21.3912578224249	16.6606222710989	-7.11328480284413	20.6118101623411	16.1550691500136	-10.4498793358609	20.799403260109	16.4173758159242
LBP LY9	-3.24608481531474	19.5627920746281	14.8357996733837	-5.08121609640184	20.0156710829745	14.768619462205	-3.86218645321585	20.0642019017963	14.9735396353754	-5.02552379386611	20.155810907067	15.3654545542048
LBP LYN	-2.03101434160608	19.3830966937468	14.9974182646125	-25.9877666446456	21.3810879064535	16.4728758258862	-7.69818981246684	21.0521184827665	16.4735874001495	-6.20570204987495	20.5815543986605	16.1842943337779
LBP LYN.1	-2.28683198950979	19.6606043021987	15.559498152986	-19.5565067270798	21.1549733356336	16.2248973548635	-7.73969358656459	21.0574617378647	16.4648405048844	-7.7474518784299	20.6611094708006	16.329823187297
LBP LYPD3	-7.0759245000878	20.7335698250371	16.3064783232975	-12.3800829640306	20.7863157133169	15.7992331821584	-11.5564202282999	21.2005242818146	16.5837440515021	-10.6159028927393	21.0402790997579	16.4059963262827
LBP LYVE1	-1.82008631612967	19.2433208473138	14.739852391198	-5.9458978347262	21.3504719228604	15.3576948817734	-3.50183391802267	20.6959439150154	15.694930652999	-3.32355029446844	20.5655694469347	15.4709809408654
LBP LYZ	-2.89517374633107	19.7136778604816	14.8790415938442	-6.69453034122131	21.4895905639754	15.5802450690962	-6.97389167414956	21.2830682282396	16.215565205551	-5.67993267717324	20.9743849225235	15.8081069142119
LBP MAP2K1	-3.82083308941629	19.1888673600148	15.2050425073953	-3.66834396775768	19.7673166291397	15.0375077964694	-3.54022836878376	20.0370143464759	15.6339842376836	-4.98403621139046	19.8839511365062	15.5292322581826
LBP MAP2K2	-0.392869342792629	17.0253631398802	12.8205171471864	-1.2574469465395	17.7915977220006	13.23782614265	-0.668315727640744	17.5774563684672	13.4776557778836	-0.732069050256349	17.4918570228884	13.1312602106318
LBP MAP2K3	-3.59074855422501	19.4975212737848	14.9480758139706	-6.22477976988453	20.827370976148	15.7085711048649	-7.0123193625026	20.700538462425	16.0140717770155	-6.17641660437316	20.6126844711359	15.7838975246835
LBP MAP2K4	-5.31642009107985	20.4970687884368	15.8478868242639	-14.1991244991371	21.4445354097676	16.1008776653265	-7.92511481688694	21.5920051910553	16.5163032717667	-9.37344052211277	21.2213896755142	16.3443737201952
LBP MAP3K7.TAB1	-7.09962582737081	20.3631714062346	15.9494818938091	-7.69591617305272	21.7838019621694	15.9016787012788	-8.5699222855982	21.4248338593733	16.6162413192971	-9.40939813239734	21.3785388489075	16.3221013677892
LBP MAPK1	-2.76294068625824	19.0180624290525	14.6502278109325	-3.25224527275695	20.1663725754358	15.2929945320768	-3.22094919513683	19.9359506910339	15.3450908028195	-3.37898111460138	19.9897146302722	15.3267083230647
LBP MAPK11	-2.81018937599252	19.6422628350631	15.1220611749239	-32.9656123153429	22.023243384818	16.8108100576221	-6.42444836984609	21.3917426025158	16.2527206631256	-7.09323170870245	20.9932723344367	16.1916271188738
LBP MAPK12	-5.19876673425501	19.7561186845782	15.2208359829535	-6.830266972575	20.6471484693992	15.4110422835785	-7.77967015028449	21.2046201840355	16.1929559159098	-9.53553178457005	20.7689499264167	15.9449656266447
LBP MAPK13	-1.59798213851769	19.771824311301	14.6215928830532	-6.86240248621559	20.8436111924246	15.3298689908244	-6.70384024314859	20.9167536237748	16.6275731025405	-3.67944640081958	20.6759884254189	15.5575325130409
LBP MAPK14	-7.51323015136804	20.7297375848787	16.2352135910699	-8.2389575524522	21.1731889010509	16.182532735401	-10.4630960625502	21.192507141472	16.5793140361906	-10.2775845001844	21.2856910484611	16.6186729295577
LBP MAPK3	-2.19937504438008	19.3081739001519	14.9853552694111	-3.0281232240531	19.9787935741125	14.863656141664	-3.4478592753901	20.3007477958812	15.5900241644834	-4.10061693753778	20.0014444866584	15.4128761348715
LBP MAPK8	-3.86848003167689	19.9702893297479	15.3145333279917	-10.2252807152984	21.318640468244	16.2404127293135	-5.97481321077854	21.2580968877481	16.2608776712497	-7.97097898886697	20.996964669308	16.1783678143012
LBP MAPK9	-2.98874278523949	20.0362111521282	15.1327805940331	-4.08588625296884	20.728069463129	15.4938738349007	-3.57611261231828	20.8310656180624	15.7824500011358	-4.07383148631271	20.705451917503	15.6683756119385
LBP MAPKAPK2	-2.68056512917933	19.181950513801	14.4889313521123	-2.66870097841848	20.3670938628953	14.742571256926	-3.02904509787134	20.0720784329383	15.0911853576309	-3.16391345400682	19.9967393799898	15.06742586617
LBP MAPKAPK3	-3.34828586563553	20.2359288253894	15.5319290908559	-4.0422264183666	20.2314565135444	14.9487223799865	-4.20496782412978	20.6161377368386	15.5424514077288	-4.26353305681042	20.6382501186075	15.7735896396347
LBP MAPKAPK5	-7.4349766404776	21.2070086461776	16.5438084799691	-17.7410516875873	21.2427134858639	16.3387935792304	-9.64471191934459	21.4263491107652	16.7273524649921	-12.1353851948521	21.5205970444772	16.8112750810096
LBP MAPT	-1.81524896639052	19.2688774807666	14.3868487003992	-7.13519734879424	20.1180302850027	15.6969615662866	-3.04104043011434	19.7792361138985	15.2900668596412	-3.22678671988429	19.9410966768712	15.3217220975346
LBP MASP1	-1.89783469652503	19.5227688844625	14.1535307332259	-2.74096859777744	20.249149288726	14.4546823405795	-2.21267390302325	20.1904718988509	14.6525960216801	-2.33591127725288	20.0309386720662	14.5613187912989
LBP MATK	-0.712210562201792	18.0202813408908	13.6226917096409	-10.9693950669904	20.4251507069287	15.7698435433732	-2.69588588122987	20.0964721276961	15.4118055128968	-3.35229042561321	19.7762378404842	15.3064966211514
LBP MATN2	-1.09040293926933	17.9891589300032	13.5202676756866	-8.38800473145183	21.043051033067	16.036591154246	-2.90380274720016	20.553949214842	15.4333852904498	-2.67189603200168	19.8945179341296	15.0434971902002
LBP MATN3	-2.92124323260712	20.0554177132524	15.4860737542199	-8.22929513158248	20.152684178417	15.5634159162359	-4.80194280293127	20.6431187783132	16.0900905012762	-4.17435469640012	20.3297294648246	15.8039535141569
