protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LCK LCMT1	-6.94918331769907	20.6488833198087	16.0327763085168	-3.33923655054006	19.0876123791867	14.3218721412515	-5.69584023079425	20.509682446114	16.0489511668389	-5.31036401549758	20.5043630733949	15.6918650821366
LCK LCN2	-0.711549390272046	16.6462013004591	12.7579701174149	-2.6489321689503	19.7796563947952	14.4242078634472	-1.54211860113273	18.3593896967297	13.9381969738106	-1.49609327635916	18.2630247504334	13.8766102593478
LCK LCORL	-2.31911126385877	18.8303133807946	14.4991705731495	-8.56939257852222	20.3774070044381	15.6859534110841	-2.82715897898514	19.5071454238735	15.1186421900056	-4.0543997773836	19.7750803666954	15.2829486815868
LCK LDHB	-7.78088277868694	21.3086546388323	16.5326271136355	-3.82749575656799	19.5074206759537	14.7915381283626	-5.4574213016887	20.568122284605	16.0220783203015	-6.01174170809053	20.5248187718834	15.9203280060465
LCK LDLR	-19.6159711366421	21.1623373266404	17.0333564417158	-13.3546183831014	20.9651900237172	15.8786789890488	-12.2185675531941	21.0033126291858	16.4099988147215	-18.9439033393705	21.2892003027321	16.6504536826853
LCK LEP	-8.15676961006326	20.8443137188425	16.3076731874003	-3.31939653832052	20.1811423038943	14.4106796732795	-6.89860784896182	21.2273091604835	16.3982469152484	-6.5282591173762	20.7237414259196	15.8675349784747
LCK LEPR	-13.8724196916278	20.7766541375051	16.6597665036132	-12.7928969405703	21.2180507093915	15.901244919818	-15.9280732315712	21.4057127202387	16.8127199249941	-16.9476713868489	21.3282506477707	16.6461328261872
LCK LGALS2	-15.012021248366	21.2871335925117	16.6832885479836	-11.5205317965796	21.1482044578077	15.8412464154993	-11.384471037317	21.1972846122585	16.462537785459	-15.0533094092754	21.3315183999061	16.5934704645565
LCK LGALS3	-2.65997788232166	18.985357578489	14.6029920995758	-5.33978496505959	20.2269024054852	15.1210350052524	-5.82828714888519	20.4541459258	15.7054522724381	-4.41176058623906	19.9396907970635	15.3263137421301
LCK LGALS3BP	-11.0567334542796	21.23703134266	16.5260463082258	-15.1185169461308	21.7371471610417	16.0421089128665	-16.9035074768794	21.2699169776734	16.7302269743564	-19.1025611121025	21.6000650047839	16.6132975382703
LCK LGALS4	-3.39648428017328	20.0728153457577	15.6304559756488	-1.45840197732982	17.5987098181424	13.3362721125252	-2.74682624689822	19.1010610773783	14.9522227211016	-3.2512080102406	19.1351242352827	14.9229391120962
LCK LGALS7	-14.8700308548948	21.513987101828	16.7501156586375	-5.15960647226623	20.7116416629126	15.7298533454299	-15.02295754816	21.3593085470072	16.7263312836388	-10.382978580782	21.23232469633	16.4806839732582
LCK LGALS8	-7.13878919464461	20.5672595382158	16.0861539052757	-11.215301807509	20.8037157777708	15.4461709197551	-7.50969940621272	20.6685255691502	15.77624666889	-12.809767187152	20.9298838850222	16.1775005424651
LCK LGALS9	-0.83387234479571	18.6019585901641	13.3941916896979	-3.11633499708496	19.7452850733978	15.0036780294587	-1.37900671502713	19.1483748441128	14.49225123426	-1.84579327980065	19.3260010083229	14.4437346311198
LCK LGMN	-8.9599956140735	21.4302560086695	16.4625781177386	-17.8881743253557	21.1069728907111	16.3008003244193	-9.94394676837892	21.1577396382109	16.3681225556114	-13.2210124239633	21.3488124818482	16.6181771481829
