protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LCN2 LCORL	-0.118937697027043	15.6595616881012	11.5878186650784	-1.32567932979503	17.9492954721297	13.4045703126212	-0.618326616522881	17.0655870997807	13.0006279085896	-0.584165882605186	17.0524923767417	12.8989576790545
LCN2 LDHB	-0.665084174442638	17.1480932334014	12.5549279911763	-0.981692494103205	17.8738157375314	12.9512176540956	-0.83768362791953	17.9545597653724	13.033065350914	-0.790328081650016	17.5731079810342	12.9696886597362
LCN2 LDLR	-0.794533137404438	16.9109413641118	12.8191009542793	-2.16568525361112	19.2497478489239	13.6912471247928	-1.29432066256245	18.5072647104025	13.8425464508207	-1.39571448620856	18.4042690277608	13.7416539665101
LCN2 LEP	-0.385309856028484	16.258974725588	12.6401545637853	-1.32143394233839	18.2461621326084	13.2009500842784	-1.21224805531845	18.1681001468251	13.6365727694629	-1.05561839460375	17.5573569715798	13.3820215103972
LCN2 LEPR	-0.841247505428689	17.3068722857894	12.7645170079049	-2.62132065869578	19.323562086448	14.2352488863433	-1.51660349174729	18.4092641393087	14.1971541423079	-1.54808875910537	18.3577646593368	13.7501639858308
LCN2 LGALS2	-1.03455367037207	17.0687380479461	12.9959504227798	-2.36769434898688	19.2874090969668	14.030929655634	-1.63195376325027	18.4604063152427	13.9757204068834	-1.69102001528917	18.4279622948038	13.9265674203877
LCN2 LGALS3	-0.425972678913314	16.344853707659	12.2410355190328	-1.70550711099181	19.1913047393969	13.9228526719503	-1.39266626021463	18.0684541263961	13.6922164891583	-1.01778546808815	17.9211610820727	13.3538842757049
LCN2 LGALS3BP	-0.638696324014566	16.8506842596653	12.7298189167042	-2.57333086768602	19.3945042659822	13.8405634470026	-1.34697663834306	18.1696381573247	13.9078126096582	-1.57097111424212	18.5098608752746	13.6208936238273
LCN2 LGALS4	-0.0379648031921009	15.4186228798668	11.4293743051283	-0.55689745962093	17.1737657566325	12.4351754337682	-0.636114207111704	17.2953794659982	13.1870468325616	-0.429646860580007	16.7206523020695	12.5109465652885
LCN2 LGALS7	0.015900405398237	15.5825790726141	11.6234410056868	-2.28883502736291	19.0046918576318	14.0270301395956	-0.984489038240665	18.1314771722099	13.6951774261492	-0.747538956787756	17.590876073456	13.1293975746379
LCN2 LGALS8	0.276269613715425	14.0618602743931	10.5208683717893	-2.60452428944307	19.3724200410026	13.8405528569861	-1.06869561586765	17.8388948917876	13.3562407595373	-0.669725555086962	17.0811007091869	12.5421164408036
LCN2 LGALS9	0.109985123172432	15.2250650095675	11.0749821486294	-2.1421496268073	18.5540929983411	13.9799524626454	-0.80088973968388	17.0754452103862	12.8166265779002	-0.71333756266082	17.1449319343789	12.9000583681037
LCN2 LGMN	-0.0738805992813023	15.614899913951	11.6983295512458	-2.63115791468429	18.8530052314103	13.8405749409114	-1.14874798577268	17.74588384557	13.1846879081485	-0.99778102826986	17.5837499083156	13.1594302592363
LCN2 LIFR	-0.0791977281870013	15.9353089463501	11.2893827795982	-2.43194572811426	19.4829859264648	13.7181908749491	-1.22741313318389	18.226653987003	13.3571068489591	-0.82808800109758	17.9673031804123	12.7576094315351
LCN2 LILRB1	-0.560951133021668	16.7528058369097	12.8753142809033	-2.60071128130521	19.5378144445361	14.0492983581434	-1.69075623820854	18.7237886626613	14.0511678876895	-1.37872549433318	18.4561405499082	13.839215196838
LCN2 LILRB2	-0.884910052430863	16.9361210262773	12.8528837768997	-1.55577073251529	17.5286494135843	13.1998522111051	-1.41665542273174	17.8601635805342	13.6504128941473	-1.62523116725821	17.7722006572678	13.6398583727964
LCN2 LIN7B	-0.394897812728274	16.3577124555018	12.5845061099864	-2.06660537381549	19.1136401154623	14.4471327405031	-1.04877878326939	18.088333855336	14.1599462822476	-1.09657130480551	17.8970006332001	13.7702651709338
LCN2 LMAN2	0.143008383280436	14.7345924037864	11.2320971628643	-0.836211578133288	17.4139180414958	12.5629268636177	-0.687385499280631	17.1295580849211	12.3758658029606	-0.240394353012869	16.2471631118394	12.0397959691755
LCN2 LMNB1	-0.318274358925553	16.7783137364022	12.4718699407982	-1.14285956926038	18.1054377354251	13.2102281195077	-0.802117138824334	17.8769130783585	13.6697528180838	-0.62241258349425	17.5259025702338	13.0414294961178
LCN2 LPO	0.061201859702804	14.6006923048036	11.1132844313381	-2.3562581569205	18.8565532154957	14.2517920460802	-0.94479044753738	17.4293724691899	13.2630097526818	-0.7400441738944	17.1415186779732	13.1451630884925
LCN2 LRIG3	0.0453591125735427	15.2867036993455	11.7361149533951	-1.12442096208799	18.2043374267564	12.8908412787506	-0.770762913278807	17.4691742442092	12.8423139653028	-0.462573030442943	16.9435121837	12.5644778741649
LCN2 LRP1	0.302169811593665	14.1045989465276	10.2676837133519	-1.18629199521017	18.1710195354899	13.2385179158465	-0.83144383901149	17.7039371121541	13.5457717031995	-0.418563998901851	16.9533067479255	12.4451517911378
LCN2 LRP1B	-0.817225881460699	16.2926550187654	12.62727833022	-2.36868916834742	19.2264907176981	14.3755042055961	-1.44329122622778	18.2077819601385	13.9426195668749	-1.58168017144063	18.0950847936432	13.9518250721891
LCN2 LRP8	-0.154363197888165	16.0590806659798	12.2488944241702	-2.17131607593793	18.6474356854748	13.8182407597965	-1.00701797760861	17.9542968687333	13.5425899348885	-0.803370162403936	17.6610347858621	13.3233136184361
LCN2 LRPAP1	0.12728107802588	15.2684212696947	11.6235608695663	-0.775553205182166	17.4214063668497	13.2131002046412	-0.447463907489768	16.7878401667618	12.9326035402397	-0.274775306000206	16.6069309785485	12.6636778663879
LCN2 LRRK2	-0.210896019368364	15.9325673828934	11.6295999537431	-3.11554423385319	20.0420956528376	14.0803082893647	-1.3907008639324	18.4189225149788	13.3649898926029	-1.18895127255138	18.2037183141481	13.0864140071173
LCN2 LRRTM1	-0.468740799285783	16.0727010944525	12.3905487285931	-2.69283964595953	19.7337479995678	14.633387503968	-1.41611615716098	18.5669507780989	14.0933426925158	-1.53173421995495	18.2608008884936	13.8225320141658
