protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LDLR LEP	-14.7932344472941	21.8118650232536	17.2876023597627	-3.95144190418817	19.9347454385564	14.4708350269838	-5.41893033726902	21.2345798746563	16.3198837625756	-9.1104561168703	21.2214080034248	16.2745316785518
LDLR LEPR	-14.6706737150658	21.444123216018	17.049540588382	-11.1899468787779	20.6874472109222	15.8440270673764	-10.5089250766673	21.4124910063156	16.881864170213	-22.0233335108087	21.416905662635	16.853797763819
LDLR LGALS2	-11.8766403849764	21.1823916542659	16.6067669434179	-7.81634613890509	20.3271650453323	15.3882310852	-8.27777934826169	20.794502448272	16.0446540479276	-12.1938539910482	20.9246326416603	16.2611372907618
LDLR LGALS3	-2.91563577058024	19.1872102434045	14.5855561017935	-6.22802531114803	20.8273625506402	15.830488916698	-6.72570557076841	20.9350242838546	15.98705253736	-4.67066984675471	20.21376394335	15.5583806526515
LDLR LGALS3BP	-5.85246259210356	20.5884750014596	16.2031900549351	-16.2686556483926	21.1650549303389	15.9910096745685	-10.2308204559079	20.7552268192578	16.2508353709472	-14.8996382745705	21.1602102087647	16.4594275974374
LDLR LGALS4	-3.65027713781052	20.5049715407029	16.0875871723904	-1.19666791601478	17.8466892276762	13.385301413073	-2.08361080057218	19.4795687874717	15.4528751407652	-2.4972077461226	19.4518446613556	15.0910936709807
LDLR LGALS7	-20.6965167910858	21.7325017562081	16.9230716570937	-5.03434851445804	20.2748022691	15.3687019127773	-10.0211900410334	20.8902641626485	16.3391319090309	-9.63699889938279	21.1599410073881	16.4479600569974
LDLR LGALS8	-6.82330911482063	19.8906639241356	15.5811292197668	-8.40876538023341	20.1533636935112	15.2077637734308	-6.25884924336677	20.0849610772744	15.5794689935319	-12.7042468959341	20.6603133308082	16.1256951178849
LDLR LGALS9	-0.796159814871262	17.3981712656422	13.0400578630931	-2.83692427252051	19.0836043129987	14.1524551417506	-1.27802137860769	18.6259532956439	13.8672471792462	-1.62100129516677	19.0076424986812	14.130030663136
LDLR LGMN	-9.15268939228435	21.1015338882694	16.2930788251633	-6.12649082983025	19.4561073250804	15.1312881259449	-6.52306608482122	20.5555793291808	15.9361046653436	-7.80792586129989	20.6962712393716	16.0697930155076
LDLR LIFR	-3.46716188449559	19.9648590523136	14.6073006939483	-4.82471588517428	21.4180041635125	15.3855894121283	-8.45698481420479	21.3294460875421	16.1079978067293	-7.1561975613956	21.0347194741125	15.7825026791836
LDLR LILRB1	-13.8941500038487	20.8611453234125	16.4748377949793	-11.5604171339771	21.3985561151007	15.6575592719206	-14.1214323270961	21.5162892235215	16.7498616947388	-19.6314286466456	21.4590520181818	16.771241970791
LDLR LILRB2	-2.65574849585002	19.2492045379037	14.942469419231	-6.39563585637712	20.5389178775816	15.6453892954797	-3.78246471576331	19.7660042233964	15.4986888192951	-4.22767455674466	20.2122295804225	15.7135079207558
LDLR LIN7B	-14.6576632078308	20.9097916495562	16.9311846014021	-3.75381752763287	20.8362542272184	15.7102395893649	-8.76923368949125	20.7004168517703	16.5643417193196	-6.58758139224117	20.861632450757	16.4321339434648
LDLR LMAN2	-1.94231974960563	19.3597903166053	13.9167118286327	-1.52443263609802	18.4648345587013	13.4841245004375	-2.34536459116776	19.601734699269	14.5331287910545	-2.30124867481507	19.3616766421281	14.2356231444945
LDLR LMNB1	-7.56397408262312	20.4907479747446	16.2218647380976	-1.78880762569758	19.1324283967909	14.0604687260282	-3.98295264508969	20.3484460942117	15.8921334084565	-4.32553945062678	20.1761994001345	15.6376740702649
LDLR LPO	-3.71203453211725	19.4666249806576	15.1656742371577	-6.33348957876055	20.0710005103605	15.4879563572683	-5.84096000531897	20.3030658963689	16.1044433580058	-5.98419452711727	20.1959092048462	15.7766088700001
LDLR LRIG3	-0.561243802096495	17.2305953560812	13.2201585435111	-1.49562930065759	18.9629625375425	13.1613890696986	-0.938795701336393	18.5637503674259	13.6580377120526	-1.04216586785549	18.5283989096334	13.5826334104223
LDLR LRP1	-12.2821347096841	20.6398191358842	16.5975087465787	-4.01288277061306	20.2646454291659	14.8394197044416	-5.0379355733267	20.5293789379846	15.9092354344842	-7.9166242612461	20.8013517583528	16.0725875003745
LDLR LRP1B	-15.2516275852196	20.9373901722849	16.602474203807	-11.2108868179712	21.3088894379372	15.6423106386422	-11.9011391998626	21.1759791832055	16.3640416891256	-16.9327720892268	21.4871447781907	16.5609936011195
LDLR LRP8	-17.2581055507327	21.320550893646	17.0053995882671	-4.35104492647734	19.5502909717244	14.743463013607	-5.87418825839506	20.7888159493781	16.2338080293445	-8.11864847491255	20.6337988588494	16.1809415254094
LDLR LRPAP1	-1.12705732407369	18.0158465279983	14.5028330684424	-2.10509761860862	18.365987163735	14.5725952818073	-1.74664135725127	18.9617875505049	15.1906396847297	-1.93923130525449	18.5853898069495	14.9659058350335
LDLR LRRK2	-3.65147337293261	21.049332898738	15.1645108172313	-7.4057174489468	21.0408855616163	15.0550481531378	-5.87527336377533	21.5044859486814	15.8130693555677	-5.39610849728988	21.2669304650148	15.4212470091571
