protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LGALS2 LGALS3	-3.73766316544953	19.6202517252662	15.0913120225163	-9.43782789263948	20.8721411340054	16.0379635953095	-7.90183647716887	20.9164819687497	16.1069788271285	-6.48035610334746	20.4084012344976	15.8585448557336
LGALS2 LGALS3BP	-12.3252585601629	21.6022115295556	16.7143503017867	-7.94587939233648	20.8248312781332	15.5276562091715	-15.2822091814702	21.1691084082115	16.6310899513766	-12.937142964674	21.4325071966871	16.397085490967
LGALS2 LGALS4	-5.32598204319037	19.9240640820986	15.6779253161599	-0.798344503514187	17.5182895397136	13.5955715246701	-2.7812114966973	19.3524580480058	15.6637444533149	-3.43487366659936	19.2297221575064	15.3938768246561
LGALS2 LGALS7	-13.4195861972061	21.3443811083318	16.5920361704341	-4.22107450911271	19.9065493876803	15.2836505542489	-12.4299072117039	21.1142067333353	16.7352407697861	-8.82286178306906	20.8341513634788	16.263819762615
LGALS2 LGALS8	-5.89746063463747	20.5837546466506	15.7737642695888	-9.09050791839452	20.6490297059338	15.6393423488018	-9.40519467301476	20.5893333224632	16.0272188026434	-12.041363020772	20.9661632155033	16.1779060700697
LGALS2 LGALS9	-1.19933117613988	18.5156039841041	13.469930695153	-1.71836872744479	19.011091595753	14.4567541125756	-1.52243039463486	19.1007625442644	14.418015070977	-1.85680422212874	19.3065162372342	14.5170112047044
LGALS2 LGMN	-5.07770984593852	20.7446725870235	15.8237145059278	-12.2395235376184	20.8736281561928	15.8853437773864	-9.47461286653363	21.162838934138	16.2224705240402	-7.52897866166839	21.0168613643382	16.119486850408
LGALS2 LIFR	-1.87418157570749	19.1211750335445	14.1720956569558	-3.04536694116913	20.2226083134502	14.9760347881394	-3.53118861820099	20.0610128578906	15.6398211858407	-3.20005293730969	20.0060158996997	15.0554128009201
LGALS2 LILRB1	-14.3088840103571	21.6843280592396	16.9236343498843	-10.445149127848	20.7198508953376	15.6349607718696	-19.8208714067683	21.4589404522815	16.9489037810371	-20.7517664539342	21.5432533703094	16.8810920564899
LGALS2 LILRB2	-6.32445463090199	20.3658382534958	16.0621913591824	-3.66315029785418	19.4310260223157	14.9691796031678	-5.828032291107	20.55361957373	16.10462142795	-6.33383485648624	20.2603821921734	16.0106391295709
LGALS2 LIN7B	-5.15229241964288	19.9757623381893	15.8684387890308	-7.55259223806975	20.2861937213539	15.6194870462326	-6.4637124160593	20.2472842668515	16.2512289806822	-7.44240249850319	20.289244007704	16.1230715076617
LGALS2 LMAN2	-3.23240941362392	19.639329157422	14.6475807991373	-1.39741443253956	19.0306066622667	13.5972085918664	-2.74792077657034	20.0008186760608	14.9780391227142	-2.81284093954875	19.6625147108195	14.5751001236232
LGALS2 LMNB1	-10.389216644187	21.3651047044449	16.5445704127314	-1.88080886884835	19.4803658540919	14.4122202167327	-5.37744288476184	20.7216202469801	16.1794888331229	-4.66388338557945	20.458976474033	15.8366099271297
LGALS2 LPO	-2.71111390587117	19.198158322275	15.0664869299686	-6.43909600513411	19.8135271282374	14.7314136976408	-5.89769597834259	19.9969195061853	15.7783830457035	-6.01496386899953	20.0465930632082	15.5708637034422
LGALS2 LRIG3	-0.632071904068851	17.5994570600962	13.6302188630052	-1.49711472873924	19.0211893291305	13.715171667237	-1.36225957467905	19.1265061933093	14.4361615967964	-1.06784646329862	18.6787779637594	13.9667181641842
LGALS2 LRP1	-4.40061722172169	19.4463604178176	15.463655108707	-3.41467120886108	19.4997596025943	14.9117504412587	-5.63649134427972	20.2620792198056	16.0428749053403	-6.59798369200401	19.9798637991321	15.7609393699334
