protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LRPAP1 LRRK2	-0.689452074037289	17.0628570453408	12.3484077901642	-1.39492103103602	18.8328201585864	13.3752527855347	-1.39886157799849	18.966158296346	13.7370640031556	-1.27604095092879	18.2640349296616	13.3904680734234
LRPAP1 LRRTM1	-1.49397733431789	18.4152480198181	15.0060759538514	-3.31112377927775	19.436979899799	15.1634681947003	-1.82713400009951	19.2756928844135	15.5661051177446	-2.43156348995773	19.1205829517374	15.3416757935134
LRPAP1 LRRTM3	-0.697325626504813	17.8543925443475	14.1408753139765	-2.02466917381126	18.3769766415186	13.9236902051415	-1.68053479197368	19.1198632040697	15.3162736880186	-2.01320771955746	18.7207025035271	14.8039681135882
LRPAP1 LSAMP	-0.188159973980383	16.4919362221339	13.2204437133537	-3.59222692493619	19.2002229626726	15.1376755959238	-1.58756411890014	18.5705219773159	14.9614271742561	-1.52746287711309	18.4104098931956	14.6574103130283
LRPAP1 LTA	-1.12456337960437	18.3200936070626	14.6922659749674	-1.59862650480413	18.5248891372578	14.7050795925763	-1.71357315401104	19.2104985521242	15.5912977442257	-1.5076315761604	18.8678598030734	15.2033974468691
LRPAP1 LTA.LTB	-0.899257359642072	17.1479652921301	14.0000954524499	-1.11536493740836	17.9373623465724	13.6482784025874	-1.38136987608449	18.4756678077572	14.8604701001466	-1.28330694437192	17.9689325737922	14.2583435756751
LRPAP1 LTA.LTB.1	-1.09729564917427	18.2497886290879	14.6956075040412	-1.26220234498392	18.6559455504681	14.0349827020043	-1.53568046252867	19.3707195055123	15.3554963596686	-1.69641251655463	18.775018799957	14.8329649481853
LRPAP1 LTA4H	-0.535571700992015	17.3481138335314	14.3428871654072	-1.6261118419406	17.4079003736945	13.8918442570483	-1.62267228177573	18.2707139185531	14.9532043034041	-1.0908749981435	17.7924125491887	14.5563670514722
LRPAP1 LTBP4	0.643996541082518	11.4303994907264	8.84716744198	0.271814714603017	14.8541975066278	11.1438874497966	0.437569612764252	13.966951183836	10.4078155407355	0.458500961923166	13.6287317301459	10.3486243114558
LRPAP1 LTBR	-0.708509264231759	18.2081156619455	14.381312696772	-2.12883235965532	18.3501754482447	14.3492524085764	-1.3786902656373	18.7911935522894	14.9943010520204	-1.78566874868669	18.5127035399266	14.6666735395692
LRPAP1 LTF	-0.421850987260193	17.0574207569773	12.8183863057358	-1.6018457161903	18.1004334791004	13.6897806903563	-1.12352517292406	18.4156731576724	14.0413634496121	-1.28770519336419	18.0063231288833	14.0720417618304
LRPAP1 LUM	0.221860375629898	14.7855761942364	11.9029191007338	-0.265635395723021	16.1243792253271	12.9723010806013	0.0806584632867512	15.9935335790178	12.7423523242003	-0.0149735053274145	15.8434141417584	12.6530078308051
LRPAP1 LY86	-0.790017594263287	18.0048611866489	13.7472536302144	-1.48298895084271	18.5510511576991	13.9481775361632	-0.951468099977321	18.7834703727351	14.2405467289508	-1.38163622991855	18.6591748244816	14.3312623990265
LRPAP1 LY9	-0.484899706824344	16.733917695839	12.9196411051233	-1.51509940147103	18.1175451369834	14.0865838226379	-1.11298676620879	18.075375374834	14.0624659984962	-1.26600034684045	18.0466357863559	14.0898949996415
LRPAP1 LYN	-0.600081386101385	17.6735902508449	13.313214986658	-2.28385657583012	18.6417157560119	14.5717252553415	-1.63491217126795	19.1356049729819	15.217044501858	-1.61757240358021	18.4574896963293	14.4358291802601
LRPAP1 LYN.1	-0.529242704594375	17.5570228672844	13.166413388736	-2.29992604320628	18.724345243621	14.6512347073795	-1.39852029502345	18.9443029390275	15.0116425616749	-1.33524607260051	18.3315188948726	14.3302611180156
LRPAP1 LYPD3	-1.05085404455336	18.2015448846026	14.3172014161812	-3.38122057250107	19.0832689109426	14.9833998920326	-1.96301056951859	19.1091442650066	15.3716914861162	-2.43531043515029	18.9639768482713	15.1632841187613
LRPAP1 LYVE1	-1.04289664653627	17.6348535725585	13.9445350639489	-2.21881678782905	18.9328571230006	14.506589501152	-1.65406160439549	18.9073186420977	14.8766920042063	-1.92596308478012	18.73239846839	14.6462309322773
LRPAP1 LYZ	-0.509773442425576	17.2027071259973	13.1479225246451	-2.6186581081723	19.2592951037673	15.137242368511	-0.892907738086414	18.5676145988307	14.5364217304861	-1.19239918271801	18.2753886113993	14.3429193857778
LRPAP1 MAP2K1	-0.787451432671021	17.4991617732101	14.0424354464399	-3.11620864425538	18.8505894013261	14.8026340216255	-1.4302527207473	18.5944076534368	15.1158526064124	-1.81482682760316	18.4668745297697	14.7349541221345
LRPAP1 MAP2K2	-0.275358336085504	16.4575500828225	12.7312092416957	-0.397763225191264	16.1978565801549	12.093490713891	-0.200449374385175	16.4997180613512	12.8373674869969	-0.348449426099047	16.5120095471757	12.6957129725845
LRPAP1 MAP2K3	-1.02183015741943	18.245516906743	13.8868362065186	-2.25224488912631	18.3342358061335	14.029997608348	-1.84070486256161	19.1646751433428	14.99948078051	-1.82049994017388	18.5267594396385	14.5067959736265
LRPAP1 MAP2K4	-1.720654424666	18.4787694544857	14.6232469040929	-2.58399671328191	18.9815338724888	15.1614776279222	-2.23095078951335	19.4364889037957	15.7080370108288	-2.5837374269944	19.174456352468	15.2761699579201
LRPAP1 MAP3K7.TAB1	-0.495314067527151	17.1504375003231	13.0336078907928	-2.03446090435439	18.1468697498603	13.8394897478328	-0.974857971451494	18.6836880731323	14.4479879055696	-1.21534703414238	18.1042391560567	13.9920820190123
LRPAP1 MAPK1	-0.687135214081409	17.6383523610496	13.3990528021425	-2.40619141367596	18.8599263260506	14.8025759118506	-1.47451845247775	18.7688178026329	14.6975211595609	-1.44421914137723	18.6202283744984	14.4480283516502
LRPAP1 MAPK11	-0.551281644834113	18.0390029470887	14.082799498895	-2.44045393609009	19.1983018258949	15.0716189170037	-1.5435675069284	19.3381171594805	15.2119079538594	-1.5391148001281	18.8322144883143	14.875758334124
LRPAP1 MAPK12	-0.955762562955766	17.1834572162255	13.6096314933853	-1.21509550553148	17.9603344880404	13.8217852029123	-1.3022720609572	18.8938134187327	15.0351041590381	-1.36252025952302	18.0874042337162	14.4181439372959
LRPAP1 MAPK13	-0.251011938917149	16.9604663673232	12.6736765116448	-2.18713655392293	19.1322245809961	14.8581233826921	-1.32483709486326	19.0463035147446	14.73710713405	-1.59497119429182	18.8355771740519	14.5207638890077
LRPAP1 MAPK14	-0.817709723969744	17.7259940674226	13.5459167345613	-2.34556312278315	19.0043425915396	15.1187451944965	-1.45770336740598	19.0480863889777	15.0565100697606	-1.57063233698377	18.5797256393155	14.6859026608939
LRPAP1 MAPK3	-0.920888449812723	18.1183421185992	13.7089783741729	-1.77231547691218	18.7398156517638	14.653300565974	-1.063675239507	18.9000754444332	14.5870959143839	-1.40847191442554	18.698269533886	14.4242460408951
LRPAP1 MAPK8	-0.833316019891453	17.0073001810632	13.3305755831718	-4.30824280119793	19.2478569463434	15.142888428281	-1.27229179701448	18.3913851916372	14.7140455781168	-1.93008153998192	18.5344383362207	14.6637631216843
LRPAP1 MAPK9	-1.04870519603444	18.2620543956015	14.3642474213838	-2.02725760743184	18.3141130791699	14.1917025234508	-1.52244439988574	19.0570697554924	15.173343724553	-1.73301266075798	18.6546482028258	14.6507881074731
LRPAP1 MAPKAPK2	-0.792652390170338	17.7776790742875	13.6199593287123	-1.82168128925985	18.4409055152117	14.2975288862645	-1.32674858913771	18.6124273405345	14.6244848660602	-1.52458171451976	18.2954459419962	14.2220681062448
LRPAP1 MAPKAPK3	-0.827633177540746	17.2938334156339	13.5166580719818	-3.14099845696215	18.9457072903812	14.9315156061909	-1.76635158692414	18.8698430970216	14.9338469209084	-1.68339902087895	18.4465782026115	14.5679344203909
LRPAP1 MAPKAPK5	-1.56776785848941	18.1638567940429	14.706950899847	-1.64785659709277	18.6667038559344	14.618440307161	-1.66639086026736	19.015644299949	15.4352711272894	-1.9630144797766	18.8146419668051	15.1135912540909
