protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LRRK2 LRRTM1	-3.13738478888369	20.7520853105833	15.158169632448	-11.2483824132182	21.3914474491857	15.7145139786455	-6.52133986316566	21.6147457161376	16.079939242192	-6.67992890114411	21.3333208899861	15.7489388154467
LRRK2 LRRTM3	-2.11945251145276	19.4073937185272	13.904663794691	-12.6821657381947	21.4559132909627	15.5765686564369	-4.76557072851065	21.1166688935243	15.3167610448853	-5.17416431383972	20.6906789575098	15.0844146411388
LRRK2 LSAMP	-2.38887429466893	19.5358903812346	13.910989496814	-6.34870831166849	20.6712587116413	15.0064056585374	-7.11818587539184	21.3242005119788	15.9048755683416	-3.9832008406353	20.3377680230659	14.7811596283616
LRRK2 LTA	-2.51785380157594	19.7524734582868	14.2972944353753	-2.80371137276331	20.0048498627935	14.4526586535127	-3.15030774019468	20.44983601726	14.8572877932587	-3.34997348039376	20.1822338056642	14.8814569027992
LRRK2 LTA.LTB	-2.64621015896121	19.4852938696558	14.5553057422206	-2.08963494992352	18.8479766573316	13.4768570247196	-2.46297349147481	19.557288425435	14.2641770272895	-2.32483272267367	19.4126187591001	14.2020875244303
LRRK2 LTA.LTB.1	-3.95834088438161	21.291604447739	15.3826900974741	-6.30228230215292	21.0144842880384	15.1288489478764	-7.64664357132492	21.4910239731533	16.0064533164799	-5.96336632193559	21.3811326605271	15.5917192270485
LRRK2 LTA4H	-1.07375493888649	17.5909814715065	13.5182906748418	-1.25151771540584	17.6308781096219	12.990661040811	-1.3409559019008	18.1614251585854	13.6814576456313	-1.4835097192426	17.9165836578246	13.6321496572223
LRRK2 LTBP4	0.521253527829037	12.5239561187202	9.25794340867301	-0.0646978890232406	16.4431233880083	12.4333709638572	0.243366694131328	14.99546636042	10.9904489042097	0.293000396526805	14.7534987355714	11.0407317454142
LRRK2 LTBR	-2.61506064991737	20.4734553009698	14.6025983925068	-7.10231939582197	21.1624689847075	15.5558068241689	-4.18692356341542	21.0671417038339	15.5206344907797	-4.56702421130684	20.8799081771412	15.2557298599898
LRRK2 LTF	-3.03602897940848	19.8178541637368	14.2309885281004	-4.77560826984136	20.2214519045508	14.1996436324991	-4.9355669230704	21.4693070400755	15.5198955556037	-4.47981198659595	20.3813874804563	14.7196872618557
LRRK2 LUM	-0.245278993177106	15.9249945903824	12.0574786057948	-0.143558938015522	15.4659234085635	12.1526747530349	-0.17015748635462	16.5421369559439	12.5215844098117	-0.283705205761314	16.2701762299115	12.5087892159436
LRRK2 LY86	-3.62007781513411	20.5977260553897	14.804353976794	-4.54631714685657	19.8126586275338	14.0705373134449	-5.13649161813728	20.6445040468255	14.9389192649746	-4.55432609958244	20.367038078701	14.7171031484796
LRRK2 LY9	-4.26151325991842	20.4903430059877	15.0220186744375	-5.26235564082295	21.0335735754957	14.9598673759488	-5.17361963615881	21.3138222838664	15.4203026054606	-5.6503055931992	21.1254768036983	15.3042019021804
LRRK2 LYN	-1.35613136010081	19.1116640372829	13.644217669085	-7.09503403917348	21.4239134819637	15.5419433727684	-3.40277035230467	20.9092918283343	15.1990424660176	-3.17710679626768	20.5602574264397	14.9294398438159
LRRK2 LYN.1	-1.38728143504348	18.9839215908093	13.6099407415319	-6.57832215797174	21.1263975259281	15.2328038090243	-4.02662488546133	20.9199133670654	15.2450418683738	-3.20120520941531	20.4313741679753	14.8265559004647
LRRK2 LYPD3	-4.80944603910241	21.5190134164749	15.5478500520582	-18.5558054348147	21.2314707805234	15.893114071952	-7.51750385105791	21.8514275140504	16.0884030872125	-8.4369646385416	21.8886462766593	16.034324991686
LRRK2 LYVE1	-1.69083935878784	20.3039239456104	13.360937285842	-11.5797594057266	21.9286233437787	15.8269491187738	-3.32262470303241	21.7020421054492	15.2358811003538	-3.72272646905601	21.3802613217745	14.8879778955666
LRRK2 LYZ	-2.44918172405751	20.1295678075589	14.157129093318	-13.3031826917238	22.0683733862963	16.1314566500487	-5.43347682932604	21.8668866257006	16.0072336741941	-5.01005000601848	21.3367047668133	15.4321149304778
LRRK2 MAP2K1	-2.10649189349692	19.2660847156588	13.9893781147798	-4.1307884194112	20.305642619281	14.6264808048918	-3.24299376672947	20.509330944723	15.2258485591333	-3.32274674450061	19.9651777582858	14.6885552912357
