protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LTA.LTB LTA.LTB.1	-1.87122360855502	17.9894110400057	14.676235401085	-1.55228004540027	18.7988248081463	13.7500924006614	-2.57148184454956	19.0430132792423	15.1724067028699	-1.93221063251199	18.7046094511224	14.6874897995026
LTA.LTB LTA4H	-1.69493671864747	18.0856989696367	14.8147907277232	-0.993156570524962	17.4333359586307	12.9756727187171	-1.32262163372001	18.2829890560282	14.4312639496053	-1.32848772433259	17.8772083039883	14.2156002533851
LTA.LTB LTBP4	0.66283396034139	11.3684475924646	8.82570706931381	0.244316486781159	14.5665488799792	10.8214693275362	0.407719387595101	13.4968230414315	10.3050722757354	0.469683094933134	13.1564001012622	9.97002863510317
LTA.LTB LTBR	-3.31988327795818	19.688282802715	15.5814079756763	-1.15803858826844	18.1999104093048	13.4600020601871	-2.69600221164936	19.2573586234209	15.3927813072247	-1.89024745355912	19.0737664754387	14.8531416941772
LTA.LTB LTF	-2.11431861496012	19.2281109785535	14.3749514907224	-1.12628211210483	17.4008221247496	12.7083445417042	-2.54319325380259	19.0831116927614	14.5100149090833	-2.04387593659037	18.5542124232924	14.2965835673925
LTA.LTB LUM	0.144292208450175	14.7774372220609	11.3761390938439	-0.433447623874487	15.8685896628147	12.5197571993594	-0.0194366120047427	15.904352066473	12.4988785000659	-0.116502430686594	15.6001887975189	12.1630961671792
LTA.LTB LY86	-3.63228225538881	19.59265541198	15.5689536159913	-1.15847522798812	17.9769687752764	13.3638306661756	-2.17716741417411	19.3877344834835	14.9439866805063	-2.11547341949735	19.1775079890669	14.8477782566997
LTA.LTB LY9	-2.54420581561391	18.6309302170466	14.475140694561	-0.724841716920948	18.2777767933348	12.9712274973894	-1.34984157141617	18.7451770024075	14.0377662127027	-1.67084216369898	18.8769272486066	14.0682414479167
LTA.LTB LYN	-0.728221784057294	18.121866313456	13.9008370752856	-1.08923110710284	17.7781281238081	13.0423523808382	-1.25010970092419	18.8704812077933	14.7009923308508	-1.13237587503946	18.4153125926305	14.1879407229411
LTA.LTB LYN.1	-0.873302453504331	18.1565899316832	14.0132796545709	-1.13180813534326	17.3474062880064	13.0218259387789	-1.53710734363514	19.0441046954029	14.8611692303972	-1.31645885846334	18.4439651468865	14.3612365801621
LTA.LTB LYPD3	-3.47532773999304	20.0586680143225	15.6749673187347	-1.88535583426075	18.0433268404849	13.8844683750624	-3.00662075693073	19.5740060829033	15.4131683979886	-2.78182851825479	19.5723988585584	15.1666473321605
LTA.LTB LYVE1	-2.5230331797971	18.830719484687	14.9564884077188	-1.41321162837185	19.0137981188468	14.0979591634925	-2.17892288921202	18.811900912753	14.8718478393585	-1.96717076501157	18.8501701056684	14.7937822283517
LTA.LTB LYZ	-0.427171793836681	18.0831780392375	13.4887207761397	-1.24552722882978	18.047316387655	13.2355669994266	-1.13852679020656	18.6034046495004	14.4190878814764	-0.71898603099124	18.2858224974725	13.695369879704
LTA.LTB MAP2K1	-1.70455548533701	18.8852531494685	14.7742236610499	-0.958720401598615	17.4636410844641	13.1502315477366	-1.42456916350641	18.6776659829037	14.9123511742257	-1.34254305678636	18.4989688421627	14.3373158905175
LTA.LTB MAP2K2	-0.296021583373928	16.6884915230482	12.9162698711008	-0.180115028867701	15.586562192312	11.3733702258262	-0.251269255089962	16.5246846567685	12.4740602602299	-0.301381749533523	16.2954059421992	12.4080283617003
LTA.LTB MAP2K3	-2.74615909035457	19.7204722359667	15.4104654590181	-1.12649730109418	17.3289793348249	12.50674824257	-2.25249277251938	19.7276235380033	15.1948579101472	-2.25455890408975	19.1005723037542	14.6779785414219
LTA.LTB MAP2K4	-4.33925648349206	19.5339722304881	15.6993970239567	-1.61620602109405	19.2065976119403	14.2896232522182	-3.50608586814444	19.6562877460478	15.5372624641236	-2.52725589511087	19.5243265876618	15.2720139129878
LTA.LTB MAP3K7.TAB1	-2.11442098422442	19.3468075969411	15.1743041999314	-1.27380590079726	17.5048331577836	12.6766964629243	-2.17632934545599	19.4756451926807	15.1760957967805	-2.28195150048856	19.1700858029354	14.6575220866641
LTA.LTB MAPK1	-3.12570516668072	19.5943189504249	15.113048690595	-1.10486263197331	17.8574556205132	13.1537447045331	-2.32870139978004	19.2547539344991	14.8155098439063	-1.80160498120925	19.0594564183485	14.6647180331427
LTA.LTB MAPK11	-3.47751219582465	19.8749147841122	15.8119268288023	-2.06046028492214	19.083647732443	14.3584469316158	-2.97799028551882	20.0257088113548	15.5484986032625	-2.76102255671855	19.6367585651954	15.3006980142509
LTA.LTB MAPK12	-3.14394872922617	19.9154891207035	15.6284029641429	-1.29139178912136	17.9156344940369	13.0315337211476	-2.94572547365159	19.4304667640736	15.3317118740506	-2.18776875753041	19.3416783306391	14.8680655677173
LTA.LTB MAPK13	-1.19309740096615	19.3710281313464	14.6398411137395	-1.51319535746607	18.8641794359988	14.185840081465	-2.72816179162368	19.6234976920553	15.4233350440807	-1.81092335616636	19.4374777644593	14.8845679364119
LTA.LTB MAPK14	-1.91246118313441	19.7084070277959	15.1197383423513	-1.11464186388786	18.1254339026201	13.3858111968478	-2.28435632182045	19.5340412068244	15.351512908458	-1.69206452845325	19.2574775139686	14.8116456060284
LTA.LTB MAPK3	-1.80186397305411	18.5868113927005	14.7229740952621	-1.20282308259249	17.6693519712997	12.9679966842031	-2.04048849145096	19.4285212051432	14.9241086006378	-1.62094536089393	18.768731994368	14.4600614964328
LTA.LTB MAPK8	-2.28231176634194	18.8217869982753	14.7923550233333	-1.5568565748968	18.6763313232932	13.7427070731049	-2.38518030112341	18.9741016019747	14.6520600738284	-2.30674748027204	19.1936324169336	14.9305225913351
LTA.LTB MAPK9	-4.74401347852254	19.3925301772802	15.2185764590007	-1.32373239987924	18.3626603463426	13.7978815914301	-2.96923157525842	19.5683929818771	15.4079396839627	-2.49154605112329	19.0976639207168	14.8454546888531
LTA.LTB MAPKAPK2	-1.50567138844708	18.585626619289	14.5167654736093	-0.651750472980683	16.9294896265613	12.3639346393607	-1.40147602408481	18.7833510473986	14.265735326035	-1.35299247673235	18.3865654985674	14.1005328895104
LTA.LTB MAPKAPK3	-2.62460508439715	18.8160403477074	15.0665990049185	-1.05432464170879	17.8454880169802	12.9538886927965	-2.29299145064455	18.834479163717	14.890325837248	-2.0916737771244	18.9366563393284	14.8354859882812
LTA.LTB MAPKAPK5	-3.5306382833264	18.9219318766885	15.2116658609447	-1.67862417374141	18.7409600708001	13.7064363058333	-3.08131487276469	19.6440190024118	15.4429211667347	-2.47017334477823	19.1878201180277	14.9139421267337
LTA.LTB MAPT	-1.9626212158899	19.1065406454045	14.7519929179518	-1.04081175373113	17.3981861744294	12.5848082754768	-1.78298692879989	18.6105696677262	14.4130072429539	-1.47413436002695	18.5113377173948	14.0561418775278
LTA.LTB MASP1	-1.3125607803606	18.1007369831591	13.6460212842957	-1.24688938335691	18.0231746631982	13.211054865924	-1.96780886026563	19.0942593767902	14.5766079716038	-1.35407823070439	18.3312354688396	13.9032662392813
LTA.LTB MATK	-2.22852083406416	18.3283156490765	14.8533081537966	-1.53331417895147	18.1165858040878	13.7091719113225	-2.32239914675988	18.8743472751722	14.9262832812364	-1.92541131073456	18.3771696978695	14.5422111347848
LTA.LTB MATN2	-0.442705003203974	16.5041324444155	13.0660921342805	-0.764050628652207	17.3618118188519	13.0197720438984	-0.721551635881788	17.4420237005653	13.4968721809862	-0.66434782848787	17.3548645352103	13.3920549589885
LTA.LTB MATN3	-1.15238083797671	17.8373470511134	14.1891931732494	-0.367282515674135	16.9511509999214	12.2490638457914	-1.42719160783332	18.445153154258	14.4558115428316	-0.918501737729785	17.6844290372128	13.6409417942072
LTA.LTB MB	-2.18124367671447	18.7880508625134	14.5565035154938	-0.53601302067461	17.0056596880713	12.7346970180007	-2.06125193454098	19.283932366856	14.8822778694253	-1.45871841198954	18.5419192890756	14.2840521338083
LTA.LTB MBD4	-1.04735631954742	18.1347819662396	14.1865590269524	-1.43057604167909	17.9732430809581	13.6147326365042	-1.58812614887627	18.4709744341715	14.4883894430584	-1.31929225992367	18.1596929066404	14.2515161372862
LTA.LTB MBL2	-2.30460443066522	19.3484207513027	14.9247042519168	-0.979244047217437	17.6056803123476	13.2646722315262	-2.05708135262267	19.3918898725953	14.9194329795987	-1.78424670226781	18.9525920822731	14.7068391386182
LTA.LTB MCL1	-0.631910192770762	16.902545955907	13.3124809439554	-1.22826019768049	18.2156110982669	13.482839122831	-0.944500074219402	17.9966197506127	13.8467029386392	-0.865176883484302	17.7504861391442	13.589715148552
LTA.LTB MDH1	-2.5097987865425	19.3698273124386	15.0179283563127	-1.89384341719979	18.7726349720365	14.1829362644544	-2.41868268715972	19.5242124736713	15.1073820653881	-2.17671829244851	19.2910994627046	14.9041759792284
LTA.LTB MDK	-0.0758173087972001	16.1495479302816	13.0349960043498	-0.491923618604389	16.7243138732788	12.5649133913338	-0.896404776409745	17.3577687662164	13.8602346153935	-0.447790100847098	16.7316947775847	13.1938526842207
LTA.LTB MDM2	-1.74878173087921	18.5948365659643	14.8407262636806	-0.820351190907682	17.6340246135158	13.2462507693272	-1.53203608692438	18.678471696863	14.6564859776606	-1.65684681226373	18.464489243135	14.6107620279581
LTA.LTB MED1	-1.07702102074539	18.463431123868	13.0306953903723	-0.603655404480411	17.1808830188796	12.6719068048666	-0.872598543902687	17.9530348291477	13.6155001722161	-0.853424267973236	18.0815834509743	13.1058964302303
LTA.LTB MEPE	-2.3126881121746	18.4339386656425	15.0387274247104	-1.59336952870019	18.0393994150127	13.4197723216957	-1.81961147789188	18.5585672003173	14.6220826460927	-2.00296951767341	18.4712063994151	14.6929019314184
LTA.LTB MET	-2.35655374214515	18.9145635375628	15.0316964450983	-1.21271933997354	17.5775627272192	12.8188666790723	-1.38297963202959	18.4600058079747	14.0355096939725	-1.99918472277799	18.6012513879324	14.4926720031112
LTA.LTB METAP1	-2.83307822433611	18.8735011764702	14.9589674017758	-0.518597042233854	16.4393065861807	12.1724149508779	-1.43460984314826	18.175036306761	14.0119264999518	-1.60387423674995	18.2243775370255	14.1188118029555
LTA.LTB METAP2	-2.08706752312567	18.2759445500652	14.3077576964532	-1.08162775584593	17.7124194892275	12.8459609806168	-2.31698544393726	19.4501632782779	15.1845903728168	-1.63751603391511	18.6547272708835	14.3813194950659
LTA.LTB MFGE8	-2.06816952599909	19.1636123817283	14.9979077410767	-1.00048717341426	18.063537773628	13.6251758039636	-2.64699560649569	19.3014468858718	15.3771775362616	-1.82342884077178	19.0500347726148	14.8119493618639
LTA.LTB MFRP	-1.55406953202861	19.0806809952394	14.9086720332101	-1.49497858504268	18.6948212376084	13.9826274289133	-2.00373281994114	19.3440942516428	15.2009110815803	-1.7487096675054	19.2035574274711	14.7624357357229
LTA.LTB MIA	-1.98455722514905	19.5951082046397	14.9129611294605	-1.84948432243092	18.7670211536647	13.5974173558034	-1.82195570324923	19.310420417839	14.8713650153552	-1.9090451120406	19.2759129217262	14.5105778583771
LTA.LTB MICA	-3.57520090619682	20.6500862734379	15.8273372242419	-1.12874251828775	17.7780185430083	12.854245076192	-2.67451010234682	19.5078333402536	14.9757003385285	-2.38446110192926	19.4749490772275	14.8643936253281
LTA.LTB MICB	-2.14070171272411	19.3932088992798	14.708430105279	-0.822160624725228	17.8988184121285	12.9667736782359	-1.54079602814839	19.3863763021532	14.6165535035178	-1.3667435032071	19.1510317309705	14.2693870932512
LTA.LTB MIF	-3.70491612370776	20.2683801270183	15.6213527612073	-1.35385104847124	18.3905806527395	13.5514281981862	-3.03893473961909	19.7691424502733	15.3328115863019	-2.67395846643422	19.5476300997975	14.9528483312379
