protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LYPD3 LYVE1	-4.43977289993328	21.0368904136384	16.0464443937596	-5.97485364778885	20.4541802449062	15.3584336094635	-4.90230624518763	20.7774522383088	15.9874137359993	-5.2820797649607	20.9509971264243	15.9581000142636
LYPD3 LYZ	-3.8162574394967	20.0521437140844	15.3589724228402	-22.6229412273678	21.2098810005483	16.3494324493243	-8.95066252514933	20.8093741730653	16.2901603631237	-7.5417003233613	21.0202612647857	16.2945742758122
LYPD3 MAP2K1	-7.75047598160642	20.2115620961079	16.2549797567086	-4.44293279981051	20.1021648678818	15.5065988795107	-8.04543932073928	20.5955512128438	16.494708470234	-6.58094299966962	20.6830225809566	16.3178596977902
LYPD3 MAP2K2	-0.876180574139005	17.8269109565484	13.9665815877427	-1.11061679417849	17.7145797563527	13.2209784240085	-0.856474516183867	17.9056445001916	13.8690455716588	-1.19964406951282	17.9745696315399	13.8015388634985
LYPD3 MAP2K3	-13.7426700095736	21.6812342680551	16.3887548688236	-3.50143117053995	19.9514954162107	14.6467596942285	-7.21315979538339	21.2959772400438	16.1449859356258	-7.59258582219231	20.9876582296409	16.0211696501229
LYPD3 MAP2K4	-12.8591425631094	22.0813943067473	16.9540581439953	-16.6028511808967	21.078263402123	16.2191466141201	-18.7421573451394	21.9348656682289	17.108560586286	-16.8293914628594	21.9354273996277	16.9862867561661
LYPD3 MAP3K7.TAB1	-12.9391151757376	21.3428505899998	16.7189978222236	-7.47967711730142	20.6878902451554	15.4744308228379	-16.5636778486909	21.2899951560631	16.6297606356305	-12.5411452826576	21.4065210210465	16.4677418038996
LYPD3 MAPK1	-7.34078419425968	21.1341366324395	16.0464875153573	-3.54443675180105	19.5836687454629	14.763694111397	-5.49835128130451	20.9694904379703	16.1681045366072	-5.34350754328116	20.7662925137369	15.999574332567
LYPD3 MAPK11	-7.01771384345918	20.6864793931673	16.1810751100029	-24.3584620920048	20.9681964737597	16.1667186396572	-14.3565889201379	21.5409635969192	16.7512910054973	-13.339909799171	21.3155196274773	16.5583985051906
LYPD3 MAPK12	-21.3200332218192	21.6186936560552	17.1951490127232	-5.00580739974908	20.289081799303	15.2953277702227	-11.8255506641463	21.5401776590589	16.6737724685923	-13.0715908485807	21.2977378617153	16.6015946637642
LYPD3 MAPK13	-4.76673981009486	20.1710573173063	16.3790450093105	-4.87534763388376	19.4456292005489	14.7375104416326	-9.43925974857018	20.5281701136032	16.4325187335101	-8.36297416541155	20.3953076762664	16.2177158578846
LYPD3 MAPK14	-25.3420113205925	21.4468058720411	17.2150091579145	-6.65026885638309	20.6730910120272	15.9044334999716	-19.6985595241651	21.3344900475579	16.9446458436557	-12.9058394184853	21.404871320995	16.896979126643
LYPD3 MAPK3	-8.03469341314666	20.8542599210817	16.2541506171939	-3.41935371699324	19.70622836419	14.528609896183	-6.6986416557502	20.8669713868686	16.1805764901688	-6.01701232733925	20.65671209729	15.8152009300234
LYPD3 MAPK8	-8.98503613561514	21.1521077569777	16.4241681888831	-7.47072938667946	20.252244654431	15.657254296369	-12.2213333190551	21.0032828581646	16.6521706920886	-10.7054250095188	21.2765442113064	16.6369754914431
LYPD3 MAPK9	-15.2387528148531	21.1601370218877	16.6952599437459	-11.0903455812079	20.3906671261835	15.7071063979317	-17.6312380721192	21.1386162795677	16.9402198634941	-16.4343992137763	21.0980986527979	16.779794141865
LYPD3 MAPKAPK2	-3.72592148653583	20.8140383476238	15.9566442850548	-3.86685504604576	20.0504332761052	14.9750516024064	-4.63242675293492	20.6368409919877	16.0485202303458	-4.41197086673126	20.6180761558632	15.822341871127
LYPD3 MAPKAPK3	-8.70064743036442	20.8219370321688	16.4864920823342	-4.91322795988963	20.3598503865143	15.1472091939235	-8.37053104344162	21.1081381922255	16.4662109453795	-9.12957169325394	21.1296311263225	16.4075681010454
LYPD3 MAPKAPK5	-28.5596719031663	21.8583113629024	17.2491059969735	-11.3613931217092	20.9061459748395	15.9158117815381	-33.5825322638305	21.7678025364967	17.1755990370118	-23.6557771561389	21.876717244664	17.0662437101306
LYPD3 MAPT	-2.77763837540208	20.1322943698875	15.7020660323181	-11.5743974506369	20.0401323715237	15.6266893959013	-6.19542162488778	19.9983028986573	16.1619448658936	-5.4164223888913	20.3374991061926	16.0789758076421
LYPD3 MASP1	-2.25618391126611	20.6108292681329	15.0802245753518	-2.30706864444717	20.4428688369014	14.9831598229936	-3.4299236473912	20.7789168888016	15.4221313607622	-2.65549547276258	20.7362430760738	15.2635146744626
LYPD3 MATK	-3.45406595412587	19.4288812286335	15.2263872517024	-12.7441034744075	20.6979809896706	15.9890093734015	-6.60889894999622	20.3621431241119	16.1912315709732	-7.32581639887116	20.3811150111155	15.9323143417864
LYPD3 MATN2	-1.2844431550754	18.2667043880891	14.5857632779123	-6.19317281552857	20.5102880608905	15.4227028886126	-4.33619090029483	20.2699420991158	15.7221622270757	-3.02113609606036	19.5846171340741	15.3011646935638
LYPD3 MATN3	-4.85934768239964	20.2977403509714	16.0132636960582	-5.24426147894485	19.1239091622456	14.9605045109809	-5.33376544118615	20.335087284075	16.08166321452	-7.35339203917245	20.3190595015109	16.0799643510823
LYPD3 MB	-10.186424886462	21.1004378668147	16.7743886510274	-6.57402862590621	19.7397384610852	15.0182185601978	-7.62266790462865	20.8470567515539	16.2567801355428	-9.02542393500854	20.7959049207376	16.30640263172
LYPD3 MBD4	-2.96175309548556	20.6705961524788	15.9216172368061	-3.56130333692781	19.0838657732904	15.373463050778	-3.64250349512875	19.9554543323643	15.9241908797101	-3.70997850115631	20.0142662593095	15.9245808323859
LYPD3 MBL2	-15.904316158573	21.1254829013898	16.6547040253404	-8.34505192662701	20.6114788353582	15.6595007987209	-10.4434144718651	21.1141521375033	16.5110566350262	-14.0284484612784	21.2771646321886	16.4794607190104
LYPD3 MCL1	-1.59706560344683	18.208228219377	14.3008133752782	-5.09739429914284	19.5038739282085	14.6629171541326	-2.94257210468992	19.2049418963803	14.7898421846526	-3.06639016755813	19.3634777721915	14.9497188209966
LYPD3 MDH1	-13.7576969481807	20.9287328062211	16.4078103854551	-10.0315006658895	20.390147279345	16.0168136044087	-15.0944997923203	21.4759343365316	16.6544229014541	-15.6484852881954	21.2430026055432	16.6505745613136
LYPD3 MDK	-0.437162513517475	17.1427457444594	14.0159937595456	-0.857166640297639	16.9974523230909	12.3539610790655	-0.855644775792095	17.6619939269804	13.9759500298601	-0.609571636866543	17.5114642125729	13.583869185009
LYPD3 MDM2	-2.32381207214991	19.7812353762933	15.714730998971	-4.98195078941949	19.6419134154004	15.1530669347214	-5.08485558242315	20.139903912313	16.0761836203289	-5.46442314127922	20.110223887782	16.0502881819925
LYPD3 MED1	-1.13957955405242	19.3820212637161	13.6757840466019	-1.45828930822306	18.410058726021	13.6968796842969	-1.46806495532297	19.2278809417133	14.2804303068812	-1.41130038889284	19.1522751346311	14.0228382202292
LYPD3 MEPE	-3.59667312204996	19.2294225829117	15.42213676049	-9.39796109273122	20.5968332474933	16.029103641563	-4.99046863772399	20.1844132492132	16.2611294569502	-6.57024367851188	20.1974643134376	16.0441833305422
LYPD3 MET	-6.304850513981	20.2449086507052	16.0126461912168	-8.08441535510193	20.9753477172237	15.6364056931814	-9.54198898202999	21.4074162867414	16.3846912240545	-8.92846891237096	21.0196069869799	16.1699986409482
LYPD3 METAP1	-7.6702837633524	20.6677510184053	15.8532008022835	-2.2720726157529	19.3257029713111	14.1411580444524	-3.71723419554025	20.6255720744057	15.807008372064	-4.57015423445654	20.2414282993933	15.5380736866918
