protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
LYZ MAP2K1	-2.71799511843801	19.8526190415868	15.2173069275715	-3.32794482060478	19.4299532987754	14.8943324522996	-2.14802745993939	19.7055921803286	15.3007750633763	-3.12793746017306	19.8848057704187	15.3803403330647
LYZ MAP2K2	-0.347378770707935	16.6639848114351	12.3197744855925	-1.33645052021293	17.8073647974842	13.1083833745911	-0.619307114397143	17.543672108774	13.3502287543562	-0.759258582176909	17.4340955744106	13.0786822780913
LYZ MAP2K3	-2.59747729604523	19.9894498080931	14.9858703360813	-3.02510318759554	19.7905205685713	14.2888611141342	-4.02106168843705	20.1486895558068	15.3448109823297	-3.00118102710267	19.9984324474555	14.8804439412923
LYZ MAP2K4	-2.35551859723077	20.4954603301726	15.2733602936807	-6.78326012903724	21.4402381514146	15.9823738215791	-4.56023601042221	21.5180127308605	16.2962876130085	-4.1325534142269	21.2375590389307	15.975006720992
LYZ MAP3K7.TAB1	-3.69293194211262	20.3193544062132	15.5125403775742	-9.47104149995665	21.1894350765819	15.5823292793348	-8.87007013510772	21.009362149196	16.4360126731114	-5.9298253033429	21.1846630189006	15.8848673150982
LYZ MAPK1	-1.08640292366344	18.0175023491634	13.5616276794924	-3.05273513742404	20.0767937180967	14.9110966223649	-2.13775463124701	19.5819220328403	14.823503803446	-2.34306820727228	19.4235499635027	14.6887721675215
LYZ MAPK11	-1.91690204432737	19.214375128953	14.419144285342	-16.8855580207699	21.4468265870577	16.4832002091244	-5.00935607398244	21.1748431533741	16.185287546218	-4.72257174229861	20.674993093677	15.7916940819115
LYZ MAPK12	-2.89476686000503	20.0001454598301	15.5303156118898	-11.8985095619768	20.8512396469477	16.0989078960493	-6.28797529205702	21.2016944993532	16.4612875594408	-5.26972929896164	20.818486803911	16.1165978105394
LYZ MAPK13	-2.14872825697038	19.515658865989	14.4342493884503	-10.6205617485438	20.6313034589908	15.4116960136175	-4.33064515020633	20.345814708527	15.8396100315334	-4.46722969596916	20.4419585266383	15.428037243684
LYZ MAPK14	-3.21336392353939	20.5032713402545	15.1898450288977	-7.35016545393119	20.9588630010465	16.2028628568306	-6.38572990228704	21.0462474264451	16.359842831177	-5.20203863024339	21.1056618929027	16.1312400105691
LYZ MAPK3	-2.79352370577866	19.8700642227599	14.9299983403966	-3.55801791132362	20.103550120238	14.8301566412535	-3.73283986620003	20.5319260923189	15.561654270183	-3.72107373690937	20.1988221766354	15.2387597739119
LYZ MAPK8	-3.254008776581	20.6548057556693	15.1608868003002	-9.4153470757094	21.2892430859501	16.0870228647744	-4.91773486837697	21.1398149561607	15.9062908923817	-5.57109529551947	21.0074603401843	15.8795079287315
LYZ MAPK9	-1.91227896445984	19.3912711300628	14.9319251816388	-9.56647205567683	20.6050440214183	16.1180339780072	-3.73260562677984	20.0066822065021	16.0831572734092	-4.38236051934751	20.3221749153214	15.916608342659
LYZ MAPKAPK2	-2.61845514669351	20.0097191800844	14.8088941487092	-3.1935093434851	19.8509735679569	14.8526647055137	-3.25743474064108	20.340291542273	15.5584609910071	-3.33430048327438	20.0475463140788	15.0934333332953
LYZ MAPKAPK3	-4.46858784026728	20.1887216627858	15.4879142994607	-5.89286365237309	20.3773051867434	15.076241489858	-4.85281243626439	20.7966249324919	16.0213976459297	-5.49479962067449	20.5730888294587	15.6561392780502
LYZ MAPKAPK5	-2.8472291217884	20.5892669246738	15.6072789565608	-4.4387810948117	20.2349218648334	15.3526671025121	-5.73449042974564	21.3275205904008	16.4649329790604	-4.78407787709032	20.6016891256297	15.9129826605186
LYZ MAPT	-1.51168914065905	18.8940493054598	14.300823053573	-6.2897872508172	19.976445055697	15.130445355684	-3.29761442118426	20.2931966005945	15.947912998254	-2.87022098255957	19.843082235213	15.1109931694544
LYZ MASP1	-1.52523557245672	18.7664225784107	13.7463126171385	-2.5705226695277	20.4978208582247	14.9761044287005	-1.85998692342306	19.8146562424136	14.4790022613811	-1.99223393526654	19.9139813215986	14.6570039915946
LYZ MATK	-0.979814260856982	17.7626639133437	13.1671702357599	-19.3813844137666	21.491200580013	16.7378772525597	-3.79233873994392	19.9947537800746	15.7450562836006	-3.78110254743565	19.91511317067	15.3154773102008
LYZ MATN2	-0.552490197849455	17.6950657071128	13.2815957448749	-7.18235417974494	20.8944472157026	15.9416414048013	-3.03657361146844	20.3730189675729	15.6033086399477	-2.047121368409	19.6590211441714	14.8988966149083
LYZ MATN3	-2.2161113347448	20.066857759734	15.1668655149784	-3.4855722201338	19.8189269394374	14.9897137353481	-3.87058778167655	20.6714201328788	15.8448464882443	-3.6878764712925	20.1939172495305	15.4484020083524
LYZ MB	-2.25102748768728	19.7542370761102	14.8936727056874	-5.44424827392348	20.5576638036912	15.4206836712696	-3.16913602835932	20.8725981858072	15.7742583389795	-3.77105710478507	20.5059080284574	15.5450037875466
LYZ MBD4	-1.41032709371384	19.9150553505214	14.980652996852	-1.4904034869895	18.3593216946792	14.379276698423	-1.56432404815648	19.6009120320196	15.4763493324974	-1.50243192576283	19.4440190166581	15.0588064204246
LYZ MBL2	-3.71035633895487	20.0831066357753	15.1896068745686	-13.0575556230047	20.61870815723	15.6657066005045	-6.01862270820546	21.1991369976975	16.4198958505151	-5.95944445619405	20.7093066117833	15.9652223817507
LYZ MCL1	-1.16510572438332	17.9085531318734	13.72206838799	-5.01720068265387	19.876190311088	14.5170072055627	-1.85585744619995	19.0556214176291	14.506447867541	-2.41405597086742	19.206158929184	14.4717860251229
LYZ MDH1	-3.65908265424769	20.1102686791445	15.2741935485669	-5.46525152557086	20.9644829646455	15.6759373631553	-4.50976767220662	21.0585394833085	16.1679843428606	-4.90436214508175	20.678945915073	15.8872440973227
