protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MAPK8 MAPK9	-8.64515025781786	20.6566670353055	16.0637196610952	-5.68546248174345	20.8036298370041	15.9119788731976	-9.64935223588189	21.0543302072786	16.6568943147455	-9.16711863073395	21.2115705959726	16.5504436382993
MAPK8 MAPKAPK2	-4.14665338343209	20.9840617599063	15.5379351272337	-3.8391768920177	20.25546556434	15.0917475553445	-4.37705790825852	20.9746391700554	15.9235193687375	-4.26641540668801	20.9508650482126	15.6624339697197
MAPK8 MAPKAPK3	-4.79025920973786	20.7543060452277	15.7507321266042	-4.92063875254286	20.6884571577382	15.1156498457117	-8.66906624252308	20.9777380003178	16.1405203597784	-6.78174678361327	21.0181305477015	15.9973870740063
MAPK8 MAPKAPK5	-7.796365634195	21.2714729253756	16.1122870813441	-4.83975106254833	21.2565419607811	15.7397491395366	-7.72882776478169	21.6511624738283	16.5109999078051	-8.36571253400871	21.5671600124219	16.4233359833315
MAPK8 MAPT	-2.8283667884778	19.9287679951211	14.9695400899906	-3.81097800902888	19.8010016424671	15.1127415044139	-4.1099412221546	20.1936702825046	15.5613352441242	-3.65760090055186	20.4389863625774	15.5119563877872
MAPK8 MASP1	-1.37478024021671	18.5502098585644	13.9233144391453	-3.76899984253626	20.161066360295	15.1192977518529	-2.64889764932673	20.0700479171106	14.9678508203698	-2.81488573254333	20.0778563212291	15.2007061578741
MAPK8 MATK	-1.85875581064453	18.9791449634836	14.5090872302168	-4.55921478091932	20.8593422935021	15.2493954134025	-4.04870097564793	19.9490140951917	15.3856097707115	-4.13882942069877	20.2086152995228	15.4292392162657
MAPK8 MATN2	-0.866073485163053	17.3761353427076	13.0479635491971	-2.89369291648125	20.024373696729	14.6219018452489	-1.50260855967577	19.3829834599415	14.4204174209732	-1.85561892885477	18.9635553762362	14.2797760656388
MAPK8 MATN3	-3.51714187679042	20.0433069316373	15.1495640346555	-1.67260819896416	18.9844054656846	14.0398565583243	-1.86032570127483	19.6065695237216	14.850627135168	-2.76373348174689	19.8274415294307	14.9997988073614
MAPK8 MB	-5.46400966867602	19.9733061254401	15.3585071296699	-4.93999812011648	20.3016916754299	14.6312996686652	-5.37666263032993	21.0316193427109	15.8580882517443	-6.10452474205572	20.5477782047207	15.77573133259
MAPK8 MBD4	-2.66888593313012	20.7598879887361	15.2825784235004	-1.285991500949	18.6758451353589	13.8902255162997	-2.22872688494929	19.770454907429	15.1402806134235	-2.28937772836744	19.8462044100037	15.0670116758428
MAPK8 MBL2	-10.3112857799189	21.1012212663641	16.2080555512774	-6.48218902861779	20.9723102331582	15.7047518387845	-8.96171953521372	21.4488997431017	16.4618310440266	-9.03636513589712	21.2764805228987	16.3117055217836
MAPK8 MCL1	-0.996932610717689	17.5800527371933	13.3691900536214	-2.67830081170211	19.6529387750692	14.3269943328243	-1.38098753812239	18.7949081956694	14.0350354806491	-1.81330398163875	18.8699484065496	14.1955891335523
MAPK8 MDH1	-6.67725802530417	21.0427795947546	15.7593152113458	-3.75459507305497	20.4450853630627	15.3442289117195	-6.0065174656229	21.3042520287517	16.1162603145368	-6.58950829754732	21.0978884058071	16.0863890766218
MAPK8 MDK	-0.180811775420603	15.376057494441	12.0423688091881	-1.05397764042154	17.4366500896787	12.4008399054572	-0.6498243608373	16.8830868491386	13.2416794245215	-0.86323639959811	17.1025911474296	12.9087132689003
MAPK8 MDM2	-1.85411043139126	19.518944621859	14.3834358256818	-2.64845910758423	20.2461520502115	14.8180417544198	-2.93065778141044	20.6240607474493	15.5046950698809	-2.85494825640689	20.3703584876917	15.2441093252401
MAPK8 MED1	-0.883676232986495	18.2641548004	12.8742805948587	-1.5536870198716	19.0976490707279	13.8470655001832	-1.46368312232171	19.1493004112643	13.8337724517644	-1.21236801258291	18.9777074467261	13.6638970013427
MAPK8 MEPE	-2.28384165165392	19.577671703914	14.5210255757918	-2.80037789450552	20.2513556984574	15.0444133351496	-2.58261000999195	19.7574112811141	15.5308124847892	-2.7314977568117	19.9535300716014	15.3475172413461
MAPK8 MET	-3.2376596984719	19.7133084193686	14.9368503135516	-8.13810266617063	20.8082217221027	15.6276194109572	-6.05917149342336	21.3233963317021	15.9359477587204	-6.62393932061686	20.8608762150736	15.9131277497165
MAPK8 METAP1	-2.88163887568201	19.5540559620526	14.5303841995601	-1.7004247393803	19.2267147095137	13.921324072233	-2.85880952298618	19.5241565893896	14.5768438872552	-3.02092191268686	19.9991396036136	14.8676755258313
MAPK8 METAP2	-5.58379938605833	20.3713650431647	15.5786784488763	-3.94451921368475	20.5235515926041	14.9640352694392	-6.36645066731635	21.2097390616505	16.1910583374357	-5.27203836392212	20.8246711763132	15.6752725429288
MAPK8 MFGE8	-7.13966498775955	20.9379463019248	15.9365094121954	-4.68173619003264	21.377996974721	16.2047201110231	-10.9241743940783	21.6314822893355	16.3754850082783	-7.81534485037674	21.6190802607185	16.6192769010905
MAPK8 MFRP	-3.14283859490666	19.9473305180859	15.0714823890944	-1.94481151667522	19.3874979529899	13.688987003324	-2.46662720634216	20.0182511803389	14.7058128461351	-2.79048250017172	20.0836488642845	14.8652635266251
MAPK8 MIA	-12.8948002073044	20.4127012360299	16.4507997545909	-4.54206997736389	20.5935730504784	14.7106040925862	-9.17398060164973	21.4517196452825	16.3648264158306	-9.53173762729979	21.1329272203092	16.1892045373021
MAPK8 MICA	-9.59637087002002	21.1609471273112	16.0875028229206	-5.215234702783	20.3859711404806	15.1619264501734	-8.53363645077451	21.1478464914474	16.3264908522117	-7.89439356945957	21.3669114975703	16.1771230496736
MAPK8 MICB	-4.4844097413172	20.1741810004133	14.6346844172906	-5.35218638375183	19.8401018503684	15.4697002573386	-6.43768586581027	21.0238569055558	16.0249931029551	-5.78973380207342	20.6495332211701	15.7733181124683
MAPK8 MIF	-19.8562926277719	21.4981590477564	16.7625123275407	-8.00262699203132	21.0600183237737	15.7976343414027	-15.4636350003451	21.6048728000345	16.8157431154249	-12.6457262539719	21.6258716993627	16.5913385263759
MAPK8 MMEL1	-11.0074922212986	20.9192001513355	16.4935032694669	-3.11873662262633	20.2050062253826	14.1857352560213	-7.24663863660227	21.4528792040438	16.3604415463353	-6.61335428195274	21.1587780574606	15.983813709544
MAPK8 MMP1	-3.62953538793374	19.3403110553606	14.9986884862527	-3.82368385445178	20.3324143364024	14.6993484715215	-3.51341688393654	20.2045584676291	15.2755667455291	-4.06070013859375	20.3332608909792	15.2813968083656
MAPK8 MMP10	-7.53774094727086	20.4726248905976	15.9600231649767	-5.11233425186644	20.6745712317607	15.2477818083976	-9.62086254269743	21.0388234653202	16.2389708513504	-8.46286840527377	21.1127512175109	16.2006203171593
MAPK8 MMP12	0.476853700650857	12.5864625151107	8.9682959836496	0.366735481706957	13.5250185667983	9.78015339774477	0.384962921874707	13.2952794270837	9.4728968658237	0.398904246842318	13.193444401763	9.66296527471282
MAPK8 MMP13	-10.0895163119865	20.9182334869874	16.4554533928284	-4.61459738812418	20.708175186901	15.6076896110001	-9.25937213778073	21.2913342693124	16.6367112177245	-7.96731418598161	21.2186557985089	16.3565540474189
MAPK8 MMP14	-4.67412493306698	19.8946404428576	15.2972793665203	-5.58607723534378	21.0286794828375	15.7271764381165	-8.16962547995614	21.1276004435484	16.0228960400348	-7.33451492233851	21.1388888821501	16.1465674819637
MAPK8 MMP16	-11.1165179943404	21.2792364735494	16.5969374144464	-2.31480623170628	19.1547982683023	14.248881427736	-7.67883903762573	20.8326296797535	16.4077363491947	-5.59166272114293	20.4473668461106	15.8822233084012
MAPK8 MMP17	-2.19151700961269	20.2582796260268	14.3532003299088	-1.92617741469942	18.9667562648083	13.6798187900342	-1.93033390737077	20.2110872316139	14.6944813262911	-1.89580807207958	20.0857712041942	14.4060727904632
MAPK8 MMP2	-4.51485913632483	20.4156820871172	15.2600167436059	-4.13637899225632	20.3636543481988	15.0689073392239	-6.44023278675971	21.4087721440594	16.3624960396752	-4.81569820513165	20.9756136076317	15.7162562270369
MAPK8 MMP3	-0.317627685237941	16.8745803879701	13.2835730967775	-2.66139292553517	19.4355343726966	14.3263363387218	-1.06973015959882	18.2265807610633	14.2597183791485	-1.20754751268722	18.6022573	14.261073466544
MAPK8 MMP7	-2.02422349627316	18.985110372229	14.2493688263593	-1.98776305348083	18.5405584094855	13.459588840471	-2.14734880174532	19.0626690290484	14.2847435612958	-2.31379520071122	19.0104255730547	14.2462454981984
MAPK8 MMP8	-1.63855234323173	18.4645149882145	14.6766234342957	-2.90498165956601	19.2588345236302	14.9987929333686	-2.40464297368332	19.3333555320017	15.2776338921975	-2.42633099826419	19.470883588013	15.2471000298202
MAPK8 MMP9	-2.11942524704587	19.0961265617378	15.411008850041	-2.36387288795627	19.9758265817772	14.2010634933638	-2.18832713328794	20.2344872362478	15.810047503363	-2.32873700067846	20.2013872846433	15.4196743816849
MAPK8 MPL	-10.3744300144328	21.4121763966312	16.3992119153725	-5.09071268799315	20.0615728108216	15.0293932832512	-8.21356399470917	21.3851551065646	16.4946916529896	-8.1663014568594	21.2714295564231	16.1671928061781
MAPK8 MPO	-5.03158382028236	20.6654182726935	15.6519493208736	-7.9749181721354	21.34679878369	16.1408465968066	-9.21631464252671	21.3810447598087	16.5918385212505	-7.20723738649778	21.1935818247634	16.1410929416514
MAPK8 MRC1	-1.05791834273922	18.052030051634	13.5737447647848	-0.580424794167242	16.1027262286891	12.380639808161	-1.23209008552929	17.922371301432	13.8783593339325	-0.978418662432603	17.4973410091167	13.5022266596725
MAPK8 MRC2	-7.54974576817922	20.5806204791675	15.8712991015395	-6.16213546299872	21.0074471334911	15.4579380324851	-8.56964287002774	21.3573567221197	16.4479326074124	-8.47027741470515	21.2849679710465	16.2874193474297
MAPK8 MSLN	-6.67794038404944	20.6816338664767	15.9875947176807	-3.99209094773482	20.6623519144776	15.2746491505474	-11.0038497508066	20.8817031304595	16.4051490426459	-7.16472678977977	21.0101504308922	16.1429541538624
MAPK8 MSN	-1.97444927948148	18.6505994069499	14.2892225624866	-1.73895056399834	18.8340225719014	14.3173513694652	-1.82863058207993	19.1689908762773	14.971079972359	-2.33341180401647	19.2134069332066	14.8050794623909
MAPK8 MSR1	-3.9170060295873	20.2615932859252	15.5713758138216	-1.1722635857193	19.5799147853642	14.2480315538988	-2.25842382986769	20.3174577996734	15.6391609969455	-2.62483206735561	20.262916816248	15.4843120177733
MAPK8 MST1	-8.79247966379554	20.586514634494	16.0467542570086	-4.4834211230345	20.5556931098186	15.4777044639721	-9.48214980924164	21.053745828323	16.3709237795106	-9.89255173743296	20.9885984586715	16.3652499959798
MAPK8 MST1R	-7.7293329462534	21.342459224248	16.3921327425584	-2.70856447828705	20.683571765286	15.1771274182445	-8.68300701945335	21.2660959404364	16.5676927368657	-8.71603562178579	21.3790058063099	16.4592856018958
MAPK8 MSTN	-0.147973250914411	15.5641248502093	11.5019269728759	-1.0000027644186	17.5156280722293	12.641312532708	-0.569022314760458	16.9387025188268	12.5999850027132	-0.639352155592449	16.8612112199681	12.3665630926416
MAPK8 MUC1	-9.97814974893874	21.6170800951631	16.7201406112327	-6.82247718939158	20.9888911654623	15.5176246544243	-16.9021314895277	21.7988251303168	16.9232743574312	-10.3663504180147	21.522451840767	16.5111188983931
MAPK8 MYBPC1	-7.10004354566077	21.2420316904885	15.8235243511577	-6.5963076290191	20.5708566003388	15.7949033955142	-8.34584398683828	21.5534781613674	16.4686799955405	-9.16586741322218	21.3463519163823	16.3566442178266
MAPK8 MYC	-6.42126242080789	21.2893394478724	16.1985571522955	-8.57198713912852	21.2646934365861	15.8713024600557	-9.71367434184477	21.4608112778059	16.567671085667	-9.52819275604807	21.5399479740098	16.6013452613906
MAPK8 N6AMT1	-4.62316007189142	21.1760425621185	15.6711363400604	-4.85367126925465	21.3058754413436	15.7368699354034	-12.8459548606051	21.638960345238	16.7044503595125	-7.37445919402065	21.3858366280468	16.2293355854068
MAPK8 NAAA	-2.89620240479301	20.2915405713928	14.2494961380527	-7.03996519430052	19.9166732719871	15.7370561673248	-4.42217031367234	20.7217462972826	15.5954506940356	-5.35024467999401	20.8073125162	15.6592978711251
MAPK8 NACA	-11.3199971953011	21.6623097675774	16.5104694360487	-4.23974593073495	20.7682724460572	15.0836038065074	-6.4482940466887	21.2708871514465	15.9837827305894	-7.04337985257351	21.5815703263479	16.1623826702738
MAPK8 NAGK	-2.68010059682662	19.106511442038	14.7809497994748	-3.58197176086896	20.8266244724417	15.0565621937013	-3.96326641130065	20.5365512451752	15.6172739284923	-3.37433958477386	20.2703119966018	15.3521081342805
MAPK8 NAMPT	-0.891659969115446	18.1990368900977	13.7961352551158	-2.10756964720499	18.2949185160938	14.1566371082437	-1.714898751668	18.7798962502396	14.5992295628914	-2.14365356671514	18.667842843556	14.6622524682897
MAPK8 NANOG	-6.05335501300639	20.4858687431915	15.7503824419405	-2.52869024404749	19.422513317124	14.2964601386018	-5.86951415788376	20.4753815780163	15.7644653686486	-5.87840527709311	20.5490996402401	15.8001117066959
MAPK8 NAPA	-4.95093146835721	21.0238419516356	15.6534079954992	-5.41229541952107	21.2868931995412	16.0702938610293	-18.3752077776835	21.7969506461075	16.8839807449998	-7.04762467091687	21.4109534361538	16.3267922461928
MAPK8 NBL1	-1.72424438367855	18.434631590848	13.5880688014087	-1.40695515715666	18.9291908198405	13.1549498417893	-1.73621797655191	19.2569517002378	13.714409833946	-1.54306121810201	18.9666122971601	13.6924616937779
MAPK8 NCAM1	-5.34058024015107	20.5148056777174	15.1754010638409	-6.14948802670266	21.1844564004793	15.9418513918425	-7.81997372280823	20.9957982065359	16.2496654470496	-8.42626346820018	21.2914112084109	16.284645269746
MAPK8 NCK1	-10.3598593838747	21.6263558594966	16.6801352395721	-4.17588319483453	19.9625548910782	15.220082431229	-14.6872070561146	21.2285197821611	16.9462008708298	-9.43459809813263	21.3452165798313	16.7098750477627
MAPK8 NCR1	-6.84649188871683	20.3716373060671	15.803663481755	-4.6613113940629	20.1281213555239	15.2350126720273	-6.52258908613532	20.9127598731172	16.0538574386374	-7.05161018722511	20.9306532086995	16.1551420054309
MAPK8 NCR2	-1.83040593178961	19.2029166154175	14.5531260598637	-2.31809164624579	19.7064191392981	14.4214995017422	-2.49772710401632	20.0558675886029	15.3915302340391	-2.41074264974132	20.0401176056309	15.2329433379564
MAPK8 NCR3	-1.38061239140635	17.3349843120843	13.2885462063605	-2.96881469775088	20.2842059553302	15.1710600875796	-3.49200076071864	19.7832068646227	15.4718665525947	-2.92737507230244	19.6916954012576	15.1238867124039
MAPK8 NEGR1	-0.793713840665999	17.3141642967883	12.8644122993898	-4.27635114575039	20.5310266161155	15.564340580632	-2.79043726277092	19.8407732936857	15.3907231212351	-2.59519151478859	19.2645884474206	14.7759644251623
MAPK8 NGF	-5.18318318347806	20.9565213170833	15.5554286402556	-4.75936553628885	20.0078312152639	15.2651600140697	-9.82832499439334	20.9248018429532	16.3137917024133	-5.7523890987463	20.8195654561997	15.7565548805916
MAPK8 NID1	-5.04708157754265	20.9134580144987	15.5993139106958	-4.48422016644779	20.2533258158693	14.7824379324914	-5.37727536257165	20.9593591216214	15.6461324574161	-6.02631819154698	21.0642179523068	15.8078667910708
MAPK8 NID2	-5.77555714065097	20.9879408999345	15.5660394668295	-6.03001890705293	20.8206484304058	15.5950636019564	-6.06243633482805	21.4414542846979	16.0173158389549	-7.46579181532402	21.3565966345652	16.246107176699
MAPK8 NLGN4X	-0.297840368903533	15.6963697482931	11.4765297191639	-1.25663838359229	17.6822377223428	13.0455472673607	-0.725570397022969	17.0765007148102	12.861401077463	-0.718820554045867	17.0250250089501	12.6170566307536
MAPK8 NME1	-5.77328151001299	20.9011597375601	15.6583421617139	-8.11669204919481	20.900481774364	15.5845327758103	-11.0933171395257	21.4179085371476	16.334885741943	-9.54779543409589	21.3536297769232	16.1170012135337
MAPK8 NME2	-0.58621886474125	17.3138176885681	13.0535351669697	-2.93739259256722	19.5038562538416	14.774918909615	-1.60883447974532	18.9355271879204	14.5979017280781	-1.42697353159278	18.7791031140419	14.2526827135686
MAPK8 NMT1	-5.36177417763189	20.930279189681	15.8564492145879	-7.37193725666675	21.2279794169477	15.925892288229	-5.82624217292225	21.5203382071855	16.3436489286654	-7.26345857478792	21.3825754037306	16.2746964831863
MAPK8 NOG	-7.83952747626435	20.6087585602563	16.1355424936941	-6.25037679624096	20.250757284501	15.06790541725	-6.75263205536436	20.931334348077	16.0268733696621	-8.20996484685259	21.0133257500428	16.094856389553
MAPK8 NOTCH1	-2.64558917012881	19.9684315699619	14.5378930482449	-2.35025764460037	19.6190534276014	13.9735215407668	-2.36865608390921	19.9402489099645	14.6097383836051	-3.27926811569151	20.217812484935	14.9279925542156
MAPK8 NOTCH2	-3.88005586118601	20.9492850495886	15.2629975726404	-5.46820144389812	21.2163567910057	15.3541876077755	-6.16678374898731	21.3581941952738	15.773607644771	-6.49772827509609	21.369581841932	15.9067913049079
MAPK8 NOTCH3	-0.738364655206346	17.1063613961867	13.0282399270319	-1.92515413887808	18.4898758337799	13.2527936718822	-1.50460853039574	18.4907677714031	14.082439523735	-1.50919571054534	18.2582823200522	13.8491215035232
MAPK8 NOV	-6.97007681805948	20.8170017481237	16.3251285225924	-2.18059928203597	19.3127792015147	13.7722642926329	-5.87107790715123	20.3982799500322	15.6415333606487	-5.47766638186604	20.3358982369926	15.5210959847929
MAPK8 NPPA	-0.556047869443846	17.5799468714453	12.6254466602439	-1.53925563654174	18.9534645456994	13.6508184758481	-1.20348149846775	18.5635326107125	13.5273082162714	-1.04635700225727	18.4154666956248	13.4482344007677
MAPK8 NPPB	-0.480183885066633	17.1778612783607	12.2661074197697	-1.4494674215208	19.0547771278291	14.0255367787198	-0.862223161067053	18.4661756895362	13.3835476315523	-0.934053859914806	18.4350708294001	13.5447245011122
MAPK8 NPPB.1	0.263769964218815	13.3610272708321	10.4319775118642	-0.29212890745113	15.6915052911901	11.5591415303112	0.0234018659238475	14.8084286048063	11.3253214192851	0.0589186228099551	14.5733211046307	11.2491748226932
MAPK8 NR1D1	-3.14094290272769	19.5102259656005	15.2134188189621	-1.27497171814001	18.6215347482408	13.3723280325091	-1.68984494097893	19.4948687124487	14.950322614525	-2.67732130328206	19.5742342453484	14.9695366054528
MAPK8 NR3C1	-4.36725221962328	20.0940361802228	15.5900419312425	-3.47594313051265	21.0298507965667	15.675127067057	-4.85574657705907	20.5274920265066	15.8750999780928	-4.41436386697366	20.8971591453489	15.9445106235185
MAPK8 NRCAM	-5.45743645205286	20.1922276414744	15.955144823335	-4.61307736314673	20.0249131937654	15.4324931254791	-6.17139289936925	20.4008904227215	16.1202654713866	-5.7259873053568	20.5560854883742	16.1671124747062
MAPK8 NRG1	-3.54438642536673	19.5437233908957	15.2508685269279	-4.7278650586878	21.244997864934	15.8742022896495	-9.62909090137495	21.2576389134783	16.6028720207296	-4.57340498246106	20.7572087558105	15.8902871090611
MAPK8 NRG4	-4.95968461835561	20.3456104269585	15.9289667275419	-12.5616586840465	21.2325588625422	16.0896315351082	-12.6440220659475	21.7693840112553	16.9745506324368	-10.8734298104357	21.1480478406554	16.4610698179578
MAPK8 NRP1	-8.28076712263026	21.3582566689758	16.2319051824784	-3.68384879133786	19.7771571866582	15.4466075794762	-16.354099988096	21.2395897649075	16.8858349661577	-6.52277992933568	21.0515644637113	16.2597549000771
MAPK8 NRXN1	-2.77915331981192	19.2272110390185	14.7201883935767	-4.88720864157027	19.8533150360298	14.8197409513497	-4.81300652464316	21.0840685503116	15.7969362727249	-4.99112005664912	20.1135990588521	15.3796784334818
MAPK8 NRXN3	-0.879878929842875	16.9758877939519	13.2177938616878	-2.71940034075164	19.3341274950029	14.3346012843172	-2.0421153241936	18.7272848745296	14.7191180386902	-1.75796109496219	18.4725527320909	14.2602638750264
MAPK8 NSFL1C	-0.55057288570757	16.8027030251436	12.6849009462177	-4.93179654027797	20.832625778495	15.9556314372639	-1.85108603228889	19.076553038089	15.0199159092037	-2.24056153910226	19.0906605578425	14.6631161363797
MAPK8 NTF3	-7.08419649414828	20.474653660468	16.1418808301005	-2.14689150225809	18.7696344019502	14.0162422592302	-4.5787757168818	19.8638382371312	15.4859542985391	-5.08086972960777	20.1212692245588	15.6698168711532
MAPK8 NTF4	-11.492229923857	20.7812105750138	16.3238175984918	-4.2249689976008	21.3970248292861	15.5848738352668	-14.2611895459606	21.689379338004	16.9499769045893	-7.65855624274756	21.4814445097733	16.3652038994907
MAPK8 NTN1	0.321056880925741	13.6389828894204	10.5832465944378	-0.607696864256597	16.6906741563409	10.9677794969725	-0.0825810555746849	15.5552704592132	11.3646039987503	-0.073193657187691	15.6061390205004	11.1200635098672
MAPK8 NTN4	-1.67270668281364	17.8883327348537	14.0378006554973	-5.9650342330515	21.1990647575647	15.5891180925698	-7.64142747149502	21.0112793648866	16.15874057126	-4.21891738558801	19.9959035678759	15.347228877915
MAPK8 NTRK1	-3.7005481533413	19.9819459609346	15.4379514652561	-3.68917457668404	20.7756651864781	15.3691806594327	-4.06801420377623	20.4681208455876	15.7483045712539	-4.11321276281299	20.6558227383145	15.7533181796328
MAPK8 NTRK2	-3.65206481578932	20.2374429151001	14.8873963393053	-4.77155645323995	20.5892177201111	14.8048529383156	-4.78393280675235	20.8383606699708	15.5427605735105	-5.31927219253373	20.6938996687038	15.3208764985729
