protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MAPKAPK5 MAPT	-2.4351456057012	19.7915581446308	14.7034918138762	-4.17916426171182	19.6150747581815	15.4115317320297	-5.40641527337957	20.5687267383529	16.2682895662489	-3.76059139688552	20.1828383522543	15.6037212325624
MAPKAPK5 MASP1	-1.92477116537449	20.2922641608559	14.1902753523053	-2.3874832530533	19.7220061020478	14.4652790888021	-2.64532020221538	20.3442157803075	14.8615204401625	-2.34385174475924	20.1931046940826	14.6017608222747
MAPKAPK5 MATK	-1.94611355216611	18.8615714217235	14.4425958810895	-10.6627175857238	21.0038689678147	16.0534939915017	-5.86422080642866	20.6526007892038	16.0867659854412	-5.02107890271492	20.41541223368	15.6715403450381
MAPKAPK5 MATN2	-1.30065553947871	17.9674576998801	13.7625595367961	-3.50918722279172	19.5248469976627	15.0588715725014	-3.86281963040958	20.0612649450762	15.682466231628	-2.78611676481051	19.1866845494127	14.9100540796151
MAPKAPK5 MATN3	-4.21801620847631	20.6233915209049	15.4975309198052	-5.2385856208879	19.3356248305563	15.156400838271	-5.87691740773719	20.3258382556076	16.0371418158438	-5.38611973311084	20.3095485652047	15.6483620496728
MAPKAPK5 MB	-11.6315013795305	21.4711602363117	16.6456699481794	-6.15308509197306	20.1904176483487	15.4151293507263	-9.81180141241332	21.3344663796126	16.5828253051712	-8.97544853453381	21.2076005765824	16.4388028612224
MAPKAPK5 MBD4	-3.70334065058471	20.3331637079908	15.4487032565912	-1.80888308746282	19.2412975184094	14.7236303866955	-3.71640293476966	20.0590250050968	16.1342298170629	-3.16741965856319	19.8520886271687	15.5958702392373
MAPKAPK5 MBL2	-12.2951250790034	21.4954042808977	16.6389178104789	-8.08261792645883	20.920616986742	15.9126602331873	-14.1835225976685	21.6636659890317	16.8473188293326	-11.6960833565929	21.4610305212306	16.6177142591744
MAPKAPK5 MCL1	-1.0487256566636	17.8774628669561	13.9723521738099	-3.70982263145505	19.9068524037165	14.7968757478736	-1.81066108364894	19.3279858590062	14.6621618568327	-2.0460381420638	19.2335796103195	14.6361070079563
MAPKAPK5 MDH1	-22.4523721172951	21.4133057754434	16.8159665482808	-4.88701770678921	20.6020061860234	15.7420635898524	-16.4919792176643	21.4494401515948	16.8986714980985	-11.3521826277705	21.3681194570034	16.7304215148436
MAPKAPK5 MDK	-0.693971923664986	17.358199070936	13.9826020824179	-1.08155052826831	17.4169587784124	13.0967714371201	-1.11586673581101	17.7396720634054	14.1263438647109	-0.904606398724386	17.6469012956209	13.8237423894588
MAPKAPK5 MDM2	-1.58268582344639	19.884913850866	15.363669275067	-3.32755850377666	19.9476282544656	14.9801390304613	-4.30652289538377	20.4819856464664	16.1536083406988	-2.50371105498055	20.2375121754265	15.5922919056285
MAPKAPK5 MED1	-1.5077695314099	19.7277633848637	13.669217800655	-1.3583909469068	18.5097441623768	13.254233770006	-1.61621128500204	19.5043434006306	14.1356664331546	-1.4385472346383	19.2950697603161	13.694878934541
MAPKAPK5 MEPE	-2.57501160301187	19.0981367997158	15.036581350456	-7.62565776429758	20.8902158558432	16.1653506156359	-5.79296413603968	20.3836785332512	16.2834778469626	-4.10039241604855	20.1292020978791	15.8366387819295
MAPKAPK5 MET	-5.42328419649719	20.4876791975515	15.5606851529246	-6.43436881896368	20.9892459773715	15.2935149884094	-10.2553637090562	21.0268282329742	16.006903501203	-7.31648875721195	21.1965094666446	15.9273666612726
MAPKAPK5 METAP1	-6.46972688381046	20.5898170717016	16.3021429690371	-1.18588731340746	18.5808657514691	13.0473364738693	-3.0186746616324	20.1542840784372	15.3217787215346	-3.22031401880541	19.7889602357964	15.1833949216928
MAPKAPK5 METAP2	-7.24531326320059	20.4671762460487	16.2616241114317	-2.9136660777085	20.0371299046371	14.4754975844414	-5.69998273009477	21.3618265343364	16.2204582624409	-5.39723212414677	20.4915653222546	15.6705587191937
MAPKAPK5 MFGE8	-9.59205132756009	21.6797062355683	16.5613907972606	-2.80953079502069	20.2436715707532	14.9059521142286	-18.8501234045177	21.9146742552021	16.9153467846757	-8.12214373711742	21.2523302829077	16.2572672044034
MAPKAPK5 MFRP	-2.45822984021501	20.133015672903	14.8461978303087	-2.3517120902274	20.0219450959813	14.9596416189267	-2.95455077510869	20.4259216939787	15.6368640320803	-2.42502896808669	20.318461026897	15.1471246212855
MAPKAPK5 MIA	-6.06174605349	20.9424890186693	16.2726909027231	-7.28268293595059	20.8663516275789	15.4918792764908	-12.3160675031009	21.2941669717134	16.6591089748683	-8.35459645576229	21.2523290916253	16.3528832213798
MAPKAPK5 MICA	-9.78533056356367	22.1043322809229	16.5248705808404	-11.5262169926205	21.1894273339067	16.0618455196104	-31.1442617297432	21.8857701458566	17.186668820149	-13.7755098345639	21.8233118835431	16.6133249430938
MAPKAPK5 MICB	-4.54009733919676	20.4249500481001	15.4063627969478	-6.59874134646968	20.6223817411052	15.9202930767351	-6.54225324128069	21.339263263858	16.4424156835636	-5.19996235904786	21.1132636827066	16.099787160889
MAPKAPK5 MIF	-26.8555601149243	21.7778226703963	17.0790667213107	-7.85061098269915	21.1338701888666	15.9257745662784	-41.8280368449917	21.9891752618447	17.1624950698831	-14.9277065464543	21.6793477073048	16.803970949238
