protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MAPT MASP1	-1.3805770175798	19.0945295186746	14.2057623589736	-1.82537254986863	18.817119317891	14.1964031272584	-2.19709942636003	19.5106408129318	14.8380519320909	-1.91653149806867	19.4703248486292	14.6299744758426
MAPT MATK	-2.37596395928958	19.552290560336	15.2411999253223	-3.62494772752614	18.6486059481111	14.4584350828394	-3.63523395740954	19.7109053619866	15.2653289109734	-3.92822484896421	19.5696769869141	15.3517120090392
MAPT MATN2	-0.493018508310228	17.159184491742	13.0958384247722	-4.14055005134811	20.4577058464254	15.3155184150945	-1.59790875075147	19.130697567861	14.80130544934	-1.57593450363975	19.1712570753121	14.5509407664349
MAPT MATN3	-1.76762532416124	19.8942342204331	14.8133782034843	-2.55580786936016	18.4681393726956	14.7698950117115	-3.22306856414238	19.7091329035867	15.6390233181365	-2.6790088342436	19.5577557713596	15.1878176409921
MAPT MB	-1.44402916111816	19.042790264336	14.045429693639	-3.15046325307216	19.2422707579388	15.0498142579354	-2.31706236127767	19.5208377759212	15.2488126499339	-2.60366140124752	19.5861927038351	15.084680005835
MAPT MBD4	-1.55479309682058	19.732403245122	15.0128202391395	-1.79438441183701	18.6527805019918	14.1786171263307	-2.83314240405845	19.6387143458464	15.688827361354	-2.08835899081702	19.4468299377841	14.931724055817
MAPT MBL2	-3.23389953202401	20.1904004445283	15.3746915876976	-2.89954106405187	18.5320700460547	14.7065120137961	-4.11188833449358	19.672796670877	15.5688128181502	-4.62222902462846	20.0524053282873	15.6377990863645
MAPT MCL1	-1.42472673737252	17.6949511096251	13.8143605121104	-2.87640018461853	18.7714497506315	14.7207644191327	-1.65610400190608	18.3674616538638	14.4632565188795	-1.95445725633205	18.5826247730595	14.5405572323256
MAPT MDH1	-2.1808778519771	20.1008603505883	15.4501898434126	-7.19106101121945	20.5807569005941	15.7438649583642	-5.87031157985884	20.2640731587381	16.07196833376	-4.08790592967393	20.5117132795108	15.977026383604
MAPT MDK	-0.732700856760423	17.3649641720165	13.8563045537241	-0.607279528781244	17.6236878087986	12.9296208297154	-0.847343092740051	17.5061368750738	13.9134304611138	-0.87252708315897	17.7461930750267	13.7741164637816
