protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MATK MATN2	-0.296875767913181	16.5738793365798	12.5824993925833	-6.62725304517803	21.0371022849842	16.0689870074313	-1.72335496403951	19.6066058231012	14.7882427193802	-1.88354236751056	19.2651245264062	14.6427607256059
MATK MATN3	-1.61065222320708	19.253737505257	14.870071388601	-9.02129974951025	19.9996030842279	15.8639810591334	-4.58591755533429	20.3685805463511	15.9933779915464	-3.94547428583098	20.053189740688	15.6286515681951
MATK MB	-2.11671506645441	19.032553571008	14.8726115558019	-3.89307669255752	19.9268000277871	15.1826708949885	-3.62555082139446	20.0923608538137	15.5559178320797	-3.25419216744547	19.8319806467824	15.3574788681021
MATK MBD4	-1.94711504899375	19.0132870138599	15.1324886854792	-2.37513354792162	18.8406979582817	14.4706727085158	-3.14071513078836	19.7731349812901	15.4184671558295	-2.41129291619201	19.2308284459828	15.1678589408821
MATK MBL2	-2.97256212962155	19.5095840465464	14.8284373291494	-5.37423981300747	20.5169232772608	15.7775167943831	-4.06941091188673	20.3003671637565	15.5819499011104	-4.61792072634142	20.1647780810333	15.6510553166078
MATK MCL1	-0.640662435791675	17.0203953481861	12.83599972212	-4.91799238666454	19.8660892971166	15.1404496254546	-1.66490890563194	18.8354707139927	14.3006318896543	-1.78378116043723	18.6852201119119	14.1398999936374
MATK MDH1	-1.33233442875506	18.9386004087412	13.9281597099085	-6.38226435640167	20.7748046582624	16.0729307069922	-5.24737729886479	20.7106442352387	16.0412715362206	-3.74583022511615	20.1811025191911	15.4779778918596
MATK MDK	-0.221843645181036	16.0775289748039	12.9635218880081	-0.806393481095388	16.9449855073113	12.8859487439213	-0.664431445195304	17.1310308531725	13.4813935298171	-0.543125360952143	16.9864573397914	13.2870759213052
MATK MDM2	-2.7630915472939	19.4045902654973	15.1266909580632	-5.63613169896348	20.1767597556491	15.0431227603068	-4.53581702749775	20.1103540225623	15.3184811174637	-4.74628674531537	20.0158074319299	15.4934695657597
MATK MED1	-1.07231715374796	17.3133827498046	13.0796402888344	-1.17901141501186	17.8578758581311	13.397582900765	-1.10015017255482	18.2603582020355	13.6927448912238	-1.19651575545941	18.1231413255567	13.5760364041416
MATK MEPE	-2.97068421933872	19.2103524764064	15.3465051536009	-5.22468471723974	20.4028549789331	15.1938567697911	-4.88746168717296	20.4075954865223	15.8923992391367	-4.45363583497102	20.0641519311464	15.6634958727638
MATK MET	-1.06407097462525	18.2750286171044	13.7787938694856	-5.45119859944796	20.9140089230573	14.8044621307172	-2.9479714734696	20.2174516652353	15.1938572472947	-2.90153249432043	19.8617033306908	14.786927386503
MATK METAP1	-1.97863549232058	18.7529987294631	14.7337934515245	-2.14807680007661	18.9671203576322	13.7708541962056	-2.33574598298564	19.5354957461907	15.0652583406122	-2.11863907246172	19.1051162243369	14.6443147259504
MATK METAP2	-1.88351103971204	18.4016085834837	14.3589734351811	-2.64555906996868	20.0451993541009	14.6451043524256	-3.45244164585141	20.2622899632814	15.6057966806224	-2.63145514730618	19.5078286868914	14.9418806096306
MATK MFGE8	-2.4750674401092	18.8274083486664	14.9104949039141	-5.76792108838027	20.3798866085549	15.2115581361774	-5.4122346670366	20.3721860947849	15.670557576832	-4.86424591337055	20.1849541222572	15.5760148703771
MATK MFRP	-2.54002614526598	18.9863561221954	14.5057768554936	-1.92412568699217	18.9065466693811	14.13375950376	-2.29002033176659	19.4945211597795	14.6728866072381	-2.25528826051196	19.2002205116955	14.6664366171997
MATK MIA	-1.95165471498337	18.9112072044171	14.8558322922103	-9.1693813429341	20.1466292678965	15.7336210035195	-3.42651151006309	19.78566865861	15.5777786810559	-5.00580759996622	20.1862124570635	15.7350883908339
MATK MICA	-2.67279304809164	19.3980972983528	14.5791580310571	-8.47482507222727	19.9769244387196	15.3050606992588	-4.04075603327388	20.1760352102753	15.5397741401208	-6.1471549406978	20.1748748479366	15.4569619785042
MATK MICB	-2.16875466502724	19.3751836830444	14.6533954416322	-3.49885247358502	19.7174303943401	15.0091421932789	-3.02145578727101	20.398127708075	15.7680378029037	-2.78746176915376	19.8120896106213	15.1981937683884
MATK MIF	-1.19745350938449	19.1552669830336	14.0105936085757	-5.95580325391022	20.5788688907895	15.4667234416319	-4.21820605590101	20.4374055329902	15.6731969096213	-3.02282946852701	20.1214040878151	15.1935524631797
MATK MMEL1	-2.7691000002055	19.9869397023982	14.9604239394757	-6.4144308614256	19.7192323614181	15.3931106840362	-5.00931343968507	20.3162408604972	15.7325533371997	-5.05050938194995	20.2684422726831	15.7010566204883
MATK MMP1	-2.96731130251916	18.736999691014	14.717624407557	-2.36452855683673	19.5428725086818	14.8131628847457	-3.22344013714716	20.0109379717099	15.4990078679722	-3.16486866731689	19.7379897955453	15.2344820530738
MATK MMP10	-1.99438004014017	18.9289095070391	14.6848903150978	-5.38818258110908	19.8179500822658	15.1170221659732	-4.38430465320813	20.3989775209365	15.6554289688773	-4.57299142228617	19.9972812413079	15.4795453312678
