protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MDM2 MED1	-0.530785456851513	17.4456488754353	12.427400439193	-1.1053089258676	17.7782948851785	13.1497239587016	-0.786545908382694	18.1562900310053	12.9584688619638	-0.764441379260699	17.9202976728524	13.1407879826803
MDM2 MEPE	-2.45026870609733	19.314394600183	15.3778905174025	-5.64888872905641	20.2281330925598	15.7175081483416	-5.21372877793873	20.1133155461604	15.8927500997871	-4.52142346922979	19.951283275635	15.8127660747182
MDM2 MET	-0.949259279417075	18.9013261316654	14.5212503778204	-5.90363476097533	20.5271890914287	15.5177882758072	-3.94546182485617	20.5158220514106	15.8239528326188	-3.1579560557261	20.1163481064167	15.5372830081052
MDM2 METAP1	-1.81530168483199	19.7316555672358	15.2317084445579	-1.44763918361454	18.9031031591291	13.6305585126236	-2.05230155326327	19.8531387185967	15.0187140525387	-2.08034930712798	19.4813065837596	14.8020047522549
MDM2 METAP2	-2.32171355613346	19.0808743092506	14.7976887337811	-2.44289522369856	19.7963110672208	14.4243136172609	-2.68391390352624	20.5067584511101	15.5159798378708	-2.78300395461103	19.7755058921818	15.0660422137793
MDM2 MFGE8	-1.8881908517627	19.6868985549993	15.0370144002062	-5.29853508955763	20.4982520132924	15.1889295665568	-4.62373455085349	21.2017341748802	16.0094078542473	-4.00715705427186	20.4306586852068	15.6548674163524
MDM2 MFRP	-2.93184080721323	19.6547914913215	15.5784222566606	-2.03320999590708	19.7308307060992	14.3208841150442	-2.7760496345145	20.0709114498549	15.222920813879	-2.36403040647656	20.1137506640939	15.3204465430162
MDM2 MIA	-2.24490421729994	19.725102361808	15.2802888970254	-1.9830841027613	19.132895606239	14.0312535510424	-3.08621597042456	19.9837512185107	15.5486076805554	-2.42644549913365	19.7115745553291	15.0749056364211
MDM2 MICA	-2.77555182934816	20.4911987202725	15.5368590074478	-4.0799192355737	20.3875404886779	15.1494315948775	-6.98873698843702	21.0238491235247	16.3535085445033	-4.38042104112648	20.4762191890359	15.749224798487
MDM2 MICB	-1.62931884139631	18.6174805387716	14.6035277738402	-2.34333784438332	19.3000860755813	14.7426673725235	-2.44795461800867	20.3646013452268	15.9125090113105	-2.24479401218755	19.8049712583063	15.2597463883402
MDM2 MIF	-0.972487628234604	18.5401148005566	13.6325108457349	-5.28139381550355	20.8544899077119	15.6458436463515	-3.23298665520619	20.3191529267531	15.3884056870611	-2.69906314794051	19.9816126731426	14.9418201220085
MDM2 MMEL1	-1.81326573863688	19.9698398055514	15.2924516243108	-3.39422805442289	20.0184472395053	14.9453836502394	-4.83226098567323	20.6447652285404	16.390845286263	-2.94721088581379	20.326874149921	15.6104451171326
MDM2 MMP1	-1.33312829703468	19.2034532344457	14.8922380382455	-3.20679639484875	19.9959241408746	14.6905315098174	-2.72798137350461	19.7714025683604	15.2195539024826	-2.47086095954394	19.9266934923074	15.2365236872951
MDM2 MMP10	-1.73667460163441	18.766930050127	14.5977510749963	-4.966883180923	19.8436615291997	14.9845439634373	-3.79879127048381	20.6009876866184	15.8185914873656	-3.70688096305364	19.8147891549731	15.2891961000787
MDM2 MMP12	0.519990654171103	12.1912426619652	9.31347146623648	0.489171712561997	12.6603506494901	9.38647665731498	0.404910951620047	12.9165772820823	9.76164937834948	0.4480876948439	12.786104139521	9.5997527381239
MDM2 MMP13	-1.41277840958615	19.826590571084	15.3178377678945	-3.51184648814738	19.8296186373944	15.1925468862774	-4.64903641820705	20.3689067284457	16.0513161281612	-2.75202197919341	20.0592792739516	15.6362337637739
MDM2 MMP14	-2.17004728460303	18.8638674287407	14.7667029104757	-8.68815934514196	20.4062322741873	15.8596296161022	-3.81484314503263	20.6044067543777	16.1234226104026	-4.94162874483158	19.9861041412533	15.8984138256212
MDM2 MMP16	-2.45155431231337	19.4903229065547	16.1460734484166	-3.62924288240729	19.7673986156509	14.9913342774541	-4.66275908116261	20.0512314457491	16.0265156446695	-3.92057701261137	20.0093336294607	16.0117873300635
MDM2 MMP17	-1.38138425546231	19.2219134187298	14.134582898183	-3.2927205175392	20.6179917814998	14.9334877051762	-2.91618143105868	20.2234341115997	15.270900887403	-2.3598303562662	20.3612780468092	15.0759088785169
MDM2 MMP2	-1.7447146122292	19.3131982996847	14.6565059733704	-3.56651936974971	20.1981954759232	15.2008185173307	-3.2366940268336	20.267058026415	15.9455439383697	-3.16918440073008	19.9459069168217	15.5497571480475
MDM2 MMP3	-0.202813006863358	16.8147673455506	13.5725781869001	-2.82008918543517	18.78171075407	14.9000741357826	-1.37523240945598	18.6708167755861	15.2498377594465	-1.25228512482321	18.123188532978	14.8144846313978
MDM2 MMP7	-0.296664364980367	16.7546856691927	12.8183480698225	-0.786481762338214	17.1934205200554	12.3801322408553	-1.03202034400623	18.1794833592061	13.6317725634377	-0.604896164261514	17.4578250981716	13.0943284815365
MDM2 MMP8	-1.01493468859188	18.1662470844578	14.6327553676425	-3.06944948412525	18.8578387229469	14.2044924311227	-3.71408502456508	19.4065908353989	15.591093870082	-3.5265016130609	18.8893001284453	15.2055174974603
MDM2 MMP9	-1.24296507046647	18.670766633478	15.3322452519929	-4.38639042606196	19.7589195437296	15.0118554601971	-4.75720093265892	19.8397752009975	16.3201151993849	-3.96682940646366	19.476179455823	15.6908780722476
MDM2 MPL	-0.981262365464393	18.3935060012942	13.6586572578903	-5.63380416503776	20.5323208574642	15.7609081875957	-2.6010560149741	20.3003546404687	15.5839180780075	-2.79905485361115	19.7164565364064	15.1347570161789
MDM2 MPO	-2.06711313449282	19.5381380104058	15.1966305777004	-4.61261683115216	20.4854459411092	15.2767538214179	-4.42309038455145	20.3329511454142	15.8602705328717	-3.56241798434864	20.227217720535	15.5441755324467
MDM2 MRC1	-0.78120275261948	17.4529514204441	13.4823579415127	-0.305097583785764	15.9812841890449	11.8565654280091	-1.03644124054117	17.6946360891573	13.7946387129249	-0.637492205942692	17.0281053761957	13.1149251492536
MDM2 MRC2	-3.82234934890775	20.0605536762828	16.1109330745259	-4.93870294065954	20.4556143850179	15.276803833579	-5.41694041322285	20.7888928081598	16.1634766354337	-5.31168050582668	20.3736766405879	16.1114058108955
MDM2 MSLN	-1.65860457633357	19.6534570659633	15.1354271117006	-3.75807017539635	20.1187810192368	15.4387344180998	-4.32047821801124	20.5194258290027	16.3750649575712	-3.06693308857576	20.3691901575679	15.8323131782857
MDM2 MSN	-2.23045168974064	19.9458223078027	15.5685214932267	-3.76032147039711	19.768864846958	14.5992645838636	-5.0339312186853	20.5462258215614	16.3484286020323	-4.09215287379419	20.0867587848857	15.5888033928636
MDM2 MSR1	-2.09258463937161	19.4416462336838	15.2829235766671	-3.75923916521633	19.4759104319661	15.3678580177981	-4.86873023864644	20.4058317124004	16.3894668098627	-3.36213686782405	19.6973781774153	15.753725409768
MDM2 MST1	-2.90422341067128	19.8229183214899	15.7341892312668	-4.44717893069375	20.2188198471247	15.5091102732363	-5.43214357720456	20.6452039366835	16.081573034702	-4.7376339611417	20.3543738942617	15.9090541944149
MDM2 MST1R	-4.31255913717817	20.0617074815674	16.5176351226325	-3.83540157739774	20.2055909371392	14.5992489428383	-7.49043232880539	20.8725981441039	16.5998346689316	-5.92141609598207	20.515418547634	16.3299754102256
MDM2 MSTN	-0.159260612534511	15.6399517423573	11.4209305119078	-0.45490513062893	16.916202529215	12.367665729375	-0.45818694157309	16.6609300425951	12.4836873074787	-0.338941680846543	16.4783563894472	12.1320435905673
MDM2 MUC1	-3.16651729738054	20.0799527595317	16.2451395757714	-3.75556654924092	19.9174625168778	14.587786722303	-5.70825659853511	20.850223097994	16.0616372493729	-5.07239174095895	20.3742896812318	15.7896165699497
MDM2 MYBPC1	-2.40660981247946	19.5711466017611	14.9690890588411	-5.77289003285558	20.4757928534722	15.5975024958794	-8.22150664945674	20.7016894193746	16.4774404767984	-6.13243666460863	20.4164083145987	16.1016467527292
MDM2 MYC	-1.75103167588641	18.983815421283	15.3851844949091	-4.56264643869573	20.662282377179	15.266485531965	-5.84461665377511	20.6883742722404	16.3463415706324	-4.38353735150964	20.2454212112158	15.8826908255905
MDM2 N6AMT1	-2.65662358407851	19.8100684961011	15.4817434227866	-4.83530801569554	20.290216356982	15.0226902698705	-5.25092698324031	20.8801055922743	15.8732515886093	-4.91062727879482	20.3331247289777	15.7392179367031
MDM2 NAAA	-2.32341426085248	18.9720332904056	14.7073365238198	-5.42352824997736	20.1426520049183	15.1682200737184	-4.82642335384461	20.3187002919188	15.7002414186444	-4.41957168067565	20.0183750212012	15.4800397248469
MDM2 NACA	-2.68251713390646	19.4840505549339	14.9075228831957	-2.88350885693847	20.6058617783763	14.9192473004368	-3.74192591445618	20.5827071462008	15.5854107184665	-3.45128393435878	20.5628034207859	15.5089132005201
MDM2 NAGK	-0.605724282983582	17.5878096775999	13.5014140580704	-2.3714259296188	19.8931906596566	14.5604300504328	-1.95411012280463	19.7804575885311	14.8999760576474	-1.71685464081905	19.1432609655712	14.5045436546753
MDM2 NAMPT	-1.40748628803485	18.6132850939628	15.4811408331943	-1.25466526158407	17.6365707520388	13.2268407193407	-2.09052717080535	19.0317262271836	15.0334718430751	-1.77112319480397	18.4949903671948	14.7156576442416
MDM2 NANOG	-2.4396459283432	19.5224353303864	15.7387595131541	-7.28954039454244	20.5891532759565	15.4353989672166	-9.14075772808853	20.7432463865246	16.5001036052848	-7.97737512174356	20.4698685809729	16.2067668258606
MDM2 NAPA	-2.14597818258465	19.2759363817153	14.7276927249465	-3.624865633213	20.5042670188399	15.1680742140422	-5.5898065172386	20.8122350384387	15.9170205493775	-3.48319872225995	20.3309499033272	15.6547456876134
MDM2 NBL1	-0.489625660882735	17.5904878821395	12.6132038837337	-0.7958168058633	17.7569649797485	12.0367261297384	-0.859213807673525	18.3958688025257	13.2751333215572	-0.690065601724301	17.7551538145745	12.6162007100978
MDM2 NCAM1	-2.2054319677686	19.9175186333868	15.2475308936868	-4.43878665880325	20.4244862582503	15.5955835788095	-4.45708859961133	20.8013806333424	16.2226598893542	-4.87154013493712	20.6256060081896	16.0522732573143
MDM2 NCK1	-2.71935934761445	19.9898064603935	15.9075889255697	-2.83836958280086	19.5513644346704	14.2575129218018	-6.24800979238621	20.6935702171785	16.2195212560038	-4.03917375333992	20.360154214342	15.7721823474643
MDM2 NCR1	-1.20076150643596	19.266481048349	14.6787498684585	-3.35132113101253	19.9136372617175	14.7283563200346	-2.1129760743137	20.2303146915567	15.2710525749912	-2.32582067776759	19.8068260381918	15.1990272038116
