protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MET METAP1	-2.49330983064496	19.3942683825157	14.8397537457109	-2.40244820964631	19.7717027372863	14.3062485885427	-2.60494100566467	20.114093833012	15.056013272153	-2.80600058945948	19.8277367807127	14.9610164550084
MET METAP2	-3.58593775437832	19.1472349027571	14.8011680745269	-2.8096643112284	19.732488019363	14.4668228881423	-5.26824092234053	20.7381095435076	15.7267896045857	-3.89615941093187	19.8093471119948	15.0052322503427
MET MFGE8	-3.58676618384811	19.7055686198313	15.1316063469863	-6.3199068249867	20.9905699262123	15.6911328569217	-8.78578270357495	21.4424941839778	16.241906832352	-5.91381394657659	20.7231279461253	15.7302289659714
MET MFRP	-2.0815456674035	19.7230580541661	14.7740773800911	-2.76343978169443	19.709697544175	14.7598684984837	-2.6513850393908	20.2430033313031	15.3056832539918	-2.54978567049461	20.115509309531	15.0027995658916
MET MIA	-2.5582670840966	19.5535718815979	14.8896997827343	-6.99551681496477	21.1558276733684	15.3493890675291	-6.68903928612764	20.9640386178799	15.9047133990578	-5.04696859170349	20.934256905467	15.6551454769798
MET MICA	-8.86930559454488	21.1699048991087	16.6307895065646	-7.10456324729743	20.5048704123692	15.2313361502624	-9.11875992461374	21.5189652842641	16.4098752792325	-9.0927918328358	21.2626695177058	16.2840072702246
MET MICB	-1.96505663513273	18.3094097607027	13.2802366721031	-3.71654605986445	20.0908588539884	15.0952312766923	-4.35869812828204	20.2976234289897	15.1359364428601	-3.51497656106218	19.8862969377077	14.981419483445
MET MIF	-5.58037249611063	20.2223005728366	15.2014746480494	-10.0147775455972	21.2421188390284	15.8775621726663	-10.8689010047318	21.1927742948766	15.986189886542	-9.1839824919134	21.0852115276286	15.9549933918793
MET MMEL1	-5.69830867219691	20.5966832707705	15.8046906034357	-5.13557296121967	20.4595857151946	15.0473966584516	-6.67051602917945	21.0518545977098	15.9376510858986	-8.15972716732402	21.0776579847442	16.0893947301793
MET MMP1	-1.95141127582363	19.1513070406015	15.0360475180105	-2.25818746263848	19.2108796180667	13.8166187403015	-2.24126291272874	19.6081929889286	14.8802475719183	-2.16456277202373	19.4244551778576	14.7257013875223
MET MMP10	-2.56681105962668	19.0514856905979	14.1817975953469	-4.88236392216718	19.9301153487967	14.8952847267398	-7.59841988963744	21.5584234351027	15.9691731406054	-5.65779151000418	20.1724616712128	15.2806393986768
MET MMP12	0.468166063370581	12.447000570953	9.61389281229726	0.258442269856053	13.7579448593033	10.2345102492118	0.386343965113026	13.5667372520473	10.0740704131791	0.391582971029955	13.298419532101	10.0931277922029
MET MMP13	-10.0727241699367	20.8220624321976	16.3890240743994	-4.83394365291146	19.7900832708282	14.8049597217925	-8.52892959901526	20.9675767703905	16.0904665568138	-8.61076116642281	21.0009302436587	16.0742757295982
MET MMP14	-4.4022904907734	19.686202981524	15.7558669643784	-9.52771931151148	21.1631731624494	15.9402266066603	-7.20142216094912	21.0517746894297	16.2563124251093	-7.40916787190001	20.7934808312938	16.149179333132
MET MMP16	-6.18480422748543	20.5502763187673	16.3397867184217	-4.58610850679361	20.1514961599819	15.014802005295	-7.4194253272589	21.0978420365728	16.4288795433766	-5.99458837634609	20.7352824132439	16.0474377076652
MET MMP17	-1.92766188302936	18.563929787559	13.9436881664055	-2.88545298452685	19.5990921298648	14.1815748188621	-2.68124431625126	19.5882568059771	14.8213827137475	-2.71703423029549	19.6658416821822	14.5787430546609
MET MMP2	-5.42420613246322	20.7792493362323	15.7867057343705	-3.94143516099807	20.1239260353796	15.386385080577	-6.94158310356836	21.1150728655397	16.1166798013397	-4.84432970883603	20.7422935485863	15.7953025801531
