protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MFRP MIA	-2.88142308996895	19.7165971360013	15.1759193515835	-0.982721002128773	18.0149048769732	13.4045474190336	-1.92260418503819	19.3688279607095	15.0010828371294	-1.91356606758951	19.1899154630324	14.5970907234542
MFRP MICA	-4.63538498130828	20.6781129393298	15.7931788246228	-2.1258060671841	19.75768529806	14.4113784751897	-2.6098381004845	20.3928345730221	15.4820159117476	-3.03498339745322	20.3532607421194	15.3408678050939
MFRP MICB	-2.33218443836437	18.5294590685519	14.207817975721	-1.35207647642234	19.2739343786727	14.3629752424846	-2.7823910821797	19.5492281842904	15.1292196825447	-2.14330437502908	19.4028042218412	14.8987522629975
MFRP MIF	-2.2341654700943	20.7106707243034	15.0089794331957	-2.09854963416948	19.6359370972079	14.3507235144103	-3.20347502274043	20.7593552115666	15.5446065682113	-2.41695359265627	20.431078974716	15.0120913926108
MFRP MMEL1	-3.67273501396148	20.5085235546272	15.0833893206625	-1.39796317145555	18.7805420842068	13.7586181783212	-2.61793475034009	19.9765403704701	15.3666424405754	-2.49311305118913	20.0027552732963	14.9148099387785
MFRP MMP1	-2.07074923781384	19.4021062157806	15.0434684684511	-1.69426533242042	18.613490657455	13.5552075184601	-1.94561829032009	19.1996325367405	14.667521964332	-2.52768137832611	19.5452810443327	14.8049613824862
MFRP MMP10	-2.31975775742815	19.4938925610037	14.3011743854909	-1.99856385208384	19.3990239441492	14.1912235837287	-2.19912407118337	20.2165147903896	14.9736642356318	-2.39099251510562	19.8225882597698	14.7074068208788
MFRP MMP12	0.45044543992645	12.7718457691152	9.73386932895602	0.405095300909833	13.1258165538858	9.7532973498936	0.448988915761718	13.0721701280324	9.79661751560357	0.422878440950376	13.1051392389341	9.95460420851772
MFRP MMP13	-4.56325330994281	19.9801383073046	15.8257015719845	-1.41383696152947	18.5048880002003	13.1194778584034	-2.37364068846486	19.6527687158321	14.8303680828583	-2.69610548581967	19.5206709299501	14.814853972205
MFRP MMP14	-2.11643491091327	19.7007257559278	14.6694276706304	-1.66440192418555	19.5838115682175	14.4228975601598	-2.84660906406107	20.1699046183558	15.5185992778476	-2.35471560699755	19.9401478471348	15.104698423317
MFRP MMP16	-3.64470216936728	20.4059939735947	16.3399465936022	-1.81944388360373	19.0547028112052	14.0392997048127	-3.59413324337511	20.0872178414439	15.862906230335	-2.74151492627052	20.2027034757658	15.6775845688347
