protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MIA MICA	-10.1515207010645	21.2963466775453	16.2056537030759	-16.5621609091173	21.0108601099579	16.1633534251003	-10.2976340713583	21.4121458167306	16.5584859833136	-13.7693355626717	21.3857331852349	16.4953416226537
MIA MICB	-4.01848704971592	20.7150549237874	15.3737554877567	-8.78572915805882	20.685433412598	15.9692106546312	-8.03973233775255	21.0255797219953	16.2328579376457	-6.99823453184249	21.0470516366131	16.1492156392578
MIA MIF	-6.93519327821743	21.1456375320125	16.0520729386735	-8.44544022148776	20.447395124841	15.4504300443156	-9.95189869274799	21.299469650425	16.3494740369037	-9.64593074972356	21.107820882126	16.2138098824486
MIA MMEL1	-6.16034282894965	20.8870111163796	16.2783462495574	-5.05136865656619	20.6449154929016	15.4308610685409	-5.10799240683199	21.1304016999157	16.4911381253316	-6.4428202208571	21.096719118019	16.3518141689923
MIA MMP1	-2.76200945088768	18.9191907612708	15.2165226294578	-2.9452380692408	20.0139497848845	14.6630650409733	-3.92005118181957	19.6810221937983	15.4935927988034	-3.7054917688476	19.8381092201048	15.420225725585
MIA MMP10	-3.60658566882315	20.4814908501862	15.6231814478481	-11.5725255688574	20.5343758229993	15.8815061086162	-12.6161445038206	21.4189090186354	16.6842258281345	-8.41548210046319	20.9513443506845	16.1482504331818
MIA MMP12	0.388092283527696	13.3386517158497	9.98320189191068	0.400179347572505	13.1309762263367	9.87321752554899	0.434021003517523	13.3359464184568	10.1033568441078	0.395765863771972	13.4171736148915	10.2243648512951
MIA MMP13	-5.17059492173151	20.7990199642926	16.0948639788153	-14.2274543158691	20.8244869593145	16.0794541596751	-13.1419058952956	21.1113044843099	16.5821964122543	-11.980797184403	21.0658558547584	16.5329144701235
MIA MMP14	-4.41730651278417	19.7466671522977	15.4923976942925	-5.8131606735381	21.0727280170205	15.8557029178756	-6.01199471488361	20.9668831870125	16.3104644258298	-7.37062102734651	20.9548015530874	16.324597299426
MIA MMP16	-6.03381450424399	20.2018172003806	16.3124635765239	-5.47402317091427	19.8265484915921	15.0644435761407	-7.06650641562725	20.5385565919996	16.389259603707	-7.42913073167607	20.3237709368278	16.2047659054214
MIA MMP17	-2.05216424442952	20.0966719971553	15.2084017631237	-6.05264236399872	21.4356112750753	15.5162838730935	-3.97481736570358	21.081117986933	15.857216891456	-3.52907859523087	21.0979630848404	15.5670846665572
MIA MMP2	-7.86423156919398	21.1950665193017	16.454431964409	-3.95555659274256	20.2355246666351	14.5808561412533	-7.80914278645106	21.1461170360201	16.1920732123314	-6.30562247204777	20.8601016321146	15.7891735573576
MIA MMP3	-0.0947588921400508	15.8936950488213	12.9506076344853	-2.04013698865499	18.876630186538	14.9966142236523	-0.942582608167832	18.3112803884756	14.6635307845262	-0.960961768434168	18.020702852582	14.4470600986622
MIA MMP7	-1.69084640531037	18.9622417988704	14.566196066491	-2.46108136948789	18.8045501447993	13.7930752451776	-2.59899519500324	19.4995966400378	14.7427646088633	-2.10549420603262	19.1074810126027	14.4934907453141
MIA MMP8	-1.09503650066216	17.8216498693262	13.9774724558317	-5.08890365495711	19.8634269710403	15.070836305586	-3.08431450715573	19.3714721440608	15.1732237522937	-2.5610829059799	19.2981642931515	15.0209927001882
MIA MMP9	-1.03392660287787	19.1548042927475	14.6652935263134	-5.92256290988839	20.3728450767877	15.340590827603	-2.70871440883486	19.8216199721312	15.6819449379769	-2.8276978575603	20.0300243114408	15.5266640880715
MIA MPL	-5.70798765361002	21.2720411405592	16.3851217133054	-8.48677431765763	20.3540009928533	15.4888121232432	-6.72075809951162	20.8215114944945	16.2639393496537	-9.77323218196839	21.1449874598132	16.4186166661215
