protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MICB MIF	-5.42908600398868	21.2097738373383	15.661561738208	-3.11432754901643	20.1381016572484	14.8853839256209	-6.51376391218034	21.5274043989988	16.4382412794268	-4.51269609154186	21.0911789250947	15.7153566498566
MICB MMEL1	-3.7660480566223	20.5248550889133	15.0761831965953	-4.08862499471363	19.9655750300658	15.4382600355649	-6.775821445576	20.9905229716252	16.1663338513647	-6.29024738815919	20.6421897423454	15.9557115581404
MICB MMP1	-1.63852491816362	18.3323180607016	13.7391293026808	-2.41698158875511	19.8238473398314	14.6126637420638	-2.90580314777954	19.7114302010898	15.3496054320119	-2.5203858089162	19.5854079486623	14.9984450950912
MICB MMP10	-2.44455669433802	19.5976138917468	14.5967987932615	-3.76430121065364	20.0644039072416	15.3833665004053	-6.0175266052756	21.5172085259203	16.4731772047944	-4.71565653791961	20.4254693212969	15.7589992944169
MICB MMP12	0.34996732222302	13.1723492475008	9.60108361732032	0.421864128700724	13.2473521335386	9.80930305943884	0.331206571454123	13.6849571546005	10.1353623778306	0.3778955554062	13.3706101413742	10.0546724223628
MICB MMP13	-6.19352838273252	21.1609877884216	15.7848475038869	-6.23653758170962	20.2375392677664	15.8570294505248	-5.06177333342037	21.4112009985618	16.2915450292211	-5.42788833904086	21.1963633642092	16.1889045447463
MICB MMP14	-2.26991708636808	20.04073115973	14.5744192676331	-3.96288099129138	20.3176931094028	15.5706385362591	-3.72031617851489	21.5722456967208	16.1030167032774	-3.48995847139473	20.8174387114363	15.7823893021962
MICB MMP16	-4.22071890103041	20.9292337625563	15.6893590623735	-4.92395794011385	19.8771364437515	15.3678777191745	-7.09692861186522	20.6533086493	16.248950709913	-5.43995452808418	20.7589384253723	16.0308733043588
MICB MMP17	-2.4941232458694	19.590637280611	14.4234638260219	-4.49279214759144	20.5082099433861	15.280840078236	-3.21403320995509	20.4390825575163	15.2771685058016	-3.33652377767908	20.2486353593153	15.2302967508209
MICB MMP2	-4.44004767189028	20.716570976845	15.3957284183628	-3.42592523818609	20.0015609667234	14.9821996266417	-5.17222371384419	20.8868269566724	15.7373973599421	-4.07764554968549	20.6628031121241	15.5836317702077
