protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MMEL1 MMP1	-3.28565775069689	20.6656382351576	15.8088936260996	-3.48947476832049	20.1987225586628	15.0916241236992	-4.05702403965451	20.1841535475474	15.7530076947291	-3.82135414836166	20.7021935386415	15.7649308353924
MMEL1 MMP10	-6.32600793335919	20.3222199383165	16.067659048361	-7.19995824015966	20.4054277419503	15.6369736927808	-13.8757671419829	21.2959583383276	16.6575766603656	-8.58635504921492	20.7917771927888	16.2227183931345
MMEL1 MMP12	0.349317007486249	13.4160774505007	9.94776350938796	0.309144902294009	13.3141905290864	10.296034650735	0.370381777271573	13.4191629647844	10.2538590580082	0.356248974747938	13.4464387739887	10.3853800048146
MMEL1 MMP13	-18.3791323101717	21.2377891863983	17.0154041847538	-4.25437480113025	19.6159991581491	15.0483808730739	-9.75385868411852	20.8583090065542	16.6273157439737	-14.7578675373618	20.9843976728841	16.7237825159632
MMEL1 MMP14	-6.83920202138556	20.2145649081743	16.204819084233	-6.03456180794202	20.1574195710568	15.4700220966867	-11.2582209610406	21.0787025204068	16.8131093027918	-12.3062268987465	20.911229978004	16.6286843335114
MMEL1 MMP16	-20.4027333808483	21.2279957643936	17.0516677862896	-7.48052283051607	19.9454725841093	15.1604334899233	-12.5928516745182	20.6869205967859	16.3537575975383	-20.2718400101264	21.074395095907	16.8036698424418
MMEL1 MMP17	-3.12221491361796	20.1962164011585	15.5188879929952	-6.32003683231749	20.3514160564182	15.1570198115704	-3.85416227838409	20.6754295137053	15.8842948170666	-4.28237631429331	20.6837969180713	15.7223872912392
MMEL1 MMP2	-6.79393847881952	20.698146870479	16.4043718976642	-3.44984926862552	19.950977755109	14.9812524080962	-6.91237246955012	20.5988388043926	16.2930334011198	-6.17382519989066	20.692503267869	16.1497550131072
MMEL1 MMP3	-0.300598663543931	16.4981431377875	13.3960717493254	-1.68051104202447	18.9349805970582	14.4446405977766	-1.34768348190003	18.4328730237497	15.1526308321995	-1.19948056804015	18.1633738120168	14.5862631951097
MMEL1 MMP7	-1.67943245466159	18.5772635078458	14.1354065560491	-1.29662433594709	18.0752802294629	13.3302316557204	-1.85604088003896	18.7687184028461	14.3685578896273	-1.86253890657673	18.8088026698577	14.2208557817205
MMEL1 MMP8	-1.98542749719984	18.7189832373379	15.1754557340643	-5.6767546281966	19.4143449287391	15.1009006154941	-4.61371775680457	19.7365690941647	16.0778206984244	-3.79447479083012	19.4966764483865	15.6831969116204
MMEL1 MMP9	-5.32462656550264	20.1079812186733	16.8459156076709	-7.21303595500365	20.5550484208392	15.582322822974	-6.08554313861146	20.4299502622456	16.6091568238059	-6.91038604957231	20.5695009119367	16.5225838957082
MMEL1 MPL	-11.4378914022408	21.555326684997	16.9363541810893	-6.28547530616023	20.2143053023877	15.6487455479203	-14.8674790804193	21.2955099116166	16.8537308790601	-12.776990855116	21.1683835700664	16.6241126870219
MMEL1 MPO	-5.93187232410942	20.6156445031958	15.691672129517	-6.74003837383326	20.7504772099721	15.2835761046259	-11.8434399452007	21.5278033305022	16.6602606390659	-7.46333781397759	21.1037954394468	15.9757393928828
MMEL1 MRC1	-1.26028335318733	18.3130638150816	14.0779382401438	-1.48188494361035	17.9204821385902	13.5643517958206	-1.21552312845369	18.2257885063937	14.0806080418302	-1.48228168967872	18.4443197817373	14.1585273643514
MMEL1 MRC2	-18.0845690645024	21.4680354794844	17.1407210120592	-4.116313120629	20.2450575796137	14.6767810948293	-8.03868345565019	21.0662338482376	16.3438699420677	-8.71692560533481	21.2794552009026	16.3431776761249
MMEL1 MSLN	-18.998238476767	21.0699355174628	16.9494413233264	-4.70533027182802	19.8634714145348	14.7571652401987	-10.4824208308219	21.0521782314257	16.5367981937249	-12.4156355402205	20.8208975802371	16.2479328187189
MMEL1 MSN	-7.72948586504057	20.672956991966	16.4324462640544	-7.19438956496672	20.5532387284872	16.027972816641	-7.29073292988233	21.0424609085851	16.7703683322869	-8.54153273297678	20.9474632724406	16.6162327434073
MMEL1 MSR1	-14.9344358854639	21.0199853408442	17.1019543951082	-2.87037500732262	18.850296879355	14.6764128406844	-4.52043875426447	20.1766247611556	16.2660291350658	-5.80278887190769	20.2678156083575	16.3014085579957
MMEL1 MST1	-8.0478390597702	20.9924412924497	16.0666325192918	-3.58523684602537	20.010267111686	15.1176255629339	-11.4450683552442	21.0399651617762	16.5823636424584	-9.17953815405242	20.8321015950242	16.1177930506856
MMEL1 MST1R	-18.4142945440299	21.3550332976919	17.0681264110891	-4.22179975255495	21.0734654388801	14.8205817413958	-9.19285911992798	21.3457366042167	16.6177537459074	-13.5224682096852	21.4802629473439	16.8093170617978
MMEL1 MSTN	-0.112824173296305	15.9280248876034	11.623268468172	-0.931245584486238	17.0002510897965	12.537328126283	-0.578065835292727	16.7298806828333	12.4688334484903	-0.517914506266345	16.8412321297473	12.4704463236503
MMEL1 MUC1	-18.8621515018384	21.2538327676969	16.892368274759	-2.79351381192911	20.1064249601468	14.2001862718074	-7.13970406862214	21.1745307982158	16.2833733991876	-6.00492489057297	20.9574421359199	15.9606038369373
MMEL1 MYBPC1	-17.3258595564368	21.8694210778892	16.91541804234	-4.14416903680889	20.1096086164342	15.479721433195	-7.36279608247524	20.8758130809544	16.5538448088025	-9.61503110103186	21.234164624864	16.5917607945561
MMEL1 MYC	-8.08242851145403	20.9158780892252	16.4362468188179	-11.3184197132228	20.9310493433255	16.1421239800602	-10.2122439959304	21.2196575519499	16.7892821581532	-12.1195209382345	21.1518796040271	16.6562905248023
MMEL1 N6AMT1	-10.0455552267528	20.9540689248121	16.5588811073749	-3.95227925759637	20.8793057557635	15.1020805833894	-8.04123350563343	21.3740399010928	16.5476233061215	-6.84600378298897	20.9639241115406	16.1911783766144
