protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MMP17 MMP2	-1.92586701273416	19.9599578365024	14.6514924242566	-2.02317575920827	19.4885984673971	14.3872385951079	-4.00618758290008	20.4935224912976	15.9154144300909	-1.95144891731568	19.8741230219453	14.8244782937337
MMP17 MMP3	-0.370647251267245	16.9812948604236	13.3534522819944	-3.92512128024276	18.799461190019	14.5552742869994	-1.06403006211185	18.3699194497228	14.9615720877879	-1.54293233143417	18.5010212026548	14.5317718690437
MMP17 MMP7	-0.860159078872553	17.4318355264321	12.849681649339	-1.80380763047463	18.7633437602195	13.6913210474407	-1.28630302846065	18.883050004272	13.8532296450071	-1.48081692245784	18.6344490138624	13.8083149253423
MMP17 MMP8	-0.778344726559205	18.2947656692738	13.6287262522214	-2.95658802955215	19.531878190021	14.4273084486583	-2.84987051497801	19.3577865341389	15.3240748360397	-1.92049623756375	19.2756877343373	14.5492582533401
MMP17 MMP9	-1.14139393375718	19.6749544312031	14.7382478890239	-8.05927870373274	21.016969730907	15.5836580431071	-3.02756493650042	20.3394999612538	15.8596345214315	-2.73751608971032	20.7142201869786	15.4739879534176
MMP17 MPL	-2.54101550091233	20.4336430787412	15.4987869420526	-4.02529798897762	20.343004318218	14.817343843491	-4.61384930312409	20.697066200013	16.0334839177954	-3.66360956954131	20.6650870054442	15.5173489416417
MMP17 MPO	-3.18238521046045	20.1790862117374	14.8654014992453	-3.72532188302859	20.5714743822539	15.0765050055631	-3.80623526125264	20.667411321336	15.388248588896	-3.40085541822603	20.591331312063	15.2216236635965
MMP17 MRC1	-0.620591824048075	17.7725394543768	12.924675273329	-1.71471294764455	18.4463444183579	13.6305743478379	-1.51331758988714	18.7645608630696	14.223474029216	-1.25588224765567	18.5777005825276	13.7274425071519
MMP17 MRC2	-1.22580569974316	20.3640181770243	14.7869189635768	-2.66893130086809	20.0507588947647	14.6739258419885	-2.4488807620855	20.8505809173074	15.5628741128406	-1.77419605562178	20.6155076691177	15.0095001636881
MMP17 MSLN	-2.28076852391694	20.128835304803	15.2433512687494	-4.35753290994081	20.3254336523664	15.4002202531997	-5.02295279278194	20.4114811135586	15.9758909053976	-3.23396962591364	20.6147291704581	15.6058599028039
MMP17 MSN	-2.03594939502726	20.2414474951649	14.6021988277228	-4.78296139493943	20.537343476501	15.1688257247822	-6.07413066659448	20.6683865581154	16.1429428728021	-3.18186505656942	20.6327729970383	15.2034458390829
MMP17 MSR1	-1.82232630381329	20.1153209611521	14.5364917052463	-3.99555013101238	19.8377697973186	14.9660638325714	-2.55063872870236	20.3952045393673	15.5043925080848	-2.5231149728718	20.1626399561967	15.0101602388783
MMP17 MST1	-2.7172633231117	19.9992288427344	14.9688985010855	-5.67612760553591	21.1945107684569	15.6884075537392	-5.67399843280369	20.984888089934	16.1102896474353	-3.95423865123504	20.9577860056916	15.6795197257027
MMP17 MST1R	-2.74826914323977	20.649094501466	15.3849117441433	-6.92268119102558	21.135610049609	15.5068385309065	-6.42299680936797	21.1004623569241	16.2601593493122	-4.55276220992206	21.2252033205761	15.8682356896303
MMP17 MSTN	-0.090818067473567	15.3337465464287	10.7640201475547	-0.64989080340018	16.9109916409136	12.1704137631998	-0.374711353512672	16.602984703218	12.0042766499107	-0.41759078412406	16.399990316039	11.7291826187476
MMP17 MUC1	-3.13083593679199	19.9697954644763	15.1939357073254	-2.56847346946576	20.3259337437467	14.5685499408228	-4.06337016002967	21.063674968806	16.010126063347	-3.46036007339941	20.6132584413463	15.3105455065582
MMP17 MYBPC1	-2.89333600798767	19.8901994586757	14.7119178897932	-8.7871142938271	21.1560804275162	15.9556251678245	-5.46149938986403	20.8345318700542	15.92838343296	-4.65521037135427	20.7453821031107	15.537954260215
MMP17 MYC	-2.243666251042	20.1090989856649	15.3006620022456	-5.23085681424204	21.0669502778681	15.3582884659963	-3.80831706116356	21.1246655260587	16.1105896445979	-3.59354147519772	21.0273412028336	15.7193531380375
MMP17 N6AMT1	-1.8596634686411	20.5195878027306	14.5883352991731	-2.78166041473832	19.5475037611728	14.3195025585002	-3.66717363608268	20.3956057413447	15.8520351187011	-2.44562076967457	20.2740134864452	14.9142269797071
MMP17 NAAA	-1.9604375679672	19.5061899748294	14.097267049332	-5.45440258718853	21.1930975556972	15.3845510699696	-4.72668813690141	21.0779287458608	15.9163381744724	-3.73904708785843	20.6254710892767	15.1605408612582
MMP17 NACA	-2.95024314606586	20.2128846596851	15.0807964665369	-2.13566993347988	20.1227661146221	14.2359932634071	-3.35993063404421	20.3582392637584	15.2165137535795	-2.3298830936831	20.4796234532861	14.9274632561815
