protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
MSLN MSN	-7.60123905974017	20.755869009043	16.4155977533528	-3.38735153442573	19.1900162296097	14.6698142475416	-4.60933015138823	19.9840037076657	15.5473570063716	-6.74855384039107	20.269069883696	15.8898179462624
MSLN MSR1	-5.75266509768969	20.8189352081052	16.6001174654661	-2.86915868048538	19.1236998231631	14.9057107991971	-5.52961915564859	20.2116372125136	16.448952091246	-3.61358562039024	20.0290612235518	15.912922147451
MSLN MST1	-13.5403692875456	21.5430499642758	16.7463099336584	-4.66065405422614	19.6641943814301	15.0259494834938	-10.9021736762318	20.8879390698221	16.368580548692	-11.2506257707935	20.9590449551192	16.3545063001932
MSLN MST1R	-27.3060169952245	21.8116382924428	17.3199611765487	-6.28862000677826	20.4568712066687	15.9898160745631	-28.5159465299319	21.5742558228217	17.1664057759316	-20.2654881716644	21.581239559643	17.0462118385156
MSLN MSTN	-0.30314579682934	15.9290262121582	11.7961596228441	-0.596054933878851	17.0618536241258	12.2507705500567	-0.646053376136042	16.8994953909461	12.3463598740081	-0.553169199182528	16.6894155928667	12.2259739190714
MSLN MUC1	-28.0715441063059	21.6707187151337	17.1862146839307	-5.02394020838753	20.5998912803496	15.4643406345641	-17.5968418238263	21.5379673597953	16.7771275871158	-10.9817956947275	21.347400342737	16.5358422655876
MSLN MYBPC1	-33.9037256219979	22.1550475668935	17.4166260003121	-12.702363429748	20.1892070104131	15.8736430190445	-29.4035139877692	21.3099103724554	17.0124320733713	-23.7304205132485	21.4658655478079	16.8789202978066
MSLN MYC	-9.30491242090523	20.9887152907216	16.2197739747057	-9.42281043836044	20.5068882765575	15.7757912886965	-10.3114426012481	21.1410361940481	16.4901602709286	-9.82332152160087	21.0444452214681	16.549093104504
MSLN N6AMT1	-12.2215438785604	21.2328860558541	16.5676977414764	-5.75068005244363	20.7454394563609	15.5306705470765	-13.5374858701102	21.1437706403406	16.7475362239709	-9.43869566619141	21.0662045016783	16.3811396247448
MSLN NAAA	-9.45841269613992	21.2155886197721	16.3790855132799	-8.51841637218599	20.4644591516084	15.4598267452175	-11.5492714039652	21.1558084162155	16.3600614384849	-10.9059655077441	21.3588056250317	16.4007762294167
MSLN NACA	-17.0404351890498	22.1723782331647	16.9767798768887	-3.64209867524322	20.8371575865691	15.1304473995209	-8.54569483318522	21.7042179032494	16.4814500445476	-7.83880499975496	21.5321404940452	16.2712603360915
