protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NGF NID1	-6.48962633542414	20.8631351863847	16.0115050831823	-3.84553102949509	20.1078208583435	14.6802068902947	-10.7570298917467	21.2766888126732	16.5871179322781	-6.05095698123589	20.7466042493282	15.6354403473565
NGF NID2	-3.84993420689864	20.1532084309598	14.9125537930861	-3.84093344941229	20.1898392527472	14.7979147708511	-6.54702151724062	21.2263664174487	16.3911852680183	-4.48395575712083	20.5924293188469	15.2760421231277
NGF NLGN4X	-0.370835978404466	16.2315059034242	12.5422636892704	-3.10856522973555	18.5539731658963	14.3855139153307	-1.41012845246325	18.4724510250095	14.6241827893298	-1.18489057217729	17.6830322959581	13.7724257056367
NGF NME1	-8.21964632206697	21.2225940143543	16.0754971705752	-7.11456690908005	20.5137877188736	15.5424799899845	-17.8305778887518	21.3567181572661	16.6963515606543	-8.10815841908125	21.0612481354905	16.0641200516515
NGF NME2	-3.28168448048952	19.8714396634854	15.2874476229697	-7.46087125016543	20.5410121332924	15.6008765843087	-10.0939480708146	20.9227475769126	16.6943189843338	-6.24769035976233	20.6267890795433	15.8471111325119
NGF NMT1	-4.77196029870945	20.9444264312894	15.385862640234	-3.3289367305203	19.4114942610646	14.4280810525422	-5.85285671445413	20.864008609526	16.0152182440734	-4.98314963847814	20.4516151477599	15.3090395114405
NGF NOG	-5.16224896111901	20.5780785479629	15.3689788578769	-6.30053011103734	20.2836645413448	15.4486354713953	-11.3652173724875	21.0139972488053	16.5293536299438	-7.00115062590925	20.7670727913501	15.8503183766337
NGF NOTCH1	-3.63843032854129	19.9157480141633	14.6712758224432	-1.93894259760879	18.650465244841	13.5634116960264	-3.27282854674424	19.6077794979612	14.4876998207841	-2.83926001806428	19.5488139293811	14.4810791195801
NGF NOTCH2	-4.06463781548252	20.6168041460146	15.4484895185315	-8.8396064104266	20.5621413745791	15.9270786236186	-9.55767924871103	20.9698646342268	16.5369582365288	-7.72649570354922	20.7734228192543	16.0206726365676
NGF NOTCH3	-0.930903273181862	17.4645068695636	13.4029130320639	-1.52983006211874	18.895468701669	13.8374831704746	-1.5997061773441	18.5461994257718	14.1530729341713	-1.38637625329797	18.3949351394141	13.9336511385376
NGF NOV	-5.45356406307653	20.6468380283908	15.7162653604514	-3.50264008210836	19.4533461727406	14.8310230491534	-10.0194261838152	20.5714755192196	16.4545759787629	-6.13115128804065	20.418404242621	15.7102878688403
NGF NPPA	-1.16417870465243	18.1595051020149	13.9707916981095	-1.66183484573671	18.7749153758135	14.0596785654936	-1.70382329542023	18.8076215026834	14.48840603013	-1.57126668288366	18.5994168865007	14.2384863322685
NGF NPPB	-0.642503204245444	17.1046694044107	13.3518167235571	-1.89505210922163	18.8083559549977	14.2960334584395	-1.78665370863085	18.6851264429607	14.6195863544493	-1.03454216379549	18.2316932170538	14.0395751379914
NGF NPPB.1	0.217011876869285	14.160994842122	10.8103830700126	-0.476484908710495	15.8840822715284	11.6248518550449	-0.0507004450216173	14.9729145691883	11.4969234353814	-0.143352676093625	15.358851794745	11.573156242047
NGF NR1D1	-2.56365528298853	19.4308162186314	14.8074515420664	-3.86851014807803	18.8999899941453	14.3603992655399	-5.32846317386373	19.4799335552721	15.7999101647248	-3.62306956597369	19.5927718161227	15.1789291372313
NGF NR3C1	-3.97116677442791	20.3587242818221	15.4403931937841	-5.03081526499076	19.750960512141	15.1643699230067	-7.08982948249938	20.6349777584874	16.3465881848917	-5.47740910531623	20.3422387045323	15.629260925461
NGF NRCAM	-2.38673515022113	20.0542854760384	14.6829494658789	-4.3146743938449	19.4491149285756	15.2551488006801	-3.98713735584363	20.0935327351319	15.8314213233742	-3.96182470698276	19.9118567999175	15.3231030199471
NGF NRG1	-2.63800834168918	19.4987693256635	14.5754901805162	-8.98248914958748	20.6849050084101	16.0063342304279	-22.8035315755752	21.3157419862316	17.073909401091	-5.84088167005342	20.3399415840597	15.7766169601942
NGF NRG4	-4.28860672801501	20.4205677880816	15.7375761091872	-6.92368064363246	21.0527801173122	15.6165874838207	-23.9956454280602	21.3910614515892	16.8814026414611	-7.50014927051612	20.9728643131748	16.0094702585429
NGF NRP1	-5.42414093452031	21.1101146162659	15.5992684693647	-6.6410782033455	19.8391398210945	15.3356229850356	-18.7497062394514	21.3010343621529	16.9114580614096	-7.98313947390324	20.7805614802945	15.9457362613306
NGF NRXN1	-3.01034381225023	19.6362031416948	14.8914387722965	-6.06579374690272	20.5311747733671	15.4907599945009	-10.5664872545584	20.9454432920139	16.4874311640217	-5.56752451235084	20.5168508145274	15.6745828084154
NGF NRXN3	-1.02942285632977	17.890703047397	14.0402117325437	-4.20915355505867	19.5448330090822	14.9853845535024	-3.69074770946987	20.0165680663714	15.897902363795	-2.49915091125899	19.1771854839887	14.8133404634761
NGF NSFL1C	-1.31750873499846	18.1134188776265	13.9388936929157	-9.20125076337129	20.97945098687	15.9279322076625	-7.38551606549537	20.9113318602844	16.4660241485147	-4.06730397264374	19.8127729663867	15.2985770067127
NGF NTF3	-4.52963676095418	20.2270237440344	15.3972180860869	-1.99648461096689	18.6866780730387	14.0903757695358	-2.77016583279501	19.5607821244953	15.0060913495091	-3.85240639308397	19.7682795528197	15.1978589176357
NGF NTF4	-5.02346786061231	20.5792291993247	15.3219976744294	-5.63775380581981	20.5581403050262	15.2104982669851	-20.8664500134512	21.4111492859712	16.9104201968727	-7.86814593851592	20.8694563211277	15.8216800696245
NGF NTN1	0.103050829830167	15.0876301318498	11.6515292154551	-0.623173991119752	17.0498856467734	12.9120026865316	-0.465125041975473	16.6408182177105	13.1385810377927	-0.275172222534786	16.4475540593286	12.5164005751106
