protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NME1 NME2	-3.14544905024759	19.2141053498625	15.484455132845	-13.3706195459489	21.3720171809983	16.2273305562586	-7.68678830365991	20.8973045368563	16.4174998128532	-5.8327996382367	20.8573488342256	16.3036755106575
NME1 NMT1	-4.38349675960201	19.7816767786616	14.8674013884724	-5.08458671521918	20.2708674064844	15.1140655441969	-3.82906510981807	20.1396587972502	15.2605962627424	-5.30954370555333	20.3726055748593	15.4299582112392
NME1 NOG	-12.8546588812881	21.5398473406437	16.8855264548503	-6.66935819411667	20.2680582337865	15.2800501598482	-7.5208706656569	20.9611452022211	16.1738343378708	-11.7889148851665	21.2675060023272	16.4615422059948
NME1 NOTCH1	-3.08885454963927	20.3710480279143	14.8135975593471	-1.82852471087252	18.7533913372321	13.519850778404	-2.148025333296	19.4926305518285	14.2976243991085	-2.55489594347486	19.6041803227303	14.3557117806316
NME1 NOTCH2	-3.57523659011286	20.0373276825579	15.1042911941747	-6.09897166924457	19.9687634313497	15.2397986536356	-7.19513504056352	20.8445857408275	16.2982156977279	-5.35930759190734	20.4959693068972	15.6519802041471
NME1 NOTCH3	-0.332889194824813	15.9281781498731	12.2593066390458	-1.36381685481375	18.9505615711113	13.5805844052438	-1.08439880117376	18.369759756662	13.7782312921826	-1.13709852084979	18.2853384775327	13.5816559300939
NME1 NOV	-9.00989599951083	20.8794109976958	16.5963810553803	-2.58663181358802	19.6607111697369	14.1227504561451	-8.59550291738125	20.8352477374794	16.3196144123562	-5.95902003525791	20.4593243712432	15.7192007411747
NME1 NPPA	-0.667663368008356	17.8323795789022	13.2484012059015	-2.65760912248897	19.1224644475214	14.352143518908	-1.61414360056298	19.1157834376945	14.2598054502509	-1.40751792817694	18.7495678273232	14.0834274057015
NME1 NPPB	-0.652967409830199	17.4015149381998	13.3976391075516	-2.63043086089507	18.9843536046125	14.2780467346111	-1.22459877239419	18.4450108253463	14.1121451726621	-1.3745019896276	18.5242389720507	14.2451443228999
NME1 NPPB.1	0.23413035695799	13.9653855380965	10.716290964565	-0.398803078857904	15.7242645167957	11.6899684254936	-0.0433349680114705	15.006439053477	11.5871072130151	0.0147560018776042	15.0446885088426	11.4935449469865
NME1 NR1D1	-2.68424632852683	18.8935881321624	14.8242163637557	-2.79264909622166	19.2867336494522	14.3776773716502	-3.25382215090851	19.7023019068931	15.284618112973	-3.89356143230757	19.7317889751448	15.3881250182099
NME1 NR3C1	-3.98805704945143	21.3134106269571	16.0859362845838	-7.25716882038948	20.8728603570699	15.7470217357845	-8.20108211591471	21.238608150455	16.40046099347	-7.32090267366598	21.261871764398	16.2816434040266
NME1 NRCAM	-3.5274757184075	20.0933756372359	15.591022780115	-4.19288982673947	19.706642369552	14.979016361822	-4.99538902477918	20.1901070507115	15.909396914257	-5.2974076996327	20.2527539807776	15.8129216165701
NME1 NRG1	-1.87276516165318	19.5407759344509	15.0859310324051	-10.704070689757	21.8213445859007	16.4369136861722	-9.85445320020913	21.3776877108974	16.7379050896496	-5.87761206466581	20.9445476085836	16.2248122262375
NME1 NRG4	-7.96942209166999	21.0136409285972	16.9157233268225	-10.3910197482989	21.370464230976	15.9902023408359	-30.4883392456106	21.6285641239625	17.0201133374511	-11.9969301078309	21.3771057627614	16.6055124862719
NME1 NRP1	-9.48825738209289	21.4532399377177	16.7057826052653	-4.65153566484607	19.314955692529	14.7164765189684	-12.7346262970922	20.8684836006196	16.4791383930139	-9.08709024363435	20.6299707444709	16.0696959045924
NME1 NRXN1	-2.78965387032047	19.4222489383228	15.1275965662015	-5.26922744457362	19.5125750002688	14.3410423096285	-5.3315763992957	20.354113840228	15.2795312659834	-5.71574519590795	20.0533085719077	15.3978649207173
