protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NOTCH2 NOTCH3	-0.821199718562078	17.6186359526248	13.5741206395245	-1.92699143767729	19.1548983785499	14.1129034089339	-1.47651062657511	18.4995562046721	14.1129801947544	-1.38090529396937	18.5828603670576	14.0331895331758
NOTCH2 NOV	-3.123839306554	20.8985313260696	15.5119315111158	-3.70635383802544	19.2692804085007	14.9997345635653	-5.14610169797939	20.7781274184379	16.2033703120098	-6.42280371929238	20.3999196963499	15.9225899380342
NOTCH2 NPPA	-0.678289490247722	17.4509758372636	12.4304182482525	-3.13245030570221	19.9609595074316	14.9355060145261	-1.44446730145355	18.9502039804919	13.8988274074686	-1.59457873343807	18.8750806388545	13.9288618328379
NOTCH2 NPPB	-0.417965401033153	16.7132107201612	12.2143784357995	-2.6613207389134	19.0315286613613	14.4400592488904	-0.967915650621893	18.212813900721	13.6500022580592	-1.14744876847154	18.2068401227277	13.6965142340302
NOTCH2 NPPB.1	0.386772766297927	12.9664032461921	9.71013189237337	-0.221254306071667	16.0999035549955	11.6957197389113	-0.021781931354224	15.0238226665731	11.4751824470356	0.0376753657152271	14.9271899881861	11.0786599099944
NOTCH2 NR1D1	-1.20722094091137	19.4659935454604	13.9516904846172	-4.32272631400587	19.262484859866	14.9607131478089	-2.61846056113119	19.5831096166007	15.456198932867	-3.58693671563584	19.6923970725744	15.2274576416434
NOTCH2 NR3C1	-2.45489959039705	20.8174632269003	15.8380249270631	-4.85230533590844	20.2731239163854	15.797554094746	-3.91753799549864	20.7043506579559	16.0672006163372	-5.63451236152425	20.6220063498166	16.1635678920664
NOTCH2 NRCAM	-4.56010284738756	19.5474250934213	15.424794303641	-4.50332631184657	19.0186457834186	15.0365521571731	-4.71885349199933	19.9835320368713	15.944339365626	-4.86695157161267	19.897255192108	15.7380630413723
NOTCH2 NRG1	-1.76177219271639	19.0211400783035	14.5436953844009	-29.9927652537565	21.6976993035732	16.7956502718386	-8.57223396086215	21.4290128129637	16.8512069905765	-8.19525681991537	20.7189360815329	16.2281123612102
NOTCH2 NRG4	-2.54767078407827	20.1726917598856	15.2277435007442	-11.2478170901899	20.8257339902568	15.9460848597122	-7.46326683817676	21.0863721707243	16.6640718021561	-5.77439275230975	20.7511287257627	16.0736530610739
NOTCH2 NRP1	-2.70138079435005	20.3916153149051	14.8335028449075	-5.98153274139326	19.7829200267338	15.2664916938597	-6.11387462864226	21.0666868009502	16.3076722963892	-5.22113373865624	20.444236443264	15.5353877914704
NOTCH2 NRXN1	-2.1673113590328	19.7418875281932	14.3667480548561	-6.41082405960417	19.916025040067	15.3774388207041	-2.83599846987434	20.9089720551364	15.4226121940857	-4.5400701416314	20.0977064738984	15.3708685438851
NOTCH2 NRXN3	-0.741966171594942	17.4153847315145	13.2919667475076	-5.59125537692948	20.0321700660569	15.210418282088	-2.7039492252738	19.4559975876934	15.2873316476152	-2.22741931548064	19.0885162575184	14.919449709521
NOTCH2 NSFL1C	-0.640212652987164	16.9640463768849	12.7765667676844	-10.1025415114996	21.2622082953189	16.1304716357634	-3.11719221426032	19.927717046577	15.4936003097448	-2.57432630623526	19.4755298341311	14.9368691895515
