protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NRCAM NRG1	-1.56921624334128	18.4951592075969	13.9221077964584	-3.99146265844118	19.7925701351846	15.371618053014	-4.12159286596003	19.9095433024943	15.6697373727194	-2.63323434373535	19.5422854713127	15.0220605819228
NRCAM NRG4	-4.29060702454732	19.8210651352989	16.0542258887468	-4.1702486660919	20.404733487444	15.1668144209115	-5.19581016910219	20.2603912824189	15.8910521856334	-5.57332546826828	20.392684485936	15.9498361380596
NRCAM NRP1	-4.28732043002668	20.9979202186021	15.9148483342689	-2.97473227870983	18.555200611508	14.3313449280902	-4.20950226350292	20.0519510089007	15.6078409472731	-4.09233577072899	20.0385460524147	15.4766539830778
NRCAM NRXN1	-1.75347180300574	19.0091211339555	14.3343019432281	-3.49400709307993	19.3099744786993	14.3060792996883	-2.90419654633986	19.3455949727582	14.8107389733623	-2.71752526883167	19.4505894481449	14.7699017316798
NRCAM NRXN3	-0.360725708267337	16.4896914683163	13.5816109685934	-2.22444448545233	18.9593361728193	14.2160522287412	-1.13050297463802	18.1004090733833	14.6012370907474	-1.08735040472325	18.0060172428695	14.2783540149398
NRCAM NSFL1C	-1.23510429551522	17.3789152614974	14.0448755757219	-2.34899657671196	18.7847591016167	14.2243690520731	-1.84527234838963	18.731583868835	14.7776513004461	-2.32048120181398	18.5976974593179	14.8303426402358
NRCAM NTF3	-2.85066347075722	19.4670558756663	15.3024769810059	-1.90079177506519	18.4513223609586	14.2512642463685	-2.53378384464656	19.2140632325086	15.0915753888305	-2.25361209067216	19.2521285246022	15.2365090713229
NRCAM NTF4	-3.17000622911868	19.501249287167	14.9241453299401	-3.87337915487148	19.52327353609	14.5098855983713	-3.54511711420359	19.7106232319934	15.2728961284733	-4.23358939432826	20.0333890893686	15.3182905358074
NRCAM NTN1	0.41177907720594	13.5389728070351	10.4468360258001	-0.493128899619729	17.0428036898767	11.5874062550546	0.166481338015569	15.3342549697426	11.1590747544407	0.0171064938963338	15.6518142822126	11.3399580941324
NRCAM NTN4	-1.5123118250589	19.0586310471004	14.3570309397953	-4.0291436192028	19.367804797307	14.4866385304029	-2.6610719630361	19.9368376792032	15.1829161285236	-2.4115786796611	19.5017227701258	14.7856582903703
NRCAM NTRK1	-2.5057658223342	19.2782369439875	15.308666097953	-3.29535008460978	19.4602049072427	14.7989030431776	-2.98887215627204	19.6224319396172	15.3736210143623	-3.58736467249075	19.7172619766478	15.5110493361427
NRCAM NTRK2	-4.38695013053904	20.2205374377283	15.9880247930552	-2.2060605186816	18.9534745873075	13.7451102026079	-2.89593091542537	20.3799750297088	15.4828410101278	-3.8925827999469	19.9924944454362	15.3049201547356
NRCAM NTRK3	-3.04204448307879	20.3905024054105	15.3883204590403	-4.14647767823423	19.7019191686413	15.1229571062675	-3.32885188671792	19.9429953325144	15.5372647514328	-4.0182679472217	20.1964598130553	15.5849959604135
NRCAM NUDCD3	-3.74495349307384	20.3543602197647	15.5370310611381	-2.49762090804551	19.7528128830389	14.6871638037331	-3.52100730015399	20.2600974402168	15.7656919510477	-4.01632338744947	20.301962591319	15.6442518405006
NRCAM NXPH1	-1.54183013319761	18.6054376764706	15.0295497815487	-3.09295218366206	18.9937851351996	14.6243819381309	-1.91610058118729	18.6792165766256	15.0487852469639	-2.40289174139386	19.0760794932243	15.2428155496867
NRCAM OAS1	-2.44249782431136	18.8357334525057	14.6005440475712	-3.68861961445012	19.3368526194037	15.0206685902612	-2.33312876755324	18.8864243409766	14.915931633639	-3.59621199072725	19.5289686049304	15.3288166978487
NRCAM OCIAD1	-4.62149741869131	19.8629559213415	15.802342145653	-2.30259017077572	19.1991349992952	14.1293512320497	-3.39910209684651	19.8610033615481	15.6333221185113	-3.51874381972494	19.8476252205074	15.3429105457709
NRCAM OLFM4	-1.21693103301635	18.8001911957776	14.8758920256515	-4.02800765190456	19.9144250044634	15.7002338389158	-2.08410701522609	19.4734941313482	15.5266633493826	-2.52162493496105	19.5098814705712	15.5077367618124
NRCAM OLR1	-0.39635212646677	16.7085778401771	13.087588611119	-1.2660198497298	17.5651741833231	13.6441219290558	-0.456088947868325	17.2349807594972	13.7050187250125	-0.852776867980576	17.3985906357903	13.7989739062859
NRCAM OMD	-2.07176899969289	19.144706389466	14.1809853971987	-2.24825380900403	19.6531864427907	14.4990087286024	-2.57175104072452	19.8476450802407	14.8711281754146	-2.62836591758676	19.7185539994052	14.8676280500355
NRCAM OPCML	-3.98118054663497	20.2340696324249	15.4730151985528	-2.91730260823617	19.5135671801433	14.4774385226576	-3.54846404503049	20.1653729882318	15.4682500662203	-4.32272689205406	20.1593585782929	15.3100758390307
NRCAM OSM	-3.1336225148206	19.7616757268021	15.8299924264813	-3.75019976763562	19.5403185175402	14.9927213252095	-4.42804348885072	19.8617578219342	15.6840605684249	-4.19049343003339	19.8829650979212	15.7465834709471
NRCAM P4HB	-2.71383395494458	19.8230099277129	15.3857991606788	-3.08158831049711	20.2623557440741	14.9200454123088	-5.01696030106101	20.35782474589	16.0374731718686	-4.05949457312736	20.1244331093765	15.486724079665
NRCAM PA2G4	-3.10048460608184	19.741120800165	14.9538901751372	-2.42534348831955	19.912144731003	15.1033355876614	-3.40124899746888	19.9922388008583	15.5944822563378	-3.0597745543671	20.0857193229534	15.4105671520867
NRCAM PAFAH1B2	-1.15107547379935	18.5394168732954	13.9994131741022	-1.08484077626062	18.2922581181389	13.6225394688412	-1.20784859409564	18.802906578671	14.2682244816922	-1.13331838247652	18.8138627105407	14.2343198748631
NRCAM PAK3	-2.1885577560437	19.7240180144622	15.624955703433	-2.41089754853711	18.8900783088861	14.4735593913977	-2.69754545705602	19.8634056831823	15.5946773426189	-2.87588315184878	19.7645998379456	15.4356042845103
NRCAM PAK6	-2.46469465043825	19.2901504830352	15.1664668973089	-2.87020911424363	19.4961389021184	14.6322246191891	-3.20717079455092	19.765914043755	15.5436776102553	-3.0588920150146	19.7196017232104	15.3172023670797
NRCAM PAK7	-4.32220106745847	20.3971712669759	16.2439374015932	-1.99852568571774	18.3638403121271	13.6857586725305	-3.6684401386481	19.8900384652316	15.582373194401	-3.6148313989449	19.7003263621303	15.3500688768922
NRCAM PAPPA	-2.40470710020475	19.0684888269124	14.4001750418405	-1.26938026150013	18.2901599197616	13.3221852801716	-1.69391129211097	18.6988335942743	14.1871159800815	-1.96674307532205	18.9587155926046	14.2566478909649
NRCAM PARK7	-3.89648735574747	19.9676384352381	15.6547386916356	-1.30797869388191	18.4170666250103	13.217613701012	-2.51447261192089	19.1431507008464	14.9237032317358	-2.53757099284621	19.2994597085606	14.9944587195198
NRCAM PCNA	-2.21319247280045	19.4665564314137	15.0418266953049	-3.06720290178409	19.3573192738143	14.8528776486749	-2.30551824888421	19.4314909455931	15.2718291885233	-3.14269009772815	19.744717556073	15.476295856921
NRCAM PCSK7	-1.86141392844068	19.0504971763404	15.572960551325	-2.71408061300352	18.7359476995256	14.3753440450982	-3.28882077871666	19.1785769816516	15.5759293342234	-3.01946104146982	19.3676669752396	15.4841242453343
NRCAM PCSK9	-3.45138901744712	20.7833154864978	15.6617259838668	-4.04831274884796	19.7466879907516	15.2426851063996	-4.63730450761897	20.6391023671578	16.0663145278131	-4.09297356325031	20.4393124654112	15.760355589493
NRCAM PDCD1LG2	-4.17723397114641	20.44268708462	15.6484731581996	-1.78685048563289	19.1919485141625	13.3742834530066	-3.1179222435246	20.6495538284086	15.5401709366939	-2.87280689543334	20.3632784691727	15.1417773454548
NRCAM PDE11A	-0.712502297247038	17.3346053335927	13.3981648509667	-2.44857591322671	18.9740115184164	13.9767523337671	-1.58148396034611	18.447575592172	14.149177510299	-1.3879013268984	18.3042172971318	13.9827537512509
NRCAM PDE1A	-3.41943065183742	20.1641509541148	15.2905650264808	-1.9175848044858	18.9011973397109	13.8194910849147	-2.84007567766312	19.7175024508699	15.0145077408301	-2.53192472751798	19.7972171789721	15.0035118822708
NRCAM PDE2A	-4.67729737619579	20.4408739925689	15.794982234124	-2.84037101494477	19.0724082794713	14.427839424044	-3.92596457997222	19.8325798232829	15.4334774402185	-3.99255304781198	20.0979446494659	15.5115891050204
NRCAM PDE3A	-1.1516915071679	18.7966373707645	14.5704797280362	-1.81565057199762	18.3971065011641	14.5414651014235	-2.06143957968638	18.8522675421624	15.1768693180973	-1.81638236304613	18.8322904853929	15.0566820300792
NRCAM PDE4D	-1.50901039055844	18.5260353471536	15.1761699347806	-1.11851192147244	17.3857700078116	13.3621368757594	-1.29471374112004	18.0508337460792	14.2989062807472	-1.33249714981258	18.1615268721068	14.4433842512527
NRCAM PDE5A	-3.97412667108813	20.0086930890434	15.5567185022065	-2.39042443106568	18.7856762008767	13.7243737966777	-2.73506528539154	19.9028421098526	15.2023732904249	-3.12732165905314	19.724034571611	15.1328756963279
NRCAM PDE7A	-1.79307079389167	18.389160547355	14.7560403069768	-4.07735796407318	19.8311621176346	15.5505047154966	-4.50140199701607	20.1012128235222	16.0377080105404	-4.51609775240693	20.126109340508	16.003382799092
NRCAM PDE9A	-0.425335952296194	17.2656691300082	13.3171848680016	-3.03229706955931	19.264047413231	14.7433472934983	-3.11484405423377	19.613750367195	15.7000993120281	-1.64274379530193	18.6621140679373	14.3821365698145
NRCAM PDGFA	-3.10938753957395	20.178714950814	15.3437097992444	-2.93393653162727	19.7135198549578	14.8017941443748	-4.40865821322157	20.1005027805836	16.1167762891234	-3.70787307305657	20.0015591067744	15.390567186738
NRCAM PDGFB	-2.93953525200656	20.215129532752	15.6659873806081	-3.568334397	19.8446118600823	15.2294590844605	-5.02563188256972	20.4151292390588	16.1977271211501	-4.06781495524178	20.260624895509	15.7618402873181
NRCAM PDGFC	-2.09395508799221	19.0622404967977	15.1876723481202	-3.06552179611035	19.5515185225842	15.0555523354836	-3.13819473829277	20.0058072512046	15.8489860987701	-2.90773873713631	19.4658465845084	15.3678433933905
NRCAM PDGFRA	-2.71545261440318	19.4541985717666	14.5828717039218	-3.63067113027107	19.5929991084696	14.9421482263866	-3.34708880640282	19.7744933024963	15.3172578102275	-3.53081637464038	19.9472714207592	15.2597951048924
NRCAM PDGFRB	-4.76975024301618	19.5616450724913	15.6165033812406	-2.91183374332416	19.9100141047494	14.6674791322973	-3.83550893315035	19.7973723434498	15.6300360966655	-4.38434490837258	20.2041616540575	15.5913852288388
NRCAM PDIA3	-4.05041849456229	19.7968975121446	15.6219413310236	-3.82743276840949	19.148257175238	14.7666237341937	-4.32654837256458	19.6951439001384	15.51616060388	-4.5623440249019	19.8122967237188	15.6259294229023
NRCAM PDK1	-2.37809203119606	19.0971889368685	14.109656078825	-2.94485196289088	18.4318080186878	13.8238443589194	-4.14451780914097	19.4438225385431	14.9603414460578	-3.4160104824522	19.334301234542	14.6957506137844
NRCAM PDPK1	-2.01238445837112	18.5937502673392	14.7516570118486	-3.16130586932785	18.9999816327348	14.9864743571016	-1.98504367094585	19.0006164294572	15.1649490411039	-3.18287551548019	19.10440864103	15.2680409241283
NRCAM PDXK	-2.48242464518802	18.756181581944	14.784436787688	-3.00238363114382	19.567846124512	14.9013711888313	-2.67539144098915	19.1770011050313	15.2578007795476	-2.94519946260196	19.3883575965146	15.2514519755677
NRCAM PDXP	-3.14050113615132	19.6772522918265	15.0141430598141	-2.46982162388589	19.504960425913	14.6504872236523	-3.59621344173172	20.0399516864396	15.7060914286137	-3.05109211712559	19.8806169077137	15.2286157689695
NRCAM PEBP1	-1.42499859318483	18.602191887359	14.4497226601199	-1.89761221945466	18.7370446416766	14.8706657441132	-2.09545203995309	19.0616530714231	15.3222852455356	-2.22565412632193	18.8806408232192	15.0760993895411
NRCAM PECAM1	-3.26985031521253	19.7760289793714	15.8222816742362	-2.23172668659231	18.5986992567619	14.2666066147644	-2.25233699797603	19.5232333069199	15.3259229279125	-3.4646540288775	19.6852540381123	15.5578791390259
NRCAM PES1	-2.72189689776085	19.7233108494769	15.7049366279418	-3.03652550982848	19.3343217370146	14.5857213391638	-3.13511043938475	19.6703612403076	15.5571647081329	-2.99802659265183	19.7627273891638	15.4509674469014
NRCAM PEX5	-2.16489700783191	20.1455114346675	15.6782460226363	-3.27234435688644	19.8882678414799	15.4725030856273	-3.33138659180816	20.010437534979	15.8195138643672	-3.4737112872454	20.1405582979129	15.8253232806702
NRCAM PF4	-2.73223304298456	20.2745343702891	15.695740307939	-2.98243114427972	20.1154447582913	15.3494059294584	-4.56733501589595	20.2371137456752	16.1745347373799	-3.28791220711557	20.2883225133737	15.785814970207
NRCAM PFDN5	-3.22106151987246	20.1199684878791	15.4202799554702	-2.47162485447434	19.2654217592508	14.5054522578716	-3.28319281275503	20.0593494599437	15.5902404801925	-2.95931702187697	20.0045818501412	15.3681254093507
NRCAM PGAM1	-3.69212141321219	20.0814042192658	16.1525014545843	-5.14018197703983	19.6484643620407	15.5584823448448	-4.84415185019094	20.0502340893924	16.1639359651925	-4.47364186189194	20.078342015423	16.0857366671923
NRCAM PGD	-3.55089811039458	19.924799862893	15.6193695923725	-2.92411713546457	18.9462373523475	14.1663662731678	-4.00667764221901	19.8662690228143	15.5577906077168	-3.47004941285853	19.6840272827992	15.2554431083611
NRCAM PGF	-0.451761565941967	17.2111298980632	13.7865438787429	-2.12616711373654	19.3334556988915	14.6491160038022	-1.34543626675356	18.7638898045805	14.8364006560056	-1.45597091971982	18.6757035195676	14.7127732195009
NRCAM PGK1	-4.09965771812576	20.065949374343	15.8749355871335	-1.6042783433804	18.5750765271193	13.5597410093302	-4.10047698209944	20.3104573173095	15.907747987872	-3.23537813187358	19.6909111835526	15.0222313024078
NRCAM PGLYRP1	-3.39886775832183	19.367481611735	15.3874043018994	-3.01407653427115	19.1746571924568	14.4964634693081	-2.70212930395401	19.4448976474605	15.0634016463555	-3.43778842495405	19.5545574330975	15.3924051894033
NRCAM PGM1	-1.2494391602286	17.8384383259725	14.09402691083	-3.37286486292521	19.0190660920995	14.6007071001985	-1.9944313331039	18.7905073986565	15.3502920645637	-2.22536785425508	18.7763586419624	14.7992793333898
NRCAM PI3	0.0149902771098399	14.996938069321	11.1990635505289	-1.01813570007198	17.2127262771044	12.0209910962203	-0.684964144313934	17.1580762196097	12.385956890985	-0.512795539721749	16.6449775468775	12.0797221103317
NRCAM PIANP	-1.22965803973299	19.0882955459428	13.2095309866566	-3.07526519946206	19.6530077408028	14.6072241968411	-1.83562195837757	19.5906872366428	14.6758748068101	-1.85877214952179	19.4141309838329	14.1427153502789
NRCAM PIAS4	-2.44710046551798	18.9011697258689	14.7141176759065	-2.82052756158239	19.0540375515085	14.5627317018236	-2.45428985509788	19.2618232770985	15.0399029012953	-2.96604473119373	19.2831747676287	15.1530822315846
NRCAM PIGR	-2.78875009020873	19.8278916755544	14.8786161042325	-3.25552585447766	19.214288612581	13.7994390368922	-3.22576397708271	19.8002310042778	14.7791184499512	-3.25221552034133	19.8707711798055	14.6754584350936
NRCAM PIK3CA.PIK3R1	-2.11285858437253	19.0401702424173	14.895601601062	-4.31274902379429	19.5818451536947	14.9564539722137	-3.28799962729512	20.0848744258491	15.8735166066615	-3.0197796962204	19.4993227332355	15.199478266293
NRCAM PIK3CG	-4.18272833492935	20.0425563288518	15.6554837260989	-2.10040318282743	18.9082332984789	13.9040413085165	-3.07103478145553	20.1131253070812	15.7579720616758	-3.16162736932225	19.8113563257324	15.2651678041662
NRCAM PIM1	-3.61797370829889	19.8452432665117	15.5986286025425	-4.13229885686358	19.7403352914199	15.0303098254145	-3.76113090789671	19.8036335301621	15.5682317930468	-4.62219296723397	20.0005864878267	15.6825806036305
NRCAM PKM2	-2.9905691263854	19.5692591068153	15.2804909300186	-2.49248518109047	19.2410759817688	14.074410891193	-3.67954105320305	19.7152079741249	15.2714375180994	-3.02105807184004	19.6888471161975	15.0249964630938
NRCAM PLA2G10	-1.80154440204053	19.6030586462405	15.209759436855	-1.10977922082304	17.5977802174215	13.5527864232852	-1.65538296288518	18.8788266778091	15.005041162049	-1.89614828193409	18.9118492063954	14.8993955753961
NRCAM PLA2G1B	-1.80573954484092	18.8011830594601	14.2041410366143	-3.29796269160066	19.8501947242545	14.7858775156204	-3.95925024151038	20.0524231936008	15.7989060451157	-3.27212532028632	19.8769320747937	15.2227575944848
NRCAM PLA2G2A	-0.311577460401889	17.2608711707754	13.1356018345181	-0.943471118696602	16.6435279250152	12.4522100012118	-0.647468728452743	17.6036738439307	13.1705660715026	-0.690808003840255	17.5318504470842	13.2412743097932
NRCAM PLA2G2E	-4.40094239379404	20.0252920595778	16.0805906970305	-1.00973175197484	17.7978134134095	13.8802134065859	-2.23712445941038	19.3529821325508	15.45760782516	-2.11104178306282	19.3763086436442	15.4101790945765
