protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NRXN1 NRXN3	-1.05888145218165	18.0219606368515	14.1065240344812	-7.48505560108536	20.6084799634742	15.4024830478868	-3.04873350689154	19.7947731409986	15.7110566119628	-2.60492952098207	19.3591699543184	15.0267753739173
NRXN1 NSFL1C	-0.762764158372425	17.1706070382594	13.5106886699897	-12.1531999958024	20.656107764907	15.8222173614952	-3.71780598960477	20.0503033173356	15.4374087811142	-3.03075112347978	19.328011890568	15.0825185727083
NRXN1 NTF3	-1.80992357326682	19.1451842663025	14.6680294956036	-2.02109349587066	18.8436027312261	13.7435683457188	-2.62183861563055	19.8365926427505	14.7621788914535	-2.45749802120755	19.3499914718546	14.5575658776673
NRXN1 NTF4	-2.91344373627011	19.929675777234	15.2502621349433	-8.92845642246056	21.0910918883519	15.5194497432843	-10.2821180311115	21.4774281500629	16.3456425758525	-6.7276702451454	20.9341466603494	16.0315883741159
NRXN1 NTN1	0.402710956450836	13.5635659323735	10.3560095276085	-0.860633019765997	17.0146802049195	12.5906102718802	-0.126651452669867	16.3954959296127	12.3705923887697	-0.137560643879183	15.9682672633143	11.9572959181403
NRXN1 NTN4	-1.56325327331306	18.2180299801309	13.9826505689413	-10.9766960834665	20.8944989120841	15.6644992331699	-8.60786495874033	20.9215335141908	15.972920461339	-4.60505654707262	20.132461976722	15.4060862509966
NRXN1 NTRK1	-1.73573254895802	19.7639182725416	15.0509410516927	-6.58404312712581	20.2675157915348	15.292238816483	-4.22156154801253	20.4630120310018	15.8285476559906	-3.40690234145158	20.4748027922965	15.6406382044827
NRXN1 NTRK2	-2.09528979445161	20.1956935723749	15.1782654835892	-3.24752308170136	19.5291117847295	13.9004559513089	-3.86965482790955	21.019984956165	15.39987846107	-3.11885024213546	20.4100703348813	15.0371689452131
NRXN1 NTRK3	-1.98487039220155	19.3922173010224	15.083713038121	-4.64956926080736	20.0473964512018	15.0546177928864	-2.69845402433647	19.9384945560926	15.1619279456282	-2.88791088806816	19.9421711014526	15.2664679365729
NRXN1 NUDCD3	-2.15518276373934	19.7450320648975	14.7286818458791	-3.83675568486248	20.1052332389151	14.4777512798698	-5.92784548637885	21.2862982324026	15.8778720579322	-3.47749692025473	20.4229160688077	15.1339368932958
NRXN1 NXPH1	-0.585538009427547	17.7082309868942	14.243673394541	-2.42706015398572	17.9140837963418	14.3608197893991	-2.18487731581705	18.8562734792931	15.1894806937486	-1.65807118906979	18.5543134427934	14.9042323362151
NRXN1 OAS1	-1.92886951020711	18.8388708958038	14.9888338676873	-9.43496698862567	20.6844486597098	15.6216675895946	-5.33091850424117	20.2922177822907	15.8906948193797	-4.98455599667704	20.030150034214	15.6974755695335
NRXN1 OCIAD1	-1.74727281197744	18.7833096701655	14.8837969645399	-2.31567249162206	19.4574148062641	13.8840206510378	-3.48699323226155	19.9017490546351	15.3830711684143	-2.96316997104328	19.4969551098531	14.8473685086482
NRXN1 OLFM4	-0.434964696248673	17.641956584248	14.1767680503962	-5.66077036534963	19.784135843144	15.264783630687	-2.4676852560127	19.684430015387	15.2210054215356	-1.773263660519	19.1646864052157	15.0659422485552
