protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NSFL1C NTF3	-0.618577772826828	17.4664805032004	13.5707151837252	-1.99617932454851	18.5970401890269	13.8849135050722	-1.62985421416479	18.6568435554632	14.3371035874511	-1.55944158856495	18.4765437350933	14.3573405531388
NSFL1C NTF4	-1.33314433796828	17.2892318104303	13.4803268858157	-15.4147782787442	22.2501946058524	16.2503378850866	-4.43782900619557	20.6066981973485	15.7515607105752	-4.73272954260645	20.0967619739935	15.2316085968722
NSFL1C NTN1	0.240555479899085	14.444642113283	11.3997069897856	-0.861368795361166	17.0348612948643	11.8861993724681	-0.294043007601126	16.5614586324895	12.4862073567051	-0.270711926940962	16.4571880070572	12.174583934111
NSFL1C NTN4	0.0747072858193742	14.7647817731426	11.6066293520218	-32.6925169654287	21.6102369004419	16.4755343677121	-2.57005575292473	19.869200334162	15.2664282731786	-2.12513370720919	18.8226830213402	14.5586013295258
NSFL1C NTRK1	-1.70944349970038	18.3611020296397	14.6242907535166	-5.16028390026963	20.9262823166346	15.667701817478	-2.98412664443492	19.9586426630424	15.5052576506715	-3.44336221980053	19.7244479036743	15.4491258274073
NSFL1C NTRK2	-1.11572686807581	17.7117099742459	14.175664533427	-2.24898570331362	19.1492976361602	13.7807430148183	-1.58650832899039	18.8475510004519	14.558642582095	-1.6516836871562	18.6445982453108	14.247651019083
NSFL1C NTRK3	-1.05412660011329	17.5483346795895	13.5121913487068	-6.52986152044468	20.2765826671577	15.3159341380241	-2.70335313250417	19.6109499258035	15.2138622556101	-3.04289779718213	19.3934532667686	14.95395669683
NSFL1C NUDCD3	-0.486110623421249	16.8556016168681	12.5980069410987	-1.12326818891907	17.6595899387625	12.8596424101807	-0.861856995088835	17.8639994201976	13.4459681127216	-0.724927646501483	17.3939433120452	13.0518259771304
NSFL1C NXPH1	-2.04592108600861	18.4176839016226	14.4598537433557	-0.884473364770086	17.359360613064	13.5992569353397	-1.44659019313592	18.4674304407705	14.5290153135412	-1.96562744162549	18.2837505558076	14.4322730081041
NSFL1C OAS1	-2.38319149119222	18.4113521287715	14.2844400653132	-5.89741583688673	20.7945626298903	15.9741204914384	-4.03554669386522	19.8757924407954	15.6515677096882	-4.42007546499343	19.847673644416	15.4855345234067
NSFL1C OCIAD1	-2.99662083131525	19.1270098276158	14.7267213943198	-4.07321403178928	20.487192542825	14.9188785808297	-4.68272361163457	20.4592427509379	16.1775770895724	-3.89763488915084	19.8628908436357	15.1298249484089
NSFL1C OLFM4	-1.40392469197518	17.731823685502	14.1361905125902	-10.0742388528848	20.8909581636344	16.0678220363045	-2.80787801480559	19.5843707064124	15.3885615984111	-3.65119270762936	19.6928480309907	15.4576032191513
NSFL1C OLR1	-0.775700741239784	16.8751529700946	13.4896279877115	-2.11012871133513	19.4243224863273	14.1602352463809	-1.36240202748817	18.7650228954473	14.5308663628765	-1.89804449730584	18.3825841227564	14.4311211345085
NSFL1C OMD	-0.558879382014011	16.5824764402043	12.7062038759134	-6.90603406995799	21.0685175316899	15.380023448507	-3.01465423299041	20.1001869210177	15.2602801231571	-2.47092549708747	19.4384689607083	14.6605372794344
NSFL1C OPCML	-1.58320023352247	17.6169219557704	13.384708798038	-8.05885271456948	20.9123295880938	15.7223586375746	-4.55319637720721	20.3365728567433	15.5117396739476	-4.27756689692883	19.7511061804231	14.996881123867
NSFL1C OSM	-1.63060318433695	17.9818123318158	13.9596034187232	-12.3188407113702	21.446561308498	16.0103385022965	-5.3047934618766	20.388851741126	15.5877681896119	-5.06332984829252	20.0091869643039	15.3743702586534
NSFL1C P4HB	-1.55962673202901	18.0704057232378	14.1267317159906	-4.25209775027785	20.8961621567087	15.1918093364742	-4.22714547210983	20.5773519138755	15.8045988405506	-3.84596473333057	19.773376568031	15.3081017475865
NSFL1C PA2G4	-0.63477716031407	16.8329932057631	12.4198374137175	-2.6288239793642	19.3468814275539	14.5828585717809	-2.73485113094499	18.8513085608095	14.9897302314874	-1.58265395503876	18.45967446708	13.9808229062036
NSFL1C PAFAH1B2	0.000302143671856658	14.413564012194	11.6353589645876	-1.286241687879	17.9047154759129	13.4872739170066	-0.255216263298716	16.6343101616166	12.9585415042608	-0.367719315916746	16.5011812975804	12.7734094564028
NSFL1C PAK3	-2.04452601256783	18.9754199916242	14.3559409477599	-25.1891524947097	21.5911749953646	16.6198619067329	-7.54031384021789	21.3151632157032	16.4679647563909	-5.80066698775592	20.428548953259	15.7642281486203
NSFL1C PAK6	-0.158296808121461	15.6805381713218	12.3552143939659	-2.75179413324953	19.2902792945306	14.5574418516199	-1.66946053994615	18.5415575030753	14.63650423895	-1.16322636298334	17.9568517955763	13.941525963574
NSFL1C PAK7	-1.69268748752719	17.5553555798199	13.8644590644954	-2.49829339680206	19.2525920777092	14.0430702697546	-6.17328651985223	20.1323568885294	15.8439249465261	-2.57996144749371	18.6005784202347	14.3327208222859
NSFL1C PAPPA	-0.662898118926067	17.6484080428249	13.3975898233097	-3.53926777221581	20.0176629963239	14.378097129191	-1.65912834452502	19.418516850993	14.3640759381975	-1.78517698125968	19.3380495474268	14.3383217460677
NSFL1C PARK7	-1.83924484182658	17.8935967045633	13.5333970106988	-3.45302738802628	20.0829828585819	14.2670964448169	-2.53425557995066	19.6596796248647	14.8013098739361	-2.96259450819426	19.2302776586651	14.5158295424645
NSFL1C PCNA	-2.19831496274808	18.6621769672263	14.5637874790472	-4.93059665928312	19.9902640791788	15.1147471223561	-4.23816910495985	19.9272737364959	15.5638381006593	-4.03999115059113	19.6813523358105	15.3044297994439
NSFL1C PCSK7	-1.09931232686996	17.2728522647514	14.2455800095052	-3.18129310117506	19.1086789890614	14.4840436222518	-1.64538649011791	18.7309241940635	14.9666403341982	-1.9592716579821	18.587612670797	14.7778106776124
NSFL1C PCSK9	-2.40231121502686	18.8754771144728	14.7012396834663	-9.73906278001761	21.0708797816128	16.0898310095239	-4.97283739284354	20.8271785411248	16.1657489215182	-5.9345767779345	20.4469745410771	15.9205318592945
NSFL1C PDCD1LG2	-0.980839280583188	18.1433809524179	14.063397344264	-2.71011005412988	20.4762578950718	14.0872946678711	-4.0979419316237	20.1838416459954	15.6343237366587	-2.32133843958934	19.5573939822602	14.65331603121
NSFL1C PDE11A	-0.608822099953089	17.1915904305101	12.928983226924	-6.10595974662788	20.5398760704563	15.7343679630979	-1.8100857537586	18.9924752063354	14.5467262414641	-1.99465001088039	19.1236940355877	14.5176909153009
NSFL1C PDE1A	-1.55959591515199	18.0945048552222	14.1387692384404	-2.09902974748653	19.7897199711153	14.3906444791012	-2.50412848557802	19.5629427961925	15.3617052112136	-2.02563748204977	19.0229344568262	14.6108180562468
NSFL1C PDE2A	-2.9994265117078	19.0199350268529	14.8610124451414	-3.44405347700214	19.3769717234887	14.5321437357928	-4.22810957278087	19.9304225904498	15.8477463247145	-3.51092813370356	19.6140795899721	15.1318965711983
NSFL1C PDE3A	-1.4355866218291	17.4706884833043	14.3230290369808	-0.907622259392207	17.0645334443703	13.1225190106782	-1.35045331999851	18.0333051136516	14.6965991432762	-1.4782360861584	17.6654527794967	14.2015070460114
NSFL1C PDE4D	-0.422180116981695	16.437461796453	12.6334328353528	-1.56307635175265	17.7691887534687	13.5392445026113	-0.96238491812893	17.5311378159325	13.5088972909102	-0.86733001128076	17.2731499259859	13.2718796918123
NSFL1C PDE5A	-0.560562419467326	16.6860062625665	13.0768407354535	-2.19566670542856	18.5886321077258	13.7396181657964	-1.43919179376648	18.3740412370685	14.1134369050628	-1.3546594369367	17.8843983586183	13.6834621692192
