protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
NTN1 NTN4	0.517205776232898	12.715297340643	9.99213518901202	-0.655833124236189	17.998184251304	13.0347316438462	-0.0816707793391922	16.1334906455989	12.2279853749612	-0.0603007284265036	15.930977228582	11.8757721637201
NTN1 NTRK1	0.186500297309661	14.4110981704885	11.4928032740773	-0.926162795295082	17.5476110072165	12.6107644913116	-0.173061070916014	16.2802963324566	12.4549909795674	-0.339581570931712	16.3468319792367	12.389283563338
NTN1 NTRK2	0.49480033123334	13.1983441698005	10.4306385420816	-0.514659929888819	17.5096382358737	11.6444780256452	0.0658085928009789	15.9954549451352	11.6516124147681	0.0376112476540393	15.8868361623341	11.3107780550732
NTN1 NTRK3	0.189384108745686	14.1124159235461	11.1726747488551	-0.571093376451841	16.8805298822575	12.2241555920132	-0.0958462785928131	15.7910408745595	11.8991061502088	-0.146719408283728	15.8481920359003	11.9883943485867
NTN1 NUDCD3	0.397601948412089	13.8022568777316	10.5957042529628	-0.492501576414274	16.8113822432187	11.1995493149385	3.09306380156249e-05	16.1860767387176	11.6117823030209	0.0112836405147252	15.5931258697098	11.1256429250345
NTN1 NXPH1	0.309934175717244	14.0445118327822	11.3585779829031	-0.452503672107169	17.1397932658569	12.3228089852977	-0.103040971051078	16.3810305289503	12.3804698284655	-0.0653344170930554	15.7881291941561	12.1406573934847
NTN1 OAS1	0.21389949955556	14.454916213586	11.4749127920753	-0.585349508187809	17.3350114287123	12.716589179218	-0.173534198573484	16.4452361858127	12.3762411568302	-0.132383275307526	16.1752043360499	12.2901047299767
NTN1 OCIAD1	0.13129627733304	15.0289357908748	11.8541519290812	-0.426922781298988	16.5761823307017	11.662230928768	-0.0635867713969636	15.9879863998193	12.1324657752543	-0.0975209270902668	15.9851439280461	12.0008024695517
NTN1 OLFM4	0.316047797285361	14.4435972051288	11.4102566473891	-1.14865207322489	18.4296595000005	13.6879371102787	-0.167268163618064	16.7369557965756	12.8558637496899	-0.321055047832642	16.757906868933	12.7810070601754
NTN1 OLR1	0.264244282371339	13.901411241112	11.2612747313161	-0.725202134321147	16.9904205910363	13.1808291372808	-0.184354457513535	16.2103547206467	12.6202026339582	-0.204340545308397	15.9161456324975	12.4865033025517
NTN1 OMD	0.434500051356817	13.3295133285009	10.5658303818418	-0.775466443201406	17.4506574495531	12.1115810343545	0.0116127127003612	15.8223215798062	11.7560673978789	-0.01749341497047	15.8100611564327	11.5521429329988
NTN1 OPCML	0.430729439723654	13.4484339636166	10.5340880162139	-0.751521356873652	18.3482055478669	12.5296518756046	-0.173005821386235	17.2595674551743	12.376902900924	-0.0807746954861042	16.4848091120025	12.0285775734628
NTN1 OSM	0.358469919989114	14.169897699637	10.9974428342442	-0.698653307614876	17.5532620915351	12.1172418099941	-0.166805115040263	16.7440183727742	12.2970065286914	-0.125702111009338	16.5408481604504	11.9076969698242
NTN1 P4HB	0.168679331570808	14.331033844285	11.3820196168433	-0.361025638480008	17.2149642743074	11.7901023504708	-0.360863393241937	16.5780950684077	12.5895329466523	-0.184617203955667	16.1127198105653	11.9242866299651
NTN1 PA2G4	0.386300078954555	14.1407337048287	10.9994199363044	-0.628961786585623	16.3499125539454	11.3377410453715	-0.0620144232421882	15.6587079827916	11.8962652374262	0.0606810765167251	15.5159733669566	11.4200506976726
NTN1 PAFAH1B2	0.433117153428872	13.0934888257198	10.4053778462555	-0.0336780237311327	15.3171234474736	10.2183191225854	0.197023525314819	14.7431601518262	10.8254490079979	0.185698356650022	14.7023969175805	10.55115509801
NTN1 PAK3	0.282862750536921	13.8953787370842	10.8567677507849	-0.782143014646909	17.9908731711609	12.4382151388094	-0.252447500379115	17.2590835391378	12.3097408608574	-0.220190914708995	16.6924910394041	12.1633802560385
NTN1 PAK6	0.35756345180504	13.8132787463103	11.0472991621695	-0.189743946202609	15.6606544983944	10.4179611958558	-0.0803902471788418	15.2497466313775	11.470875519638	0.1034872030766	14.9350250441872	10.9023786355678
NTN1 PAK7	0.271423751501078	13.8476208682115	11.0236200204663	-0.151015411003218	15.7665087352816	11.3712748248834	-0.245071241831605	15.8855705680253	12.2986409072891	0.0145402683816224	15.2509829991131	11.592864549194
NTN1 PAPPA	0.194770419181464	14.2191031633416	11.0911483354612	-0.629822854387996	17.0392494556301	12.3170344753264	-0.134495728419107	15.7218803806933	11.7313324165545	-0.218114352938985	15.9681549543185	11.9177166721803
NTN1 PARK7	0.24776444306033	14.4524995376436	11.4766195349181	-0.911703250148832	18.4977489719672	12.4597543031923	-0.24426808860349	17.0663934513374	12.5628306227133	-0.259803095419553	16.9689045459225	12.5714497977172
NTN1 PCNA	0.252552083532442	14.168927812168	11.222516908823	-1.59906123385895	18.4915823806426	13.5418775863007	-0.288806425662776	16.9371732604217	12.7789897877543	-0.321648456706597	16.724735488175	12.5614939331696
NTN1 PCSK7	0.208766615186838	14.5365323484031	11.2685679058892	-0.297423321236993	17.0519695137324	11.8001997308899	0.00968488917111443	15.9057329662936	11.6428062171398	-0.091325306681453	16.1674641670625	11.9127948052538
