protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
OAS1 OCIAD1	-6.2839956743573	20.1986435147694	16.0097419643271	-4.50568784100943	19.8663744033674	14.9230131755062	-5.98179142616511	20.0607312780262	16.0195924783779	-7.16802299799931	20.3149650502356	15.8559634730759
OAS1 OLFM4	-1.92622915637932	18.6213185606154	15.1175424497239	-5.92643467957611	19.8154742378992	15.8445878976474	-2.65881423873561	19.3983648955736	15.7704446210452	-3.676997696851	19.6006318688639	15.8433198829063
OAS1 OLR1	-0.558959187259902	17.5255024555526	13.9670868632436	-2.96438312302945	18.6726132437782	14.9195987254819	-1.56113076002447	18.4331910237122	14.8726311771826	-1.55465677866883	18.268373996781	14.7386156036645
OAS1 OMD	-2.90819874270182	18.7352547032335	14.1792063552309	-4.56605403258809	19.7746297900507	15.1105169391631	-4.56386350620072	20.0307833420393	15.6079652729812	-5.62420464691412	20.0288542398544	15.3609723550795
OAS1 OPCML	-2.44756553163603	18.2162767307479	13.7297124085814	-5.73669658778122	20.2895473144256	15.6743320668529	-2.34270450994189	19.5668538823372	14.7645617675886	-3.95850629560442	19.8003358597934	15.2358025878427
OAS1 OSM	-4.36074220146333	19.6899220427884	15.5486572841565	-8.46335963478883	20.6834449636423	15.8137949372512	-4.61724713114755	20.4270497222737	16.0250083123691	-8.20771436527061	20.5465490927898	16.1706224683494
OAS1 P4HB	-4.50863017801786	19.3134991078071	15.1592547486821	-4.26648856501027	20.2732550080933	15.1025336323681	-5.18044810716064	20.2941792786457	16.1649655720175	-6.60184083778278	20.2249642272632	15.71794008365
OAS1 PA2G4	-2.70806017545625	19.5944131018878	14.4688186588964	-5.65803373585066	20.0186527183908	15.7780927783086	-3.25622230145018	19.7735336878585	15.5031865788027	-4.69872752571075	19.9335290431037	15.5193602930455
OAS1 PAFAH1B2	-1.03588206940551	17.8651501184023	14.1288781669996	-1.04376199601729	17.5691676982568	12.9561170341722	-0.813753278226267	17.7912545613956	13.5464671972064	-1.09789285117631	18.133337920194	13.8420644198258
OAS1 PAK3	-4.07770168445186	19.7065298803199	15.5599979209885	-10.251129289005	20.666577041323	16.1462761090503	-6.10900232721766	20.5031443744564	16.4762274849759	-7.84773629925101	20.6530126717914	16.3621812012266
OAS1 PAK6	-4.20804546927749	19.3433031942814	15.5499585068561	-4.17804102402447	20.0612995759085	15.0860967585901	-2.86582080819794	19.633928430111	15.2343106142756	-4.85106907303945	20.1152594687627	15.6905148665394
OAS1 PAK7	-4.70806058474056	19.1360729365469	15.3717403354689	-2.40063934869714	18.7996615057768	14.5936996314353	-5.08518608737077	19.8294070795306	15.9300159689775	-3.48891358131283	19.2927603704512	15.3102679874731
OAS1 PAPPA	-1.41708485821257	18.2610795945522	14.0187924583346	-2.88055671624038	19.1733754343586	14.2164135978714	-1.26530426316356	18.6885714695059	14.1360720277292	-1.9340530283897	19.2410700932637	14.3384905893512
OAS1 PARK7	-2.92710536678636	19.2675802638953	14.8450635907628	-2.13152213070159	19.846239838913	14.5152723152234	-1.84214696746903	19.4863230726736	15.0559321312628	-3.04795060234689	20.020971540428	15.4281481321526
OAS1 PCNA	-3.12978425255672	19.0760191484361	15.1431073391848	-6.4931082326823	20.1121881860425	15.6909223237984	-2.95516945353716	19.6618281090547	15.5874680525518	-4.73215674639641	19.9172787751998	15.8274922306559
OAS1 PCSK7	-1.6871068454806	18.6219730855485	15.1382767772552	-4.71942988653493	19.2581740691157	15.311372478572	-2.9992031321763	19.3526017096606	15.9147088479791	-3.46129881756705	19.2787895818194	15.6542736287447
OAS1 PCSK9	-3.89733187411308	20.4033036679353	15.39086726498	-11.0191990101583	21.1967526976375	16.1026623703145	-5.17379950445308	20.5493769253842	16.186797124664	-6.79662447722122	20.9897316645818	16.0945758849682
