protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
OCIAD1 OLFM4	-3.09076535783365	19.696878011142	15.9638139449953	-3.31381348529783	19.793354742989	14.5444944583946	-3.21101133579112	19.8234978466941	15.8664372303693	-3.08255076408239	19.6534974981018	15.3976267908187
OCIAD1 OLR1	-1.10967974212137	17.7374194137277	14.1821451649562	-2.03817478907091	18.3647562159696	13.8327441684716	-1.29937331533497	17.9899368961128	14.2618254362168	-1.83515078087235	18.2005319800696	14.330608948744
OCIAD1 OMD	-3.95386182752633	19.9309167387969	15.0291582694935	-3.08174585043709	19.5722159164598	14.4933536904322	-4.41164985150546	20.5948935274777	15.5222728088068	-4.2402663160231	20.2815590349261	15.2268697778263
OCIAD1 OPCML	-2.0134826994235	19.3037577872731	13.7700681347148	-1.58509829377461	18.7426392517862	13.5391878968659	-2.62634461148118	20.0278556405322	14.8379296663081	-2.4048943843715	19.4519783301796	14.1757186330629
OCIAD1 OSM	-6.12409225849915	20.7866880291264	16.0960228031145	-1.99803059271646	19.7789318192507	13.9707503432172	-4.94800642731633	20.7365587438116	15.8493971341045	-3.37448819784779	20.4048686830768	15.3225371203317
OCIAD1 P4HB	-4.95458349082419	19.9856334357265	16.0105228114192	-2.95342294866973	19.7994188177422	14.2636027682787	-4.89555726584793	20.4164423559571	15.9070376384889	-4.31096689189896	20.0145840716223	15.4255926884206
OCIAD1 PA2G4	-4.00972696591258	20.0751656789095	15.3852844121776	-3.08969116155013	19.7332127068932	14.845074103101	-3.32625814390419	20.5593019813927	15.9605738380179	-4.45944879884289	20.1099471607182	15.4707260687505
OCIAD1 PAFAH1B2	-1.23526528745261	18.0004432434422	13.8919199231035	-1.13060994809332	18.5928230269792	13.2330802512988	-1.28387308587275	18.6515101994539	14.0984485291953	-1.29174014316828	18.6701023226013	13.9545825568966
OCIAD1 PAK3	-5.59310859208065	20.4187030222979	16.281700908445	-3.56545328858766	20.4256780838697	14.91444118162	-12.2560166187539	20.9957791297191	16.5970975108996	-6.13783626583387	20.7649537253009	16.0226732258585
OCIAD1 PAK6	-2.02631463588682	19.2145649599187	14.9917370898601	-2.4169145789657	19.3435512458899	14.1775817984368	-3.21977394853384	20.4517608778005	15.7491456362491	-2.95025603697788	19.5469136816919	15.0830236477067
OCIAD1 PAK7	-9.26492484388769	20.1786576767563	16.1533450514499	-1.90606095633261	18.5531633273895	13.5144465493039	-6.63661499505695	20.7171851695386	16.3678658334725	-3.9566066184451	19.6862393055279	15.2044401223732
OCIAD1 PAPPA	-1.40092945086324	18.7301536580854	14.503073106452	-1.77077137628951	18.4230199774628	13.5441117976405	-1.975944079334	19.471371489547	14.6509203027837	-2.00489051234066	19.1407244199972	14.5382898501965
OCIAD1 PARK7	-5.48567791054927	20.0296060387234	15.2661281894861	-1.16264148094048	18.5323894139293	12.7772097612983	-2.73192555054521	19.8189356006476	14.6609293341704	-3.37685060334843	19.5336862660506	14.7311007747203
OCIAD1 PCNA	-7.52919675854105	20.7154825291965	16.1547359423502	-3.20231944809438	19.1646124583813	13.9433055569964	-4.64385465140246	20.5597530115397	15.787584199704	-5.37622836477638	20.178655174641	15.4868300836698
OCIAD1 PCSK7	-3.52588108813914	19.5034044021659	15.8101385472478	-1.95536190585126	18.5396345634195	13.8692497068777	-3.05478003618703	19.5791129857864	15.6234415179045	-3.22193194716435	19.3427017714388	15.14462824531
OCIAD1 PCSK9	-9.25267681927459	21.0611170905408	16.763388721958	-3.33248749216551	20.1400112632262	14.8560975411872	-9.85254072729323	21.0756672535291	16.555623590298	-6.08413563010425	20.8612581266004	16.1991334144185
OCIAD1 PDCD1LG2	-8.5194949636328	20.837502241501	16.3621787112126	-2.28975503812294	19.0104979445583	13.5555130505461	-3.91524559544394	20.8978583106196	15.7295166879794	-5.07024264691693	20.2489058432136	15.4360474049277
OCIAD1 PDE11A	-1.0275907588569	18.4164117804465	13.6840097905443	-3.78024817765836	19.7749001731961	14.8432616634768	-2.33655374804285	19.2636164283927	14.9123565687943	-2.16873749886248	19.3125320217458	14.691981312967
OCIAD1 PDE1A	-12.6813159739509	21.2952933425906	16.7912636324086	-2.04023298814146	19.7955348968627	13.9190655875739	-3.7796993453308	20.6070499999618	15.6063620948488	-4.98083160613616	20.7033951408657	15.6417454424122
OCIAD1 PDE2A	-13.0385164681431	21.2830575323927	16.4662851994477	-3.3530851391135	19.9347547596817	14.85277650857	-10.8782553555097	20.9979182546731	16.4098079661345	-7.60364756948571	20.8088220997287	15.9825658380779
OCIAD1 PDE3A	-4.40456573106614	20.2979251220357	16.4361593943401	-1.75818981663296	18.4348068552528	14.1878098045388	-3.36551479904225	19.5507348759592	15.9187840369724	-3.00452594008333	19.4598481625431	15.7150787330234
