protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
OPCML OSM	-3.7705033723709	20.1959125081811	15.0085190371611	-18.4356896934019	21.6082050335213	16.3219373883417	-9.44405309425656	21.4050702529069	16.3051476953839	-9.91167736813498	21.1526998299381	16.1565842925805
OPCML P4HB	-6.16760616631597	20.695329356291	15.6319457085931	-10.3606596403695	21.3013605801492	15.6888802412575	-10.2747905257192	21.5633796190914	16.5464980807532	-11.5504021875202	21.3367112444925	16.3539345115633
OPCML PA2G4	-6.02867008801651	20.8131652855626	15.5474678811517	-3.04498627070602	20.6813183982851	15.3521798721646	-4.97649742557688	21.1204459483592	15.7321242477303	-4.41947630290099	21.0722173112928	15.7353074270776
OPCML PAFAH1B2	-0.959341368723126	18.1313892247498	13.1609229514945	-1.72191689491231	19.3410916038361	13.804160356811	-1.40080783573212	18.7264388183498	13.9351112619089	-1.48897079656479	18.9063298539882	13.846775735476
OPCML PAK3	-2.86532611988972	19.5275151527544	14.451990316807	-10.9523441926101	20.7675419164172	16.1068800507692	-5.62630589113762	20.6901375761068	15.9211479611012	-6.70552914508321	20.7175568282673	15.9123518584483
OPCML PAK6	-5.49905777211973	20.2800736925305	15.4484033005288	-2.52143059394622	20.2067896892889	14.1609337919759	-3.90734634925411	20.4136925182949	15.1924895853471	-3.85060603265521	20.6167812092647	15.1915293035273
OPCML PAK7	-6.70919636721363	20.6788041941423	15.5330630590344	-2.44677365069279	19.1067855786482	14.2421415270588	-4.19715030342744	21.0628817449482	15.7516345186498	-4.54138742321794	20.1636408102687	15.2420756615678
OPCML PAPPA	-1.4191456475231	18.9407088521959	13.8002877728157	-2.64181621574135	19.0743909441964	14.2313426879418	-2.11084633521978	19.4157230375844	14.4584449086285	-2.26798632146005	19.4558320508201	14.5895082627663
OPCML PARK7	-6.97303694320844	20.6699605982854	15.2796640765432	-2.36757690483994	19.8282555774596	13.8104458230315	-3.46850165772657	20.5970655824469	15.1138410963022	-3.8300912026489	20.990062994099	15.3671374929175
OPCML PCNA	-2.23091889907769	18.6505847812898	13.8839667883804	-8.23843560451085	20.6589491499841	15.4745107483941	-4.29503384546425	20.1633257115909	15.447367842937	-4.22188773584892	20.0742939574526	15.1646827716811
OPCML PCSK7	-1.10292048089459	17.324071456478	13.3654165455616	-2.84929839359792	19.7772133948299	14.8656338844724	-2.21735554423389	19.0400935803546	14.5958314473628	-2.32016792283601	18.9475873129719	14.494812270578
OPCML PCSK9	-7.13549876744422	21.5799511607442	16.0456010732709	-16.9588353895524	21.6038795695596	16.3146518891999	-12.8614122190677	21.8872589333795	16.8309379055886	-15.4063140334524	21.9277404832924	16.7024315424286
OPCML PDCD1LG2	-6.02288112515019	20.4912742443491	15.2346442843406	-3.34075949305403	20.8156108317245	14.4395314243277	-3.94516236113283	21.6928044341258	15.7215995710353	-5.10519163176451	20.9091843460647	15.3294579092556
OPCML PDE11A	-1.4561519773437	18.5632083064303	13.4151318711701	-4.67344545072193	19.9363958933393	15.255604751694	-2.7734908963295	19.6721175584826	14.9588000648601	-2.85778530622619	19.5536364623905	14.7356580688897
OPCML PDE1A	-5.50858611449261	21.7025216934576	15.4197620325925	-1.66716719160875	19.1664874945419	13.0237498634566	-3.13891689873907	20.8999112807055	14.5118195681009	-3.4307300910177	20.7441402577712	14.7220874029406
OPCML PDE2A	-5.2747217562763	20.7990241422433	15.2912669878797	-1.59413911948731	18.8674434950482	13.3304967323388	-2.96719163164084	19.9016015397909	14.6986904101633	-3.02966188507303	19.9650138685877	14.5350839961899
OPCML PDE3A	-1.59498819678473	19.2900563316388	14.3566917120264	-1.31108274053976	17.8139407089917	13.3539977654628	-1.52757544080302	18.8261723758706	14.2096756567314	-1.4657859043915	18.7212432896542	14.2385307339722
OPCML PDE4D	-1.16038076839237	17.4354903350368	13.2085993860876	-1.77205481274106	18.0983979496948	13.2157894625337	-1.49992592107618	18.3305826995077	13.7529603857975	-1.68772331950325	18.1119260048001	13.548857169992
OPCML PDE5A	-7.50870548898115	20.541442834994	16.0933124194456	-2.08808426098009	18.6687232555858	13.0358890060702	-5.22841112667429	20.6123756155174	15.4723645850013	-4.7843403885513	20.203270323758	15.148995178629
OPCML PDE7A	-2.18942485102781	18.7620345624622	14.2674920570318	-7.46208138184071	20.1200398330245	15.5166515710692	-3.94789727790724	19.9834603663556	15.4450299242149	-5.48071982904496	20.3855866003319	15.5431075886492
OPCML PDE9A	-0.664014333179219	17.2249591715679	12.6234277085686	-15.3358549165629	21.0076948107543	15.7012663538357	-4.37206309340845	20.6835165970645	15.6667069072965	-2.97857801020374	19.6001565326635	14.7072100914869
OPCML PDGFA	-6.08512149690325	21.018044144995	15.6639737408226	-1.63462976845656	18.8173420911426	13.764918081333	-3.19082320983627	20.5230458641272	15.3806909582585	-3.94634810629274	20.4611279853375	15.2446377420899
OPCML PDGFB	-6.93824367727924	21.5187166996098	16.0399665397399	-2.62113001712921	19.0226887995438	14.1878420753617	-4.92689523681234	20.6680249685313	15.5935197969233	-4.93429850126779	20.5953778952994	15.483756877469
OPCML PDGFC	-2.777212326344	19.6500039401277	15.0533919881743	-11.2640899101483	21.4081888518257	16.178268201781	-5.87510148504985	21.3836309064577	16.2000481383434	-5.75611570427373	20.7242254315411	15.9467272260699
OPCML PDGFRA	-9.96716567678629	21.4719534472174	16.4351855737186	-10.8088082235507	21.1250766155627	15.6072027865091	-12.439749042075	21.758800574354	16.5654738630889	-13.8482015801576	21.6151348292565	16.4174035818339
OPCML PDGFRB	-4.64161536816417	20.1460701990109	15.00667777599	-8.17064621112809	20.2625628274876	15.7612834982722	-5.80386817139596	20.7664199952162	15.7144633389538	-7.70975118983172	20.673152815899	15.8580606822135
OPCML PDIA3	-4.59492665111174	20.9765405413439	15.5800571514782	-5.58628745316035	20.6918518822315	15.5863930809318	-8.04704132976429	21.010263708041	16.1103630013702	-7.36445540014745	20.9254456424407	16.0300495829358
OPCML PDK1	-7.3080587800656	21.3657140439319	16.0168333211669	-5.53699092291985	20.4057760276122	14.8573556438621	-6.95818799059719	21.4815032605878	15.9172328196173	-7.75633825376388	21.1528206816654	15.7770698155414
OPCML PDPK1	-1.77763753717745	19.3942589851706	14.4012627324308	-3.82882408497767	19.2213095667791	14.132746200612	-4.63058885090059	20.3410372204525	15.5398215941087	-3.31468403998871	19.6700591990298	14.8589001637167
OPCML PDXK	-1.72603642550885	18.5469216189065	13.9174909001624	-6.76187093874347	20.7790500601281	15.4542984575232	-4.85685011601994	20.6039446173894	15.6704880662256	-3.91589961346626	20.0849562694757	15.1813911785149
OPCML PDXP	-5.86577041660731	20.6453841906411	15.4772485178167	-2.9394045735814	20.3645109060914	14.6262761676198	-5.06128764689751	20.6893206322623	15.3271527069405	-4.31324470300903	20.8901625578792	15.4040307270125
