protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
P4HB PA2G4	-4.43328386028985	20.1048407998293	15.2177932512985	-3.29163720362896	20.8107455572279	15.4317398004841	-5.9364395719714	20.9908947944713	16.2418706361632	-4.30363172986706	20.639916748071	15.7021551210831
P4HB PAFAH1B2	-1.30269448004532	18.7820036854041	14.4355465722254	-1.47843958045943	18.8235050550365	13.7053539031621	-1.35429038789626	19.0294895019592	14.3202725099241	-1.47595198091792	19.0902325414796	14.4156826273265
P4HB PAK3	-4.10112866984759	19.7939435348438	15.4035063756196	-4.70987387675029	20.8279779365173	15.3223897177373	-9.32175494138842	21.0314985627806	16.433900356079	-6.81247868443695	20.7556510906716	16.1147316557147
P4HB PAK6	-3.72974010210738	20.0642829553269	15.7365132189231	-2.70658093127844	19.8403016072978	14.4513829654458	-4.3569872376124	20.3840302687706	15.5697159209623	-4.60178360938575	20.5182120159416	15.689459832984
P4HB PAK7	-5.84133715494446	20.2285385985734	15.7618073757834	-1.98771439223319	19.4505948685881	14.2909145919294	-8.11683630963796	20.726380575086	16.2900826379126	-3.22009172566749	19.8460588829079	15.1720335762861
P4HB PAPPA	-1.35312662073658	18.9222081682026	14.1766278184424	-2.55552531181087	20.3669968467502	14.8572364710641	-2.38652604427075	20.220902754805	15.140899959503	-2.24419101847659	19.9349529487303	14.8655030075138
P4HB PARK7	-5.48722993868362	20.2020570720977	15.6772592995584	-1.99697100934263	19.8998370304935	13.9266352706458	-3.84486328325489	20.7452056746483	15.7374713647285	-3.80268169585393	20.4016373501195	15.3657130599699
P4HB PCNA	-2.72023652000422	19.3700658237503	14.9126468634007	-2.91374916595351	20.9985668757918	14.6409584601265	-3.96986182017102	20.2195757252584	15.7799820287201	-3.46931207325057	20.3603740153855	15.5280775245229
P4HB PCSK7	-2.13041339269403	18.6794967471305	14.8001862025835	-2.37199358714589	19.2266849450462	13.9156749503668	-2.5095367306414	19.3452055853918	15.4946585051884	-2.70730701494	19.2746759958346	14.9035968263994
P4HB PCSK9	-7.59808421529612	21.1515175050535	16.3474242431586	-8.54062330765862	21.6640059557407	16.1859733052211	-17.783178757447	21.7223600711509	16.8344731245683	-12.6764313066987	21.5530817599941	16.6251185993149
P4HB PDCD1LG2	-7.27159633239302	20.6409410256016	16.0467245027693	-3.30194262392892	21.2406866186447	14.8060044233087	-8.17132701112966	21.6161898768555	16.5606587112799	-5.18274572405119	21.0235237402716	15.7277646111067
P4HB PDE11A	-1.0185701729998	18.13902714579	13.6544938904775	-5.61632183499197	20.6850442148267	15.572825260378	-4.38887720662114	20.0793246097759	15.6478975265475	-2.76729707596555	19.6249601908161	14.8993666034734
P4HB PDE1A	-5.79556618542228	20.5905746584568	15.9002935824425	-2.22101148854905	20.5045439922043	14.6388093171381	-3.94355028743426	20.9672728696533	15.8993540337643	-3.82436454071508	20.3783831932612	15.4260248760221
P4HB PDE2A	-8.76474929551475	21.3081010884371	16.301333970861	-3.25307883237043	19.9470376395762	14.657864447667	-8.52871221324826	20.9100642492635	16.2940576811212	-6.14254472386001	20.6829123552324	15.7935701087441
P4HB PDE3A	-2.73984913646875	19.4082913119849	15.7072344695027	-1.17795634316806	18.4663296020278	13.9871886618616	-2.12688473284637	19.4251135368877	15.7490358587877	-1.67186185354675	19.1091285406253	15.1350040869404
P4HB PDE4D	-1.30747314651308	17.815628927227	14.0564286943441	-1.2653654560133	18.069465826505	13.0826688183773	-1.64251174144146	18.3592463545582	14.2824799168338	-1.28397294238112	18.1957729833988	13.9658407727287
P4HB PDE5A	-5.76338553358798	20.2584383139153	15.733153066173	-2.75926358801296	19.2815131040122	13.6736769822127	-5.75827944665454	20.7823937598316	15.7443460369059	-4.99150899150704	20.2697779839708	15.3293912152379
P4HB PDE7A	-1.725142100605	18.8443620101885	15.1548781081109	-5.42065974114788	21.1904801312138	15.3945130701532	-10.1077384412222	21.4136547231458	16.767371135302	-6.99233213469702	20.9249632072144	16.1390565447745
P4HB PDE9A	-1.40367858488087	18.5609341563005	14.7426661433424	-10.1662604893456	21.052852603674	15.3675167829551	-9.37501553895115	21.098099772706	16.5466448866076	-3.70493116626893	20.0509795172223	15.3636319885971
P4HB PDGFA	-6.75208845825151	21.1484920373174	16.3398727660883	-1.40681284661889	18.8524407557152	13.4810807420056	-5.28952932887633	20.7609851802827	16.2426464608615	-3.76891337548884	20.4846127340877	15.4243192020066
P4HB PDGFB	-8.76554533449924	21.0231118158647	16.2890087483163	-1.94473323055826	19.4300476310619	13.7915866720462	-5.60647035180041	21.1131508571494	16.2904175826892	-4.68372740803734	20.7093774824632	15.6731135953566
P4HB PDGFC	-5.22643786348115	20.0150391025912	15.9430220088539	-8.47980709782846	21.8743043735589	15.8097171698792	-12.0982505119571	21.4895698807619	16.7529120999437	-7.36957997082015	20.9828447456031	16.0925729175407
P4HB PDGFRA	-9.26393559522208	21.1889487296214	16.4277170438473	-12.0246035862415	21.7531231723452	16.0738771766811	-15.7989639619294	22.0036776208241	16.8742096697497	-13.1848012983861	21.5413540256567	16.5642241119956
P4HB PDGFRB	-3.13049005907013	19.444892374615	14.9697989414878	-3.9487134112064	20.839070458895	15.0091336592968	-14.3377478621658	20.8508557102415	16.3415878157589	-5.33163712054696	20.4213565889299	15.5018070874791
P4HB PDIA3	-3.77569999240104	20.0296964869305	15.6448929268851	-6.93862013269138	21.2550471183351	15.6105531188379	-9.16328449650132	21.4298297868174	16.7202241368641	-6.87428074232678	20.8808835351825	16.0485806706205
P4HB PDK1	-5.68517385007495	21.0444929302637	16.0273754525101	-6.35225258264179	20.113670473213	14.8698632183293	-7.81224451799915	21.0657085758471	15.8212525270992	-6.59982681103206	20.9699123063381	15.7308402657374
P4HB PDPK1	-1.46673244041172	18.4722428357106	14.0308290838831	-5.87332228428929	20.6759997321879	15.1736855709933	-4.30111451004751	20.7338619798072	15.8299762827121	-3.15418304412209	19.980344617357	15.1709397278127
P4HB PDXK	-2.47127255348501	19.3102682352218	14.8241086411359	-6.00747362953135	20.2837742792725	15.1086827452534	-5.54717154710811	21.0386060479649	16.1840187617574	-4.33191840630851	20.0514852045375	15.2543016926588
P4HB PDXP	-5.05158282727359	20.1773117133828	15.5459298328167	-2.32604258388638	19.5580249455657	14.1743096432483	-5.81863521018002	20.4630967644363	15.825247779469	-3.71272439267479	20.3735067527349	15.4473889683452
P4HB PEBP1	-2.54631244629658	19.367140080738	15.0931704952323	-2.00530512982849	19.6049841225261	14.2265202011542	-2.94605107106413	19.8851060314269	15.7069652151293	-2.39793569421863	19.4714265878133	15.0988771058559
P4HB PECAM1	-7.24163254309663	20.6754405659789	16.3867515959198	-2.31360569573187	19.9274793043502	14.1498283079869	-4.16516560694985	20.4030513770476	15.5744782140871	-3.98661186444248	20.4151888414459	15.3940545212818
P4HB PES1	-5.55326834949466	20.2846553316726	16.3158115587676	-2.93698027794965	20.0966751288115	14.7782209421792	-4.49343913161418	20.3967180003432	16.1618705273603	-4.80272325933948	20.3895740017009	15.9054595457275
P4HB PEX5	-4.20543433501925	20.7246722447521	15.8261737300806	-3.81114464080112	20.2732770442302	14.8426184062739	-6.49339890147071	20.8539443349246	16.1977059608752	-4.76239414225938	20.7788507310888	15.7627505196706
P4HB PF4	-6.34733169690759	21.0006408393853	16.3330190221797	-2.13845544100946	19.6611392589572	14.2534965261956	-5.84633162972233	20.9759150524232	16.3002179897393	-3.9692111807426	20.8222286237236	15.7803548946749
P4HB PFDN5	-8.05393360607973	20.6702428381151	15.951009459491	-6.64000033287401	20.2301577008104	14.9328830757702	-8.10303780369927	21.3146585683164	16.3831170064996	-6.85374691868756	20.8597604163115	16.0266336580643
P4HB PGAM1	-3.35269917250887	20.2606049653304	15.6672559322123	-3.24007467664384	20.3827346944603	15.1850255257069	-5.43454939205289	20.6600157883508	16.4469495552532	-3.8657425079894	20.3902120684563	15.7789697158397
