protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PA2G4 PAFAH1B2	-0.5712699992817	16.9250074346546	12.6652800133109	-1.42694683794332	18.0946508222374	12.776942598095	-0.749210618335984	18.0786961016012	13.2589152706608	-0.865425236287758	17.8830010935718	12.9317076689301
PA2G4 PAK3	-2.81091605996916	20.2525241769976	14.9426794608974	-2.42091875613339	18.7963446051434	14.7738789745383	-4.23980529103542	20.6654074090687	15.8947418178005	-3.42423764933844	20.0051966344014	15.4198315574521
PA2G4 PAK6	-5.13929422147328	20.2622936552297	15.7799190876381	-3.91899841835486	20.5039257128588	15.2215562832309	-5.22068263675446	20.5852101972607	15.8222608980719	-4.52394360955093	20.5531796219027	15.756428191752
PA2G4 PAK7	-6.81612532135625	20.5460303797432	15.8771500818627	-2.20111238698791	19.2738573946442	14.5184220152771	-4.32785692978466	20.5643691743337	15.8815042459158	-3.98561093735767	20.0716545570911	15.4145167024009
PA2G4 PAPPA	-1.42280665621482	18.9328698291723	13.4718151966482	-2.10412230403579	19.114945948558	14.1091086477435	-2.27244946883259	19.7295144601968	14.4585773989193	-2.00282467312872	19.5977179416888	14.2412127474754
PA2G4 PARK7	-4.57988442863622	20.5703199902398	15.3480311380163	-1.89498156798454	18.8165609075639	13.3471022900249	-4.02148261954358	19.9225020430306	15.0858338905677	-3.44358627243924	19.7081318630873	14.8174666936066
PA2G4 PCNA	-1.94862886291138	18.5781052571256	13.9742667132764	-2.44027981021963	20.0280452204627	14.9063459814368	-2.96462149851404	19.6820190375672	15.0519827582723	-2.8136251133933	19.7043936464271	15.0222489733431
PA2G4 PCSK7	-1.64213939792171	18.1299330769797	14.7663790980989	-1.96828981763003	19.5746187286297	14.5521783553305	-2.84162490512876	19.402275098823	15.3219369399035	-2.14393736964009	19.1108873039392	15.0082828846832
PA2G4 PCSK9	-4.41854289998447	21.0189741449953	15.4897629970304	-5.74665321383491	20.5530032597765	15.7964826177601	-8.13268250293708	21.2310813953584	16.1868344105452	-6.64452820822217	20.8979375796049	16.0249119838465
PA2G4 PDCD1LG2	-7.60642102834428	20.5050540280414	15.9905945896089	-2.2035015902889	19.927686149971	14.0927750328737	-4.43514355857328	20.8710330173872	15.8548818469372	-4.69104110086875	20.4696279339	15.3838747239315
PA2G4 PDE11A	-0.897012729956852	17.5932158506	13.1617567903897	-4.18939230088225	19.7283322560162	15.0595498714919	-2.42859637722235	19.1715318521109	14.9915823483863	-2.42258461355191	18.9538354392444	14.5152817269491
PA2G4 PDE1A	-3.32590310408321	20.3080822591805	14.8998572567395	-1.871838519791	19.5354482133113	14.0593174305001	-3.12799553954446	20.35692525597	15.1183145993021	-2.91627309390887	20.0325744711091	14.7735293985935
PA2G4 PDE2A	-8.12481963525779	21.0696066416212	15.9151931969513	-3.05668907190142	19.751244709432	15.1095414363288	-6.47918990753339	20.5412301375072	15.9696079226764	-5.37253951052053	20.6403703066757	15.8166429533401
