protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PAK7 PAPPA	-2.6847126729445	19.2586176551736	14.5264483383871	-0.723821161847602	17.5305708736768	12.3656611016676	-1.59778803614241	19.1842000573681	14.1530118911119	-1.46260557391405	18.7836541472372	13.7408293015154
PAK7 PARK7	-5.61087214464576	19.9462089270587	15.7526098666545	-1.28514025676596	17.640937327055	12.8508140403837	-4.01212027218707	19.8961579746257	15.4000797221108	-2.84830135107844	19.1409551852414	15.0288917270038
PAK7 PCNA	-4.34041405811599	19.9086560917691	15.4120096858531	-1.9179947169527	18.8746600949186	14.1238882422554	-7.30687476781279	20.36759132451	16.157063751417	-3.5500546504768	19.6000575379071	15.3802618915906
PAK7 PCSK7	-3.09620574122503	19.4290773504596	15.6239298738985	-1.94584303723948	18.6941429762176	14.1743810025636	-3.78526417002095	19.8636130141096	15.9562998117943	-2.86111858713057	19.2076394453452	15.1867162646843
PAK7 PCSK9	-13.5309844455106	21.1585403787036	16.5447610393566	-2.40518217551885	19.3380254749025	14.6527388378677	-10.0805823965569	21.1499555655251	16.6866341490394	-5.09404324227909	20.3892550012874	15.8365030904788
PAK7 PDCD1LG2	-8.94004144667233	20.4463387416761	16.1605763025744	-1.64129922828445	18.3751135322325	13.342896751408	-3.9624719105927	20.9596834225363	16.0262817125014	-4.06394010324637	19.8297464218053	15.2001756354212
PAK7 PDE11A	-1.5515637932841	18.853727450782	14.8940808223387	-2.1417836005359	18.5094091597346	14.2806982853371	-2.58987567014095	19.465646471102	15.4510595004294	-2.26384319333488	18.922063229387	14.8719843337916
PAK7 PDE1A	-4.29854450105474	20.1300040095273	15.1759334549328	-1.1712625399481	18.8056039954212	13.4916540305957	-3.02840796254474	20.217402395159	15.2881323501893	-2.66426058280112	19.5910664115458	14.6209375975399
PAK7 PDE2A	-10.8851411644979	21.1572919141531	16.4715964122809	-2.71412974054932	19.0416027749233	14.474212911712	-7.92962613017036	20.5395076606866	16.1541426127034	-5.48338339873606	20.2922066436415	15.7616128581301
PAK7 PDE3A	-2.85858295822121	18.8496171049441	15.5080406646907	-0.568434225274197	16.9000045949585	13.3174172481149	-2.25745623980307	19.1152250254052	15.7743884237951	-2.02926831961514	18.3254439009658	14.9152966344817
