protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDCD1LG2 PDE11A	-1.92912685356826	19.2748076674954	14.3127918387752	-3.14574182576366	20.3266386375543	14.5891821169369	-3.72168934474837	20.1513524656726	15.2604008968274	-2.62051585938823	19.9505835160449	14.753074383701
PDCD1LG2 PDE1A	-7.52374400938316	21.1888881424245	16.2193418309716	-2.05885655979462	18.8388015943876	13.5620470277499	-3.9565004283185	20.706013983448	15.4239174398863	-3.87597084078294	20.2779412432119	15.2182163521013
PDCD1LG2 PDE2A	-6.87611877782967	21.316821492722	16.1155665752801	-1.99991529437147	19.7573789629964	14.3279231464995	-5.06225528436963	20.8824731840486	15.9292094987895	-4.55807674269766	20.674752307493	15.6571998269859
PDCD1LG2 PDE3A	-4.77755162204476	19.8299497871782	16.0368418164305	-0.619544513460337	17.5908622803053	13.1067175129191	-2.03270611376699	19.3861309529015	15.4085137106187	-1.93321507298904	18.9800934815739	15.0407751457774
PDCD1LG2 PDE4D	-2.14596618402491	19.1177905599584	14.7923316276503	-1.1805293314406	17.6120679530872	12.5033053610584	-1.7929027874406	18.609294393862	14.1784923657877	-1.67851092487262	18.6518334657333	14.0722818209324
PDCD1LG2 PDE5A	-9.52220638270422	21.0134054142226	16.7269253835203	-2.01502182683616	19.3538748410135	13.001273981234	-4.73537266499418	20.7056908971274	15.36518881411	-4.16395854256906	20.4454461961662	15.1998642238044
PDCD1LG2 PDE7A	-1.87839978979314	18.4301364613371	14.2822642633022	-3.46112737726506	20.4574308105146	15.0722966066088	-5.82636499218976	20.5849308638143	16.1816234314974	-6.67874623503956	20.5899772218116	15.987330009727
PDCD1LG2 PDE9A	-0.836448613743478	17.6603244515195	14.2452529003176	-3.15968765368664	20.6990222035737	14.3053058583336	-3.87280743992606	20.9565183163161	15.761810580515	-2.18129078416534	19.6565904698613	14.682451177829
PDCD1LG2 PDGFA	-8.43097235899763	20.830131377545	16.5009990737193	-1.80653442663864	18.8525149064432	13.0605254975855	-4.52040296877801	20.5414420438106	15.8996184097142	-3.57502756166954	20.1034270465577	15.0942225497375
PDCD1LG2 PDGFB	-6.93504970359076	20.6525502127329	16.164044074993	-1.45481685381997	18.8038117479492	13.10968707812	-4.16443045787237	20.5588019725967	15.7004401476842	-3.96947574774773	20.1310643692577	15.204051831512
PDCD1LG2 PDGFC	-5.80362082770169	19.8603464633031	15.971362130909	-3.18165206243032	21.1035274703406	14.9392043175775	-4.74738203575002	21.7453219955966	16.4652313780899	-4.73795232681045	20.9723539522005	15.9887004298421
PDCD1LG2 PDGFRA	-10.2677827175074	21.3842568322416	16.3947196766952	-2.68442440150242	20.3844577615012	14.7353547597345	-4.81225767503404	21.7379093335808	16.210286842986	-5.74189489918218	21.0303486404424	15.9279995699428
PDCD1LG2 PDGFRB	-3.40236542474648	20.462505768471	15.1088898045009	-3.30094765749287	20.3918849261508	14.7327783114542	-5.69493632476414	20.8994675706353	15.9995972758647	-4.64941446012521	20.6087916831381	15.3205112891564
PDCD1LG2 PDIA3	-3.88248344716214	20.7966959283923	15.9068537755241	-4.08496443254154	20.3796264929967	14.7764948504676	-10.0120376292855	21.406945334035	16.640280498249	-4.77924599977386	20.9110514306968	15.764497954745
PDCD1LG2 PDK1	-7.00291851334811	20.8268892025225	16.3331272358827	-2.54925285243695	20.0013860764736	13.9315154204837	-7.7582821424781	21.5182695963139	16.318120512046	-4.14686646713476	20.8064648675357	15.5022951138958
PDCD1LG2 PDPK1	-4.91318629769323	20.2131713289508	15.6734282279015	-2.83549028990744	20.1919812203673	14.2078146538277	-6.9718415819926	21.3107166715816	16.3454431249715	-4.64135281428628	20.5442637099118	15.4910679424359
