protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDE11A PDE1A	-1.29120424869139	18.4356093951382	14.2626616495802	-2.61453128592647	19.6051933793499	14.2805746713428	-2.7652851307726	19.426065163442	15.0356741084526	-2.17919992507267	19.1585417296311	14.5304275347657
PDE11A PDE2A	-1.82721269207592	18.6074608295383	14.4309647787503	-4.21378733129487	19.800179069183	15.0416886061978	-2.87893209831544	19.7678216478322	15.3007618386731	-3.11065432036704	19.6104574894174	15.1082978614061
PDE11A PDE3A	-0.471431495093834	17.1730397747747	13.7254188180509	-1.54448518876705	17.2995958168897	13.3526087459525	-1.05015515680668	17.7043619760239	14.2774991358856	-0.961721633150453	17.5480649961081	13.9077400001807
PDE11A PDE4D	-0.228704922657361	16.5266606194581	12.6125134830794	-0.990657281846339	17.1060946582252	12.7737714526701	-0.522222188832592	17.3526872298704	13.320635670155	-0.583614753752467	17.0646290395338	13.0471237166569
PDE11A PDE5A	-1.14618535510557	17.8286643976854	13.2698693533612	-2.22082848265731	18.5466578615509	13.2994860442269	-2.06751787343013	18.6737231522975	13.8705000600987	-1.86098665564781	18.4798887738584	13.6192416132761
PDE11A PDE7A	-0.843810804089101	17.5420134487345	13.6427950682996	-5.67055392550177	20.4947403761814	15.896083239368	-3.86017043887838	20.1335371791339	15.9022725108846	-2.92320566793048	19.996076939166	15.6008205211752
PDE11A PDE9A	-0.317210550043342	16.6760872571733	13.3458275534213	-5.32521908529515	20.0303915274471	14.8877385810795	-2.31213477247749	19.4737006696996	15.3423543327787	-1.69462882528381	18.6577847726605	14.4089669574082
PDE11A PDGFA	-0.830453134498124	17.3002811685551	13.6981933425319	-2.04137224594139	18.5114746816838	14.1340695703676	-1.38670820423295	18.5144014513751	14.7513220901552	-1.57887760430106	18.3390330727524	14.2664539456424
PDE11A PDGFB	-1.04740899479567	17.7326482975166	13.5425665457142	-1.89743045164799	18.1916828696746	13.9116727495297	-1.6155448773879	18.4723548172589	14.6092910664188	-1.41385972201833	18.2184948499143	14.2404538288617
PDE11A PDGFC	-1.18964745528719	18.3833025661055	14.4910231921525	-4.94290564070138	20.3061503929888	15.1215905569458	-3.47982107019239	20.3642469831668	15.9055211766808	-2.6612233031756	19.6293080008209	15.1335066169125
PDE11A PDGFRA	-1.08659633434756	18.767896017479	14.1510556360981	-6.17610795428488	20.7618663708514	15.4997460716911	-4.28472674195456	20.2912015017236	15.4630495377005	-2.84150858833767	19.9810879800853	15.1354552903056
PDE11A PDGFRB	-0.936561015783345	17.1630329550433	13.4782726280356	-4.95463725193749	20.1362516510306	15.4150074565109	-2.76723830260411	19.2957818040009	15.1639868147939	-2.63184431140466	19.2291268290099	15.010843283917
PDE11A PDIA3	-1.56350998388013	18.8919624157713	14.9126658279352	-5.12079936546386	20.3236463927992	15.4545313459473	-6.4398700393474	20.4649089295893	16.1412305894087	-3.6487929564537	19.9457576772712	15.6176984284409
PDE11A PDK1	-1.45401044967145	18.4839488185195	14.2426372716518	-5.96391972569327	20.0246710247835	14.7883636602527	-5.02285950110871	20.0887769370834	15.3335689261127	-3.66309507675389	19.7859588525035	15.0711736297189
PDE11A PDPK1	-1.83133184815575	18.8109537013121	14.610680012504	-5.08515337580513	20.2464645430768	15.428473510722	-3.16985766774605	19.9745467025901	15.4250950352482	-3.79960278669524	19.8004813712182	15.3222404049792
PDE11A PDXK	-1.18831401722724	18.0032404905961	13.5652083628582	-4.74073514876891	20.6582078154375	15.3216152428673	-2.92493771833298	19.7487792760164	15.1074063852559	-2.63751539533952	19.6166978443547	14.777520892394
PDE11A PDXP	-0.376618152777711	16.7621506852349	12.4264485775075	-2.2289274746554	18.6570529937726	13.7939648316541	-1.43631111841096	18.288269964808	13.9402145859062	-1.67774330235682	18.2429875540803	13.7247462307893
PDE11A PEBP1	-0.153100972285146	15.473569795583	12.5263427859819	-2.26567455861273	18.3085261559335	14.1739936160359	-1.00921174219679	17.5260359666095	14.2485298676592	-1.18137060944055	17.4094152140324	13.9576831766845
PDE11A PECAM1	-1.89644750102011	19.1838656230892	14.8460114272744	-3.2324333790105	20.2067754081632	14.7284311650381	-3.44503971224522	20.3872274381582	15.7906665698067	-2.76899762239625	19.9377332560046	15.1256378631606
PDE11A PES1	-0.93331008175415	18.1202474433329	13.8049494263321	-2.55724306438293	19.4300386177376	14.4804501369165	-1.73990961871988	19.175562293919	14.926386998115	-1.72331487627505	19.0016092609968	14.5702087646965
PDE11A PEX5	-0.968134811156522	18.4196848095523	13.7593547239609	-4.63492304392605	20.2277087979996	15.3386922457484	-2.95094760988813	19.8411600613007	15.2519073524144	-2.28964838555938	19.5719081235774	14.8969214310663
PDE11A PF4	-0.77052700086799	17.4262699312757	13.4515108612232	-2.00602683902148	18.365524972714	14.0932670531004	-1.30197750116053	18.4577686951568	14.6134793587931	-1.60870489102897	18.2960660818138	14.236111307442
PDE11A PFDN5	-1.97517185442201	18.8776142674839	14.5548881242085	-5.95715523432615	20.1482383480744	15.2864147760755	-3.65124017962918	20.0777837628869	15.6022619905514	-3.70451785190216	19.7527438429236	15.1759862855006
PDE11A PGAM1	-0.449449541690016	16.6409420037856	13.1659763918598	-5.26584364146155	19.5859628698027	15.7276736604202	-2.00855598291244	18.3964989930542	14.9398886643906	-1.89396277481493	18.5723932638665	14.8912102287239
PDE11A PGD	-1.8696588026683	18.8598435080671	14.3744763433676	-2.81473185447492	19.3421749291862	14.1212481159912	-2.5960829676793	19.5829323378264	14.7895267272511	-2.69588704149935	19.3576548379617	14.5575974318292
PDE11A PGF	-0.691288841921093	17.3607336836719	13.7652524914882	-6.97009426296491	20.2932150527023	15.7110761639796	-2.42811171855957	19.3650355343666	15.5739769361528	-2.49455608428705	19.1135062512692	15.132114596388
PDE11A PGK1	-1.83208039042035	19.199427221473	14.8184151752497	-1.96519476336372	19.2257483927597	13.9068200839443	-3.45918267161223	19.9286379649834	15.4731448711982	-2.23094529703721	19.5154931560366	14.7204552198357
PDE11A PGLYRP1	-1.05077113153635	17.2990166703746	13.4536726666713	-6.38597426196573	20.3240151823369	14.8816643157278	-3.38527996651513	19.4634748996311	15.0885171492052	-3.41912710969724	19.2784751369959	14.7987033881745
PDE11A PGM1	-0.436802378286994	17.7078098206403	13.2134301708878	-4.56696929827255	19.1902109874184	14.7754492790711	-1.978553234927	19.0020930771909	15.1128533426547	-1.66692277064569	18.9562740452748	14.4329487071202
PDE11A PI3	0.00183865048059029	15.2281485373855	11.0401914670976	-1.46272778521163	18.0761173584434	12.3610476758756	-0.859782474230286	17.6496233053819	12.6799219168339	-0.645575641997374	17.4004207084599	12.0664791153527
PDE11A PIANP	-1.14120804824024	18.8144496019282	13.8433307887928	-5.1081235105553	20.4694853556462	14.952055325374	-2.43503470602081	19.9989662867202	14.639724924455	-2.65727804180159	19.8107709113238	14.5514399888538
PDE11A PIAS4	-0.663051681221328	17.5834843202756	13.6247386939675	-4.96326041280612	19.8707581272168	15.3427709007108	-1.53905675027145	19.1571808141128	14.776083053709	-1.81418120442257	18.923877780572	14.7822017918275
PDE11A PIGR	-0.860439943340811	17.9043005317611	13.5079127747657	-3.01031212311616	19.0748820289749	13.9977110023936	-2.36999486175333	19.3602451600752	14.6412033702016	-2.04649030303482	18.9988554427645	14.3326375054267
PDE11A PIK3CA.PIK3R1	-1.00616174341632	17.4081138469146	13.3797204157531	-5.1414953825388	20.3864463351628	15.3191641449192	-4.43871211978669	19.9115957720262	15.2947249144115	-3.15216324887329	19.5808929242163	14.8989617246759
PDE11A PIK3CG	-0.750662968475126	17.5702482219808	12.8938444540102	-3.33831046756617	20.1361877986487	15.3587289849734	-2.36497582162498	19.5930370491434	15.0568725686944	-1.77156563110934	19.2286952203108	14.425421148877
PDE11A PIM1	-1.83466674664822	19.2933790961049	15.0926928466368	-4.60078877022063	20.4229212755969	15.1592595996376	-3.73598920246251	20.1419665875402	15.5917893833766	-3.43259317831366	20.0096038889039	15.3301608368776
PDE11A PKM2	-1.05378031971864	17.4111612360428	12.9912548664197	-1.80420237077705	18.1635898348004	13.4097209647918	-1.39457230832721	17.9812615634268	13.7011170053792	-1.77069400505888	18.2152940691527	13.6699423611982
PDE11A PLA2G10	-0.823457011467695	18.641010601942	13.8361228251853	-1.77851103871862	18.2621061588572	13.9212849550809	-1.548293872208	18.8649940947543	14.653786721029	-1.35407417743359	18.7000001156192	14.2899640370758
PDE11A PLA2G1B	-1.13082813680794	18.6673292699956	14.5795124506513	-3.76943865829585	20.2213822785305	15.1165072909536	-2.76528581058625	19.9537760769914	15.5088707912178	-2.24869148053588	19.6245174845335	15.0728702154832
PDE11A PLA2G2A	0.0172081375206273	15.5170562082325	11.3662115298771	-0.927000963568006	17.7527812429899	12.5743233991262	-0.531017192700046	17.6723406908404	12.7707497734527	-0.47202638308783	17.2237542185611	12.5031806038504
PDE11A PLA2G2E	-1.15151710196892	19.2224672017583	14.60644708153	-1.95388602511822	18.7281658895934	14.324109806101	-2.52230210389067	19.8445904760791	15.3351073258007	-1.81899193314642	19.2045523971404	14.7727587954724
PDE11A PLA2G5	-0.526261843099838	17.1738061281519	12.9874889579215	-4.24184442500526	19.7910880552651	15.2830644466586	-2.2963300928437	19.3917580950704	15.31635515868	-2.76034158162342	19.3970504482297	15.1277164147639
PDE11A PLA2G7	-1.81483224008344	18.6396196307384	14.4434799676088	-6.43322522163754	20.3643389614569	15.3313438122325	-4.91346277033404	20.6652986183653	15.9462161551362	-3.79304760742214	19.9486351845808	15.2860423348385
PDE11A PLAT	0.369589476944375	13.7261201637621	10.326452959055	-3.96667390641237	18.9740263968461	14.3756976366424	-0.261951064274287	16.6771104742697	12.7811530575877	-0.740969878628128	16.7826135404254	12.8800737720213
PDE11A PLAU	-0.760850131315313	17.3193451469172	13.6640993545394	-5.58548193277874	20.0105060493566	14.9635444823004	-3.24992237851345	19.3462172678027	15.0960201211999	-2.44595206126865	19.2736998803105	14.9095899546889
PDE11A PLAUR	-0.0329871222989659	14.9232590365723	11.5203842886727	-0.766851069473645	17.7367147845255	13.0269702269363	-0.283565852130665	16.6971149819144	12.5492211840939	-0.268059255033789	16.3459918362221	12.3854057797966
