protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDE4D PDE5A	-1.24573057154935	17.9968637046825	13.8747981666262	-1.46808959199406	17.5833829755826	12.9987972987383	-1.45012360687388	18.3613613438954	14.1717478937493	-1.37759299861241	18.0160679895362	13.9003991982404
PDE4D PDE7A	-0.342706588196819	16.9545066092303	12.8148383172084	-1.66144283891317	18.1027843960838	13.725913249451	-1.18568451195193	18.1870007622849	14.144001447252	-1.57817849531534	18.3145551436377	14.2475412495685
PDE4D PDE9A	-0.237182698443966	16.4607143794754	13.1000056230037	-1.02294778588813	17.5639211848733	13.2595008742206	-1.02411976052521	17.8827332149541	13.9945463182763	-0.647749265358662	17.3515529129255	13.6185375767683
PDE4D PDGFA	-1.01791963787478	18.2591311263242	13.5707455755638	-0.842704026597349	16.7776749740903	12.8674296118104	-1.10808772567391	18.1114317094107	14.1231656924662	-1.12193906953472	17.754214194885	13.5638387230402
PDE4D PDGFB	-0.974386841522366	18.1892455960342	13.5621418654711	-0.844042844145531	16.8413562484035	12.7771265077779	-1.08626185899862	18.260452317329	14.0310509947626	-1.03578323781445	17.8385873858083	13.5713334694071
PDE4D PDGFC	-1.0058329225486	18.4327527800728	14.7178818408436	-1.48331997554779	17.9319649073482	13.6601440716659	-1.5577980731004	18.7745921806431	14.5949449224964	-1.22393175980225	18.2561404991087	14.384829040466
PDE4D PDGFRA	-1.29131639470138	17.8219024287974	14.0836634521074	-1.13511322042245	17.0215372320303	12.3314434368815	-1.12137677858763	17.8132714061047	13.5317210572329	-1.3773689781842	17.6656770094215	13.5606856156107
PDE4D PDGFRB	-1.03465991093947	17.8876078010792	13.936687932478	-1.88678810786784	17.924679140877	13.3492375423984	-1.29460508965071	18.0279315257244	13.9473630781328	-1.54412752612688	18.2903106865208	14.0346702599818
PDE4D PDIA3	-0.783961628920552	18.4313603622607	13.8107559932842	-1.33461878782748	18.183738067066	13.6336966438337	-1.27880179237739	18.3692690352039	14.2891615787111	-1.04366529729891	18.4656952645687	14.0419920656898
PDE4D PDK1	-1.78300288017318	18.2453212934925	14.1326607735403	-1.29860458125533	17.3573939665056	13.2515633410619	-1.79462396128502	18.3591069303989	14.0980763563579	-1.58509595701845	18.0318836274772	14.0961751620562
PDE4D PDPK1	-0.964770178239029	17.8709146746695	13.6899941838086	-1.19989397664572	17.8059018790798	13.4358115150476	-1.01728261266123	18.2285297128924	13.8853119683073	-1.06615557193688	18.0840275516351	13.9055488847239
PDE4D PDXK	-1.04725817982728	18.000309549939	14.5547277047793	-0.893782105199743	17.148321713901	12.523524692598	-1.19827577839977	18.399826885891	14.4352909051131	-1.1370242431659	17.7920471226012	13.7831559079786
PDE4D PDXP	-1.20327438455627	17.91806562814	13.8876367918235	-1.20317449156899	17.9270143348067	13.3503284314043	-1.32832124227978	18.3248418432535	14.2418566424837	-1.35317421788808	18.1992249371942	14.0666649949359
