protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDGFC PDGFRA	-3.90671651434916	19.8116404020189	16.0566156685416	-19.8945867906566	21.5148820066452	16.1899771943092	-17.2851237987817	21.3886522579208	16.7999322028842	-8.88772878363137	21.0029309349178	16.4423456502929
PDGFC PDGFRB	-3.78340945288276	19.1856506485266	15.2366341709189	-8.09248239211467	20.8589817056979	15.8672829149354	-13.2514788985807	20.846106145004	16.5143418710819	-6.76999451473723	20.5522574560831	16.1036147616516
PDGFC PDIA3	-3.26887677354043	20.1695387034496	16.087610314559	-8.67711429685281	21.0462193450146	15.9966731983987	-12.6859975337816	21.4127888432363	17.1457826003573	-5.77129256919947	20.7982631593205	16.3139951073296
PDGFC PDK1	-4.89108832628554	20.0884202533754	16.1390636198277	-11.456684942658	20.4530248392357	15.5209844753819	-10.6059554816962	20.8485704906353	16.1876519652866	-8.50632087355446	20.7559999585596	16.2729955107734
PDGFC PDPK1	-2.14559795894023	19.6009689522481	15.6396334385861	-11.6557829128731	21.2431182533684	16.4244842044558	-10.5361160305014	21.2593432534744	16.8387449800443	-6.25647087188423	20.6728170095503	16.4287952911078
PDGFC PDXK	-1.24025520781535	18.5188418699971	15.1201401192252	-6.05964795198216	20.8479121453185	15.2874816911066	-5.33343715359999	20.7470661607016	16.3699273855483	-3.47577707171986	20.0176637636714	15.5954644178057
PDGFC PDXP	-1.7127304594493	18.8145701705029	14.2934831017507	-2.54128656683133	20.2342614732242	14.7734964460051	-3.82291872823995	20.1145817803348	15.3004202939249	-3.37340615543784	19.8425763965495	15.1066469642644
PDGFC PEBP1	-0.473367069616953	17.9715347629231	14.1947343675183	-2.22117909849371	19.1703552136398	14.8988392769774	-2.61535557874872	19.4652133996573	15.6033537359324	-1.3983625219462	18.9588116002212	15.049884083965
PDGFC PECAM1	-7.46075519938884	20.1155791244393	16.3511721767116	-5.74145108200345	20.1007166252677	15.2774631479975	-9.89199647099965	21.0834589738273	16.5997536141885	-7.23731248195729	20.4109401806896	16.1854496243376
PDGFC PES1	-3.15960032219966	19.5445021168187	16.0783736554338	-4.49457050046702	19.9715689132124	15.1409224410949	-4.45875498306028	20.4360417413626	16.1593069212301	-4.43768019112682	20.0782206453078	15.9981033972709
