protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDPK1 PDXK	-2.50854763737368	18.8622923920909	14.4151649261219	-5.88106433128183	20.9290478151334	15.3244640114882	-5.90261008180696	20.431282966262	15.7016495975078	-4.77468258581738	20.0353563182002	15.2560572661245
PDPK1 PDXP	-1.13543458916062	17.9139595703978	12.9902522360543	-1.63839301327755	17.8506658436415	13.6412977580417	-1.24556713501988	18.2625261993202	13.8581100262644	-1.62576313855566	18.1376322793103	13.7255645439979
PDPK1 PEBP1	-0.30246004276619	16.4328274674823	12.6581496166908	-1.0313889870681	17.5683205077924	13.4809316490661	-0.710698186023515	17.4172257966007	13.6987752776137	-0.684011850425399	17.2012395680691	13.4517107195177
PDPK1 PECAM1	-6.28405786112935	20.5457767592576	16.4778124487725	-2.46913894225253	19.37244822073	14.3195401484423	-4.81358808909705	20.8097725376444	16.44170369836	-4.05467731936437	20.1454893000388	15.6549927237494
PDPK1 PES1	-2.3888302311611	19.5238297971272	15.3398493153317	-2.60860608058386	18.8690234406971	14.5932601106856	-3.34018290383537	19.6882650847632	15.8151513860263	-4.20495232550407	19.685113252894	15.7378426527128
PDPK1 PEX5	-2.7480071086835	20.2490243313607	15.5377337696825	-4.04916738056097	20.2056458362569	15.5627758132827	-4.29443758905249	20.8253826532699	16.2345725955028	-3.45654404294525	20.3885607533533	15.8826715942741
PDPK1 PF4	-1.17622745964748	18.1941283287874	14.2216585995249	-1.7586666675475	18.9987597121496	14.6570240399656	-2.1269137638412	19.1307275613867	15.5193333830153	-1.80627545234317	18.8710128215381	14.8825876724325
PDPK1 PFDN5	-2.70770359281797	20.247952869849	15.268362109706	-6.49852222273177	21.2134313588164	15.9636487177126	-5.08178905160717	21.3596762136589	16.0801731296876	-4.928966718167	20.9001424158438	16.0305538348824
PDPK1 PGAM1	-1.23566596664528	18.2378900521262	14.8530466503694	-2.45660051065587	19.2367977078298	14.8345414174952	-1.91859579685034	19.1376477349307	15.5165948717732	-2.06785841754103	18.8392159524548	15.1629870126274
PDPK1 PGD	-3.50753538538536	20.6772655175525	15.1540763834747	-4.7540520367153	20.947706853512	15.3566995991474	-4.81770938280738	21.2201274137617	15.9322355523356	-4.70521998831882	20.8824857962362	15.6355238703744
PDPK1 PGF	-1.37871572911693	18.4738596229541	14.8244918386526	-3.11034097611287	20.3331526503392	14.9803665960473	-2.32044464142029	19.5024974767789	15.6116227743659	-2.60820913477774	19.5118109517628	15.3536590165199
PDPK1 PGK1	-4.48533931012068	20.3232772042459	16.3205522368298	-2.14688422214611	18.4898147446779	13.7787452903935	-4.09484430394261	20.3008697569981	15.8839549889572	-3.31295007136597	19.6687629385565	15.3374784438714
PDPK1 PGLYRP1	-1.94150538637335	18.543077393041	14.4382767341624	-9.64629550018329	21.0134760514638	15.4595298658444	-7.29894756862311	20.6043112179956	16.1669795208308	-5.30121188024041	20.0918462783076	15.5099933341213
PDPK1 PGM1	-1.08415834439638	18.0088805509209	13.9797991059695	-5.72914156861194	20.0623308747862	15.5125418435901	-6.04549044814161	20.3209196881284	16.4278990162982	-3.21328851076353	19.7125672060075	15.3607425278904
PDPK1 PI3	-0.234492226882953	15.9188785468634	11.2775010688175	-1.60870969846955	18.4470313389903	12.5976944924528	-1.09640021127616	18.321682105306	12.9709290775555	-0.881795172656477	17.9081985983347	12.3676209757745
PDPK1 PIANP	-1.34337267046696	18.5155222513921	13.7574313789376	-7.15213512301956	20.5424027361805	15.4025096065538	-3.52956396843179	20.3089534739398	15.3834602191117	-3.32026636367292	19.8519222451596	14.8238833606825
PDPK1 PIAS4	-2.30190200216246	19.3797224322795	14.8914760617613	-5.48441739310332	19.3521997927021	15.2923666853734	-3.14733314032546	19.6450741360556	15.6152680414675	-3.89407687514459	19.6372470283345	15.4699971998062
PDPK1 PIGR	-1.74265493338609	19.0095140571096	13.9725442773843	-4.57870529909589	19.2941791453545	14.836919892489	-3.77697392546555	19.548873680882	14.9315102506898	-3.17841732295395	19.5242269130213	14.800857796693
PDPK1 PIK3CA.PIK3R1	-2.35080761910811	19.1328802247223	14.7359984579962	-5.65888817856936	20.2140242419228	15.4848622158324	-6.04179048150452	20.5584757647507	16.0209796579433	-4.62214241414786	19.8869768275098	15.4587476710101
PDPK1 PIK3CG	-2.00452434058561	19.7888791470193	14.8075117627736	-3.38435862034911	19.9718057459851	14.8371085212974	-4.08655844798049	20.3438674583572	15.9272572824366	-3.03689061428117	19.9353552752414	15.3558516713827
PDPK1 PIM1	-5.54970269193779	20.5828080311366	16.2389480601301	-8.4250426399999	21.0449033847211	15.8015591006013	-10.1968677540295	21.3063419695825	16.8694844075753	-9.23261847230357	20.9839332197189	16.4552623959434
PDPK1 PKM2	-2.27411020897978	19.3982990371541	14.8393948908515	-1.99377947628475	19.0542236305195	14.2229369512963	-2.58206740832054	19.579356969455	14.9979890037778	-2.31978649258702	19.4486312282412	14.7846257105162
PDPK1 PLA2G10	-3.63820564515086	20.0324922530723	15.8185620062296	-1.33449303163786	18.2322426766415	13.5503984752284	-2.59216414607214	19.7258333730219	15.5053213938402	-2.21560874125888	19.3278181349994	14.9437862491668
PDPK1 PLA2G1B	-3.14761206219148	19.1054997663399	14.6978227905917	-7.06417681441816	20.2564300641765	15.4528767553985	-3.79354727198898	20.1457208941181	15.7034611341544	-4.52548028546299	20.0011454744834	15.6590387942433
PDPK1 PLA2G2A	-0.345706847605505	17.8957449898905	12.2074716064678	-0.613119157833715	17.853522734643	12.4859391063554	-0.721863414710043	18.5522228674545	13.3176938642068	-0.561494529882093	18.1197901126548	12.7458621451024
PDPK1 PLA2G2E	-5.5251844281124	20.2975938069392	15.9599104763067	-1.28601964755499	17.6093007669298	13.2242048220598	-2.86764741463311	20.1954656534693	16.0100278346177	-3.53210338489322	19.3823883773762	15.1469362507858
PDPK1 PLA2G5	-1.85565288463942	18.4508459471068	13.7388693484334	-4.73004850946096	20.0204729470846	15.259704031078	-4.25264122186327	20.2414515628862	16.0068864780504	-4.47950239285905	20.0407526733421	15.7772151243125
PDPK1 PLA2G7	-2.64230082279223	20.0171711939225	15.7758331653385	-5.21305063429585	20.7551809570536	15.4622612758848	-6.99943148606666	21.5103553583349	16.6472942374669	-4.62304689477691	20.6564667086059	16.0589890412944
