protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PDXP PEBP1	-0.623321840481793	17.700703828816	14.1555603034933	-1.52271008374966	18.0291512552004	13.8014832979406	-1.67171059704514	18.114137917445	14.4504414665335	-1.31814547393971	17.9472177229085	14.2279281129311
PDXP PECAM1	-3.05427202906275	19.748640962555	14.9043424121331	-1.69826714477249	18.7125484827375	13.81405906184	-2.85725272272127	19.8563299550334	15.2678766136343	-2.87088243576498	19.4501506665311	14.707064366647
PDXP PES1	-3.25205042309888	19.4538766950054	15.4673961717674	-2.00302388692085	19.2196358546848	14.528694179073	-3.48627963147842	19.6671066890158	15.7957599879351	-3.6258555935919	19.6070722685333	15.3806092768653
PDXP PEX5	-2.48384750341917	20.1159474261493	14.8319969688448	-2.15900943068714	19.3174375887492	14.519203194609	-3.60064649542116	20.1730555636364	15.3378837936737	-2.65572626097704	20.0568348943003	15.1152404054245
PDXP PF4	-3.27583341104147	20.1906600105253	15.3284834326119	-2.74078211940303	20.0927082394217	14.6448613620001	-7.94532593635559	20.8379171111967	16.4889773844849	-3.26987860269314	20.4058707150608	15.4396996964499
PDXP PFDN5	-5.46104353544726	19.7687045490503	14.7677517819046	-2.86491851300742	19.1136237168692	13.7076498024792	-5.45747584637298	20.4930289595463	15.7766304066673	-5.34429015269612	20.006483731394	15.0677271375835
PDXP PGAM1	-2.65083610056616	19.5294093058208	15.3938182459534	-1.7790789708451	19.2900479577804	14.5837590536491	-2.98792775775024	19.9997217501981	15.8810066480185	-2.72785449231848	19.7403000494854	15.4843778794526
PDXP PGD	-1.98896799627049	18.7659945334174	14.1265936772528	-1.68157138928124	18.556182537852	13.5716903377694	-2.06728305845164	19.3123745476963	14.7031493853747	-2.1022200520834	18.8142246827463	14.3001408124651
PDXP PGF	-1.73677746716147	18.2900731094501	14.8518526888953	-1.71600566551306	19.0276897401472	13.7529074023494	-2.20869985679531	19.1040000146017	15.1563968556006	-1.84312011540459	18.9607825567506	14.7799590280514
PDXP PGK1	-6.89401131854301	20.6009959164153	15.8410315486935	-1.68382997503467	19.0372494128972	13.9760139366456	-3.84822488929467	20.747853647568	15.8857872064624	-3.44543845543612	20.0388146853506	15.2159920553811
PDXP PGLYRP1	-2.13579619030582	18.62760786351	14.4661946261615	-3.3093847411486	19.6362778826566	14.1261180691222	-6.00775474891354	20.4542274354669	15.7655875097615	-3.58233376403283	19.5406677324784	14.8414359143369
PDXP PGM1	-1.18460785880179	18.1442526442331	13.7798757283913	-2.24841622032685	18.6509736039278	14.0207665749472	-2.23837642108124	19.3817560644622	15.1250979051198	-2.09916578082629	18.8806980849464	14.4518292439387
PDXP PI3	-0.026063879163035	15.08776749743	11.1565046859173	-0.842266104657604	17.6494502934557	11.9359884374764	-0.756806378271295	18.2275773093555	12.7254579471967	-0.532648142276286	17.0929099295046	11.9797039835676
PDXP PIANP	-1.41472628375262	18.7801303126133	13.3061613185025	-2.26014931185044	19.2118318237952	13.5978991109231	-2.36926821021648	19.9842277841084	14.607528650938	-1.90449976711898	19.2855261811062	13.7632314238393
PDXP PIAS4	-2.36228382941083	19.1530821911009	14.3414700346616	-1.83435032040171	18.7433090526399	13.9748740486046	-1.80626798329488	19.2715911093166	15.1214496660077	-2.08740743950894	19.1261242928149	14.4456285034045
PDXP PIGR	-2.76156721856257	19.5716128993771	14.5715020988028	-2.34028458314067	19.6679431079819	13.9616312918341	-4.13310355677126	20.2613873976059	15.2368219935148	-2.74241154406187	19.9903233831181	14.6709855607196
PDXP PIK3CA.PIK3R1	-1.44296933410368	18.3402308737927	13.9979400831337	-2.23047531734835	19.5268734240962	14.1475417967657	-2.62755496565599	19.540299655391	14.8535312732671	-2.46948743329544	19.2270303844332	14.4029308119205
PDXP PIK3CG	-5.17400467615726	20.3021727776787	15.0716921606604	-1.90833012103803	19.483610725602	14.1238812317787	-6.54576767985544	20.8991859107272	16.1256147632821	-3.29102110511815	20.1013651587245	14.9934187208528
PDXP PIM1	-5.40385898561408	20.0527237093364	15.5448602010814	-3.68257167111182	20.211747354663	14.9549983766576	-6.21400754492597	20.7676900302658	16.1048345134214	-5.45499969604656	20.3667564917921	15.6256306921235
PDXP PKM2	-2.64952487905887	19.5097236384977	14.6567694933118	-2.35795903605815	19.3393724545123	14.3077004029926	-2.06907667212348	19.7902097789354	14.8337038725203	-2.75082696798865	19.5655670148091	14.7319563724084
