protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PEBP1 PECAM1	-2.7259623298567	19.2482099128831	15.0714673298992	-1.56090974549058	18.0505307330514	14.2070764015355	-2.49678534566485	19.0801569585187	15.0723835525777	-2.32285119553041	18.8782955377185	15.0346957026016
PEBP1 PES1	-2.30369242709568	19.4125565616561	15.5364583484234	-1.37162870350603	18.100260679459	14.3359623056409	-2.83012207596245	19.1636099134092	15.6637779334018	-2.27512200415143	19.1474488900795	15.3885659857567
PEBP1 PEX5	-2.67885773233427	19.4889607933321	15.1564450923077	-2.26802677062934	19.3008257640594	15.0304914151824	-4.18238662378711	20.0492343930197	15.8448385276097	-2.41274438758385	19.6402042808198	15.3664813366603
PEBP1 PF4	-2.56511750995217	19.5215675581284	15.5540980453556	-2.84281482229873	19.9517218560506	14.955873177259	-3.78498154713113	19.9928241866448	15.9731690594321	-2.83486022601888	19.9341242803979	15.5750195944004
PEBP1 PFDN5	-2.85969193813105	20.2136149935411	15.3551893503132	-1.70344139842401	18.2956639708937	13.7216539948129	-2.90577494694836	19.9784902343127	15.485906182443	-2.64133318688142	19.5588648830968	14.9839330894089
PEBP1 PGAM1	-1.45759758410824	19.1305551445273	15.3211717300457	-1.61412759622709	19.1690182289501	14.861265786097	-1.87238069573745	19.6278348662335	15.7113639890578	-1.91136293253743	19.4040239954823	15.4433209509896
PEBP1 PGD	-0.432295791111915	16.6839563553606	13.0896337982612	-1.29273879369478	18.0096044612733	13.4767720379044	-1.08983187336044	18.1705306583337	14.094233631119	-0.983609128020719	17.5984068500189	13.6422182819388
PEBP1 PGF	-0.838027381096514	17.6775289093677	14.5704655038552	-0.971693486753313	18.2176305601407	14.2806862150543	-1.14953787304354	18.6094651313461	15.2348662456099	-1.07009017611893	18.2244030260814	14.8004153896793
PEBP1 PGK1	-2.19994416109888	18.8734337334745	15.2448857468793	-1.0645570032305	18.0919025954553	13.4906881549656	-1.52582660276166	18.9831051414095	14.9102344983811	-1.81541878246413	18.6743105032727	14.7034304393434
PEBP1 PGLYRP1	-2.16483617777274	18.2183669812661	15.0676064222337	-3.4445786955338	18.77800193766	14.125034505183	-4.16756016065696	19.869970669655	15.8825416159177	-2.88501057214474	18.8187862886364	15.1157550879059
PEBP1 PGM1	-0.80724496357671	17.897031208389	14.1383252327642	-1.95412577572749	18.6785089826921	14.3181997275925	-1.76208095446383	19.080002353137	15.3863469412494	-1.45892678134939	18.3530619336071	14.630189873833
