protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PGD PGF	-1.6599350409125	18.5134837720949	14.6446448164465	-2.53446608880642	20.3232255199335	14.7234104225397	-2.69641282835492	20.096232507589	15.6161664512657	-2.58478272255253	19.7533751133611	15.175198406562
PGD PGK1	-6.08500578995294	20.7207807395731	16.2004508173075	-1.92825008384221	19.1237512288188	13.5904224870082	-5.02022104155053	20.9138679617477	16.0490033054365	-3.7751590864897	20.0881196349871	15.2037936300736
PGD PGLYRP1	-2.54176308665769	19.2754069169302	15.1236310166723	-3.44169893316428	19.962098627138	13.9248722531734	-4.0902259229792	20.4769643709383	15.5215027981059	-4.29145189538757	19.9140265709575	15.0349216480086
PGD PGM1	-1.05826698742382	17.892011658169	13.5439311401066	-2.33664270546969	18.4918727536012	13.7158429872141	-3.11352878536477	19.7453851536929	15.4814565541046	-2.44225861266762	18.838261712769	14.3880641855712
PGD PI3	0.0601775893109323	15.1881596606239	10.5788766865212	-1.03054380876629	18.1564438384294	12.2673936682251	-0.904128938660298	18.1357836399073	12.7504248047507	-0.644121464876785	17.4189933318078	11.9195015933382
PGD PIANP	-1.5515625270326	19.1756898124648	14.00470085684	-3.43099686210853	20.2751612025569	14.0821426639641	-4.38507984594206	20.8643373423929	15.1685185117516	-2.47844863851411	19.9862791260236	14.3675935498572
PGD PIAS4	-2.10919636742779	19.1580837576881	14.689019186414	-1.95030873352988	18.4427769149803	14.0334782857678	-2.96972538279381	19.4267854505233	15.1826439148427	-2.2256032996199	19.1598089543619	14.715843679396
PGD PIGR	-2.94202806844419	19.2443361192907	14.4597052498254	-3.05767076162793	19.5170343121375	14.4543043511257	-4.36544491697123	19.9873645484713	15.0435168957914	-3.48263279705414	19.8865173861338	14.9610501688365
PGD PIK3CA.PIK3R1	-2.53184065399639	19.7567195802183	15.4500139122938	-3.57185438873853	20.1637033258724	14.5543512590069	-8.85796888946203	21.0304154134402	16.2949024652649	-3.72410876197255	20.2382791098849	15.3899060938482
PGD PIK3CG	-2.49695103572882	19.6764586152756	15.1823371913185	-1.78184932353491	19.1071191656332	14.2913720666557	-3.60312033403698	20.1013103366602	15.5596778485678	-2.490009696172	19.6215659878344	15.0539703907767
PGD PIM1	-5.71608597386429	20.8843073223919	16.6292299366655	-3.96842272894265	20.4787997630546	14.8222378603075	-8.64218499818247	21.3106334679877	16.4794805479918	-5.71177567431649	20.7707597732671	16.0203587850647
PGD PKM2	-6.5780950792972	20.315826672372	16.336767605721	-1.25365293212286	18.488992477055	13.6596171432871	-3.56648591247697	20.050964518154	15.7338580190815	-2.80388507448051	19.5813601380288	15.2278263537139
PGD PLA2G10	-3.61186809712637	20.142140050274	15.946003876257	-1.440518226291	18.8337836409232	13.6547460195725	-4.25858914288951	19.7232508548846	15.5901805947491	-2.43296118812347	19.7286064415364	15.0814343950472
PGD PLA2G1B	-2.83548828824201	19.8264217924876	15.6162845718199	-3.34432532496481	19.5915156524273	14.5365151056807	-5.01176542087882	20.0477916815384	16.0419758068566	-3.18984137581382	19.9372139168217	15.5887730839514
PGD PLA2G2A	-0.222042653985978	17.4030087874596	11.9975838990849	-0.842704178317377	17.5902408454131	12.5452769112981	-0.606223475735999	18.6257448400187	13.0884570629613	-0.582332047103503	17.8264109170399	12.777707898176
