protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PGF PGK1	-2.09067829157565	18.4864348610582	15.0976201785759	-1.98225548798423	18.3656416671228	13.3359498756696	-1.90058534627924	18.7319495074422	14.443577001272	-2.07004056514342	18.6951979330611	14.3625265777783
PGF PGLYRP1	-1.75748739666747	18.6824513884732	15.0767660100351	-4.46542760838094	20.2628731199388	15.3648294175881	-4.9708287367618	20.5373971029344	16.2151599732343	-3.65698700384093	19.9353967215393	15.7901664903564
PGF PGM1	-0.746299408542954	18.0966768232158	14.556507094427	-3.24923719842055	19.828478283628	15.3998112536727	-1.85172770577869	19.6241316718671	15.810928766592	-2.28236208585436	19.3986026304926	15.4617350788036
PGF PI3	0.0569773051927565	15.0760945434804	11.1157491274894	-1.67102353981822	18.0600567336246	12.4683157417575	-0.862710613515031	17.9265570839233	13.1082364929155	-0.602499426423653	17.21463780103	12.2453152572075
PGF PIANP	-0.415952456292686	17.3782183732951	12.8122549524057	-8.12525410666601	20.8664477257601	15.9291558468725	-1.84601009689943	20.1237923076044	15.3555801394569	-2.34623242979873	19.5421124316907	14.8266135741837
PGF PIAS4	-0.856308205862208	17.6162028005281	14.1144342396856	-4.56134892872154	19.9499977864151	16.0908920749347	-3.02062292670174	19.2648418800493	15.8191990329361	-2.1613640216278	19.0333782100079	15.3100209689948
PGF PIGR	-1.76558845505465	17.74819259103	14.3128358616718	-8.02648576555442	20.1871489929789	15.4033390274461	-3.37285492588231	19.4932748079948	15.2568028694073	-4.03953000210903	19.4303065874282	15.3064911884726
PGF PIK3CA.PIK3R1	-1.79621903453908	18.1124515999445	14.3890050427337	-4.38710901522003	20.2287366547426	15.4704483209964	-3.77845479712943	20.0001726713085	15.5295094797605	-3.79155597058205	19.5698150499488	15.3036313209066
PGF PIK3CG	-1.63529228848398	18.4254259731128	14.7759606772591	-3.36586601676779	19.9529689000677	15.3324551455765	-2.06177820669128	19.4395204445388	15.6056906021609	-2.87762470559382	19.4728859429314	15.5562807200901
PGF PIM1	-1.54022213165179	18.9018055229751	15.4288043899225	-16.0774453758421	21.4879354223782	16.4540579562474	-5.34296140958256	20.2569612067361	16.4359656348818	-4.92953044573122	20.2926362727016	16.3065478953632
PGF PKM2	-1.48736939746139	18.4619303851531	14.9100994886287	-1.56387790097191	18.8822019176699	13.8144016248472	-2.03636648315673	19.2209412943605	15.1747398783004	-1.72538069345814	18.9038960272656	14.6464559519177
PGF PLA2G10	-1.55336505009555	18.5420559005222	14.5041372136016	-2.25878885383753	18.4745302397268	14.2632561662046	-1.67445130270446	18.7922078677621	14.9732783711785	-2.05823595742438	18.6332285337123	14.9021320641421
PGF PLA2G1B	-1.25308086468857	18.1512225937668	14.4124388741197	-6.9758695863252	19.8854308442137	15.8109098875796	-2.31200144423481	19.1586467913188	15.5418575890557	-3.14040282551403	19.3086106669672	15.5426846975366
PGF PLA2G2A	-0.284513433797641	17.7346421329796	13.4145148229019	-1.18661286571821	18.4874283206797	13.3520591691715	-0.737113610889108	18.7245289770843	13.8148264648871	-0.634040818220064	18.3581432726405	13.7319099489128
PGF PLA2G2E	-1.10872271061888	18.9943057267004	14.4616208251554	-2.10789958109724	18.6707547340238	14.440831801727	-2.09084839999673	19.3642439485068	15.4006221344719	-2.08420389120991	19.1053157922767	15.1021392271495
PGF PLA2G5	-1.43047795233158	17.6171010775154	14.5171211733738	-3.41650864459235	19.8213125051819	15.5938091255034	-3.48790559889815	19.9725024174045	16.4431918950075	-2.69089266256039	19.3922339979674	15.8146109888556
PGF PLA2G7	-1.94163771200376	18.8406011576682	15.2658295670483	-7.9224972020871	21.0669856503491	16.2153606235803	-3.90491046958166	20.6581865685919	16.3151680946066	-4.20516333089589	20.092048522098	16.0674682974742
PGF PLAT	0.117589316507522	14.9808070683553	11.8402684730703	-2.01772484399325	18.9789802230678	13.9810150441443	-0.864273457505361	17.4607827025948	14.0272948442233	-0.744041145675785	17.5809026058466	13.4743408883027
PGF PLAU	-0.971533456962098	17.4582705805625	14.1648450922262	-11.7233762922092	20.7341211256219	16.2830362197654	-2.28960098419716	19.7158647459128	15.6615855331809	-3.58943030811628	19.4976415174884	15.67256602289
PGF PLAUR	0.28484716179552	13.8111190409122	10.8244228004331	-1.42842513866585	18.1949024323336	13.9967350299761	-0.355952741593092	16.6831993782051	12.9649490557554	-0.353292762373407	16.3216916251979	12.5903302541833
PGF PLCG1	-0.869651118645158	17.8424096103958	13.4116937486863	-4.42572470821761	20.7587888266023	15.7050175030202	-1.77056207756386	20.045950646966	15.1451753736149	-2.30126843509328	19.6946334901862	15.0849918273935
PGF PLG	-0.788965936040042	17.1887600727679	13.4450946003361	-1.21585969418864	18.9837867860323	13.4765683405659	-1.09873800939012	18.6767907768654	13.9560614756001	-1.09098340263449	18.3933969046632	13.7071629292401
PGF PLG.1	-1.39980519323021	19.0452876343225	15.0288952271501	-2.82108397024913	18.5000555710583	14.1716231354592	-2.27932766730574	19.3690912939831	15.317070897372	-2.71735114596792	18.9981284887854	15.0414358576534
PGF PLG.2	-1.39687545513341	17.8623607284456	13.6945763959814	-0.938652229638119	17.68309737639	13.1468347014894	-1.06862863211567	17.9140087294863	13.7415404474146	-1.02082815199474	18.0279637171415	13.646099600007
PGF PLK1	-2.22055289655812	19.2839764286325	14.9678716608094	-8.16498647723757	20.4394648143354	15.5171179049147	-3.66975362925145	19.9733151450957	15.4713709235519	-4.64099449876088	20.0614874467943	15.6988478495837
PGF PLXNB2	-1.79392864611049	18.7225536394184	14.848998100758	-16.9873998765216	21.0511723194018	16.6353271817101	-3.31218430474567	20.0114859544516	16.0415045798861	-5.65451886684186	20.2926626453853	16.1446912502297
PGF PLXNC1	-0.887581755902044	16.855603140642	13.5345701386961	-7.49765425563531	20.6739107005608	15.7282432953085	-3.0373207268565	19.5454417714035	15.6672699139492	-3.42865047196952	19.4172177037904	15.1390118272349
PGF POMC	-0.694546412907136	18.0991815261929	13.9075539753122	-5.49650806981204	20.4476265088505	15.7554068014894	-1.80539758579953	19.6455361164517	15.2644397201234	-2.27166072252346	19.4506477162173	15.0729878603566
PGF POMC.1	-1.20686337641589	18.4975355449478	15.2613526656657	-10.3076678294605	21.0006653630561	16.164736739555	-3.59576193804288	20.5097528245306	16.6549280414847	-3.82860543349387	20.141909442334	16.1788212075766
PGF POMC.2	-0.377901543722959	16.5552492627859	13.3740376980508	-4.67655518241553	20.2561458496231	14.7735286526234	-1.42155176333522	19.0095836857097	14.6419412451599	-1.62870893719912	18.9565411425696	14.4981528494854
PGF PON1	-2.21730513402646	19.3284020312804	15.3263038303832	-6.64372979568813	20.2011346172527	15.676419698812	-4.64922348991028	20.2264890821434	16.1635050218924	-4.96693381245689	19.9596679858901	15.9375156052397
PGF POR	-1.08208179846147	17.897501812176	13.985987616496	-2.34432205005419	20.2374636383828	14.4391621952186	-1.19128536012647	19.1269211376058	14.2950238953036	-1.60698380468248	19.2520082825887	14.4527470453269
PGF POSTN	-0.0784453295456209	15.7922229491753	12.6625811770223	-1.46360002824523	19.5561737234019	14.5297642303979	-0.621163007888939	17.8418762502635	13.7489658453958	-0.695729847918886	17.890510965369	13.8494089627768
PGF PPA1	-0.917341490242988	17.8782620118045	14.0145997421018	-3.88079906376519	20.1132812636179	15.2708168550846	-2.16228379374979	19.6049326235697	15.7437377339921	-2.21485808629663	19.3615667223033	15.1739733133264
PGF PPBP	-1.24136875453036	18.9932774795616	15.1154383352176	-3.16652917586672	19.9904583848593	15.0306003137369	-1.94051070466717	19.8984759080954	15.8590545456432	-2.07037961591496	19.6214453113567	15.3712524643694
PGF PPBP.1	-1.20100037635905	18.9006091575511	14.9622679196629	-3.11879837500997	19.8250800462717	14.9503625859896	-1.81225332813528	19.8811265631649	15.7035103168538	-1.91823238123437	19.4952942562188	15.2507375469102
PGF PPIA	-1.77840459509442	18.6621481549718	14.7707127539976	-4.37822959776782	20.4779226460216	15.2340190963301	-2.76880691871877	20.0241679874539	15.4779970850149	-3.02025530770991	19.8896505810653	15.3268493860142
PGF PPIB	-0.335755428206763	18.1872152428731	14.2755428684165	-5.14957443644556	19.5575252651961	15.5368165700099	-1.33905697192582	19.0454389260751	15.2952538392768	-1.27513538609975	19.1648176955631	15.1706797118627
PGF PPID	-1.56085832568074	18.5708178046984	15.079303621966	-3.16405173777151	20.0498273875465	14.7915696626001	-2.20640532748614	19.558839302277	15.5214095555787	-2.46848705095139	19.4293333168409	15.1134855608165
PGF PPIE	-1.7259325434894	18.8639932490009	14.6188085796048	-2.13187652969792	19.4897693212971	14.1961186363417	-2.00856847481866	19.778291283788	15.4272888891248	-2.31889129702744	19.3538081316022	14.8502815055099
