protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PGLYRP1 PGM1	-1.66793277640841	17.8252487638137	14.4364581538992	-4.91196621438819	19.7953655918677	15.028313298133	-4.1563700307182	19.6052734152546	15.546873339238	-4.01491921776994	19.3953959411931	15.1420518245085
PGLYRP1 PI3	-0.00839317905791126	15.2009939696438	11.2176282139073	-1.60118746030895	18.2738125470967	12.1468009984661	-0.938465581365054	17.8202596315775	12.6332149937055	-0.722466736596699	17.5340739791465	12.0966503426207
PGLYRP1 PIANP	-1.24155896533029	17.847901757034	13.4069867583515	-5.62985995459717	21.5597978609108	15.571564814577	-3.0331709454741	20.3386618766433	15.0385357657695	-3.23375202165153	19.9798639524811	14.8138259328943
PGLYRP1 PIAS4	-1.54242329356721	18.2721550507953	14.1183394178632	-4.42763088052946	19.983775046634	14.7961176667328	-3.27427086368219	19.8403154991589	15.2678739496276	-3.05280507222639	19.4679951363676	15.0448392092118
PGLYRP1 PIGR	-2.18654407255111	18.8395768285977	14.7044588488165	-7.10143026900449	20.5220161257421	14.8715310288631	-4.52486607126843	19.9970845573542	15.095518576572	-3.81637033814225	19.8730442632244	15.0216706572407
PGLYRP1 PIK3CA.PIK3R1	-1.47953411809634	18.2252697380574	14.4259294634696	-4.25238390845304	19.2126467888394	13.9786772935923	-5.91231177184067	19.7245916580208	15.1855453429962	-4.29238129959167	19.3690963431497	14.9788950742195
PGLYRP1 PIK3CG	-3.70036713348354	19.8282061159858	15.9163017168507	-3.37012671379684	19.3959844557985	14.5317964143504	-6.75447748833971	20.6066497720287	15.9171594159272	-4.40175783203246	19.9913790692024	15.5171080293362
PGLYRP1 PIM1	-6.45127717842223	20.2574235852269	16.2795446872968	-7.62205498455015	21.40241161054	15.5160381882478	-10.3859206401506	21.0684266168444	16.1795263568954	-7.26443154760538	20.9487359035663	16.216759802046
PGLYRP1 PKM2	-2.43146526588375	19.11561736759	14.8060255837923	-2.49492908445292	19.133722242621	13.6310488280102	-3.30473128138322	20.0993193006443	15.4169360721124	-2.9669169766065	19.4061043136428	14.6860373538378
PGLYRP1 PLA2G10	-3.19232133147811	19.3688486007137	15.2159554071702	-3.09538001303472	18.7917917700219	14.0826086790421	-5.40928011375676	19.5816932185455	15.4487771190956	-3.80196740099452	19.4908769549704	15.1619561851872
PGLYRP1 PLA2G1B	-4.2067387336342	20.039240125423	16.1570278399892	-8.99889999802375	20.3171102879799	15.255268775122	-7.88557005311212	20.3668833003732	15.9606529337932	-6.90327936437499	20.4199435572897	16.0735608051509
PGLYRP1 PLA2G2A	-0.35094291499464	17.6845718939113	13.2691590478051	-1.11143330658364	18.0406474411617	13.0741338319265	-0.642408291830268	18.7637991411756	13.5424991870445	-0.688951374789773	18.2445146498946	13.5547338128141
PGLYRP1 PLA2G2E	-3.89947710190496	19.7903942698618	15.9168920122884	-3.89541966470211	19.039973208825	14.843672501823	-7.4607749884665	20.1236388774407	16.0870132465894	-4.45662876928747	19.9493591797455	15.762156677582
PGLYRP1 PLA2G5	-2.10351451941016	18.9011283729303	14.3379277170728	-6.94874125171546	20.2168458466776	15.2422029698348	-10.381169523058	20.9883193011642	16.4131021502298	-5.90601202700926	20.0389787413927	15.695447295717
PGLYRP1 PLA2G7	-4.3356122039274	19.7905761728264	15.8003810284852	-12.1029119434616	21.4684801046313	15.8160716569002	-11.7698295207129	21.2583173036527	16.4236440962046	-9.05405872914564	21.0537223835915	16.2574457587829
PGLYRP1 PLAT	-0.170190606034228	16.0765580099896	12.4551190687368	-3.19020543609479	19.3557724961053	14.1350510870829	-1.48791082260661	18.0324552698004	13.9169142081365	-1.20011218697864	17.9905095327315	13.6291818560034
PGLYRP1 PLAU	-1.80487272043989	18.510844953128	14.5769109106103	-7.44731691895044	20.7915623635033	15.2912014764141	-6.43809276828575	20.2890650934893	15.8619173619447	-4.96097993102647	20.0249620168695	15.4451487321733
