protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PI3 PIANP	-0.0744720844690832	16.2033960487459	11.8446535926557	-1.58321738100809	18.3402985442505	12.6792285588454	-1.08178124949133	18.3973401585763	13.1571571676146	-0.675342779014184	17.7525268559557	12.5812034348561
PI3 PIAS4	-0.176382821795112	15.8317331636292	11.6296453530909	-0.831509151849164	17.0111285460554	12.0674078487268	-1.06516103048603	17.9874781942472	13.1194803415508	-0.724889300592424	17.2314606665657	12.4192126119103
PI3 PIGR	0.0175190777014065	15.1122597929804	10.5423673792146	-1.36726981870238	17.8414228824111	12.0866567908717	-0.680904427332012	17.5175077295402	12.3988553847006	-0.511619092089373	16.9901521972052	11.708287328877
PI3 PIK3CA.PIK3R1	-0.0621598549266427	15.238816383855	11.0199291864047	-1.22679655424021	17.5362940827194	12.3371784427303	-1.04334421051082	18.2337870909482	12.9326083406513	-0.716334319873632	17.1708117355933	12.0503348835714
PI3 PIK3CG	-0.0458478366868842	15.7778091562887	11.7312996114589	-1.20113480636832	17.7895736445628	12.2265948554507	-0.856263466196758	17.9303736057239	12.7812491090106	-0.634102156082883	17.4178288785042	12.3628546830174
PI3 PIM1	-0.401944405696203	16.1095658565888	12.1027110800852	-2.00925340418739	18.6275290792641	12.8940823965798	-1.16992352312064	18.6355520453882	13.2991840844158	-0.999495457647923	18.0466772855265	12.7876831772606
PI3 PKM2	-0.180472190565973	15.707689035301	11.2085080061053	-1.37233337567934	18.2447669009851	12.4069614917422	-0.913098666639762	18.306427866554	12.8664807491129	-0.772702010335013	17.6322676815348	12.2010894480101
PI3 PLA2G10	-0.0494128778275678	14.8099032544756	10.9740395368494	-0.290617470374521	15.5322573668098	11.1218301725285	-0.257965184760548	16.5478023439844	12.1406826510896	-0.259608310339641	15.8451953120123	11.7115545940433
PI3 PLA2G1B	-0.240812584163256	16.0043971058407	12.1973769493461	-1.19181952865284	18.0881759608166	12.3394656047053	-0.922527736735661	18.0893244891271	13.0639909478122	-0.767363519256092	17.6244433803218	12.5789738908894
PI3 PLA2G2A	0.0450087933471724	14.9196622015788	11.1223999521525	-0.500462566587228	16.4217791102359	11.3555480756391	-0.17200315408811	16.9389938218821	11.9677167771696	-0.285145192199516	16.2074122759757	11.72051513799
PI3 PLA2G2E	-0.186931725423245	15.7692755364	11.6892334403412	-0.375754401607176	15.566041323141	11.4630368421756	-0.56517207541831	17.2778503998957	12.787503808071	-0.430933563529104	16.3287357185127	12.0322449055113
