protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PIANP PIAS4	-1.34836001159413	18.6785385594505	13.6041497144379	-3.18800805062416	19.5344679345648	14.9585823464166	-3.05557650607577	19.8883907794399	15.0144865108512	-2.48435240070669	19.3225688948773	14.6136968283415
PIANP PIGR	-1.20910605700878	18.2393755079566	12.9552521792436	-11.015467773722	20.5746209681553	15.6120766502908	-3.93145944613561	19.8146035894624	14.9059325521373	-3.34642543544042	19.7676114380319	14.7903908745901
PIANP PIK3CA.PIK3R1	-1.12391496715873	17.6534701422591	13.0530426802809	-5.42440447045341	20.2644632835799	14.8630710484959	-3.60759858382079	20.3525892967683	15.0915495340541	-2.64123134783379	19.5566706396343	14.4960961723239
PIANP PIK3CG	-1.52495853810824	19.217753326814	13.5424753672623	-3.09433129993945	20.1670153968754	14.7004520661943	-2.53040173205532	20.5158915316489	14.9516478856764	-2.56571205661932	19.8360156472573	14.4950890904197
PIANP PIM1	-2.79671378598328	19.5494645062042	14.6788573239638	-5.84206074940257	20.9959244494427	15.6206535721007	-4.5070431263656	20.9326430977296	15.6224818372353	-4.57451697020034	20.5514493927685	15.3306072406266
PIANP PKM2	-2.1856545862934	19.5491284768719	14.0120794453194	-2.41744301609058	19.542831072037	13.5311140398435	-2.94963032085323	20.1989531899041	14.4546823694569	-2.59671853581723	19.5806585714801	13.9878025390236
PIANP PLA2G10	-1.17742119489855	18.5880809160567	13.3492504217939	-1.67424327460752	18.1819032919316	13.3970491158638	-1.1764308165618	19.043502559719	13.9423498546474	-1.39152795192255	18.6674424230231	13.7281532329382
PIANP PLA2G1B	-1.69301765637066	18.9719823483766	13.6627923785003	-4.0054701584269	19.9503163018032	14.8153938647163	-2.33323163398949	19.7590689190577	14.3876614313514	-2.52345911843762	19.6522003106252	14.4622093825405
PIANP PLA2G2A	-0.244684291406826	16.8933139865897	12.1169284543135	-1.56749944965382	18.5357184997014	13.3971428600987	-0.818577717050532	18.8351033215305	13.6583386649489	-0.835472559006958	18.2337335704739	13.1560578174229
PIANP PLA2G2E	-0.91120627274937	18.8201566079466	13.7568378063385	-1.7970237903498	18.4549482316306	14.2323724785414	-1.53117472722557	19.7231009673592	14.8028313260685	-1.57008428380304	18.9246839901604	14.3411382248785
PIANP PLA2G5	-1.27327615894424	18.0463310432948	13.1202656917577	-2.92443335989309	19.6379249605384	14.7586468564199	-3.41628039164131	20.1840280177896	15.0695983398773	-2.68140900181292	19.4618688858446	14.638764992887
PIANP PLA2G7	-1.70455405402028	19.3592641708851	13.7271831813448	-12.8299684004281	21.373095948682	16.1899152221874	-4.40874548225767	20.9921167271324	15.7029120970335	-4.38788031466412	20.7379583103627	15.3988637603091
PIANP PLAT	0.153086636965136	15.0321777957859	10.9661740559485	-2.03545406575443	18.4705262917778	13.4049289637443	-0.754746136313174	17.5294130118039	12.9306776217712	-0.681803702685059	17.2140291774037	12.5324515250821
PIANP PLAU	-0.724274911900242	17.4856828758397	12.8835115545284	-8.50453063404655	21.1160240689405	15.6140789357805	-2.99511092848905	19.8696471708885	14.8540467883785	-2.6787519373718	19.6988950697238	14.5885322264755
PIANP PLAUR	0.150417304571024	14.4255324843249	10.9034018758782	-1.05894408526233	18.2518494069986	13.8591670077552	-0.324819202527395	16.5876590875527	12.5428802880718	-0.316112574198869	16.4425113087019	12.5757825255762
PIANP PLCG1	-1.52973069524221	18.9283664964722	13.7039720150542	-13.929034486253	21.0523977499878	16.3407357589865	-3.59410762309275	21.0492196152134	15.770806139497	-4.45887499377169	20.2988834997425	15.457819713361
PIANP PLG	-1.48126275842747	18.5978036106098	13.4104232591074	-1.35331837431378	18.5275959802142	13.0924241406898	-2.38023036806002	19.5665436039005	14.1304935846343	-1.65143560111282	18.9121967127266	13.552706801274
PIANP PLG.1	-1.61766468467419	19.0601083465166	13.8209690155645	-1.93859123778421	18.4519585268426	13.6456856131748	-1.78559558090214	19.3663566697514	14.3945643429819	-1.86335925951349	19.0421682048556	14.0582878621622
PIANP PLG.2	-1.53274100720488	18.6685357209726	13.3775865136924	-1.29604105050049	17.98159877873	12.9727921424806	-1.76734512155589	18.9204190433575	13.680446038731	-1.5634054895544	18.6091288850283	13.40848510775
PIANP PLK1	-1.21862795732576	18.888159493724	13.5700166233606	-6.59278666130603	20.9713259929559	15.6048057376843	-3.12102371338466	20.3285595336902	14.9393565533038	-2.85797343296144	20.1907199326363	14.8547712946378
PIANP PLXNB2	-0.94048541622223	18.6552913760194	13.2237227578159	-7.37106283598169	20.1233215431646	15.278900420937	-2.40902772942863	19.9526033756419	15.139467054847	-2.64229167754867	19.7730713793391	14.747857592272
