protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PIK3CA.PIK3R1 PIK3CG	-2.95490165582665	19.7775363337742	15.1819730830709	-3.00688922203048	20.2063271009359	15.2775094482222	-7.94576379343841	20.8176503603627	16.2731392813286	-3.04740836024442	20.4575507371973	15.5690117304376
PIK3CA.PIK3R1 PIM1	-3.73354626327865	19.9710468260124	15.711781118149	-6.61678787253864	20.5162329895972	15.2922554254881	-22.6711953414359	21.44788954704	16.8703627136371	-6.10808677575718	20.5616202855436	15.9759169727909
PIK3CA.PIK3R1 PKM2	-2.31719809562758	19.365860145292	15.0962797458445	-3.02881281731107	19.7824696578977	14.2169242394535	-4.57094991110929	20.4194110787675	15.73114480363	-2.82311272702899	19.7229127782406	14.8622602101692
PIK3CA.PIK3R1 PLA2G10	-2.61827508681478	19.5914041482378	15.2012100440946	-1.60982962917831	17.7886841947087	13.6628910247346	-3.3768101537948	19.3961345176103	15.2440067179368	-2.22266450535616	19.114074059432	14.8905613355387
PIK3CA.PIK3R1 PLA2G1B	-5.36464449362097	19.770841907566	15.4620646948104	-4.98568879401564	20.2637747870622	15.0965571777774	-10.6014599719242	21.1214081927808	16.7079600680031	-5.16181559642969	20.2818049674641	15.7966068611231
PIK3CA.PIK3R1 PLA2G2A	-0.8286566857607	18.4161096919578	13.7813148045842	-0.507457017515035	17.0604623020405	12.0310644822423	-1.07979960903479	18.7021895454263	13.7474611766081	-0.690880749678564	18.1207365904188	13.2476681838936
PIK3CA.PIK3R1 PLA2G2E	-5.90498733199865	19.9357156675438	15.6433146073389	-2.3279703645903	18.5474373287432	14.3294335641331	-4.33658267241103	20.2663161244911	15.881029994579	-3.79136356034997	19.6771812023569	15.290537868837
PIK3CA.PIK3R1 PLA2G5	-2.87466248096154	18.8435740302565	14.794069018044	-3.83267264609335	20.0843176936471	15.0025736077902	-5.31870680950057	20.6230266166842	16.0906095388094	-4.57687307259043	20.1712396532497	15.651143232661
PIK3CA.PIK3R1 PLA2G7	-3.00701083625468	19.3537470549626	15.4487445322423	-9.93603787741729	20.6191305209874	15.414181057087	-16.8671166837385	21.163324839028	16.6644205125964	-5.7749457796272	20.5791871892333	15.8930733056976
PIK3CA.PIK3R1 PLAT	-0.203801501251161	16.2105053009147	12.6690908474327	-2.07992803166272	18.7276013210466	14.110287242921	-1.30353493057741	18.1548063435612	14.242247380279	-1.06525961846748	17.7656150468474	13.7558299228363
PIK3CA.PIK3R1 PLAU	-3.87940336521312	19.5088526022994	15.621213129341	-5.17892182414981	20.112904689103	14.7164936877005	-9.16235128583601	20.6631139029165	16.0225534234655	-4.93281954212155	20.3237071645253	15.6871476647172
