protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PKM2 PLA2G10	-6.08901031488783	20.3353551715362	15.9293121249827	-0.894739839839639	17.460444399035	12.6666895528946	-1.99014452257731	19.5036309181637	14.9949801976313	-2.24358726451988	19.0483342488765	14.5576471614678
PKM2 PLA2G1B	-4.12819097563557	19.885663160144	15.666836367855	-1.93791882181946	19.2234565279304	13.6842957323643	-6.33829041336154	20.4204210630359	15.9420915660681	-3.31247819783532	19.9616008112204	15.1807311708902
PKM2 PLA2G2A	-0.21021915030128	17.1862022498658	12.3216584093594	-0.594450942312307	17.0091036051379	11.8542088870409	-0.364462416630972	17.908199285719	12.6187219277981	-0.438639332810553	17.436757835171	12.5466660744267
PKM2 PLA2G2E	-8.14563196396556	20.9068171118898	16.4959659448084	-1.09004376700556	17.598205295726	12.8428017278502	-2.74012810043768	19.7251239154278	15.239679960185	-3.25399405739105	19.4815499535798	15.1024766258164
PKM2 PLA2G5	-2.81190623173434	19.1515017079448	15.0815301555681	-2.17634385500636	19.5791301265961	14.2178088915337	-4.17645508603721	20.5225323720238	15.7988447346806	-3.85944007396386	20.1331147593999	15.4642037576035
PKM2 PLA2G7	-9.56818915173589	20.8782614310435	16.4155931363895	-2.96979014409204	19.371940679212	14.3426998700356	-5.9390590620922	21.0890501141738	16.2126789215162	-5.28457204451932	20.4562084655036	15.7069635764555
PKM2 PLAT	-0.152104385559307	15.6523895071664	12.3959334638153	-0.912776922491397	17.2232437052243	12.7473977144189	-0.987339703343149	17.6992768207834	13.5843258693531	-0.628669937352375	16.8420526659806	13.0066043986625
PKM2 PLAU	-7.1495854711084	20.1201130364242	16.1140704740683	-2.54039674245565	20.0090989682096	14.2441511629413	-5.85962373451388	20.8327579733394	15.7785830899252	-4.63028810843616	20.4746431000826	15.6956452520162
PKM2 PLAUR	0.0281440379556182	14.6105160487715	11.1211029464013	-0.307973815823045	16.3556459363756	11.5349202150069	-0.100475755941303	15.9628163712638	11.8783273716606	-0.0932633985649713	15.6061212591081	11.6057477358208
PKM2 PLCG1	-6.20788839373406	20.9524876185027	16.1471648038561	-2.14655500378969	19.961129608363	14.2657400998017	-3.75058966594473	21.0598653539202	15.768491758384	-3.78409445990942	20.463337525419	15.4842602867926
PKM2 PLG	-1.69564274068601	19.7520892803915	14.1782191088845	-1.11352632777943	18.5226467147598	13.0391384794438	-1.9336608089248	20.440044425823	14.5965170935679	-1.46193920976062	19.5136164333076	13.9620169789156
PKM2 PLG.1	-2.96407213055671	20.6001294445912	15.7169291086857	-1.23335918401279	17.6327050896092	12.6968417826269	-2.52029548094367	19.7936078654547	15.0286974529187	-2.2826947603265	19.3759441719869	14.6012664925848
PKM2 PLG.2	-2.51278963034993	19.3984277343808	14.570967557317	-0.583617884174064	17.0554977981939	12.441813013468	-1.97122631996749	19.0504986876262	14.2955231318854	-1.37663108226184	18.4182871415667	13.7769182398998
PKM2 PLK1	-3.45448601055946	19.9320648770596	15.5922908527885	-1.71028884279409	19.0973592409776	13.3570906686238	-2.76736315825184	20.23048554461	15.2640288051487	-2.52880688569421	19.8143217987235	14.8807127031738
PKM2 PLXNB2	-3.65094275864529	19.5209421009523	15.6598083816728	-2.40274719515775	18.9524376867388	13.8764133902819	-3.44757332856106	19.6727672239537	15.2591129970662	-3.46050400405988	19.4432488553958	15.210903672734
PKM2 PLXNC1	-6.65775800093659	20.5277886232025	15.5529778894949	-2.78574408759934	20.1751404564929	14.3207555097709	-8.05735001174492	21.0826204684724	16.0946334370044	-4.5455730426377	20.5780696917799	15.3599892903293
PKM2 POMC	-2.74753429254965	19.5561139216039	14.8529513903712	-3.03609473694725	19.6254196132593	14.7253176376182	-4.11307500438618	20.5606842122883	16.0065251191677	-2.80493839633775	20.0059659824696	15.2911374314835
PKM2 POMC.1	-2.09694544455886	19.546098610077	15.2393050327395	-2.23207139838067	19.4127338019928	13.7322528043463	-3.41321850349833	19.6456497242413	15.0300005924409	-2.28259207068895	19.7339199869926	14.8624621647657
PKM2 POMC.2	-0.992788146873843	18.4315750688146	13.0206218786526	-1.70418585200073	19.3274628266895	13.7479078554675	-1.92897793148244	19.4473604031401	14.2417985455164	-1.50138245861047	19.0791940705737	13.9664082599385
PKM2 PON1	-11.8848802161777	21.2900469441559	16.5630204909197	-1.8671183226199	18.9135792043371	13.4623380434232	-3.94586568948611	20.8147455545856	15.701478010279	-4.44688054453348	20.3472041367286	15.38524556692
PKM2 POR	-1.10060741587335	18.2974482869186	13.4356552555306	-2.51350644660714	18.8819507829739	13.5910194547882	-1.59705769797209	18.9445130146987	13.8619293998778	-1.93548447795976	18.7644150667967	13.8246521846081
PKM2 POSTN	-0.576755731642841	16.6450608952625	12.3872399160798	-0.442297695119719	16.2097593320626	11.4730770181875	-0.530577657477602	17.0096265089723	12.8124054972473	-0.427258130426582	16.5678304675382	12.2321896075439
PKM2 PPA1	-1.77385264532508	18.5146626060528	14.4851291360906	-2.78706850744647	19.7062926630411	14.3304878972499	-2.60657654155851	19.6757649910504	14.7864420783776	-2.52666850671988	19.45304153647	14.6998163191408
PKM2 PPBP	-4.55184636650655	20.290953400209	16.0423140558057	-2.28064134859725	19.4820532212071	14.3682493632766	-3.88450422759172	20.3750666354835	15.806638423783	-3.54906919320332	20.0445217952337	15.5993155655332
PKM2 PPBP.1	-4.02300661881467	20.2191746996359	15.8729562368084	-2.4024809520928	19.5343869785456	14.4968780075887	-3.621832349233	20.3453328259578	15.7465027712467	-3.30492279230343	20.0077913216306	15.490930633408
PKM2 PPIA	-9.00422397591559	21.123384439519	16.9261695312729	-2.92968958573967	20.0438769576283	14.64762066483	-6.14140765913137	21.4912494369312	16.6738780236787	-4.64496031980911	20.7353573513111	15.9258186394441
PKM2 PPIB	-1.65956093406454	18.9708785726297	14.8774689221478	-1.92357580884026	19.1800467815911	13.9514489999449	-1.65106026454042	19.215698329401	14.8165808653642	-1.79321762775307	19.1006847733984	14.6404793248556
PKM2 PPID	-8.98516766827798	21.0431654425051	16.7546926339435	-2.1262000111855	19.8065997400287	14.756405841505	-5.63733307365695	21.2850776336989	16.6802260671574	-5.06392316726273	20.6698724368377	16.088758493938
PKM2 PPIE	-6.08800775773952	20.4396267240713	16.4014910411547	-3.86646317759829	19.9396037621473	14.7888499228252	-4.67917664750418	20.3828877241917	15.7660531811521	-5.57174032056769	20.3322547901169	15.8052869738337
PKM2 PPIF	-1.47936189269349	18.1968031879054	14.5017421884734	-1.25580080512428	18.0684785765104	13.8129227182952	-1.53566812546746	18.7103547273333	14.8795709479397	-1.39607013523668	18.448139681337	14.5469716941023
PKM2 PPP3CA.PPP3R1	-12.3921595995694	21.3978626489849	16.9134513642706	-2.51922912661584	19.6880443782059	14.4344519322541	-5.86826305179185	21.0263701235262	16.4215382807334	-6.19492762143582	20.5826342402639	16.0591089284703
PKM2 PPP3R1	-5.33436558928323	20.9978039892727	15.9684775147652	-1.97798558979899	19.5183437898604	14.221433139135	-6.65364755338154	21.1825033973892	16.2778349644995	-4.21681555656341	20.5475533694415	15.485193673761
PKM2 PPY	-0.178649216301953	15.9666262895833	12.5806941737322	-0.558390187006186	17.0094243311902	12.434565670886	-0.489022032753515	16.9476192969042	13.2309652004471	-0.404240922228664	16.7797675757763	12.8588579908632
PKM2 PRDX1	-0.929842224490876	18.163376816306	14.2006597001081	-2.15214096596965	18.9906538792312	14.3676803186779	-1.63490101617292	19.123479884267	14.7508796922288	-1.69358314435878	18.7818116597699	14.5098714456458
PKM2 PRDX5	-5.98609422097993	20.3209205207604	16.2392674592289	-2.28021462079947	19.8033426158408	13.8592205165884	-6.04005789785338	20.9916917912126	16.0784219515224	-3.70656047911739	20.3057271425486	15.3850441424496
PKM2 PRDX6	-4.99263168377496	20.5060866458763	16.0691450386858	-2.76679287352958	20.0732404159669	14.7937654162334	-7.54996211224713	21.2701113967036	16.6286114945724	-4.48828284630546	20.6694200662816	15.7925773663225
PKM2 PRKAA1.PRKAB1..PRKAG1	-4.4003638466181	19.9294965000319	16.41363699207	-2.65618013273343	20.1748420117508	14.6143699399362	-4.5992543963155	20.6167320183973	16.1789559083114	-4.77220057706439	20.4578957317105	15.9682293078484
PKM2 PRKAA2.PRKAB2.PRKAG1	-2.5000714830837	19.7325351545083	15.0808791480962	-2.54937778580091	19.47993265142	14.4053613460377	-3.65790438881423	19.9608546569653	15.6040406683349	-2.89217158284561	19.7957927714449	15.0323170906102
PKM2 PRKACA	-1.06042901043205	18.0128889776133	14.1012199216528	-1.32676559033564	17.9919277703799	13.423231944664	-0.956290268849904	18.3139288296663	14.2930450096157	-1.25614973844896	18.3115613530189	14.2585577716071
PKM2 PRKCA	-5.60173462743947	20.4110496805641	16.2745655077875	-1.98970127632273	19.1719688894829	14.2635763186396	-3.94438129193804	20.2182020319115	16.0576307507595	-3.30633032710944	20.0214211264924	15.5348962023398
PKM2 PRKCB	-8.30978035982695	21.2841064987004	16.5623174480544	-2.42001687868787	19.8765616927268	14.7427482752427	-5.28487133722426	21.7039512613603	16.5476372007912	-4.31255117519103	20.8011351442524	15.8657171502627
PKM2 PRKCD	-7.68789156174674	20.9230787007403	16.2949935809011	-2.39641729861133	19.1599545254993	14.1623297655688	-4.57485329283851	20.9074565641155	16.0585208593417	-5.14619874980843	20.352218278001	15.607632199065
PKM2 PRKCG	-2.94539236717886	19.3535198983546	14.9335553698397	-2.27810942717887	19.370683406365	13.9993101777835	-3.2411552596031	20.1863817833368	15.3460615134076	-2.93242185894787	19.6109606671384	14.8621852923048
PKM2 PRKCI	-2.93232513500391	18.902482200205	15.1063251000912	-2.34152098910338	19.6330416825559	14.4360470371066	-2.18724961064781	19.9389256248977	15.2366963176413	-2.96556422555461	19.709883044266	15.1600634752244
PKM2 PRKCQ	-7.54597314146326	21.1579926699237	15.9530811721739	-2.71578214958679	20.0491049960063	14.7566201457327	-7.88401646407578	21.1080873238608	16.2388863484011	-5.03947994985431	20.7722856317303	15.6984677302036
