protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PLA2G1B PLA2G2A	-0.331567666708621	17.7623258538544	12.5905535782715	-1.1249519670366	17.8174540592679	13.0470410717898	-0.426392100868351	18.6925278981393	13.4138272374708	-0.668716741354019	18.0037399717116	13.1595514362098
PLA2G1B PLA2G2E	-3.44275020391146	20.3451022595317	15.9538567717084	-1.83396758010889	17.9522934034295	14.0586596670463	-2.93259459173315	19.4551023452045	15.5251223176158	-3.10777323451835	19.4487247482614	15.5976111185237
PLA2G1B PLA2G5	-3.18322949570062	19.465322621523	15.2524711457899	-3.66113631692524	19.2239139533272	14.4547296271621	-7.88250853622077	20.8073837775475	16.3853006724856	-7.1048145671947	20.0645729240988	15.6911025128788
PLA2G1B PLA2G7	-7.84474860162843	20.8721199150729	16.1052569738705	-4.84797289391279	19.9216873230902	15.010373043295	-6.89998272949953	20.671009610057	16.1432270373177	-7.51023199258336	20.5236986269381	15.8857994470378
PLA2G1B PLAT	-0.44323257077415	16.8594970257363	13.0767203269138	-2.72560521011078	18.4786361555781	13.9544111178755	-1.263717592047	18.1535426643442	14.331150507869	-1.17355245225783	18.0589159037538	13.9290214901899
PLA2G1B PLAU	-4.18329469154957	19.7976311106379	15.5702634121887	-6.98660229689175	20.4146670437398	15.4404006795524	-8.41651291574628	20.5569216763584	16.1306077935516	-6.92209167494478	20.4159876426357	16.0881784858379
PLA2G1B PLAUR	0.279433180610453	13.7634914912501	10.2998273564857	-0.919275074503054	18.4891795025434	13.8664433540012	-0.14599185278741	16.7610826138612	12.4100543399936	-0.200812426333631	16.5101070807957	12.3005713106907
PLA2G1B PLCG1	-4.23452276436138	20.7683105185057	15.8537785978508	-9.08954727394731	20.3239214791063	15.7477912875987	-8.90529966988616	21.2641264248008	16.5778664850019	-7.64718538464664	20.8755181198101	16.2266123294223
PLA2G1B PLG	-2.85117040640015	20.2459103996598	14.8955125880042	-0.792175430294142	17.9837885648464	12.8902263532854	-1.88658508493254	19.9099370753286	14.4292674699047	-1.70738984540271	19.5905736821848	14.2808445416169
PLA2G1B PLG.1	-4.03840376012315	20.2226776363221	16.3900393052962	-2.66195039198358	18.4481277825641	14.3206894325823	-3.52721053654976	19.765260742054	15.7156106096489	-4.31100966180303	19.7140836865704	15.7537214805812
