protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
PLAU PLAUR	0.403575604808258	13.396850919906	10.3824445764198	-0.340357832712297	15.874475689929	11.9178868309383	0.159956200970422	14.8968130359105	11.4696109846368	0.117286913088892	15.0215885303911	11.3856052836522
PLAU PLCG1	-3.61146108511746	19.4077291358328	14.7520606862023	-4.62326608540252	20.5270112079299	15.3982287418257	-3.40628247811436	20.5146507872329	15.4500985833305	-5.25789039444539	20.6964822614752	15.6799474361139
PLAU PLG	-3.18275499699244	20.1302936144418	15.254053055604	-0.933570515279937	18.2934388789761	12.4137534409648	-1.39027096521842	20.0747273457963	14.154390772959	-1.78134210633449	19.6317243505206	14.1027051847274
PLAU PLG.1	-5.97303915972283	19.7627157269736	15.4385512422027	-3.53600031130319	19.1553534902928	14.5612719658633	-4.89306533452799	19.9331645797144	15.4375263287859	-5.89244355553583	19.8324463687775	15.6260240602602
PLAU PLG.2	-2.1330953867114	19.2229739577968	14.6720572574532	-1.20982300124817	18.1702204760849	13.1587389966677	-1.99421735969712	18.9780620029205	14.3072431557635	-1.75946742923761	18.8034030605667	14.1336272528423
PLAU PLK1	-3.88930107839305	19.0189524688935	15.1995627519783	-9.38501012432058	21.0041126178248	15.8866257145276	-7.21839838660045	20.5684407883432	15.8595593022447	-7.27191441452119	20.59938386429	16.0590587400783
PLAU PLXNB2	-3.04842801156608	19.0832646284163	15.1374510226625	-8.57804015575594	19.5936464808276	15.3436166778212	-5.61744931293864	20.1052291202227	15.9535769336847	-5.15156235241838	20.0055222468289	15.9689265765998
PLAU PLXNC1	-11.4493664173236	20.5676099774983	16.4689530863972	-8.55655000939676	21.1395537830527	15.2146008796052	-8.01499913340279	21.2953069248934	16.3101393864789	-12.3931270091353	21.2587771927734	16.317666611959
PLAU POMC	-5.04831687662409	19.2653358478946	15.4551608546675	-5.47145376394846	20.1371126902138	15.1051205574641	-6.77963922424697	20.3800274845769	16.1447529867999	-8.24465355908653	20.3135599307171	15.938027148675
PLAU POMC.1	-1.2384966902573	17.9885989951592	14.3393366122874	-4.36421802480637	19.8160021662294	14.9216617263547	-2.57783914698893	19.9330471757085	15.5333241065921	-3.04013448043114	19.5259804929579	15.3065366718065
PLAU POMC.2	-1.25106553696832	18.1031774214365	13.632891281909	-3.57565030519687	20.1152096965997	14.5246030002694	-2.25379020048143	19.6909677557401	14.7670205984726	-2.14345281320804	19.5596184356609	14.6282737681935
PLAU PON1	-9.9207491245097	20.4981935962585	16.4793736203466	-4.70391103601843	20.3155217219142	15.0936331965372	-6.52784931809456	20.6073557037278	15.9265759779701	-7.62045060097342	20.8437413490986	16.2061724849454
PLAU POR	-1.01217778148888	17.504804965951	13.0337967167175	-2.39357282678673	19.4825504525238	13.776689849722	-1.56844318210922	18.5978176549962	13.6160469238266	-1.77515776835644	18.8819935906292	13.8445603607428
PLAU POSTN	-0.00865529783927887	15.3091402278988	11.7759801737307	-0.952452908261463	17.4938890510483	12.7844680161005	-0.607414160270495	16.9328956731501	12.8697801104094	-0.50779562011302	16.6571155906393	12.5516297434419
PLAU PPA1	-5.50334239652519	19.3622236192675	15.1618048065408	-5.05448593298911	19.8964011485067	14.9668700304781	-5.19060992332622	20.1048225531502	15.3744682140432	-7.2028454048489	20.3828548384466	15.7971705409171
PLAU PPBP	-6.27698202671296	20.2892407082202	16.1414972894802	-3.62351224422006	20.5667853770927	15.2805618682713	-5.75473613592573	21.1050715670469	16.2585884690654	-5.65938783324544	20.7681456400523	16.0585045539094
PLAU PPBP.1	-6.25345721636427	20.2108883061902	16.0548765440816	-3.55404982544936	20.567403422844	15.3135674895819	-6.4612817290151	21.0348833145083	16.2724192109782	-5.32740801203809	20.7458121105055	16.0808563210986
PLAU PPIA	-9.47500864711257	20.4074980903816	16.2637622567865	-6.24149724421356	21.2915541308035	15.7955312434722	-7.55152175886982	21.3652212862629	16.52197772846	-8.77929351401535	21.3030472825996	16.513771069226
PLAU PPIB	-2.63198665012309	18.6577966304445	15.3244439026804	-5.84221035791546	19.8009929985698	15.7852398315838	-3.92914822435496	19.4248556252197	15.6704159767887	-3.81275345130685	19.6443484222982	15.8931772050306
PLAU PPID	-5.2579012738001	20.1032790040023	16.0712870211107	-3.30676539226278	20.5131595741566	14.9585658208568	-6.09180754293476	20.7309519151533	15.9651736668953	-4.68058266246457	20.6366545116118	15.9651739246764
PLAU PPIE	-4.95229438603728	20.7672077408193	15.9613130211588	-2.64921583284557	20.0280663749231	14.4321551662944	-4.40698664606985	20.7291087283899	15.6541284063517	-4.41246795413195	20.8094456380819	15.6698235328041
PLAU PPIF	-2.10037375327864	18.166345344692	14.8306336347932	-4.88523938174815	20.1126155996148	14.8682703009766	-3.32255200544821	19.7578171422625	15.3188593086156	-4.51249612505453	19.6823921976602	15.5424215411113
PLAU PPP3CA.PPP3R1	-8.68181716304187	20.5730109694059	16.0989288298528	-4.51080275294543	20.4128315159306	14.9585007715504	-6.67379815356732	20.7810372335436	15.8157085119721	-7.67912292926025	20.6931896832678	16.0785513605853
